ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","751.10","771.30","750.00","747.45","770.25","769.80","765.48","894.90","599.55","26,37,612","2,01,90,51,794.45","64,575"
"12-Aug-2025","EQ","751.00","758.90","745.60","746.75","747.95","747.45","751.54","894.90","599.55","17,47,197","1,31,30,94,460.25","37,202"
"11-Aug-2025","EQ","736.00","748.45","735.10","735.75","745.05","746.75","743.00","894.90","599.55","13,46,920","1,00,07,59,279.10","32,506"
"08-Aug-2025","EQ","742.25","746.45","732.80","742.30","734.10","735.75","740.01","894.90","595.00","17,78,482","1,31,61,00,187.55","37,304"
"07-Aug-2025","EQ","741.00","746.40","734.00","746.60","743.80","742.30","740.03","894.90","595.00","23,17,202","1,71,48,04,078.25","67,057"
"06-Aug-2025","EQ","751.05","755.45","739.50","751.05","743.05","746.60","744.74","894.90","595.00","24,31,229","1,81,06,39,280.65","57,018"
"05-Aug-2025","EQ","749.80","752.50","741.55","748.80","750.05","751.05","748.97","894.90","595.00","15,53,257","1,16,33,42,007.70","41,098"
"04-Aug-2025","EQ","742.30","752.70","735.15","741.15","751.00","748.80","745.24","894.90","595.00","22,40,074","1,66,94,01,885.35","53,551"
"01-Aug-2025","EQ","741.50","750.15","738.30","740.75","742.00","741.15","745.49","894.90","595.00","24,26,975","1,80,92,88,144.05","66,006"
"31-Jul-2025","EQ","738.05","745.55","736.10","744.90","741.35","740.75","740.95","894.90","595.00","23,95,448","1,77,49,11,116.25","55,059"
"30-Jul-2025","EQ","751.20","755.50","744.00","748.20","745.95","744.90","749.18","894.90","595.00","17,98,426","1,34,73,38,368.10","34,141"
"29-Jul-2025","EQ","744.80","751.00","740.55","744.80","749.00","748.20","746.77","894.90","595.00","20,19,113","1,50,78,09,362.35","33,864"
"28-Jul-2025","EQ","743.00","754.25","740.10","746.15","745.00","744.80","746.57","894.90","595.00","23,68,005","1,76,78,86,400.65","56,217"
"25-Jul-2025","EQ","750.55","752.80","739.35","754.00","746.50","746.15","744.69","894.90","573.10","27,55,973","2,05,23,58,922.80","50,286"
"24-Jul-2025","EQ","754.40","758.00","750.60","754.40","753.60","754.00","754.19","894.90","573.10","13,33,762","1,00,59,13,899.25","34,146"
"23-Jul-2025","EQ","756.60","758.20","746.30","756.30","754.50","754.40","751.95","894.90","573.10","25,28,008","1,90,09,25,557.60","58,635"
"22-Jul-2025","EQ","777.00","777.40","755.10","771.70","756.60","756.30","762.59","894.90","573.10","26,67,397","2,03,41,23,139.75","71,875"
"21-Jul-2025","EQ","766.20","776.50","764.75","766.20","770.80","771.70","773.00","894.90","573.10","31,12,101","2,40,56,56,766.30","77,120"
"18-Jul-2025","EQ","761.00","769.20","751.20","753.95","766.00","766.20","763.18","894.90","571.05","82,63,373","6,30,64,09,103.90","1,25,401"
"17-Jul-2025","EQ","753.50","760.85","749.90","751.20","755.10","753.95","755.30","894.90","571.05","25,96,528","1,96,11,57,515.40","69,709"
"16-Jul-2025","EQ","744.05","753.00","736.20","744.05","750.65","751.20","746.38","894.90","571.05","29,31,470","2,18,80,04,261.50","1,09,240"
"15-Jul-2025","EQ","727.50","746.95","727.50","729.15","745.00","744.05","738.32","894.90","571.05","35,97,983","2,65,64,55,581.05","93,398"
"14-Jul-2025","EQ","735.00","741.50","724.75","735.20","727.00","729.15","733.07","894.90","571.05","24,76,312","1,81,53,14,599.90","50,863"
