ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","909.00","909.00","846.20","1,818.50","856.00","858.20","863.32","2,138.00","846.20","2,83,717","24,49,37,788.80","17,951"
"11-Aug-2025","EQ","1,750.00","1,829.00","1,742.50","1,740.70","1,820.00","1,818.50","1,803.10","2,138.00","1,007.05","1,87,139","33,74,29,803.20","20,273"
"08-Aug-2025","EQ","1,790.00","1,825.00","1,732.60","1,768.10","1,740.00","1,740.70","1,780.17","2,138.00","1,007.05","1,80,942","32,21,08,190.10","18,418"
"07-Aug-2025","EQ","1,779.50","1,798.00","1,713.60","1,777.40","1,770.00","1,768.10","1,749.04","2,138.00","1,007.05","96,876","16,94,40,322.70","9,137"
"06-Aug-2025","EQ","1,819.00","1,835.00","1,771.00","1,810.60","1,775.50","1,777.40","1,794.42","2,138.00","1,007.05","91,572","16,43,19,011.10","9,240"
"05-Aug-2025","EQ","1,751.00","1,830.00","1,737.20","1,747.10","1,824.80","1,810.60","1,786.72","2,138.00","1,007.05","2,21,658","39,60,41,337.80","18,080"
"04-Aug-2025","EQ","1,666.70","1,757.00","1,665.10","1,666.60","1,756.00","1,747.10","1,725.77","2,138.00","1,007.05","1,35,490","23,38,24,194.00","10,565"
"01-Aug-2025","EQ","1,712.20","1,738.90","1,658.30","1,712.20","1,665.00","1,666.60","1,692.82","2,138.00","1,007.05","87,668","14,84,06,225.80","7,026"
"31-Jul-2025","EQ","1,700.00","1,746.50","1,680.60","1,726.90","1,707.00","1,712.20","1,721.76","2,138.00","1,007.05","75,243","12,95,50,593.70","7,895"
"30-Jul-2025","EQ","1,737.00","1,741.00","1,703.80","1,731.40","1,710.00","1,726.90","1,725.62","2,138.00","1,007.05","68,314","11,78,84,314.10","7,526"
"29-Jul-2025","EQ","1,675.00","1,753.30","1,662.30","1,669.40","1,734.00","1,731.40","1,713.74","2,138.00","1,007.05","1,30,927","22,43,75,123.80","11,458"
"28-Jul-2025","EQ","1,727.00","1,744.40","1,658.30","1,727.10","1,678.80","1,669.40","1,685.60","2,138.00","1,007.05","1,35,663","22,86,72,936.40","14,439"
"25-Jul-2025","EQ","1,750.00","1,773.50","1,718.50","1,755.60","1,733.00","1,727.10","1,743.68","2,138.00","975.20","87,402","15,24,01,006.50","10,135"
"24-Jul-2025","EQ","1,781.30","1,800.70","1,750.00","1,772.40","1,754.00","1,755.60","1,772.83","2,138.00","975.20","98,152","17,40,06,638.50","11,851"
"23-Jul-2025","EQ","1,787.00","1,815.00","1,749.10","1,790.20","1,777.00","1,772.40","1,782.87","2,138.00","975.20","1,51,462","27,00,37,354.60","16,126"
"22-Jul-2025","EQ","1,838.20","1,838.20","1,783.30","1,829.50","1,785.70","1,790.20","1,801.48","2,138.00","975.20","1,53,119","27,58,40,387.10","18,613"
"21-Jul-2025","EQ","1,919.50","1,922.60","1,816.00","1,920.90","1,822.50","1,829.50","1,848.02","2,138.00","975.20","2,52,332","46,63,14,705.80","18,517"
"18-Jul-2025","EQ","1,928.00","1,959.00","1,910.20","1,926.60","1,916.00","1,920.90","1,933.86","2,138.00","975.20","98,391","19,02,74,335.50","11,270"
"17-Jul-2025","EQ","2,007.80","2,018.10","1,826.70","1,999.70","1,920.00","1,926.60","1,904.09","2,138.00","975.20","4,76,397","90,71,00,598.50","40,551"
"16-Jul-2025","EQ","2,044.90","2,045.10","1,991.00","2,035.00","1,998.00","1,999.70","2,013.05","2,138.00","975.20","63,549","12,79,27,494.20","5,821"
"15-Jul-2025","EQ","2,038.00","2,055.50","2,021.00","2,035.50","2,038.70","2,035.00","2,038.13","2,138.00","975.20","64,253","13,09,56,087.00","6,771"
"14-Jul-2025","EQ","2,055.00","2,069.00","2,017.00","2,053.20","2,039.00","2,035.50","2,043.57","2,138.00","975.20","84,489","17,26,58,764.20","8,745"
"11-Jul-2025","EQ","2,056.50","2,079.00","2,025.00","2,069.50","2,041.00","2,053.20","2,051.42","2,138.00","905.00","47,019","9,64,55,560.00","5,935"
"10-Jul-2025","EQ","2,079.80","2,097.00","2,051.00","2,080.00","2,067.00","2,069.50","2,075.56","2,138.00","905.00","63,782","13,23,83,347.20","9,339"
"09-Jul-2025","EQ","2,020.00","2,133.00","2,020.00","2,014.90","2,083.00","2,080.00","2,084.07","2,138.00","905.00","2,37,415","49,47,90,430.20","19,322"
"08-Jul-2025","EQ","2,064.70","2,083.00","2,005.10","2,052.00","2,014.00","2,014.90","2,027.49","2,138.00","905.00","65,073","13,19,35,092.20","9,023"
"07-Jul-2025","EQ","2,108.20","2,108.20","2,040.00","2,111.80","2,041.00","2,052.00","2,064.44","2,138.00","905.00","67,359","13,90,58,308.80","8,904"
"04-Jul-2025","EQ","2,078.00","2,121.00","2,055.10","2,080.10","2,108.00","2,111.80","2,105.94","2,138.00","904.05","1,17,507","24,74,62,456.90","7,362"
"03-Jul-2025","EQ","2,105.00","2,115.80","2,071.20","2,097.30","2,080.00","2,080.10","2,090.05","2,138.00","904.05","58,735","12,27,59,070.70","6,246"
"02-Jul-2025","EQ","2,038.10","2,118.80","2,038.10","2,027.80","2,104.00","2,097.30","2,087.58","2,138.00","904.05","1,90,952","39,86,27,775.60","16,411"
"01-Jul-2025","EQ","2,067.80","2,084.80","2,013.10","2,063.10","2,039.90","2,027.80","2,043.76","2,138.00","904.05","1,13,390","23,17,42,157.20","15,045"
"30-Jun-2025","EQ","2,040.00","2,138.00","2,021.00","2,046.60","2,057.00","2,063.10","2,099.34","2,138.00","904.05","2,18,801","45,93,38,156.30","19,948"
"27-Jun-2025","EQ","2,053.00","2,068.00","1,993.00","2,050.50","2,040.00","2,046.60","2,039.70","2,068.00","867.75","1,47,560","30,09,78,299.70","14,922"
"26-Jun-2025","EQ","2,011.80","2,059.00","2,007.70","2,012.50","2,051.00","2,050.50","2,038.34","2,059.00","867.75","1,59,787","32,57,00,359.30","12,301"
"25-Jun-2025","EQ","1,971.40","2,027.00","1,956.90","1,966.60","2,012.00","2,012.50","2,002.10","2,027.00","867.75","4,62,076","92,51,23,620.80","32,076"
"24-Jun-2025","EQ","1,865.00","1,982.00","1,850.00","1,849.60","1,981.00","1,966.60","1,938.28","1,982.00","867.75","3,65,140","70,77,43,367.40","26,191"
"23-Jun-2025","EQ","1,826.00","1,854.00","1,806.30","1,829.70","1,850.00","1,849.60","1,841.65","1,948.50","867.75","70,590","13,00,02,056.10","6,707"
"20-Jun-2025","EQ","1,812.80","1,867.20","1,801.20","1,815.00","1,836.00","1,829.70","1,836.66","1,948.50","867.75","80,844","14,84,82,585.90","7,703"
"19-Jun-2025","EQ","1,888.00","1,920.00","1,786.50","1,889.00","1,805.80","1,815.00","1,853.75","1,948.50","867.75","1,42,152","26,35,14,633.30","15,331"
"18-Jun-2025","EQ","1,901.00","1,920.00","1,874.80","1,901.50","1,893.80","1,889.00","1,898.42","1,948.50","867.75","60,845","11,55,09,342.60","6,103"
"17-Jun-2025","EQ","1,908.00","1,925.40","1,890.00","1,908.40","1,904.00","1,901.50","1,905.16","1,948.50","867.75","65,506","12,47,99,264.40","6,191"
"16-Jun-2025","EQ","1,884.20","1,927.00","1,850.40","1,889.50","1,908.50","1,908.40","1,897.44","1,948.50","867.75","1,63,427","31,00,92,960.40","11,381"
"13-Jun-2025","EQ","1,752.00","1,910.00","1,752.00","1,806.50","1,885.00","1,889.50","1,856.97","1,948.50","850.10","2,02,612","37,62,44,322.70","17,440"
"12-Jun-2025","EQ","1,837.70","1,863.40","1,801.60","1,829.60","1,807.00","1,806.50","1,834.29","1,948.50","850.10","75,325","13,81,67,926.30","7,273"
"11-Jun-2025","EQ","1,865.00","1,899.90","1,820.00","1,870.40","1,831.00","1,829.60","1,857.96","1,948.50","850.10","1,13,036","21,00,16,814.20","9,803"
"10-Jun-2025","EQ","1,905.60","1,908.10","1,851.00","1,893.90","1,868.90","1,870.40","1,869.03","1,948.50","850.10","1,28,990","24,10,85,948.50","13,580"
"09-Jun-2025","EQ","1,855.00","1,908.00","1,851.00","1,854.30","1,891.00","1,893.90","1,880.66","1,948.50","850.10","1,24,982","23,50,48,505.70","10,732"
"06-Jun-2025","EQ","1,879.20","1,879.20","1,830.00","1,879.20","1,853.00","1,854.30","1,853.27","1,948.50","678.55","1,21,389","22,49,66,981.30","11,643"
"05-Jun-2025","EQ","1,917.00","1,938.00","1,870.80","1,908.40","1,880.00","1,879.20","1,908.41","1,948.50","678.55","1,20,330","22,96,38,977.50","7,664"
"04-Jun-2025","EQ","1,916.00","1,925.00","1,881.00","1,915.20","1,900.20","1,908.40","1,903.61","1,948.50","678.55","68,841","13,10,46,354.40","6,648"
"03-Jun-2025","EQ","1,913.00","1,939.00","1,894.30","1,907.90","1,907.00","1,915.20","1,918.60","1,948.50","678.55","1,08,859","20,88,56,707.80","10,213"
"02-Jun-2025","EQ","1,899.00","1,929.90","1,868.40","1,892.50","1,904.00","1,907.90","1,902.07","1,948.50","678.55","2,05,868","39,15,75,165.60","17,519"
"30-May-2025","EQ","1,911.60","1,948.50","1,874.50","1,910.30","1,885.00","1,892.50","1,903.68","1,948.50","678.55","3,04,980","58,05,84,523.90","20,641"
"29-May-2025","EQ","1,899.60","1,936.00","1,884.40","1,895.00","1,919.90","1,910.30","1,911.32","1,943.00","678.55","1,37,351","26,25,21,957.70","9,903"
"28-May-2025","EQ","1,920.90","1,943.00","1,888.40","1,892.80","1,891.00","1,895.00","1,909.17","1,943.00","678.55","1,71,117","32,66,91,076.20","15,091"
"27-May-2025","EQ","1,868.00","1,939.00","1,834.10","1,854.20","1,896.80","1,892.80","1,899.25","1,939.00","678.55","2,88,997","54,88,76,615.70","21,107"
"26-May-2025","EQ","1,849.00","1,919.90","1,809.10","1,839.90","1,855.00","1,854.20","1,870.29","1,922.00","678.55","2,60,492","48,71,95,294.20","23,025"
"23-May-2025","EQ","1,868.10","1,922.00","1,830.00","1,869.40","1,846.90","1,839.90","1,871.46","1,922.00","678.55","3,43,186","64,22,59,445.60","25,436"
"22-May-2025","EQ","1,765.00","1,880.00","1,760.10","1,765.20","1,867.00","1,869.40","1,828.98","1,880.00","678.55","5,02,547","91,91,49,823.70","31,821"
"21-May-2025","EQ","1,743.70","1,774.90","1,722.40","1,728.60","1,759.90","1,765.20","1,754.61","1,800.00","678.55","1,12,584","19,75,41,430.50","9,982"
"20-May-2025","EQ","1,724.90","1,768.00","1,710.20","1,717.20","1,735.00","1,728.60","1,741.76","1,800.00","678.55","1,50,268","26,17,30,923.00","12,727"
"19-May-2025","EQ","1,750.00","1,800.00","1,655.00","1,755.70","1,722.60","1,717.20","1,721.34","1,800.00","678.55","5,24,564","90,29,54,073.10","35,989"
"16-May-2025","EQ","1,750.00","1,780.00","1,715.00","1,757.00","1,750.00","1,755.70","1,752.84","1,780.00","678.55","2,48,029","43,47,55,188.90","14,956"
"15-May-2025","EQ","1,731.00","1,770.00","1,700.00","1,713.80","1,757.90","1,757.00","1,743.19","1,770.00","678.55","3,52,692","61,48,10,407.70","20,211"
"14-May-2025","EQ","1,640.00","1,731.00","1,631.10","1,642.50","1,730.00","1,713.80","1,690.83","1,731.00","678.55","6,82,743","1,15,44,03,677.90","38,829"
"13-May-2025","EQ","1,555.00","1,650.00","1,555.00","1,544.70","1,641.00","1,642.50","1,625.74","1,650.00","678.55","6,95,134","1,13,01,08,971.10","44,421"
"12-May-2025","EQ","1,429.00","1,563.20","1,429.00","1,397.50","1,555.00","1,544.70","1,518.60","1,563.20","678.55","6,55,951","99,61,27,206.90","44,880"
"09-May-2025","EQ","1,393.50","1,405.70","1,361.00","1,407.30","1,395.50","1,397.50","1,387.72","1,548.95","678.55","76,025","10,55,01,275.50","9,591"
"08-May-2025","EQ","1,392.30","1,478.90","1,386.90","1,384.60","1,400.00","1,407.30","1,430.95","1,548.95","678.55","3,49,669","50,03,59,474.10","31,849"
"07-May-2025","EQ","1,373.80","1,388.40","1,350.00","1,367.00","1,386.00","1,384.60","1,374.64","1,548.95","678.55","1,12,589","15,47,69,386.10","10,627"
"06-May-2025","EQ","1,366.50","1,413.10","1,360.50","1,379.70","1,366.00","1,367.00","1,382.21","1,548.95","678.55","99,344","13,73,14,316.60","10,843"
"05-May-2025","EQ","1,369.10","1,395.00","1,351.50","1,367.40","1,375.50","1,379.70","1,375.55","1,548.95","678.55","64,393","8,85,75,587.30","8,563"
"02-May-2025","EQ","1,370.00","1,395.60","1,356.10","1,385.80","1,365.60","1,367.40","1,370.75","1,548.95","678.55","74,265","10,17,98,494.60","6,893"
"30-Apr-2025","EQ","1,396.40","1,396.40","1,359.90","1,396.50","1,386.90","1,385.80","1,380.45","1,548.95","678.55","60,606","8,36,63,276.90","6,019"
"29-Apr-2025","EQ","1,413.10","1,432.00","1,385.00","1,410.60","1,386.00","1,396.50","1,411.50","1,548.95","678.55","84,984","11,99,54,650.60","8,048"
"28-Apr-2025","EQ","1,437.00","1,466.90","1,403.00","1,421.80","1,411.00","1,410.60","1,426.40","1,548.95","678.55","1,74,250","24,85,49,922.50","16,697"
"25-Apr-2025","EQ","1,412.80","1,448.30","1,389.20","1,411.90","1,423.40","1,421.80","1,412.89","1,548.95","678.55","2,39,840","33,88,68,440.10","24,076"
"24-Apr-2025","EQ","1,411.50","1,440.00","1,404.80","1,421.40","1,413.60","1,411.90","1,421.88","1,548.95","678.55","59,381","8,44,32,741.00","7,056"
"23-Apr-2025","EQ","1,440.00","1,456.50","1,402.40","1,432.50","1,421.00","1,421.40","1,423.22","1,548.95","678.55","1,08,430","15,43,19,728.10","10,626"
"22-Apr-2025","EQ","1,425.30","1,465.00","1,408.20","1,425.70","1,438.00","1,432.50","1,439.96","1,548.95","678.55","1,17,984","16,98,92,775.00","10,598"
"21-Apr-2025","EQ","1,438.50","1,449.00","1,416.00","1,424.40","1,425.20","1,425.70","1,434.79","1,548.95","678.55","1,95,345","28,02,78,460.80","15,165"
"17-Apr-2025","EQ","1,356.00","1,433.90","1,353.50","1,358.50","1,425.50","1,424.40","1,407.57","1,548.95","678.55","2,61,723","36,83,92,793.50","22,971"
"16-Apr-2025","EQ","1,376.90","1,384.50","1,348.40","1,376.90","1,360.10","1,358.50","1,362.87","1,548.95","678.55","1,59,875","21,78,88,162.60","15,879"
