ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","923.05","950.90","920.00","923.05","931.00","933.00","934.89","1,011.75","607.00","3,84,674","35,96,29,121.55","19,368"
"12-Aug-2025","EQ","915.10","926.95","909.00","917.90","926.65","923.05","917.22","1,011.75","607.00","1,51,064","13,85,58,648.60","14,131"
"11-Aug-2025","EQ","933.00","940.00","908.00","931.45","915.75","917.90","918.13","1,011.75","607.00","1,53,461","14,08,96,728.00","13,722"
"08-Aug-2025","EQ","900.00","975.00","894.05","868.55","929.85","931.45","935.31","1,011.75","607.00","21,49,635","2,01,05,73,364.95","1,13,161"
"07-Aug-2025","EQ","913.50","917.90","864.70","908.75","865.00","868.55","884.45","1,011.75","607.00","1,67,687","14,83,11,123.15","16,561"
"06-Aug-2025","EQ","930.00","932.00","901.00","923.40","906.40","908.75","910.33","1,011.75","607.00","1,08,298","9,85,86,582.85","11,270"
"05-Aug-2025","EQ","924.00","929.55","905.90","914.25","924.00","923.40","920.88","1,011.75","607.00","1,24,529","11,46,76,696.45","15,256"
"04-Aug-2025","EQ","902.50","918.90","886.35","903.75","914.00","914.25","903.46","1,011.75","607.00","1,20,372","10,87,50,827.40","14,007"
"01-Aug-2025","EQ","919.60","933.70","895.00","916.90","897.15","903.75","908.09","1,011.75","607.00","2,31,954","21,06,34,042.20","15,150"
"31-Jul-2025","EQ","911.00","924.50","903.00","919.65","919.60","916.90","915.57","1,011.75","607.00","1,23,184","11,27,83,716.20","11,272"
"30-Jul-2025","EQ","910.90","925.35","907.00","910.90","925.35","919.65","916.65","1,011.75","607.00","95,698","8,77,21,116.25","11,032"
"29-Jul-2025","EQ","911.00","923.75","899.25","908.95","904.20","910.90","910.44","1,011.75","607.00","1,73,159","15,76,51,252.50","14,854"
"28-Jul-2025","EQ","934.95","937.90","898.80","935.05","911.00","908.95","914.76","1,011.75","607.00","2,16,947","19,84,54,174.85","17,223"
"25-Jul-2025","EQ","948.75","958.15","924.45","948.75","933.00","935.05","938.44","1,011.75","607.00","1,37,556","12,90,88,027.50","12,961"
"24-Jul-2025","EQ","959.70","967.95","942.80","959.70","951.70","948.75","952.10","1,011.75","607.00","92,621","8,81,84,611.90","9,139"
"23-Jul-2025","EQ","979.65","985.20","957.00","977.40","960.00","959.70","965.44","1,011.75","607.00","1,61,818","15,62,25,004.65","11,303"
"22-Jul-2025","EQ","1,009.95","1,011.00","975.00","1,002.10","977.50","977.40","986.54","1,011.75","607.00","1,72,690","17,03,66,378.90","20,949"
"21-Jul-2025","EQ","980.00","1,011.75","968.00","973.65","1,004.00","1,002.10","996.56","1,011.75","607.00","4,43,894","44,23,66,341.65","17,262"
"18-Jul-2025","EQ","973.00","979.90","956.05","972.25","977.00","973.65","967.76","982.30","607.00","1,26,274","12,22,02,998.65","8,075"
"17-Jul-2025","EQ","974.65","979.00","959.50","968.05","972.00","972.25","969.13","982.30","607.00","1,35,719","13,15,29,537.75","8,370"
"16-Jul-2025","EQ","957.00","982.30","951.30","957.10","965.50","968.05","970.54","982.30","607.00","3,34,945","32,50,78,867.85","20,372"
"15-Jul-2025","EQ","949.90","973.50","946.00","942.90","956.00","957.10","959.64","973.50","607.00","1,74,484","16,74,41,631.00","16,266"
"14-Jul-2025","EQ","962.00","963.70","938.65","961.60","947.00","942.90","947.91","967.45","607.00","1,13,642","10,77,22,555.50","10,486"
"11-Jul-2025","EQ","955.85","967.45","938.10","955.35","960.00","961.60","952.46","967.45","607.00","1,98,530","18,90,91,437.05","13,103"
"10-Jul-2025","EQ","937.65","966.00","937.65","937.65","955.00","955.35","953.98","966.00","607.00","5,77,762","55,11,74,322.10","31,092"
"09-Jul-2025","EQ","891.00","944.50","884.95","879.35","939.00","937.65","908.30","944.50","607.00","10,00,991","90,91,96,311.20","38,879"
"08-Jul-2025","EQ","886.00","886.00","847.55","882.05","880.00","879.35","854.29","938.00","607.00","70,49,477","6,02,23,26,824.50","37,013"
"07-Jul-2025","EQ","878.80","885.00","860.00","876.85","879.00","882.05","872.92","938.00","607.00","93,139","8,13,02,776.70","9,160"
"04-Jul-2025","EQ","876.00","891.85","868.30","876.15","876.95","876.85","880.33","938.00","607.00","1,22,983","10,82,65,234.00","9,099"
"03-Jul-2025","EQ","880.00","880.00","864.05","874.75","870.60","876.15","872.79","938.00","607.00","82,561","7,20,58,812.50","7,503"
"02-Jul-2025","EQ","878.00","880.10","863.75","869.70","879.95","874.75","870.28","938.00","607.00","1,07,625","9,36,64,315.20","8,318"
"01-Jul-2025","EQ","884.90","887.30","850.00","880.50","867.00","869.70","863.80","938.00","607.00","2,32,498","20,08,31,095.35","18,367"
"30-Jun-2025","EQ","885.55","887.00","872.45","877.40","880.00","880.50","880.54","938.00","607.00","1,75,142","15,42,19,321.55","10,416"
"27-Jun-2025","EQ","881.45","887.80","870.30","881.45","878.00","877.40","875.55","938.00","607.00","73,740","6,45,63,181.35","5,783"
"26-Jun-2025","EQ","876.15","889.95","867.65","876.15","883.00","881.45","878.01","938.00","607.00","65,847","5,78,14,011.25","4,869"
