ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,099.50","1,119.80","1,088.10","1,099.10","1,107.00","1,099.20","1,102.60","1,720.30","910.00","39,346","4,33,82,912.50","6,625"
"12-Aug-2025","EQ","1,079.10","1,115.00","1,079.10","1,078.80","1,101.20","1,099.10","1,101.75","1,720.30","910.00","48,159","5,30,59,408.20","6,960"
"11-Aug-2025","EQ","1,144.00","1,149.00","1,067.50","1,152.40","1,081.80","1,078.80","1,082.99","1,720.30","910.00","2,34,265","25,37,06,659.40","29,900"
"08-Aug-2025","EQ","1,185.00","1,205.30","1,138.70","1,210.10","1,148.00","1,152.40","1,179.77","1,720.30","910.00","77,510","9,14,43,850.10","11,252"
"07-Aug-2025","EQ","1,207.10","1,230.10","1,199.00","1,218.20","1,210.00","1,210.10","1,211.72","1,720.30","910.00","40,929","4,95,94,546.70","6,129"
"06-Aug-2025","EQ","1,202.00","1,229.00","1,184.60","1,205.00","1,215.00","1,218.20","1,209.41","1,720.30","910.00","40,733","4,92,63,000.40","6,147"
"05-Aug-2025","EQ","1,190.00","1,210.00","1,183.40","1,194.00","1,208.50","1,205.00","1,201.30","1,720.30","910.00","39,077","4,69,43,099.30","5,621"
"04-Aug-2025","EQ","1,210.60","1,210.60","1,165.00","1,204.60","1,196.00","1,194.00","1,190.87","1,720.30","910.00","36,060","4,29,42,774.60","6,786"
"01-Aug-2025","EQ","1,200.00","1,223.00","1,194.40","1,200.00","1,199.80","1,204.60","1,206.20","1,720.30","910.00","30,719","3,70,53,125.80","4,231"
"31-Jul-2025","EQ","1,178.20","1,205.80","1,155.00","1,202.80","1,200.10","1,200.00","1,193.40","1,720.30","910.00","28,528","3,40,45,418.60","5,278"
"30-Jul-2025","EQ","1,214.80","1,226.00","1,191.10","1,209.40","1,202.00","1,202.80","1,203.72","1,720.30","910.00","38,828","4,67,38,199.50","5,505"
"29-Jul-2025","EQ","1,142.40","1,236.40","1,140.00","1,142.40","1,206.00","1,209.40","1,190.99","1,720.30","910.00","88,629","10,55,55,936.30","14,083"
"28-Jul-2025","EQ","1,136.60","1,153.40","1,123.60","1,140.40","1,146.60","1,142.40","1,141.37","1,720.30","910.00","31,628","3,60,99,162.70","9,017"
"25-Jul-2025","EQ","1,171.20","1,176.00","1,130.10","1,180.10","1,142.00","1,140.40","1,145.89","1,720.30","910.00","76,555","8,77,23,367.10","13,851"
"24-Jul-2025","EQ","1,199.50","1,203.80","1,178.80","1,200.40","1,178.80","1,180.10","1,188.44","1,720.30","910.00","36,041","4,28,32,508.60","3,539"
"23-Jul-2025","EQ","1,202.00","1,205.00","1,199.60","1,200.10","1,200.00","1,200.40","1,200.28","1,720.30","910.00","24,152","2,89,89,079.30","2,356"
"22-Jul-2025","EQ","1,200.30","1,206.00","1,199.60","1,200.20","1,199.80","1,200.10","1,200.35","1,720.30","910.00","24,964","2,99,65,416.80","2,491"
"21-Jul-2025","EQ","1,201.10","1,209.00","1,199.50","1,201.10","1,199.90","1,200.20","1,200.61","1,720.30","910.00","33,714","4,04,77,501.30","2,877"
"18-Jul-2025","EQ","1,200.10","1,211.20","1,199.10","1,202.20","1,201.00","1,201.10","1,201.29","1,720.30","910.00","27,560","3,31,07,548.00","3,842"
"17-Jul-2025","EQ","1,205.70","1,206.90","1,200.00","1,200.30","1,200.50","1,202.20","1,202.52","1,720.30","910.00","13,991","1,68,24,420.40","2,505"
"16-Jul-2025","EQ","1,200.60","1,207.50","1,199.80","1,200.60","1,200.00","1,200.30","1,201.45","1,720.30","910.00","18,351","2,20,47,782.70","2,102"
"15-Jul-2025","EQ","1,200.50","1,217.70","1,195.10","1,200.50","1,205.00","1,200.60","1,204.02","1,720.30","910.00","24,009","2,89,07,386.20","3,778"
"14-Jul-2025","EQ","1,200.20","1,207.70","1,194.90","1,200.20","1,200.00","1,200.50","1,200.42","1,720.30","910.00","29,413","3,53,07,849.30","4,066"
"11-Jul-2025","EQ","1,193.00","1,208.50","1,193.00","1,200.20","1,200.00","1,200.20","1,202.07","1,720.30","910.00","30,530","3,66,99,164.20","3,533"
"10-Jul-2025","EQ","1,200.70","1,206.10","1,182.60","1,200.30","1,202.40","1,200.20","1,197.66","1,720.30","910.00","33,543","4,01,73,072.90","4,572"
"09-Jul-2025","EQ","1,201.00","1,211.60","1,199.80","1,200.30","1,200.00","1,200.30","1,202.13","1,720.30","910.00","25,435","3,05,76,238.30","3,074"
"08-Jul-2025","EQ","1,202.60","1,206.90","1,195.00","1,200.80","1,201.80","1,200.30","1,201.30","1,720.30","910.00","22,252","2,67,31,222.20","3,030"
"07-Jul-2025","EQ","1,216.60","1,216.60","1,199.70","1,199.50","1,200.00","1,200.80","1,203.23","1,720.30","910.00","36,885","4,43,81,104.70","4,214"
"04-Jul-2025","EQ","1,204.00","1,214.00","1,193.50","1,201.30","1,204.00","1,199.50","1,200.52","1,720.30","910.00","45,460","5,45,75,614.10","5,087"
"03-Jul-2025","EQ","1,190.00","1,207.90","1,184.70","1,193.70","1,204.00","1,201.30","1,200.80","1,720.30","910.00","62,955","7,55,96,344.60","6,283"
"02-Jul-2025","EQ","1,186.50","1,199.50","1,179.70","1,180.50","1,192.90","1,193.70","1,187.33","1,720.30","910.00","46,165","5,48,12,897.50","4,885"
"01-Jul-2025","EQ","1,173.80","1,189.10","1,159.20","1,162.20","1,180.00","1,180.50","1,177.00","1,720.30","910.00","65,857","7,75,13,969.90","8,742"
"30-Jun-2025","EQ","1,161.00","1,184.40","1,155.00","1,161.10","1,162.50","1,162.20","1,167.47","1,720.30","910.00","53,904","6,29,31,258.10","6,573"
