ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","5,886.00","5,993.00","5,886.00","5,927.50","5,963.00","5,969.50","5,966.57","6,018.00","3,780.00","5,10,227","3,04,43,05,831.00","65,568"
"12-Aug-2025","EQ","5,825.00","5,962.50","5,824.00","5,878.50","5,922.00","5,927.50","5,929.50","6,018.00","3,780.00","8,83,247","5,23,72,13,023.50","78,872"
"11-Aug-2025","EQ","5,742.00","5,905.00","5,734.50","5,769.50","5,867.50","5,878.50","5,871.01","6,018.00","3,780.00","7,99,984","4,69,67,16,504.00","60,289"
"08-Aug-2025","EQ","5,848.50","5,865.00","5,761.00","5,859.00","5,774.00","5,769.50","5,806.27","6,018.00","3,780.00","3,45,649","2,00,69,30,089.50","37,935"
"07-Aug-2025","EQ","5,893.50","5,907.00","5,793.50","5,893.50","5,884.00","5,859.00","5,849.52","6,018.00","3,780.00","4,83,125","2,82,60,47,752.00","50,167"
"06-Aug-2025","EQ","5,800.00","5,916.00","5,781.50","5,781.50","5,871.00","5,893.50","5,876.78","6,018.00","3,780.00","9,80,678","5,76,32,25,819.00","1,03,516"
"05-Aug-2025","EQ","5,765.50","5,802.00","5,706.00","5,780.50","5,766.00","5,781.50","5,757.67","6,018.00","3,780.00","9,29,923","5,35,41,87,394.50","89,749"
"04-Aug-2025","EQ","5,800.00","5,817.00","5,742.00","5,788.50","5,770.50","5,780.50","5,778.99","6,018.00","3,780.00","5,45,636","3,15,32,23,428.50","48,546"
"01-Aug-2025","EQ","5,870.00","5,913.50","5,780.50","5,910.50","5,789.50","5,788.50","5,824.50","6,018.00","3,780.00","5,23,408","3,04,85,89,568.50","49,847"
"31-Jul-2025","EQ","5,625.00","5,930.50","5,606.50","5,740.00","5,895.50","5,910.50","5,842.13","6,018.00","3,780.00","25,72,409","15,02,83,51,914.00","1,81,042"
"30-Jul-2025","EQ","5,800.00","5,805.50","5,698.00","5,756.00","5,717.50","5,740.00","5,738.73","6,018.00","3,780.00","12,17,558","6,98,72,33,800.50","90,778"
"29-Jul-2025","EQ","5,725.50","5,795.00","5,703.00","5,762.00","5,765.00","5,756.00","5,753.37","6,018.00","3,780.00","6,34,249","3,64,90,71,989.50","66,575"
"28-Jul-2025","EQ","5,771.00","5,870.50","5,745.00","5,803.00","5,756.50","5,762.00","5,794.34","6,018.00","3,780.00","5,06,105","2,93,25,43,451.00","53,767"
"25-Jul-2025","EQ","5,815.00","5,857.00","5,760.50","5,844.00","5,785.00","5,803.00","5,797.89","6,018.00","3,780.00","8,77,612","5,08,82,96,261.50","68,534"
"24-Jul-2025","EQ","5,840.00","5,933.00","5,825.50","5,897.00","5,838.50","5,844.00","5,871.93","6,018.00","3,780.00","3,43,255","2,01,55,69,100.00","46,306"
"23-Jul-2025","EQ","5,925.00","5,957.00","5,815.00","5,948.00","5,900.00","5,897.00","5,873.24","6,018.00","3,780.00","5,85,120","3,43,65,47,997.00","66,258"
"22-Jul-2025","EQ","5,900.00","5,959.50","5,871.00","5,878.00","5,957.00","5,948.00","5,923.66","6,018.00","3,780.00","5,14,262","3,04,63,15,233.50","71,408"
"21-Jul-2025","EQ","5,900.00","5,910.00","5,820.00","5,861.00","5,890.00","5,878.00","5,873.71","6,018.00","3,780.00","4,91,974","2,88,97,11,995.50","52,386"
