ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","3,647.30","3,689.90","3,583.60","3,647.30","3,600.00","3,602.20","3,614.04","4,694.00","3,055.00","11,854","4,28,40,803.90","2,843"
"11-Aug-2025","EQ","3,590.20","3,658.30","3,562.20","3,608.20","3,641.00","3,647.30","3,614.79","4,694.00","3,055.00","4,337","1,56,77,333.30","1,689"
"08-Aug-2025","EQ","3,640.00","3,692.60","3,580.00","3,638.30","3,602.10","3,608.20","3,617.72","4,694.00","3,055.00","10,103","3,65,49,799.80","3,297"
"07-Aug-2025","EQ","3,675.10","3,709.00","3,610.50","3,709.90","3,650.00","3,638.30","3,648.47","4,694.00","3,055.00","12,349","4,50,54,955.00","3,208"
"06-Aug-2025","EQ","3,771.90","3,771.90","3,700.00","3,772.00","3,703.00","3,709.90","3,720.24","4,694.00","3,055.00","7,166","2,66,59,234.70","2,392"
"05-Aug-2025","EQ","3,731.40","3,817.60","3,731.40","3,761.20","3,755.30","3,772.00","3,767.69","4,694.00","3,055.00","5,931","2,23,46,188.90","2,751"
"04-Aug-2025","EQ","3,789.40","3,796.20","3,714.10","3,773.70","3,755.00","3,761.20","3,762.75","4,694.00","3,055.00","11,281","4,24,47,554.90","3,755"
"01-Aug-2025","EQ","3,867.00","3,896.30","3,734.10","3,863.80","3,789.40","3,773.70","3,808.00","4,694.00","3,055.00","10,544","4,01,51,580.90","2,268"
"31-Jul-2025","EQ","3,899.90","3,920.70","3,850.00","3,922.70","3,866.50","3,863.80","3,879.36","4,694.00","3,055.00","6,869","2,66,47,316.40","1,800"
"30-Jul-2025","EQ","3,887.50","3,970.20","3,870.70","3,887.50","3,930.00","3,922.70","3,924.76","4,694.00","3,055.00","10,312","4,04,72,083.80","2,591"
"29-Jul-2025","EQ","3,860.00","3,980.00","3,803.60","3,839.80","3,900.60","3,887.50","3,850.87","4,694.00","3,055.00","7,011","2,69,98,439.90","2,104"
"28-Jul-2025","EQ","3,960.00","4,009.80","3,780.00","3,971.40","3,850.00","3,839.80","3,875.49","4,694.00","3,055.00","23,036","8,92,75,787.80","3,897"
"25-Jul-2025","EQ","4,051.00","4,059.60","3,960.00","4,076.30","3,979.00","3,971.40","4,000.21","4,694.00","3,055.00","7,529","3,01,17,564.90","1,947"
"24-Jul-2025","EQ","4,098.00","4,131.00","4,062.10","4,071.30","4,062.10","4,076.30","4,082.03","4,694.00","3,055.00","6,372","2,60,10,693.30","2,023"
"23-Jul-2025","EQ","4,063.50","4,121.30","4,044.10","4,063.50","4,075.00","4,071.30","4,078.67","4,694.00","3,055.00","9,617","3,92,24,521.60","2,810"
"22-Jul-2025","EQ","4,097.90","4,153.60","4,038.10","4,097.90","4,053.90","4,063.50","4,073.72","4,694.00","3,055.00","6,795","2,76,80,935.40","1,579"
"21-Jul-2025","EQ","4,153.00","4,153.00","4,086.60","4,153.50","4,100.00","4,097.90","4,106.72","4,694.00","3,055.00","5,583","2,29,27,845.10","1,416"
"18-Jul-2025","EQ","4,242.40","4,265.80","4,132.80","4,242.40","4,141.00","4,153.50","4,169.73","4,694.00","3,055.00","12,385","5,16,42,067.40","3,215"
"17-Jul-2025","EQ","4,194.00","4,272.10","4,194.00","4,151.30","4,240.00","4,242.40","4,243.91","4,694.00","3,055.00","22,580","9,58,27,383.90","3,475"
"16-Jul-2025","EQ","4,237.00","4,267.10","4,135.00","4,238.90","4,140.50","4,151.30","4,178.87","4,694.00","3,055.00","12,818","5,35,64,751.90","2,962"
"15-Jul-2025","EQ","4,202.40","4,272.00","4,146.00","4,202.40","4,228.00","4,238.90","4,224.28","4,694.00","3,055.00","13,403","5,66,18,040.10","3,117"
"14-Jul-2025","EQ","4,199.90","4,282.00","4,120.00","4,160.70","4,181.00","4,202.40","4,205.12","4,694.00","3,055.00","24,621","10,35,34,334.00","5,331"
"11-Jul-2025","EQ","4,178.50","4,208.90","4,096.00","4,178.90","4,160.00","4,160.70","4,161.59","4,694.00","3,055.00","18,764","7,80,88,113.90","4,352"
"10-Jul-2025","EQ","4,058.00","4,209.00","4,038.00","4,059.20","4,141.00","4,178.90","4,157.43","4,694.00","3,055.00","36,367","15,11,93,205.30","8,187"
"09-Jul-2025","EQ","4,069.90","4,087.90","4,019.10","4,044.50","4,064.00","4,059.20","4,050.03","4,694.00","3,055.00","10,498","4,25,17,210.90","2,905"
"08-Jul-2025","EQ","4,069.60","4,069.70","4,001.60","4,049.40","4,044.90","4,044.50","4,035.97","4,694.00","3,055.00","9,481","3,82,65,051.10","2,670"
"07-Jul-2025","EQ","4,075.00","4,120.30","4,015.00","4,045.20","4,074.00","4,049.40","4,053.85","4,694.00","3,055.00","15,818","6,41,23,842.70","4,663"
"04-Jul-2025","EQ","3,954.00","4,070.00","3,920.50","3,951.60","4,050.90","4,045.20","4,009.52","4,694.00","3,055.00","17,094","6,85,38,721.80","4,254"
"03-Jul-2025","EQ","3,863.00","4,080.80","3,838.10","3,863.00","3,945.00","3,951.60","3,984.71","4,694.00","3,055.00","28,648","11,41,54,037.20","6,680"
"02-Jul-2025","EQ","3,867.30","3,898.80","3,805.00","3,829.00","3,870.00","3,863.00","3,849.41","4,694.00","3,055.00","10,409","4,00,68,542.70","3,101"
"01-Jul-2025","EQ","3,880.00","3,915.90","3,811.10","3,875.00","3,830.00","3,829.00","3,856.39","4,694.00","3,055.00","11,269","4,34,57,626.30","3,469"
"30-Jun-2025","EQ","3,801.00","3,890.00","3,801.00","3,801.00","3,870.00","3,875.00","3,855.11","4,694.00","3,055.00","9,301","3,58,56,418.90","2,426"
"27-Jun-2025","EQ","3,838.00","3,848.30","3,787.20","3,802.40","3,799.00","3,801.00","3,813.38","4,848.55","3,055.00","6,201","2,36,46,755.00","1,934"
"26-Jun-2025","EQ","3,772.50","3,825.00","3,765.00","3,790.90","3,822.00","3,802.40","3,796.23","4,848.55","3,055.00","6,221","2,36,16,371.00","2,175"
"25-Jun-2025","EQ","3,755.00","3,810.00","3,750.10","3,748.90","3,800.00","3,790.90","3,784.91","4,848.55","3,055.00","5,954","2,25,35,363.90","1,731"
"24-Jun-2025","EQ","3,776.00","3,804.30","3,740.50","3,761.50","3,750.00","3,748.90","3,777.39","4,848.55","3,055.00","5,713","2,15,80,239.40","1,634"
"23-Jun-2025","EQ","3,747.00","3,770.00","3,705.10","3,752.20","3,760.10","3,761.50","3,744.94","4,848.55","3,055.00","6,683","2,50,27,432.80","2,404"
"20-Jun-2025","EQ","3,702.00","3,774.20","3,660.00","3,746.20","3,750.00","3,752.20","3,722.98","4,980.00","3,055.00","16,596","6,17,86,658.00","3,320"
"19-Jun-2025","EQ","3,835.00","3,889.30","3,721.10","3,874.60","3,722.00","3,746.20","3,806.52","4,980.00","3,055.00","10,694","4,07,06,891.20","2,565"
