ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","141.45","142.08","137.70","140.76","138.30","137.96","139.04","261.90","130.32","46,52,786","64,69,39,356.85","40,584"
"12-Aug-2025","EQ","142.45","142.50","139.41","141.71","140.99","140.76","140.51","261.90","130.32","97,69,604","1,37,27,60,815.77","38,069"
"11-Aug-2025","EQ","140.29","142.44","139.06","139.72","141.95","141.71","141.01","261.90","130.32","41,09,434","57,94,79,859.28","38,223"
"08-Aug-2025","EQ","145.60","146.54","139.11","145.64","140.26","139.72","142.51","261.90","130.32","46,81,160","66,71,03,123.64","41,809"
"07-Aug-2025","EQ","145.31","146.74","142.40","147.11","146.17","145.64","144.95","261.90","130.32","43,66,735","63,29,50,441.92","35,913"
"06-Aug-2025","EQ","150.81","151.00","146.75","151.38","147.15","147.11","147.82","261.90","130.32","45,67,427","67,51,46,353.15","37,997"
"05-Aug-2025","EQ","152.59","153.79","150.69","153.31","151.40","151.38","151.60","261.90","130.32","27,06,707","41,03,48,185.49","21,920"
"04-Aug-2025","EQ","152.50","154.00","151.03","151.76","153.45","153.31","152.70","261.90","130.32","36,14,524","55,19,32,340.31","25,741"
"01-Aug-2025","EQ","151.98","156.00","151.15","150.74","152.10","151.76","153.81","261.90","130.32","84,89,038","1,30,57,21,661.93","45,808"
"31-Jul-2025","EQ","152.20","154.19","150.20","156.15","150.60","150.74","152.35","261.90","130.32","53,40,070","81,35,84,958.91","38,321"
"30-Jul-2025","EQ","156.30","157.45","154.16","156.30","155.80","156.15","155.88","261.90","130.32","51,71,661","80,61,38,590.28","35,633"
"29-Jul-2025","EQ","155.00","156.85","152.21","157.25","156.55","156.30","154.55","261.90","130.32","72,98,096","1,12,79,37,992.81","62,002"
"28-Jul-2025","EQ","158.70","163.00","155.90","158.52","156.85","157.25","158.98","261.90","130.32","84,01,471","1,33,56,94,167.55","54,613"
"25-Jul-2025","EQ","161.76","162.60","157.45","161.77","157.52","158.52","159.42","261.90","130.32","75,99,963","1,21,15,86,623.99","46,551"
"24-Jul-2025","EQ","166.55","166.70","160.70","165.74","161.76","161.77","162.80","261.90","130.32","72,72,678","1,18,40,05,034.08","50,234"
"23-Jul-2025","EQ","167.00","167.21","164.50","165.53","165.94","165.74","165.60","261.90","130.32","30,64,654","50,74,99,143.82","27,940"
"22-Jul-2025","EQ","166.85","167.69","164.65","166.85","165.70","165.53","165.74","261.90","130.32","29,01,108","48,08,29,037.90","24,082"
"21-Jul-2025","EQ","164.25","167.31","162.50","164.58","166.92","166.85","165.74","261.90","130.32","45,81,486","75,93,15,377.81","30,852"
"18-Jul-2025","EQ","167.40","167.93","163.86","167.18","164.25","164.58","164.95","261.90","130.32","57,01,825","94,04,87,984.27","36,437"
"17-Jul-2025","EQ","167.40","169.30","166.13","166.46","166.80","167.18","167.86","261.90","130.32","82,23,215","1,38,03,87,000.84","42,572"
"16-Jul-2025","EQ","165.70","167.34","160.58","164.75","167.15","166.46","163.97","261.90","130.32","1,65,62,550","2,71,57,65,405.36","92,851"
"15-Jul-2025","EQ","176.63","177.33","163.80","176.55","164.99","164.75","168.42","261.90","130.32","1,52,13,497","2,56,22,81,673.79","1,06,634"
"14-Jul-2025","EQ","176.60","177.79","174.01","176.23","176.50","176.55","175.72","261.90","130.32","36,55,473","64,23,27,510.28","28,264"
"11-Jul-2025","EQ","177.99","178.69","175.10","178.74","175.69","176.23","176.47","261.90","130.32","27,49,440","48,51,87,568.19","20,545"
"10-Jul-2025","EQ","177.19","180.31","176.22","176.83","178.99","178.74","178.69","261.90","130.32","44,38,467","79,31,15,443.42","29,182"
"09-Jul-2025","EQ","176.98","177.65","175.07","176.78","176.50","176.83","176.49","261.90","130.32","29,94,315","52,84,61,614.06","20,349"
"08-Jul-2025","EQ","176.20","177.86","174.43","176.30","176.98","176.78","176.03","261.90","130.32","24,96,566","43,94,77,482.00","19,433"
"07-Jul-2025","EQ","179.98","180.00","175.60","179.98","176.49","176.30","177.38","261.90","130.32","34,22,942","60,71,58,745.28","27,314"
"04-Jul-2025","EQ","177.00","181.00","176.00","176.64","180.06","179.98","179.43","261.90","130.32","84,82,468","1,52,19,73,960.51","49,584"
"03-Jul-2025","EQ","178.10","178.40","174.80","176.90","176.30","176.64","176.59","261.90","130.32","43,32,629","76,50,97,363.41","28,008"
"02-Jul-2025","EQ","174.50","179.00","174.50","172.97","177.40","176.90","176.34","261.90","130.32","1,36,98,561","2,41,56,69,894.17","72,366"
"01-Jul-2025","EQ","175.90","175.95","171.55","175.34","173.40","172.97","173.45","261.90","130.32","32,31,771","56,05,39,075.30","21,061"
"30-Jun-2025","EQ","176.64","177.40","174.30","175.78","175.90","175.34","175.54","261.90","130.32","33,30,464","58,46,40,283.88","23,185"
"27-Jun-2025","EQ","174.00","176.40","173.02","173.89","176.00","175.78","175.23","261.90","130.32","53,12,228","93,08,83,115.66","33,210"
"26-Jun-2025","EQ","175.51","176.26","172.80","175.36","173.68","173.89","173.87","261.90","130.32","46,82,207","81,41,05,323.94","45,550"
"25-Jun-2025","EQ","174.75","177.25","174.43","173.88","175.50","175.36","175.88","261.90","130.32","62,28,131","1,09,54,13,327.99","45,115"
"24-Jun-2025","EQ","172.00","176.25","172.00","169.80","174.00","173.88","174.36","261.90","130.32","78,03,727","1,36,06,45,408.70","44,259"
