ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","445.15","452.60","437.00","448.40","439.95","439.65","444.47","744.20","405.00","96,289","4,27,97,399.45","9,420"
"11-Aug-2025","EQ","455.00","459.00","446.65","451.55","448.00","448.40","450.48","744.20","405.00","99,178","4,46,77,801.85","9,352"
"08-Aug-2025","EQ","460.75","460.75","449.15","457.85","456.35","451.55","454.55","744.20","405.00","80,786","3,67,21,297.95","6,604"
"07-Aug-2025","EQ","448.00","459.95","445.80","451.60","459.50","457.85","454.39","744.20","405.00","1,94,495","8,83,76,086.80","15,306"
"06-Aug-2025","EQ","461.00","464.00","451.00","461.10","452.50","451.60","454.70","744.20","405.00","1,00,057","4,54,96,133.20","8,593"
"05-Aug-2025","EQ","464.95","469.75","459.40","465.05","460.50","461.10","463.27","744.20","405.00","79,322","3,67,47,860.15","8,323"
"04-Aug-2025","EQ","459.95","467.55","452.00","456.80","462.20","465.05","460.12","744.20","405.00","1,13,112","5,20,45,215.65","10,960"
"01-Aug-2025","EQ","466.55","469.30","453.10","465.20","458.75","456.80","460.93","746.85","405.00","1,88,639","8,69,49,570.05","15,205"
"31-Jul-2025","EQ","464.50","473.90","463.50","476.90","466.00","465.20","467.30","746.85","405.00","2,12,208","9,91,64,808.00","16,104"
"30-Jul-2025","EQ","461.80","481.90","459.75","459.75","479.70","476.90","474.38","746.85","405.00","4,12,947","19,58,95,037.75","20,568"
"29-Jul-2025","EQ","459.05","465.00","455.35","460.00","463.30","459.75","460.45","746.85","405.00","1,77,620","8,17,85,098.60","14,652"
"28-Jul-2025","EQ","461.00","469.50","458.00","466.30","459.00","460.00","462.75","746.85","405.00","1,85,688","8,59,26,997.50","14,354"
"25-Jul-2025","EQ","476.75","478.00","462.00","476.65","469.20","466.30","467.44","768.40","405.00","2,93,723","13,72,97,242.90","17,770"
"24-Jul-2025","EQ","484.20","489.00","475.00","487.25","478.00","476.65","480.40","768.40","405.00","3,48,868","16,75,95,166.30","23,171"
"23-Jul-2025","EQ","520.60","530.00","475.00","540.85","489.00","487.25","487.01","768.40","405.00","25,30,951","1,23,26,10,027.45","95,013"
"22-Jul-2025","EQ","547.00","552.00","538.45","546.90","540.05","540.85","545.81","768.40","405.00","1,21,637","6,63,91,011.05","6,851"
"21-Jul-2025","EQ","548.25","551.90","543.05","548.45","547.00","546.90","548.80","768.40","405.00","80,503","4,41,80,396.70","8,645"
"18-Jul-2025","EQ","558.00","564.05","546.95","557.65","548.95","548.45","553.75","768.40","405.00","1,23,042","6,81,34,788.30","10,366"
"17-Jul-2025","EQ","571.00","580.75","556.00","567.90","557.60","557.65","568.71","768.40","405.00","2,45,299","13,95,02,871.75","17,147"
"16-Jul-2025","EQ","561.00","579.15","561.00","560.30","568.50","567.90","570.71","768.40","405.00","2,30,845","13,17,44,615.30","20,483"
"15-Jul-2025","EQ","560.20","568.75","558.80","560.20","560.00","560.30","561.66","768.40","405.00","72,973","4,09,86,273.75","10,019"
"14-Jul-2025","EQ","541.05","569.60","540.00","545.30","560.10","560.20","557.88","768.40","405.00","2,09,270","11,67,47,774.10","14,203"
"11-Jul-2025","EQ","540.10","548.90","538.40","541.55","542.70","545.30","545.83","768.40","405.00","74,812","4,08,34,662.70","6,207"
"10-Jul-2025","EQ","542.05","548.00","539.50","542.65","540.85","541.55","544.31","768.40","405.00","1,03,736","5,64,64,428.95","9,746"
"09-Jul-2025","EQ","542.80","548.85","540.00","543.55","544.55","542.65","545.14","768.40","405.00","97,464","5,31,31,435.95","7,164"
"08-Jul-2025","EQ","549.80","551.20","541.00","547.80","541.15","543.55","545.21","768.40","405.00","85,202","4,64,53,026.50","5,683"
"07-Jul-2025","EQ","541.25","549.00","537.65","543.65","547.00","547.80","545.96","768.40","405.00","97,178","5,30,55,402.95","8,103"
"04-Jul-2025","EQ","544.35","551.00","542.15","545.60","543.20","543.65","546.42","768.40","405.00","74,814","4,08,80,119.40","6,155"
"03-Jul-2025","EQ","547.50","549.90","540.50","543.10","544.30","545.60","546.03","768.40","405.00","1,10,972","6,05,93,875.05","6,687"
"02-Jul-2025","EQ","542.50","548.00","539.95","542.15","548.00","543.10","544.39","768.40","405.00","1,45,800","7,93,71,623.40","9,221"
"01-Jul-2025","EQ","543.30","547.70","536.45","543.20","543.05","542.15","542.75","768.40","405.00","1,58,822","8,62,01,257.20","10,214"
"30-Jun-2025","EQ","535.05","546.45","532.00","535.00","544.95","543.20","541.82","768.40","405.00","1,63,580","8,86,31,594.10","8,155"
"27-Jun-2025","EQ","532.00","540.00","531.05","530.65","536.00","535.00","536.83","768.40","405.00","89,530","4,80,62,601.75","7,611"
"26-Jun-2025","EQ","533.05","544.40","528.70","532.75","532.00","530.65","536.45","768.40","405.00","2,64,153","14,17,05,417.65","11,664"
"25-Jun-2025","EQ","524.85","542.10","523.00","520.90","532.10","532.75","534.60","768.40","405.00","2,69,949","14,43,14,708.95","16,208"
"24-Jun-2025","EQ","533.95","533.95","519.00","524.50","522.50","520.90","525.52","768.40","405.00","2,18,241","11,46,88,946.65","16,001"
"23-Jun-2025","EQ","506.90","531.60","505.25","511.60","525.00","524.50","523.77","768.40","405.00","2,48,165","12,99,81,947.30","16,044"
"20-Jun-2025","EQ","511.00","525.00","505.10","511.45","511.00","511.60","513.85","768.40","405.00","3,45,832","17,77,05,768.65","28,751"
