ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","168.00","169.20","166.70","168.50","167.35","167.14","167.64","277.00","134.24","15,08,311","25,28,53,081.70","20,870"
"11-Aug-2025","EQ","164.50","169.50","162.80","164.68","168.50","168.50","167.07","277.00","134.24","29,14,190","48,68,85,738.31","39,158"
"08-Aug-2025","EQ","167.97","169.17","163.80","167.71","164.50","164.68","166.70","283.50","134.24","20,59,914","34,33,87,741.64","28,653"
"07-Aug-2025","EQ","164.96","168.50","164.00","171.78","168.44","167.71","166.51","283.50","134.24","53,05,071","88,33,40,853.32","61,618"
"06-Aug-2025","EQ","176.00","176.83","171.00","175.11","171.50","171.78","173.38","283.50","134.24","17,47,614","30,30,01,322.15","27,990"
"05-Aug-2025","EQ","178.17","180.29","174.47","177.96","175.20","175.11","177.64","283.50","134.24","20,58,983","36,57,66,095.65","24,016"
"04-Aug-2025","EQ","175.64","178.72","173.74","174.34","178.71","177.96","175.89","283.50","134.24","22,28,916","39,20,52,632.21","28,649"
"01-Aug-2025","EQ","177.94","178.59","174.00","177.36","174.15","174.34","176.05","302.40","134.24","17,91,232","31,53,40,948.58","25,870"
"31-Jul-2025","EQ","176.05","179.50","175.04","179.55","177.00","177.36","177.92","302.40","134.24","17,22,952","30,65,49,659.99","21,797"
"30-Jul-2025","EQ","181.01","182.89","179.04","180.96","179.60","179.55","180.46","302.40","134.24","13,96,809","25,20,67,872.22","19,159"
"29-Jul-2025","EQ","175.40","182.60","174.08","176.11","182.45","180.96","177.94","302.40","134.24","29,42,156","52,35,39,482.17","33,546"
"28-Jul-2025","EQ","180.48","182.25","175.11","181.25","176.00","176.11","178.72","302.40","134.24","26,79,010","47,87,80,485.29","37,160"
"25-Jul-2025","EQ","186.10","186.25","180.16","186.64","181.40","181.25","183.12","327.95","134.24","22,34,713","40,92,14,938.58","31,955"
"24-Jul-2025","EQ","188.42","188.99","186.10","187.61","186.75","186.64","187.43","327.95","134.24","19,65,976","36,84,83,076.49","19,720"
"23-Jul-2025","EQ","188.50","188.95","186.01","188.13","188.01","187.61","187.46","327.95","134.24","23,77,455","44,56,81,785.66","25,097"
"22-Jul-2025","EQ","191.38","191.58","187.50","190.78","187.60","188.13","189.26","327.95","134.24","26,02,140","49,24,85,234.28","24,562"
"21-Jul-2025","EQ","191.99","195.25","190.00","186.90","190.50","190.78","191.98","327.95","134.24","1,27,78,152","2,45,30,95,306.31","81,937"
"18-Jul-2025","EQ","190.49","190.64","186.20","189.78","186.74","186.90","188.07","351.60","134.24","19,56,331","36,79,19,350.85","26,740"
"17-Jul-2025","EQ","191.38","192.08","189.49","191.21","190.00","189.78","190.33","351.60","134.24","22,57,524","42,96,70,142.03","21,059"
"16-Jul-2025","EQ","192.50","193.81","190.11","192.17","191.20","191.21","191.54","351.60","134.24","31,58,926","60,50,49,999.96","29,965"
"15-Jul-2025","EQ","191.92","195.23","191.15","191.07","192.35","192.17","192.56","351.60","134.24","28,33,675","54,56,59,299.81","26,932"
"14-Jul-2025","EQ","191.45","192.10","189.80","191.20","191.00","191.07","190.91","351.60","134.24","22,49,697","42,94,98,837.47","24,448"
"11-Jul-2025","EQ","192.81","194.00","190.50","193.58","191.00","191.20","192.07","351.60","134.24","23,12,522","44,41,59,342.60","23,835"
"10-Jul-2025","EQ","194.45","197.80","192.80","194.27","193.49","193.58","194.93","351.60","134.24","29,66,014","57,81,60,529.45","29,665"
"09-Jul-2025","EQ","194.76","198.00","193.83","194.76","194.00","194.27","195.39","351.60","134.24","30,26,871","59,14,08,860.45","25,923"
"08-Jul-2025","EQ","196.00","197.07","192.70","195.98","195.00","194.76","194.83","351.60","134.24","28,48,853","55,50,56,208.34","27,919"
"07-Jul-2025","EQ","198.45","200.15","195.20","199.55","195.49","195.98","197.54","351.60","134.24","27,86,661","55,04,82,380.68","27,628"
"04-Jul-2025","EQ","199.20","200.80","197.40","199.15","199.40","199.55","199.02","351.60","134.24","26,34,568","52,43,39,371.59","25,808"
"03-Jul-2025","EQ","202.29","202.29","198.00","201.17","199.30","199.15","199.86","351.60","134.24","37,65,187","75,25,22,411.86","33,664"
"02-Jul-2025","EQ","204.00","205.17","200.25","203.65","200.71","201.17","201.99","351.60","134.24","32,99,849","66,65,40,340.58","28,331"
"01-Jul-2025","EQ","203.88","205.67","201.00","202.94","204.00","203.65","203.22","351.60","134.24","35,91,075","72,97,80,329.71","28,464"
"30-Jun-2025","EQ","205.00","207.50","202.35","204.39","202.90","202.94","204.05","351.60","134.24","38,87,950","79,33,40,181.35","32,266"
"27-Jun-2025","EQ","204.17","207.79","202.58","202.99","204.10","204.39","204.67","351.60","134.24","56,42,193","1,15,48,02,102.42","39,680"
"26-Jun-2025","EQ","204.31","207.00","201.41","203.29","202.99","202.99","203.67","351.60","134.24","45,13,409","91,92,44,875.28","35,076"
"25-Jun-2025","EQ","202.50","205.10","201.00","200.88","203.15","203.29","203.05","351.60","134.24","55,75,308","1,13,20,91,095.83","38,366"
"24-Jun-2025","EQ","199.00","205.69","199.00","196.34","201.00","200.88","202.16","351.60","134.24","1,05,37,800","2,13,03,21,805.73","69,734"
"23-Jun-2025","EQ","196.36","198.10","194.26","197.35","196.11","196.34","196.16","351.60","134.24","51,61,281","1,01,24,53,554.27","47,392"
"20-Jun-2025","EQ","190.30","199.40","189.42","190.52","199.30","197.35","194.91","351.60","134.24","1,08,82,131","2,12,10,16,850.82","73,417"
"19-Jun-2025","EQ","196.75","199.16","189.28","197.40","189.64","190.52","193.15","351.60","134.24","81,79,894","1,57,99,67,107.57","60,602"
"18-Jun-2025","EQ","199.00","203.35","196.50","199.63","196.70","197.40","199.55","351.60","134.24","63,42,877","1,26,57,21,382.48","52,186"
"17-Jun-2025","EQ","205.00","208.20","198.50","205.02","199.10","199.63","202.79","351.60","134.24","57,41,722","1,16,43,85,206.27","47,853"
"16-Jun-2025","EQ","202.99","205.89","195.51","202.36","205.42","205.02","201.35","351.60","134.24","72,09,777","1,45,17,06,104.99","67,175"
"13-Jun-2025","EQ","198.10","206.74","198.10","206.45","202.99","202.36","202.29","351.60","134.24","93,56,337","1,89,26,78,933.16","71,749"
"12-Jun-2025","EQ","216.35","219.55","204.24","215.84","206.91","206.45","210.55","351.60","134.24","1,25,92,598","2,65,13,85,219.21","87,778"
"11-Jun-2025","EQ","216.46","220.49","213.00","215.74","215.47","215.84","217.05","351.60","134.24","1,29,94,055","2,82,03,53,530.76","90,296"
"10-Jun-2025","EQ","219.38","222.50","214.50","218.04","215.25","215.74","216.99","351.60","134.24","93,12,927","2,02,08,04,748.88","62,162"
"09-Jun-2025","EQ","220.00","224.80","216.50","218.52","217.70","218.04","219.52","351.60","134.24","1,61,26,909","3,54,02,02,274.29","1,04,820"
"06-Jun-2025","EQ","218.15","221.50","212.40","218.15","218.05","218.52","216.48","351.60","134.24","1,58,93,993","3,44,07,09,584.46","1,11,557"
"05-Jun-2025","EQ","221.89","225.52","216.60","220.46","217.70","218.15","220.31","351.60","134.24","3,35,94,108","7,40,10,29,260.32","1,97,084"
"04-Jun-2025","EQ","193.99","223.75","190.50","193.94","221.10","220.46","215.58","351.60","134.24","10,15,51,576","21,89,24,78,340.67","5,02,815"
"03-Jun-2025","EQ","195.77","197.45","191.55","194.87","193.75","193.94","194.45","351.60","134.24","70,42,259","1,36,93,58,326.92","55,439"
"02-Jun-2025","EQ","194.00","198.00","192.51","190.91","194.20","194.87","194.65","351.60","134.24","1,20,83,354","2,35,20,24,710.17","85,898"
"30-May-2025","EQ","194.00","196.50","189.31","192.95","190.35","190.91","192.04","351.60","134.24","57,04,524","1,09,54,90,262.72","46,833"
"29-May-2025","EQ","192.00","196.15","188.50","191.18","193.40","192.95","192.50","351.60","134.24","93,52,833","1,80,04,30,699.61","66,763"
"28-May-2025","EQ","191.00","194.60","190.26","189.06","190.60","191.18","191.90","351.60","134.24","73,72,487","1,41,47,95,376.30","49,486"
"27-May-2025","EQ","188.50","190.80","185.20","187.63","189.50","189.06","188.33","351.60","134.24","63,36,289","1,19,33,30,776.29","47,555"
"26-May-2025","EQ","184.26","191.79","182.40","183.96","188.20","187.63","188.36","351.60","134.24","67,73,558","1,27,58,57,426.29","66,288"
"23-May-2025","EQ","185.36","187.28","181.25","185.51","183.65","183.96","183.90","351.60","134.24","49,40,458","90,85,50,502.04","47,429"
"22-May-2025","EQ","184.50","189.50","183.50","189.69","185.38","185.51","185.70","351.60","134.24","74,68,680","1,38,69,34,483.99","59,488"
"21-May-2025","EQ","190.70","193.95","185.43","188.29","189.20","189.69","190.17","351.60","134.24","1,27,22,667","2,41,94,26,953.04","91,323"
"20-May-2025","EQ","198.45","200.50","187.33","197.35","188.62","188.29","190.54","351.60","134.24","1,00,40,419","1,91,31,36,611.94","83,279"
"19-May-2025","EQ","190.15","201.70","190.08","188.88","197.58","197.35","197.11","351.60","134.24","1,74,23,871","3,43,43,32,125.56","1,19,449"
"16-May-2025","EQ","178.10","192.40","175.86","177.58","189.55","188.88","187.65","351.60","134.24","2,80,27,854","5,25,93,10,456.72","2,11,605"
"15-May-2025","EQ","174.34","180.00","174.06","172.81","176.90","177.58","177.10","351.60","134.24","1,46,70,167","2,59,80,52,490.19","89,675"
"14-May-2025","EQ","160.35","173.90","160.10","160.35","173.25","172.81","168.71","351.60","134.24","2,21,53,964","3,73,75,95,537.21","1,68,115"
