ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","721.05","729.80","720.00","720.55","728.90","727.35","724.40","957.10","656.00","5,92,729","42,93,73,407.20","23,347"
"12-Aug-2025","EQ","724.00","728.05","720.00","723.30","720.15","720.55","724.44","957.10","656.00","2,75,269","19,94,15,892.75","15,371"
"11-Aug-2025","EQ","718.70","725.35","716.25","718.95","723.50","723.30","722.24","957.10","656.00","4,47,545","32,32,33,814.10","22,935"
"08-Aug-2025","EQ","727.40","730.90","717.00","727.15","717.80","718.95","722.75","957.10","656.00","3,59,497","25,98,27,019.20","17,953"
"07-Aug-2025","EQ","725.00","728.90","716.10","729.65","727.40","727.15","722.89","957.10","656.00","8,04,696","58,17,09,556.00","30,140"
"06-Aug-2025","EQ","736.00","743.00","724.30","726.25","729.00","729.65","732.74","957.10","656.00","15,07,424","1,10,45,43,805.40","45,325"
"05-Aug-2025","EQ","729.90","731.75","721.75","729.90","725.50","726.25","725.51","957.10","656.00","5,60,776","40,68,50,977.90","23,772"
"04-Aug-2025","EQ","717.00","732.20","712.70","719.20","729.30","729.90","724.09","957.10","656.00","5,51,240","39,91,47,184.90","26,054"
"01-Aug-2025","EQ","725.00","725.00","716.00","726.05","717.00","719.20","719.88","1,000.80","656.00","10,40,532","74,90,56,418.60","37,509"
"31-Jul-2025","EQ","730.00","732.45","723.10","736.15","726.80","726.05","727.69","1,000.80","656.00","7,04,978","51,30,05,146.10","27,731"
"30-Jul-2025","EQ","736.00","744.30","734.05","735.80","738.00","736.15","739.69","1,000.80","656.00","7,74,642","57,29,97,223.60","33,289"
"29-Jul-2025","EQ","728.00","738.50","727.00","730.10","736.00","735.80","733.30","1,000.80","656.00","4,56,870","33,50,23,066.20","23,652"
"28-Jul-2025","EQ","746.50","750.00","728.10","746.25","729.20","730.10","736.86","1,000.80","656.00","5,23,766","38,59,44,323.45","31,880"
"25-Jul-2025","EQ","757.00","757.05","742.10","757.15","746.40","746.25","747.09","1,015.70","656.00","8,78,236","65,61,22,076.60","34,086"
"24-Jul-2025","EQ","763.00","765.70","756.00","761.95","757.00","757.15","759.69","1,015.70","656.00","3,84,144","29,18,31,954.70","18,577"
"23-Jul-2025","EQ","761.55","762.95","756.80","760.60","761.95","761.95","760.40","1,015.70","656.00","5,58,332","42,45,55,831.40","28,774"
"22-Jul-2025","EQ","770.45","773.30","759.00","770.45","760.95","760.60","763.76","1,015.70","656.00","4,85,187","37,05,68,740.85","19,858"
"21-Jul-2025","EQ","765.60","771.80","758.65","765.30","771.35","770.45","766.50","1,015.70","656.00","5,22,909","40,08,07,377.75","20,518"
"18-Jul-2025","EQ","774.10","775.70","763.60","774.75","766.30","765.30","767.25","1,047.40","656.00","4,50,648","34,57,59,732.45","25,903"
"17-Jul-2025","EQ","778.00","781.90","773.30","776.60","774.85","774.75","777.60","1,047.40","656.00","4,35,163","33,83,81,182.85","22,309"
