ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","144.90","145.94","143.30","144.86","143.50","143.57","144.66","265.80","137.01","28,99,573","41,94,58,855.08","27,221"
"11-Aug-2025","EQ","142.60","145.09","141.55","142.32","144.90","144.86","143.79","265.80","137.01","43,81,853","63,00,72,612.86","40,163"
"08-Aug-2025","EQ","145.01","145.55","142.00","144.57","142.30","142.32","143.80","265.80","137.01","42,86,844","61,64,37,424.25","45,596"
"07-Aug-2025","EQ","143.80","145.45","140.26","144.36","145.45","144.57","142.75","265.80","137.01","67,34,089","96,12,57,787.95","54,321"
"06-Aug-2025","EQ","146.77","147.32","143.62","146.63","144.38","144.36","145.21","265.80","137.01","48,02,241","69,73,27,163.44","39,869"
"05-Aug-2025","EQ","148.03","149.00","146.00","148.03","146.70","146.63","147.26","265.80","137.01","39,21,938","57,75,40,973.73","38,354"
"04-Aug-2025","EQ","146.50","148.49","145.86","145.69","148.46","148.03","147.45","265.80","137.01","54,68,185","80,62,90,541.70","35,617"
"01-Aug-2025","EQ","147.45","148.65","145.20","147.38","146.00","145.69","147.19","269.95","137.01","53,14,027","78,21,88,539.71","45,777"
"31-Jul-2025","EQ","149.00","150.16","145.00","150.22","147.45","147.38","148.59","269.95","137.01","72,08,345","1,07,11,00,995.89","55,787"
"30-Jul-2025","EQ","150.92","151.77","150.00","150.49","150.10","150.22","150.78","269.95","137.01","51,36,389","77,44,48,561.43","32,561"
"29-Jul-2025","EQ","150.49","150.97","147.11","150.49","150.74","150.49","149.22","269.95","137.01","76,88,547","1,14,72,72,003.47","60,741"
"28-Jul-2025","EQ","153.25","155.79","149.90","153.25","150.18","150.49","152.72","269.95","137.01","63,16,214","96,46,25,985.63","63,522"
"25-Jul-2025","EQ","156.20","156.35","153.00","156.21","153.15","153.25","154.32","282.90","137.01","54,86,698","84,67,04,394.16","48,435"
"24-Jul-2025","EQ","156.98","158.07","156.00","156.91","156.20","156.21","156.88","282.90","137.01","43,52,512","68,28,06,637.12","35,694"
"23-Jul-2025","EQ","156.50","157.50","155.25","156.22","157.30","156.91","156.26","282.90","137.01","49,95,506","78,05,91,876.74","41,273"
"22-Jul-2025","EQ","157.48","158.49","156.00","157.30","156.22","156.22","157.07","282.90","137.01","43,99,404","69,10,24,868.01","42,912"
"21-Jul-2025","EQ","157.39","158.29","155.61","157.39","157.40","157.30","157.28","282.90","137.01","54,57,193","85,83,20,969.11","38,272"
"18-Jul-2025","EQ","159.59","159.70","157.10","159.24","157.14","157.39","158.07","310.00","137.01","49,30,315","77,93,49,925.57","48,706"
"17-Jul-2025","EQ","160.50","160.75","159.01","160.03","159.19","159.24","159.63","310.00","137.01","44,79,996","71,51,31,746.61","36,724"
"16-Jul-2025","EQ","160.00","160.80","159.50","159.64","160.00","160.03","160.13","310.00","137.01","51,09,899","81,82,25,268.58","34,843"
"15-Jul-2025","EQ","160.00","160.75","158.91","159.00","159.70","159.64","159.92","310.00","137.01","77,58,098","1,24,07,08,998.87","44,641"
