Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-06,EQ,73.1,74.2,72.65,72.15,72.85,72.8,73.21,92.35,23.95,"2,89,25,365","2,11,75,35,136.95","1,00,800",68.83842057796367,59.30987676177652,48.2244836893033
2023-11-07,EQ,73.25,74.3,72.8,72.8,73.15,73.05,73.47,92.35,23.95,"3,27,35,491","2,40,52,25,369.50","71,942",69.00358055529843,59.58195841005818,48.471503752096304
2023-11-08,EQ,73.5,76.5,73.4,73.05,75.65,75.6,75.19,92.35,23.95,"6,16,39,026","4,63,48,84,508.50","1,15,067",69.26226367077693,59.89914735243326,48.7414390381451
2023-11-09,EQ,76.0,76.9,74.1,75.6,74.6,74.6,75.56,92.35,23.95,"3,52,23,000","2,66,14,12,361.45","94,622",69.4715866640798,60.19025334545438,48.99873815219341
2023-11-10,EQ,74.4,74.4,73.25,74.6,74.05,74.1,73.89,92.35,23.95,"2,01,15,569","1,48,64,13,210.20","54,178",69.65309306941,60.46569387326716,49.24850195167407
2023-11-12,EQ,74.9,75.4,74.65,74.1,74.85,74.8,74.92,92.35,23.95,"81,71,770","61,22,43,836.20","72,996",69.85493255688412,60.74954151934108,49.50274571334896
2023-11-13,EQ,74.6,74.65,73.55,74.8,73.7,73.65,74.01,92.35,24.4,"2,14,66,105","1,58,86,66,995.00","62,432",70.00375873112397,61.00499614272046,49.743016900280814
2023-11-15,EQ,74.4,74.8,73.15,73.65,73.3,73.5,73.87,92.35,24.4,"1,98,71,941","1,46,79,44,525.65","68,330",70.1408662318642,61.25242196167649,49.97940479182032
2023-11-16,EQ,73.75,73.9,73.0,73.5,73.15,73.1,73.38,92.35,24.4,"1,52,27,424","1,11,73,13,774.35","71,610",70.25691069335971,61.487027467385865,50.209460465533546
2023-11-17,EQ,73.4,77.6,72.7,73.1,76.75,76.9,76.1,92.35,24.4,"11,68,18,430","8,89,03,62,724.60","1,92,578",70.51742399950247,61.79223484426931,50.475037973339184
2023-11-20,EQ,77.4,78.5,75.8,76.9,76.1,76.1,76.9,92.35,25.4,"4,69,28,842","3,60,86,49,722.05","1,17,476",70.73634854854159,62.075556926561006,50.73001271987312
2023-11-21,EQ,76.5,78.2,76.35,76.1,76.95,76.85,77.25,92.35,25.4,"4,98,93,620","3,85,44,70,610.00","1,12,493",70.97609958585369,62.36812015573801,50.98991309081966
2023-11-22,EQ,77.3,78.1,75.5,76.85,76.7,76.7,76.8,92.35,25.4,"3,55,91,880","2,73,33,52,458.20","85,026",71.20056626876138,62.65191975661449,51.245734851110015
2023-11-23,EQ,76.8,77.4,76.35,76.7,76.45,76.5,76.69,92.35,25.4,"2,27,83,082","1,74,73,06,338.25","67,160",71.40838719939819,62.92613916737459,51.49702107149699
2023-11-24,EQ,76.85,77.5,75.9,76.5,76.05,76.1,76.55,92.35,25.4,"2,16,04,709","1,65,39,05,398.30","56,978",71.59237201510807,63.18700769871371,51.74182683197961
