ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,052.50","1,062.60","1,016.60","1,045.20","1,049.50","1,045.90","1,047.48","1,675.55","842.40","22,359","2,34,20,683.60","4,409"
"12-Aug-2025","EQ","1,060.40","1,067.20","1,041.70","1,051.00","1,047.40","1,045.20","1,052.38","1,675.55","842.40","17,505","1,84,21,981.80","4,594"
"11-Aug-2025","EQ","1,057.70","1,060.00","1,036.70","1,049.30","1,055.00","1,051.00","1,047.89","1,675.55","842.40","27,527","2,88,45,343.20","6,055"
"08-Aug-2025","EQ","1,063.90","1,084.30","1,045.30","1,063.00","1,050.10","1,049.30","1,062.88","1,675.55","842.40","37,851","4,02,31,030.10","8,449"
"07-Aug-2025","EQ","1,055.00","1,073.00","1,040.80","1,056.20","1,062.80","1,063.00","1,056.52","1,675.55","842.40","25,272","2,67,00,483.40","6,285"
"06-Aug-2025","EQ","1,097.50","1,097.50","1,051.00","1,087.80","1,062.10","1,056.20","1,064.99","1,675.55","842.40","37,126","3,95,38,863.70","6,592"
"05-Aug-2025","EQ","1,095.80","1,114.50","1,084.00","1,097.10","1,092.50","1,087.80","1,096.14","1,675.55","842.40","19,624","2,15,10,726.20","5,942"
"04-Aug-2025","EQ","1,099.80","1,115.40","1,070.00","1,090.50","1,095.00","1,097.10","1,089.34","1,675.55","842.40","31,947","3,48,01,015.90","7,805"
"01-Aug-2025","EQ","1,093.90","1,112.10","1,080.10","1,091.20","1,081.00","1,090.50","1,100.28","1,675.55","842.40","26,604","2,92,71,956.30","7,153"
"31-Jul-2025","EQ","1,111.00","1,122.00","1,088.50","1,115.50","1,097.70","1,091.20","1,100.22","1,675.55","842.40","41,103","4,52,22,336.60","8,316"
"30-Jul-2025","EQ","1,131.50","1,139.90","1,110.00","1,121.30","1,118.50","1,115.50","1,123.56","1,675.55","842.40","32,772","3,68,21,409.60","8,394"
"29-Jul-2025","EQ","1,120.00","1,127.80","1,106.00","1,120.00","1,125.50","1,121.30","1,118.08","1,675.55","842.40","26,081","2,91,60,571.90","5,997"
"28-Jul-2025","EQ","1,135.00","1,151.30","1,113.50","1,134.50","1,118.00","1,120.00","1,125.76","1,675.55","842.40","39,969","4,49,95,455.70","9,097"
"25-Jul-2025","EQ","1,145.00","1,147.40","1,132.80","1,145.00","1,136.50","1,134.50","1,137.84","1,675.55","842.40","16,081","1,82,97,568.70","4,406"
"24-Jul-2025","EQ","1,142.90","1,164.70","1,135.60","1,132.80","1,150.00","1,145.00","1,146.57","1,675.55","842.40","30,716","3,52,18,151.00","7,069"
"23-Jul-2025","EQ","1,159.10","1,159.10","1,116.50","1,147.60","1,133.00","1,132.80","1,132.23","1,675.55","842.40","41,710","4,72,25,454.80","7,806"
"22-Jul-2025","EQ","1,160.00","1,168.90","1,145.40","1,156.70","1,145.50","1,147.60","1,155.39","1,675.55","842.40","24,029","2,77,62,908.50","3,796"
"21-Jul-2025","EQ","1,160.00","1,162.50","1,145.00","1,158.50","1,158.20","1,156.70","1,156.08","1,675.55","842.40","22,169","2,56,29,040.10","5,314"
"18-Jul-2025","EQ","1,181.00","1,181.00","1,152.60","1,170.60","1,158.00","1,158.50","1,162.05","1,675.55","842.40","17,939","2,08,46,084.00","3,846"
"17-Jul-2025","EQ","1,169.00","1,176.70","1,160.00","1,164.60","1,166.00","1,170.60","1,169.65","1,675.55","842.40","25,410","2,97,20,894.20","4,003"
"16-Jul-2025","EQ","1,199.10","1,209.90","1,152.80","1,202.40","1,166.30","1,164.60","1,173.25","1,675.55","842.40","87,770","10,29,76,151.40","14,724"
"15-Jul-2025","EQ","1,175.00","1,221.00","1,175.00","1,179.30","1,199.70","1,202.40","1,199.38","1,675.55","842.40","34,301","4,11,40,016.80","7,307"
"14-Jul-2025","EQ","1,179.60","1,205.40","1,162.50","1,179.60","1,180.00","1,179.30","1,180.38","1,675.55","842.40","29,408","3,47,12,604.70","7,240"
"11-Jul-2025","EQ","1,199.60","1,205.00","1,172.10","1,204.80","1,184.10","1,179.60","1,188.15","1,675.55","842.40","25,800","3,06,54,142.10","6,201"
"10-Jul-2025","EQ","1,220.00","1,221.10","1,199.60","1,213.90","1,209.00","1,204.80","1,210.07","1,675.55","842.40","33,324","4,03,24,463.80","5,700"
"09-Jul-2025","EQ","1,219.00","1,230.90","1,207.10","1,206.40","1,215.80","1,213.90","1,219.61","1,675.55","842.40","36,658","4,47,08,457.90","8,333"
"08-Jul-2025","EQ","1,225.00","1,227.50","1,195.50","1,217.40","1,212.00","1,206.40","1,211.50","1,675.55","842.40","34,133","4,13,52,117.20","7,397"
"07-Jul-2025","EQ","1,219.00","1,225.00","1,201.60","1,211.40","1,220.10","1,217.40","1,213.09","1,675.55","842.40","33,472","4,06,04,469.40","6,774"
"04-Jul-2025","EQ","1,193.20","1,220.60","1,187.10","1,193.20","1,220.00","1,211.40","1,201.21","1,675.55","842.40","53,240","6,39,52,395.20","8,103"
"03-Jul-2025","EQ","1,220.00","1,225.30","1,190.10","1,206.00","1,197.00","1,193.20","1,198.18","1,675.55","842.40","25,715","3,08,11,175.10","4,466"
"02-Jul-2025","EQ","1,227.00","1,227.00","1,197.00","1,228.20","1,210.10","1,206.00","1,206.09","1,675.55","842.40","32,369","3,90,39,856.50","5,767"
"01-Jul-2025","EQ","1,249.00","1,249.00","1,222.00","1,238.20","1,229.90","1,228.20","1,230.28","1,675.55","842.40","23,709","2,91,68,794.60","4,889"
"30-Jun-2025","EQ","1,222.00","1,241.00","1,210.80","1,210.80","1,237.00","1,238.20","1,230.00","1,675.55","842.40","53,234","6,54,77,843.80","5,513"
"27-Jun-2025","EQ","1,198.00","1,219.30","1,194.40","1,189.70","1,216.00","1,210.80","1,211.10","1,675.55","842.40","50,459","6,11,11,069.80","6,471"
"26-Jun-2025","EQ","1,216.40","1,218.40","1,185.00","1,204.50","1,190.00","1,189.70","1,195.27","1,675.55","842.40","28,848","3,44,81,183.80","4,078"
"25-Jun-2025","EQ","1,214.00","1,223.20","1,200.00","1,202.20","1,205.00","1,204.50","1,208.40","1,675.55","842.40","22,485","2,71,70,966.40","4,676"
"24-Jun-2025","EQ","1,212.00","1,221.00","1,192.40","1,193.60","1,208.00","1,202.20","1,209.54","1,675.55","842.40","22,375","2,70,63,426.50","5,108"
"23-Jun-2025","EQ","1,199.50","1,205.90","1,181.00","1,199.50","1,190.30","1,193.60","1,194.87","1,675.55","842.40","22,885","2,73,44,666.40","4,330"
"20-Jun-2025","EQ","1,170.10","1,218.80","1,162.80","1,174.60","1,216.00","1,199.50","1,189.50","1,675.55","842.40","33,321","3,96,35,321.10","4,523"
"19-Jun-2025","EQ","1,190.00","1,198.80","1,162.00","1,186.50","1,162.00","1,174.60","1,177.97","1,675.55","842.40","37,029","4,36,18,928.90","4,907"
"18-Jun-2025","EQ","1,199.90","1,212.90","1,181.20","1,202.10","1,184.30","1,186.50","1,193.08","1,675.55","842.40","37,196","4,43,77,937.50","8,943"
"17-Jun-2025","EQ","1,249.00","1,250.10","1,199.80","1,237.70","1,201.00","1,202.10","1,218.03","1,675.55","842.40","48,485","5,90,56,352.20","8,288"
"16-Jun-2025","EQ","1,247.00","1,250.00","1,212.00","1,241.00","1,236.00","1,237.70","1,231.60","1,675.55","842.40","20,343","2,50,54,536.90","3,558"
"13-Jun-2025","EQ","1,239.90","1,266.20","1,218.50","1,255.40","1,240.60","1,241.00","1,244.82","1,675.55","842.40","38,439","4,78,49,590.40","6,204"
"12-Jun-2025","EQ","1,272.00","1,272.00","1,242.20","1,261.00","1,255.00","1,255.40","1,256.04","1,675.55","842.40","59,491","7,47,22,878.80","6,065"
"11-Jun-2025","EQ","1,258.30","1,270.00","1,250.00","1,258.30","1,261.00","1,261.00","1,261.23","1,675.55","842.40","57,454","7,24,62,466.00","6,318"
"10-Jun-2025","EQ","1,264.00","1,276.70","1,255.60","1,258.90","1,258.00","1,258.30","1,263.80","1,675.55","842.40","36,082","4,56,00,485.50","4,391"
"09-Jun-2025","EQ","1,255.50","1,270.00","1,239.30","1,242.20","1,257.50","1,258.90","1,256.96","1,675.55","842.40","55,108","6,92,68,373.90","8,564"
"06-Jun-2025","EQ","1,275.90","1,281.30","1,236.70","1,268.90","1,245.00","1,242.20","1,262.36","1,675.55","842.40","1,09,111","13,77,36,834.10","12,639"
"05-Jun-2025","EQ","1,208.60","1,281.30","1,203.10","1,199.00","1,271.00","1,268.90","1,259.00","1,675.55","842.40","2,49,331","31,39,08,782.00","21,855"
"04-Jun-2025","EQ","1,250.00","1,250.00","1,190.10","1,186.40","1,204.90","1,199.00","1,204.97","1,675.55","842.40","3,91,997","47,23,43,298.80","28,127"
"03-Jun-2025","EQ","1,212.00","1,234.00","1,181.00","1,200.60","1,181.00","1,186.40","1,203.34","1,675.55","842.40","48,764","5,86,79,734.30","7,752"
"02-Jun-2025","EQ","1,220.00","1,231.50","1,194.70","1,212.90","1,199.10","1,200.60","1,210.44","1,675.55","842.40","36,568","4,42,63,403.20","5,453"
"30-May-2025","EQ","1,268.00","1,268.00","1,205.00","1,257.90","1,215.00","1,212.90","1,232.67","1,675.55","842.40","1,58,049","19,48,22,375.20","15,464"
"29-May-2025","EQ","1,270.00","1,278.00","1,234.10","1,272.40","1,250.00","1,257.90","1,257.41","1,675.55","842.40","1,31,357","16,51,69,199.50","14,124"
"28-May-2025","EQ","1,251.60","1,275.00","1,250.00","1,251.60","1,270.00","1,272.40","1,265.25","1,675.55","842.40","52,828","6,68,40,699.00","5,181"
"27-May-2025","EQ","1,265.00","1,268.90","1,247.90","1,255.50","1,253.00","1,251.60","1,253.42","1,675.55","842.40","40,135","5,03,06,090.80","4,704"
"26-May-2025","EQ","1,236.00","1,281.30","1,227.40","1,236.20","1,252.90","1,255.50","1,261.71","1,675.55","842.40","1,22,022","15,39,56,745.20","10,184"
"23-May-2025","EQ","1,255.30","1,264.50","1,232.30","1,251.10","1,235.00","1,236.20","1,241.80","1,675.55","842.40","50,653","6,29,00,839.00","6,532"
"22-May-2025","EQ","1,198.50","1,267.60","1,180.30","1,175.90","1,250.00","1,251.10","1,243.60","1,675.55","842.40","2,49,202","30,99,07,654.40","19,351"
"21-May-2025","EQ","1,135.00","1,182.50","1,135.00","1,129.40","1,181.00","1,175.90","1,172.84","1,675.55","842.40","99,663","11,68,88,774.80","6,186"
"20-May-2025","EQ","1,168.40","1,182.50","1,121.70","1,168.40","1,126.00","1,129.40","1,149.70","1,675.55","842.40","67,289","7,73,62,027.00","9,585"
"19-May-2025","EQ","1,183.50","1,183.50","1,165.00","1,170.90","1,173.00","1,168.40","1,175.20","1,675.55","842.40","25,503","2,99,71,175.10","4,413"
"16-May-2025","EQ","1,167.20","1,181.50","1,155.20","1,160.40","1,172.50","1,170.90","1,171.35","1,675.55","842.40","59,381","6,95,55,712.20","9,063"
"15-May-2025","EQ","1,156.00","1,170.00","1,148.90","1,156.00","1,159.70","1,160.40","1,160.76","1,675.55","842.40","40,677","4,72,16,256.00","5,682"
"14-May-2025","EQ","1,102.00","1,161.00","1,100.00","1,096.60","1,154.30","1,156.00","1,136.33","1,675.55","842.40","81,136","9,21,97,248.40","8,064"
"13-May-2025","EQ","1,116.00","1,138.40","1,087.10","1,107.50","1,111.00","1,096.60","1,105.42","1,675.55","842.40","81,439","9,00,24,208.30","11,985"
"12-May-2025","EQ","1,081.00","1,118.30","1,080.00","1,054.00","1,107.20","1,107.50","1,105.23","1,675.55","842.40","44,508","4,91,91,395.30","5,131"
"09-May-2025","EQ","1,044.00","1,064.70","1,023.40","1,052.00","1,058.50","1,054.00","1,041.40","1,675.55","842.40","88,756","9,24,30,477.70","14,240"
"08-May-2025","EQ","1,070.00","1,116.40","1,043.00","1,063.80","1,065.00","1,052.00","1,072.72","1,675.55","842.40","86,878","9,31,95,828.50","13,898"
"07-May-2025","EQ","1,080.00","1,080.00","1,041.30","1,052.80","1,065.00","1,063.80","1,059.59","1,675.55","842.40","47,814","5,06,63,102.70","7,268"
"06-May-2025","EQ","1,086.80","1,092.00","1,046.00","1,076.00","1,049.90","1,052.80","1,063.42","1,675.55","842.40","44,446","4,72,64,613.00","9,575"
"05-May-2025","EQ","1,055.80","1,089.00","1,022.30","1,038.20","1,076.00","1,076.00","1,062.46","1,675.55","842.40","86,677","9,20,90,678.70","14,113"
"02-May-2025","EQ","1,100.00","1,120.40","1,025.90","1,130.00","1,045.00","1,038.20","1,064.71","1,675.55","842.40","2,52,211","26,85,30,693.40","33,422"
"30-Apr-2025","EQ","1,148.40","1,172.90","1,120.20","1,165.30","1,122.00","1,130.00","1,144.49","1,675.55","842.40","70,350","8,05,15,094.20","9,567"
"29-Apr-2025","EQ","1,185.20","1,211.10","1,157.50","1,176.40","1,164.00","1,165.30","1,185.02","1,675.55","842.40","98,867","11,71,59,404.80","15,755"
"28-Apr-2025","EQ","1,228.20","1,259.00","1,170.10","1,213.00","1,177.00","1,176.40","1,188.16","1,675.55","842.40","78,432","9,31,89,714.20","12,644"
"25-Apr-2025","EQ","1,238.00","1,250.70","1,159.60","1,237.90","1,248.00","1,213.00","1,200.81","1,675.55","842.40","1,25,676","15,09,12,589.00","16,059"
