ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","303.60","310.85","300.15","302.60","301.85","302.60","304.02","592.70","210.00","4,80,010","14,59,30,310.25","12,395"
"12-Aug-2025","EQ","303.30","309.00","301.25","300.85","302.10","302.60","304.27","592.70","210.00","5,02,609","15,29,26,434.85","13,213"
"11-Aug-2025","EQ","300.50","303.00","292.30","303.65","302.90","300.85","296.94","592.70","210.00","6,28,048","18,64,92,801.00","17,631"
"08-Aug-2025","EQ","320.00","320.00","300.50","320.30","302.00","303.65","310.87","592.70","210.00","10,86,308","33,77,00,763.90","23,811"
"07-Aug-2025","EQ","305.00","325.75","305.00","299.55","317.20","320.30","320.03","592.70","210.00","1,26,71,623","4,05,53,52,686.70","1,44,335"
"06-Aug-2025","EQ","293.00","304.05","293.00","289.60","298.80","299.55","302.35","592.70","210.00","19,05,933","57,62,56,431.35","18,483"
"05-Aug-2025","EQ","293.75","295.20","288.10","292.55","288.10","289.60","290.96","592.70","210.00","1,35,685","3,94,78,922.20","5,749"
"04-Aug-2025","EQ","286.00","294.00","285.25","285.85","293.00","292.55","290.27","592.70","210.00","1,57,798","4,58,04,770.60","6,088"
"01-Aug-2025","EQ","291.90","293.00","285.00","290.55","288.00","285.85","288.49","592.70","210.00","1,11,402","3,21,37,966.00","5,073"
"31-Jul-2025","EQ","292.50","293.85","286.45","293.95","290.55","290.55","290.75","592.70","210.00","1,38,897","4,03,84,266.55","5,038"
"30-Jul-2025","EQ","301.95","302.40","292.20","300.25","295.50","293.95","296.10","592.70","210.00","1,64,346","4,86,62,338.10","6,235"
"29-Jul-2025","EQ","297.00","302.00","291.55","293.55","302.00","300.25","296.49","592.70","210.00","1,75,641","5,20,75,527.65","6,268"
"28-Jul-2025","EQ","303.40","305.65","292.20","303.40","293.65","293.55","297.60","592.70","210.00","2,74,114","8,15,77,511.60","8,655"
"25-Jul-2025","EQ","306.00","307.70","301.10","306.65","302.50","303.40","303.66","592.70","210.00","1,95,690","5,94,22,698.60","6,301"
"24-Jul-2025","EQ","315.85","316.85","304.30","313.80","306.40","306.65","309.82","592.70","210.00","2,72,008","8,42,73,916.25","7,150"
"23-Jul-2025","EQ","314.45","317.95","312.25","313.15","316.25","313.80","314.01","592.70","210.00","1,77,936","5,58,74,567.85","5,288"
"22-Jul-2025","EQ","315.00","319.75","312.00","314.60","314.30","313.15","314.96","592.70","210.00","1,69,649","5,34,32,242.15","4,750"
"21-Jul-2025","EQ","320.00","320.70","313.95","316.00","315.00","314.60","316.43","592.70","210.00","1,65,815","5,24,69,446.00","4,677"
"18-Jul-2025","EQ","317.95","322.00","315.05","316.35","316.30","316.00","317.78","592.70","210.00","2,13,863","6,79,61,952.50","5,288"
"17-Jul-2025","EQ","318.55","320.20","315.20","318.10","316.55","316.35","317.35","592.70","210.00","1,46,460","4,64,79,248.85","3,829"
"16-Jul-2025","EQ","318.30","321.40","317.00","318.20","317.50","318.10","319.09","592.70","210.00","1,74,998","5,58,39,344.90","4,391"
"15-Jul-2025","EQ","320.00","322.40","317.15","319.30","318.00","318.20","319.85","592.70","210.00","1,88,684","6,03,51,436.05","5,235"
"14-Jul-2025","EQ","316.85","326.90","311.95","315.50","317.85","319.30","319.39","592.70","210.00","6,05,716","19,34,61,320.30","14,181"
"11-Jul-2025","EQ","319.90","320.45","315.00","318.70","315.90","315.50","316.63","592.70","210.00","1,64,314","5,20,26,493.10","5,041"
"10-Jul-2025","EQ","318.95","322.40","318.00","318.45","319.40","318.70","319.75","592.70","210.00","1,87,433","5,99,31,348.80","3,953"
"09-Jul-2025","EQ","318.95","322.40","317.10","318.80","318.85","318.45","319.18","592.70","210.00","2,02,451","6,46,18,261.15","4,799"
"08-Jul-2025","EQ","323.45","325.45","318.00","323.15","318.70","318.80","320.65","592.70","210.00","1,95,468","6,26,77,327.20","5,563"
"07-Jul-2025","EQ","326.95","327.70","322.90","326.90","323.10","323.15","324.19","592.70","210.00","1,87,340","6,07,33,183.05","4,844"
"04-Jul-2025","EQ","329.00","331.55","325.00","327.20","326.65","326.90","327.54","592.70","210.00","2,83,790","9,29,52,781.80","6,059"
"03-Jul-2025","EQ","329.00","331.45","324.50","326.65","326.50","327.20","327.79","592.70","210.00","4,15,861","13,63,14,483.60","9,067"
