ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","251.40","262.99","250.70","252.15","257.50","257.93","257.74","263.34","117.00","61,78,220","1,59,23,94,778.55","91,989"
"12-Aug-2025","EQ","239.00","263.34","238.56","238.53","250.70","252.15","253.05","263.34","117.00","2,24,10,876","5,67,11,01,157.78","2,27,655"
"11-Aug-2025","EQ","235.00","239.70","228.50","234.95","237.63","238.53","233.13","246.70","117.00","30,13,427","70,25,08,491.96","44,823"
"08-Aug-2025","EQ","241.70","245.40","230.05","240.48","236.90","234.95","238.49","246.70","117.00","53,88,304","1,28,50,43,933.88","89,085"
"07-Aug-2025","EQ","225.10","243.70","225.10","226.76","242.00","240.48","236.40","246.70","117.00","37,83,070","89,43,14,894.93","50,102"
"06-Aug-2025","EQ","240.38","243.39","224.01","241.19","227.19","226.76","230.47","246.70","117.00","32,94,018","75,91,88,494.41","58,617"
"05-Aug-2025","EQ","242.60","246.70","236.15","242.60","239.00","241.19","241.84","246.70","117.00","34,64,080","83,77,38,680.42","42,770"
"04-Aug-2025","EQ","230.00","244.23","227.88","230.62","242.50","242.60","239.12","244.23","117.00","45,19,068","1,08,05,88,203.64","70,561"
"01-Aug-2025","EQ","235.69","237.87","227.00","233.78","229.11","230.62","233.49","237.87","117.00","23,93,911","55,89,54,337.41","36,073"
"31-Jul-2025","EQ","227.00","237.66","225.15","229.40","233.35","233.78","233.82","237.66","117.00","43,74,809","1,02,29,27,538.27","54,867"
"30-Jul-2025","EQ","233.40","235.80","226.17","231.36","229.50","229.40","232.18","235.80","117.00","51,13,570","1,18,72,61,445.43","56,672"
"29-Jul-2025","EQ","218.80","233.45","213.60","220.06","230.31","231.36","226.58","233.45","117.00","69,43,909","1,57,33,44,623.44","69,299"
"28-Jul-2025","EQ","219.25","222.84","216.25","219.88","219.68","220.06","220.24","231.43","117.00","20,71,075","45,61,30,120.26","32,923"
"25-Jul-2025","EQ","214.00","222.50","211.10","213.88","218.50","219.88","217.76","231.43","117.00","40,97,428","89,22,72,749.44","61,124"
"24-Jul-2025","EQ","220.97","222.88","212.00","222.07","214.99","213.88","217.24","231.43","117.00","26,27,348","57,07,55,256.21","38,131"
"23-Jul-2025","EQ","225.24","225.99","220.54","223.99","221.17","222.07","223.09","231.43","117.00","30,04,550","67,02,97,858.96","38,424"
"22-Jul-2025","EQ","219.00","231.43","217.01","220.82","223.51","223.99","225.88","231.43","117.00","1,57,23,022","3,55,15,08,076.89","1,16,344"
"21-Jul-2025","EQ","210.65","224.00","209.67","217.14","219.70","220.82","216.59","226.24","117.00","1,48,78,169","3,22,23,95,605.49","1,21,592"
"18-Jul-2025","EQ","213.97","226.24","201.65","213.62","212.98","217.14","215.71","226.24","117.00","5,64,80,511","12,18,32,54,185.13","3,41,809"
"17-Jul-2025","EQ","194.00","214.75","188.50","178.96","214.75","213.62","205.17","214.75","117.00","8,49,73,191","17,43,36,27,991.87","4,27,050"
"16-Jul-2025","EQ","176.00","181.79","175.00","176.41","179.80","178.96","178.91","196.44","117.00","9,55,492","17,09,42,761.88","15,096"
"15-Jul-2025","EQ","177.03","179.64","175.77","177.03","176.31","176.41","177.67","196.44","117.00","3,94,764","7,01,36,210.73","9,999"
"14-Jul-2025","EQ","175.50","178.00","170.72","174.76","176.35","177.03","173.68","196.44","117.00","22,02,380","38,25,08,613.88","16,096"
"11-Jul-2025","EQ","174.00","178.19","173.22","175.10","174.85","174.76","175.94","196.44","117.00","4,25,015","7,47,75,858.25","11,963"
"10-Jul-2025","EQ","179.59","182.75","174.14","177.79","174.66","175.10","178.61","196.44","117.00","10,56,452","18,86,91,746.78","25,574"
