ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","109.49","109.74","106.54","108.85","106.90","107.02","107.80","406.65","81.49","3,36,597","3,62,83,512.49","4,018"
"12-Aug-2025","EQ","108.80","109.57","107.81","108.58","108.53","108.85","108.77","406.65","81.49","2,25,105","2,44,84,031.99","3,263"
"11-Aug-2025","EQ","109.00","109.50","107.28","107.59","108.70","108.58","108.41","406.65","81.49","2,63,775","2,85,95,316.25","3,849"
"08-Aug-2025","EQ","110.50","111.35","107.12","109.33","107.50","107.59","109.26","406.65","81.49","3,87,873","4,23,78,730.60","4,707"
"07-Aug-2025","EQ","110.95","113.35","107.23","108.35","109.05","109.33","110.52","406.65","81.49","14,05,024","15,52,87,770.90","16,052"
"06-Aug-2025","EQ","110.80","111.99","107.50","111.35","107.50","108.35","108.97","406.65","81.49","4,34,902","4,73,93,213.84","4,712"
"05-Aug-2025","EQ","112.00","114.00","109.10","111.04","111.35","111.35","111.78","406.65","81.49","7,29,229","8,15,11,354.31","7,218"
"04-Aug-2025","EQ","106.00","112.00","104.60","106.97","111.00","111.04","108.52","406.65","81.49","6,10,162","6,62,11,839.66","6,427"
"01-Aug-2025","EQ","109.00","109.12","106.50","111.11","106.77","106.97","107.87","406.65","81.49","6,66,158","7,18,56,594.38","4,807"
"31-Jul-2025","EQ","107.10","112.70","104.50","107.34","110.70","111.11","111.56","406.65","81.49","24,98,892","27,87,66,950.06","12,290"
"30-Jul-2025","EQ","106.59","107.80","103.00","105.95","107.50","107.34","106.24","406.65","81.49","4,11,355","4,37,02,137.56","4,391"
"29-Jul-2025","EQ","105.02","107.89","104.53","105.70","106.10","105.95","105.85","406.65","81.49","3,54,616","3,75,34,934.01","4,286"
"28-Jul-2025","EQ","104.05","108.74","102.90","103.57","105.70","105.70","107.45","406.65","81.49","11,07,841","11,90,32,875.18","6,100"
"25-Jul-2025","EQ","106.80","106.82","102.56","106.95","103.95","103.57","104.42","406.65","81.49","3,15,236","3,29,18,069.92","4,203"
"24-Jul-2025","EQ","107.99","108.30","106.55","107.36","106.60","106.95","107.29","406.65","81.49","2,31,949","2,48,86,315.64","2,461"
"23-Jul-2025","EQ","107.00","108.00","105.42","106.25","107.68","107.36","106.90","406.65","81.49","2,86,064","3,05,80,179.08","3,641"
"22-Jul-2025","EQ","108.50","113.55","104.90","108.15","107.25","106.25","109.21","406.65","81.49","7,87,005","8,59,49,906.59","6,605"
"21-Jul-2025","EQ","110.49","110.51","107.00","109.54","108.19","108.15","108.48","406.65","81.49","3,57,408","3,87,73,350.31","4,504"
"18-Jul-2025","EQ","112.60","113.12","109.25","111.96","109.50","109.54","110.77","406.65","81.49","8,61,039","9,53,73,418.31","11,436"
"17-Jul-2025","EQ","111.15","115.50","111.06","110.39","111.90","111.96","113.15","406.65","81.49","5,91,873","6,69,73,345.87","5,390"
"16-Jul-2025","EQ","111.70","112.49","109.91","111.30","110.70","110.39","111.08","406.65","81.49","3,85,573","4,28,30,182.49","3,090"
"15-Jul-2025","EQ","112.50","112.50","111.00","110.48","111.15","111.30","111.42","406.65","81.49","2,15,063","2,39,61,529.86","2,729"
"14-Jul-2025","EQ","111.80","114.19","109.02","110.43","110.65","110.48","111.57","406.65","81.49","4,05,853","4,52,79,493.22","5,170"
"11-Jul-2025","EQ","112.00","112.60","110.01","112.02","110.17","110.43","111.06","418.80","81.49","1,79,143","1,98,94,760.72","3,221"
"10-Jul-2025","EQ","112.10","114.15","111.50","112.30","111.80","112.02","112.60","418.80","81.49","2,59,619","2,92,32,922.87","2,923"
"09-Jul-2025","EQ","114.00","114.09","111.61","113.10","112.00","112.30","112.61","418.80","81.49","2,20,656","2,48,48,424.72","2,842"
"08-Jul-2025","EQ","110.24","115.75","110.01","110.24","113.39","113.10","114.13","418.80","81.49","10,53,677","12,02,53,128.52","7,421"
"07-Jul-2025","EQ","111.60","112.68","110.00","111.49","110.00","110.24","110.98","418.80","81.49","2,08,657","2,31,57,315.76","2,860"
"04-Jul-2025","EQ","112.95","113.49","111.05","112.41","111.45","111.49","112.03","438.30","81.49","1,85,310","2,07,60,124.98","2,673"
"03-Jul-2025","EQ","111.81","113.83","111.81","112.42","112.11","112.41","112.44","438.30","81.49","2,17,322","2,44,35,211.77","3,045"
"02-Jul-2025","EQ","113.02","113.98","111.41","113.02","112.20","112.42","112.33","438.30","81.49","3,22,232","3,61,97,786.61","4,143"
"01-Jul-2025","EQ","114.40","114.90","112.40","113.84","113.78","113.02","113.35","438.30","81.49","3,11,581","3,53,16,596.45","3,424"
"30-Jun-2025","EQ","112.50","118.19","112.50","112.57","113.58","113.84","115.60","438.30","81.49","9,63,649","11,13,98,941.52","7,402"
"27-Jun-2025","EQ","113.41","114.45","112.00","113.41","112.63","112.57","113.18","438.30","81.49","2,85,779","3,23,44,576.55","3,540"
"26-Jun-2025","EQ","113.10","115.70","112.20","113.18","113.65","113.41","113.78","438.30","81.49","4,05,799","4,61,73,697.93","4,379"
"25-Jun-2025","EQ","110.00","114.00","110.00","109.96","113.50","113.18","112.80","438.30","81.49","4,68,901","5,28,89,727.76","5,376"
"24-Jun-2025","EQ","108.20","112.20","108.20","107.76","110.00","109.96","110.42","438.30","81.49","3,85,470","4,25,62,690.20","4,586"
"23-Jun-2025","EQ","107.90","109.87","107.01","108.98","108.09","107.76","108.19","438.30","81.49","4,58,642","4,96,20,637.66","5,300"
"20-Jun-2025","EQ","106.18","112.02","105.80","106.69","108.51","108.98","109.43","438.30","81.49","8,18,136","8,95,32,327.77","7,182"
"19-Jun-2025","EQ","110.45","111.86","106.00","111.00","106.35","106.69","108.64","438.30","81.49","5,22,972","5,68,16,147.60","6,803"
"18-Jun-2025","EQ","111.73","113.66","110.70","111.73","111.25","111.00","111.81","438.30","81.49","3,58,230","4,00,53,722.24","4,361"
"17-Jun-2025","EQ","115.00","116.34","111.10","113.98","111.59","111.73","113.43","438.30","81.49","6,23,825","7,07,58,816.67","7,432"
"16-Jun-2025","EQ","115.74","115.85","109.75","114.04","113.65","113.98","112.73","438.30","81.49","7,33,882","8,27,30,397.49","9,371"
