ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","604.00","624.00","600.00","601.20","607.90","606.70","609.98","1,797.65","489.80","3,19,649","19,49,80,794.70","16,603"
"12-Aug-2025","EQ","594.00","606.20","593.50","593.45","601.50","601.20","601.78","1,797.65","489.80","2,11,849","12,74,86,915.65","13,383"
"11-Aug-2025","EQ","593.00","599.50","585.00","593.15","594.55","593.45","592.56","1,797.65","489.80","2,18,058","12,92,12,831.75","14,526"
"08-Aug-2025","EQ","611.00","614.55","590.00","612.40","591.00","593.15","601.50","1,797.65","489.80","1,94,839","11,71,94,764.35","14,297"
"07-Aug-2025","EQ","613.00","618.70","596.05","618.60","610.80","612.40","609.40","1,797.65","489.80","3,29,289","20,06,69,472.85","17,144"
"06-Aug-2025","EQ","626.15","632.45","616.00","626.60","618.00","618.60","621.09","1,797.65","489.80","1,45,785","9,05,46,131.75","8,880"
"05-Aug-2025","EQ","626.00","637.95","622.55","628.45","628.90","626.60","628.87","1,797.65","489.80","1,67,431","10,52,91,651.90","9,516"
"04-Aug-2025","EQ","626.00","632.65","618.00","626.00","631.00","628.45","625.53","1,797.65","489.80","2,05,505","12,85,49,933.10","11,708"
"01-Aug-2025","EQ","639.00","649.95","621.00","638.60","622.00","626.00","636.88","1,797.65","489.80","3,19,084","20,32,18,402.40","15,620"
"31-Jul-2025","EQ","634.00","648.40","625.05","654.15","642.50","638.60","640.74","1,797.65","489.80","3,28,886","21,07,30,557.05","15,441"
"30-Jul-2025","EQ","650.00","668.00","639.85","647.15","642.95","654.15","652.93","1,797.65","489.80","7,21,576","47,11,38,775.60","33,014"
"29-Jul-2025","EQ","636.00","650.00","633.20","638.80","650.00","647.15","642.68","1,797.65","489.80","2,41,537","15,52,31,004.60","11,402"
"28-Jul-2025","EQ","650.00","658.75","635.65","658.10","639.80","638.80","645.96","1,797.65","489.80","3,23,004","20,86,47,813.25","16,758"
"25-Jul-2025","EQ","676.00","676.00","652.15","674.05","660.40","658.10","663.65","1,797.65","489.80","5,98,110","39,69,33,899.15","23,633"
"24-Jul-2025","EQ","646.45","680.00","640.10","645.30","675.00","674.05","667.44","1,797.65","489.80","30,27,985","2,02,10,13,385.50","85,031"
"23-Jul-2025","EQ","638.00","648.80","634.00","634.10","645.90","645.30","642.09","1,797.65","489.80","3,53,164","22,67,63,261.15","15,349"
"22-Jul-2025","EQ","645.35","647.95","632.05","643.65","635.60","634.10","638.82","1,797.65","489.80","1,67,422","10,69,52,073.50","7,951"
"21-Jul-2025","EQ","640.05","646.65","636.15","640.35","643.50","643.65","642.08","1,797.65","489.80","1,61,022","10,33,88,665.80","7,931"
"18-Jul-2025","EQ","646.00","648.20","638.50","646.65","640.40","640.35","642.74","1,797.65","489.80","1,49,180","9,58,83,861.10","9,136"
"17-Jul-2025","EQ","646.00","657.00","643.70","644.45","648.20","646.65","650.64","1,797.65","489.80","3,15,155","20,50,51,379.25","15,686"
"16-Jul-2025","EQ","644.65","650.90","640.50","644.65","643.95","644.45","646.34","1,797.65","489.80","2,04,032","13,18,74,792.00","10,786"
"15-Jul-2025","EQ","640.90","651.80","640.90","638.30","645.05","644.65","646.13","1,797.65","489.80","1,38,609","8,95,59,942.15","7,756"
"14-Jul-2025","EQ","639.00","643.10","636.05","642.70","640.80","638.30","638.97","1,797.65","489.80","2,00,400","12,80,48,692.10","9,950"
"11-Jul-2025","EQ","645.00","650.75","640.70","648.80","641.95","642.70","644.65","1,797.65","489.80","1,85,068","11,93,03,826.35","8,872"
"10-Jul-2025","EQ","632.55","669.00","632.55","635.70","646.00","648.80","655.99","1,797.65","489.80","19,76,611","1,29,66,41,192.10","59,142"
"09-Jul-2025","EQ","639.00","640.00","633.10","636.65","637.45","635.70","636.37","1,797.65","489.80","1,98,060","12,60,38,483.35","7,718"
"08-Jul-2025","EQ","635.75","641.50","630.35","636.20","635.90","636.65","635.43","1,797.65","489.80","2,92,000","18,55,46,945.60","12,426"
"07-Jul-2025","EQ","644.00","646.25","631.05","646.55","634.00","636.20","639.18","1,797.65","489.80","2,67,534","17,10,03,373.30","15,084"
"04-Jul-2025","EQ","648.80","650.40","643.00","649.15","646.65","646.55","646.17","1,797.65","489.80","1,74,740","11,29,12,529.50","9,586"
"03-Jul-2025","EQ","651.80","654.55","644.00","647.50","648.00","649.15","648.64","1,797.65","489.80","3,22,386","20,91,12,045.35","10,930"
"02-Jul-2025","EQ","656.05","657.70","642.00","655.80","648.00","647.50","647.49","1,797.65","489.80","4,98,712","32,29,09,786.40","23,230"
"01-Jul-2025","EQ","646.00","667.80","642.50","642.85","655.00","655.80","657.43","1,797.65","489.80","14,71,256","96,72,42,184.75","48,297"
"30-Jun-2025","EQ","644.00","645.75","637.05","642.50","642.05","642.85","641.23","1,797.65","489.80","2,59,976","16,67,03,854.15","11,270"
"27-Jun-2025","EQ","644.80","651.65","640.60","642.05","642.50","642.50","645.97","1,800.00","489.80","3,97,051","25,64,81,911.05","17,865"
"26-Jun-2025","EQ","639.00","645.90","637.55","637.55","643.00","642.05","641.34","1,800.00","489.80","4,21,383","27,02,50,362.65","16,264"
"25-Jun-2025","EQ","643.00","647.40","635.35","642.85","637.75","637.55","640.22","1,800.00","489.80","5,67,658","36,34,23,195.75","23,939"
"24-Jun-2025","EQ","659.00","665.05","640.05","652.70","645.00","642.85","647.91","1,800.00","489.80","6,18,601","40,07,96,990.35","26,769"
"23-Jun-2025","EQ","648.00","663.00","645.05","653.45","653.70","652.70","653.74","1,800.00","489.80","3,58,676","23,44,79,181.40","18,485"
"20-Jun-2025","EQ","678.00","685.85","647.10","681.65","650.45","653.45","658.14","1,800.00","489.80","16,71,052","1,09,97,80,361.45","64,010"
"19-Jun-2025","EQ","687.00","711.55","673.80","693.45","677.00","681.65","689.72","1,800.00","489.80","3,65,065","25,17,94,021.20","24,713"
"18-Jun-2025","EQ","701.00","712.65","691.00","702.95","692.00","693.45","700.46","1,800.00","489.80","2,40,105","16,81,83,778.15","12,404"
"17-Jun-2025","EQ","717.00","719.00","700.00","720.55","702.00","702.95","708.86","1,800.00","489.80","2,25,820","16,00,75,705.65","14,965"
"16-Jun-2025","EQ","696.85","725.00","683.00","701.35","717.45","720.55","707.23","1,800.00","489.80","5,49,994","38,89,73,910.80","21,866"
"13-Jun-2025","EQ","690.05","707.00","688.90","709.50","704.25","701.35","699.96","1,800.00","489.80","3,00,250","21,01,63,151.10","13,920"
"12-Jun-2025","EQ","723.85","727.60","704.00","723.85","712.00","709.50","715.42","1,800.00","489.80","2,69,649","19,29,13,457.05","12,286"
"11-Jun-2025","EQ","733.00","740.95","715.15","731.60","724.90","723.85","728.15","1,800.00","489.80","3,79,867","27,66,01,386.50","15,865"
"10-Jun-2025","EQ","739.25","739.30","727.70","735.30","733.65","731.60","732.62","1,800.00","489.80","3,02,248","22,14,33,889.95","13,087"
"09-Jun-2025","EQ","713.40","766.25","711.25","707.75","734.00","735.30","746.52","1,800.00","489.80","35,28,982","2,63,44,41,586.95","93,867"
"06-Jun-2025","EQ","714.90","716.70","706.00","713.85","709.90","707.75","709.69","1,800.00","489.80","2,27,538","16,14,81,986.85","10,467"
"05-Jun-2025","EQ","716.90","729.00","712.00","713.55","715.60","713.85","719.36","1,800.00","489.80","2,38,202","17,13,53,644.45","10,421"
"04-Jun-2025","EQ","710.70","724.90","703.55","707.40","715.00","713.55","714.18","1,800.00","489.80","4,09,100","29,21,71,540.45","16,987"
"03-Jun-2025","EQ","720.85","723.25","705.10","717.50","709.00","707.40","713.16","1,800.00","489.80","2,35,739","16,81,20,599.55","10,949"
"02-Jun-2025","EQ","718.90","731.95","713.00","717.15","720.00","717.50","720.77","1,800.00","489.80","3,19,112","23,00,05,805.85","15,545"
"30-May-2025","EQ","723.80","736.30","713.30","722.35","716.50","717.15","726.29","1,810.60","489.80","4,53,035","32,90,36,527.65","17,152"
"29-May-2025","EQ","721.85","728.90","719.50","722.20","724.00","722.35","723.76","1,810.60","489.80","2,33,641","16,90,99,137.70","10,654"
"28-May-2025","EQ","731.50","733.85","720.00","728.80","722.80","722.20","725.17","1,810.60","489.80","2,46,264","17,85,83,489.50","9,484"
"27-May-2025","EQ","735.45","740.80","722.65","731.45","729.50","728.80","729.72","1,810.60","489.80","4,66,080","34,01,06,381.00","16,152"
"26-May-2025","EQ","739.40","744.00","721.15","740.50","732.45","731.45","732.39","1,810.60","489.80","6,61,884","48,47,60,450.35","24,970"
"23-May-2025","EQ","730.00","765.00","728.00","710.90","733.20","740.50","748.01","1,810.95","489.80","56,91,738","4,25,74,70,650.85","1,37,951"
"22-May-2025","EQ","721.00","732.00","704.45","721.50","710.60","710.90","717.83","1,810.95","489.80","3,66,189","26,28,60,263.60","16,021"
"21-May-2025","EQ","720.00","733.90","711.25","719.25","722.00","721.50","722.70","1,810.95","489.80","5,60,311","40,49,38,240.35","23,800"
"20-May-2025","EQ","730.05","739.45","710.15","726.45","722.00","719.25","725.17","1,810.95","489.80","6,87,407","49,84,86,567.15","25,421"
"19-May-2025","EQ","728.00","741.85","707.05","726.05","726.85","726.45","727.02","1,810.95","489.80","7,59,000","55,18,09,693.80","26,000"
