ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","37.49","37.50","36.23","37.42","36.40","36.52","36.64","471.20","33.89","6,83,799","2,50,54,853.02","6,034"
"12-Aug-2025","EQ","35.77","38.40","35.51","35.78","37.20","37.42","37.60","471.20","33.89","41,37,013","15,55,54,497.00","26,656"
"11-Aug-2025","EQ","35.46","36.10","33.89","35.50","35.97","35.78","35.08","471.20","33.89","13,74,648","4,82,20,505.02","11,311"
"08-Aug-2025","EQ","35.95","36.75","35.12","35.73","35.46","35.50","35.82","471.20","35.12","10,41,509","3,73,09,717.53","7,135"
"07-Aug-2025","EQ","37.25","37.27","35.24","37.18","36.25","35.73","35.89","471.20","35.24","15,52,140","5,57,11,841.73","10,816"
"06-Aug-2025","EQ","39.63","39.63","37.01","39.33","37.35","37.18","37.77","471.20","37.01","14,64,640","5,53,20,434.73","9,791"
"05-Aug-2025","EQ","39.60","39.91","39.00","39.78","39.00","39.33","39.43","471.20","39.00","9,73,727","3,83,93,522.62","5,213"
"04-Aug-2025","EQ","39.60","40.13","39.30","39.54","39.53","39.78","39.69","471.20","39.10","7,89,932","3,13,49,466.33","6,565"
"01-Aug-2025","EQ","41.12","41.39","39.15","40.92","39.61","39.54","40.08","471.20","39.10","10,04,054","4,02,40,773.25","6,782"
"31-Jul-2025","EQ","40.49","41.55","39.50","41.01","40.80","40.92","40.61","471.20","39.10","13,72,553","5,57,42,436.67","7,711"
"30-Jul-2025","EQ","41.24","41.64","40.56","41.05","40.66","41.01","41.05","471.20","39.10","7,55,826","3,10,23,830.89","4,532"
"29-Jul-2025","EQ","39.11","41.28","39.10","39.76","41.24","41.05","40.23","471.20","39.10","14,70,561","5,91,61,321.70","8,320"
"28-Jul-2025","EQ","40.40","40.45","39.50","40.39","39.60","39.76","39.95","471.20","39.50","13,55,865","5,41,64,212.28","6,773"
"25-Jul-2025","EQ","40.43","41.30","40.11","40.43","40.40","40.39","40.59","471.20","40.11","16,80,401","6,82,04,092.71","8,584"
"24-Jul-2025","EQ","41.46","41.72","40.19","41.32","40.45","40.43","40.74","471.20","40.19","18,54,191","7,55,42,007.23","11,048"
"23-Jul-2025","EQ","41.59","41.95","41.10","41.44","41.28","41.32","41.49","471.20","41.00","9,67,843","4,01,55,796.58","5,869"
"22-Jul-2025","EQ","43.44","43.96","41.10","43.25","41.44","41.44","42.06","471.20","41.00","39,58,352","16,65,04,486.61","16,285"
"21-Jul-2025","EQ","41.97","43.50","41.88","41.95","43.40","43.25","42.74","471.20","41.00","17,97,562","7,68,20,459.84","10,001"
"18-Jul-2025","EQ","41.59","43.57","41.00","41.46","42.15","41.95","42.34","471.20","41.00","39,97,371","16,92,48,540.29","22,231"
"17-Jul-2025","EQ","41.79","43.00","41.22","41.79","41.60","41.46","41.68","471.20","41.05","17,72,638","7,38,87,041.42","8,826"
"16-Jul-2025","EQ","42.22","42.43","41.58","42.23","41.79","41.79","41.90","471.20","41.05","13,76,373","5,76,67,888.60","9,640"
"15-Jul-2025","EQ","42.80","43.34","41.05","42.71","42.05","42.23","42.71","471.20","41.05","31,01,038","13,24,58,836.16","12,308"
"14-Jul-2025","EQ","42.85","43.92","41.59","42.87","42.65","42.71","42.66","471.20","41.59","45,53,639","19,42,37,296.45","26,111"
"11-Jul-2025","EQ","46.75","46.99","42.50","46.62","42.90","42.87","44.00","471.20","42.50","89,97,748","39,58,71,748.23","32,876"
"10-Jul-2025","EQ","47.31","47.87","46.15","46.89","46.82","46.62","46.99","471.20","45.70","15,65,331","7,35,54,532.84","10,159"
"09-Jul-2025","EQ","47.99","48.28","45.70","47.67","46.95","46.89","47.52","471.20","45.70","27,92,253","13,26,99,755.84","14,418"
"08-Jul-2025","EQ","48.39","49.39","46.64","48.21","47.24","47.67","48.29","471.20","46.64","55,77,814","26,93,77,787.18","25,358"
"07-Jul-2025","EQ","49.30","49.95","47.79","49.30","48.22","48.21","48.78","471.20","47.79","26,92,498","13,13,30,825.91","12,829"
"04-Jul-2025","EQ","50.86","51.39","49.10","50.62","49.73","49.30","49.98","471.20","49.10","29,28,137","14,63,41,020.37","13,660"
"03-Jul-2025","EQ","52.00","52.35","50.25","51.21","50.99","50.62","51.05","471.20","50.25","26,59,251","13,57,62,295.82","14,591"
"02-Jul-2025","EQ","55.35","56.10","51.00","54.80","51.46","51.21","52.22","471.20","51.00","74,97,218","39,14,74,741.91","33,484"
"01-Jul-2025","EQ","54.14","56.00","54.00","53.89","54.91","54.80","54.97","471.20","52.65","43,00,673","23,64,22,581.38","25,386"
"30-Jun-2025","EQ","55.93","64.24","52.65","55.76","53.85","53.89","59.23","471.20","52.65","3,02,50,889","1,79,18,27,932.97","1,45,040"
"27-Jun-2025","EQ","55.81","56.48","55.33","55.63","55.90","55.76","55.82","471.20","54.14","3,24,266","1,80,99,833.10","4,041"
"26-Jun-2025","EQ","56.13","56.53","55.28","55.96","55.94","55.63","55.69","471.20","54.14","4,36,724","2,43,21,802.72","4,161"
"25-Jun-2025","EQ","56.33","57.08","54.82","56.05","55.86","55.96","56.15","471.20","54.14","9,62,604","5,40,54,391.04","8,942"
"24-Jun-2025","EQ","56.75","57.89","55.80","56.28","56.20","56.05","56.46","471.20","54.14","5,99,867","3,38,70,514.01","5,877"
"23-Jun-2025","EQ","56.20","57.41","55.79","57.07","56.23","56.28","56.54","471.20","54.14","2,83,733","1,60,42,349.58","3,705"
"20-Jun-2025","EQ","57.00","57.55","56.51","56.88","57.00","57.07","57.09","471.20","54.14","2,11,059","1,20,49,954.61","2,531"
"19-Jun-2025","EQ","57.00","58.59","56.70","57.49","56.99","56.88","57.34","471.20","54.14","2,48,846","1,42,69,434.32","3,659"
"18-Jun-2025","EQ","57.50","58.16","57.04","57.94","58.09","57.49","57.66","471.20","54.14","2,65,295","1,52,96,700.74","2,426"
"17-Jun-2025","EQ","59.11","59.19","57.76","59.40","58.00","57.94","58.34","471.20","54.14","2,55,171","1,48,87,467.63","3,587"
"16-Jun-2025","EQ","58.47","59.74","57.27","58.53","59.60","59.40","58.49","471.20","54.14","3,49,069","2,04,17,041.35","4,577"
"13-Jun-2025","EQ","59.00","59.35","58.21","59.72","58.70","58.53","58.67","471.20","54.14","2,83,894","1,66,56,200.79","3,271"
"12-Jun-2025","EQ","61.20","61.28","59.50","60.92","59.65","59.72","60.16","471.20","54.14","3,20,911","1,93,07,313.15","3,169"
"11-Jun-2025","EQ","61.38","63.00","60.75","61.00","60.78","60.92","61.71","471.20","54.14","7,31,690","4,51,50,426.11","7,540"
"10-Jun-2025","EQ","60.48","61.64","60.21","60.11","61.00","61.00","60.96","471.20","54.14","3,80,210","2,31,76,611.24","4,912"
