ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","46.89","46.89","46.20","46.65","46.30","46.39","46.56","83.40","45.10","10,14,367","4,72,24,853.91","8,803"
"11-Aug-2025","EQ","46.03","46.98","45.43","46.00","46.53","46.65","46.26","83.40","45.10","18,56,819","8,58,94,451.59","12,382"
"08-Aug-2025","EQ","47.00","47.70","45.71","46.86","46.23","46.00","46.65","83.40","45.10","20,62,982","9,62,43,691.48","10,067"
"07-Aug-2025","EQ","47.80","47.80","45.10","47.90","47.25","46.86","46.39","83.40","45.10","51,82,717","24,04,36,537.75","31,350"
"06-Aug-2025","EQ","49.25","49.79","47.53","49.56","47.85","47.90","48.40","83.40","47.42","42,08,281","20,36,99,022.66","16,948"
"05-Aug-2025","EQ","50.37","50.59","49.05","49.95","49.60","49.56","49.73","83.40","47.42","11,36,714","5,65,30,424.68","9,539"
"04-Aug-2025","EQ","50.30","50.91","49.71","50.23","50.00","49.95","50.11","83.40","47.42","17,96,923","9,00,41,824.20","8,878"
"01-Aug-2025","EQ","51.17","51.72","50.00","51.20","50.05","50.23","50.91","83.40","47.42","13,14,989","6,69,52,056.15","7,412"
"31-Jul-2025","EQ","50.54","52.59","50.20","51.36","50.95","51.20","51.62","83.40","47.42","26,15,463","13,50,03,913.12","8,212"
"30-Jul-2025","EQ","52.00","52.38","51.10","51.94","51.26","51.36","51.70","83.40","47.42","11,41,401","5,90,11,533.86","5,105"
"29-Jul-2025","EQ","52.17","52.60","51.29","52.17","51.99","51.94","51.99","83.40","47.42","19,95,351","10,37,37,605.79","8,847"
"28-Jul-2025","EQ","52.36","52.82","49.97","52.36","52.04","52.17","51.42","83.40","47.42","37,35,507","19,20,81,597.74","17,083"
"25-Jul-2025","EQ","52.05","52.85","51.63","52.14","52.28","52.36","52.47","83.40","47.42","22,46,637","11,78,92,227.85","9,656"
"24-Jul-2025","EQ","53.00","53.15","52.01","53.09","52.10","52.14","52.41","83.40","47.42","38,83,712","20,35,35,535.00","13,526"
"23-Jul-2025","EQ","52.99","53.51","52.55","52.86","52.85","53.09","52.98","83.40","47.42","22,87,155","12,11,81,475.51","8,302"
"22-Jul-2025","EQ","53.49","54.10","52.72","53.31","52.90","52.86","53.26","83.40","47.42","17,90,221","9,53,38,460.36","8,541"
"21-Jul-2025","EQ","53.69","54.20","53.15","53.69","53.30","53.31","53.51","83.40","47.42","15,63,286","8,36,52,847.99","7,218"
"18-Jul-2025","EQ","54.60","54.88","53.51","54.60","53.80","53.69","53.99","83.40","47.42","22,04,613","11,90,21,449.33","10,859"
"17-Jul-2025","EQ","55.00","55.23","54.46","54.86","54.89","54.60","54.78","83.40","47.42","9,88,799","5,41,62,125.04","4,855"
"16-Jul-2025","EQ","55.00","55.28","54.65","55.03","54.90","54.86","54.91","83.40","47.42","15,51,220","8,51,73,723.25","6,479"
"15-Jul-2025","EQ","54.00","56.16","53.99","53.94","54.94","55.03","55.22","83.40","47.42","36,67,296","20,25,07,084.72","13,244"
"14-Jul-2025","EQ","54.81","54.86","53.51","54.80","54.05","53.94","54.00","83.40","47.42","22,46,066","12,12,85,999.02","9,276"
"11-Jul-2025","EQ","56.42","56.90","54.70","56.41","54.80","54.80","55.31","83.40","47.42","29,67,004","16,41,07,317.31","13,353"
"10-Jul-2025","EQ","56.80","57.29","56.07","56.80","56.40","56.41","56.58","83.40","47.42","12,37,084","6,99,91,427.07","7,892"
"09-Jul-2025","EQ","55.75","57.14","55.75","56.09","56.80","56.80","56.56","83.40","47.42","21,41,044","12,10,90,216.93","6,851"
"08-Jul-2025","EQ","56.40","56.85","55.35","56.39","56.15","56.09","56.04","83.40","47.42","22,58,939","12,65,92,026.58","10,890"
"07-Jul-2025","EQ","57.15","57.68","56.02","57.44","56.25","56.39","56.74","83.40","47.42","24,97,035","14,16,80,669.40","8,779"
"04-Jul-2025","EQ","57.61","58.37","56.91","57.46","57.65","57.44","57.45","83.40","47.42","24,81,715","14,25,79,185.88","11,032"
"03-Jul-2025","EQ","57.89","59.75","57.23","57.90","57.59","57.46","58.36","83.40","47.42","46,22,361","26,97,72,450.35","17,252"
"02-Jul-2025","EQ","58.14","58.49","57.00","57.92","57.85","57.90","57.69","83.40","47.42","27,66,699","15,96,12,356.61","11,923"
"01-Jul-2025","EQ","58.20","58.50","56.92","57.97","57.97","57.92","57.56","83.40","47.42","24,80,678","14,27,95,463.45","12,326"
"30-Jun-2025","EQ","59.08","59.49","57.80","58.71","58.00","57.97","58.60","83.40","47.42","25,03,614","14,67,17,098.08","10,504"
"27-Jun-2025","EQ","58.23","59.75","57.99","57.77","58.69","58.71","58.96","83.40","47.42","39,69,279","23,40,18,064.91","15,261"
"26-Jun-2025","EQ","59.78","60.40","56.79","59.39","57.80","57.77","57.97","83.40","47.42","62,49,485","36,23,07,830.52","26,457"
"25-Jun-2025","EQ","59.05","59.90","58.60","58.57","59.50","59.39","59.24","83.40","47.42","41,97,295","24,86,38,502.39","15,044"
"24-Jun-2025","EQ","58.47","59.82","58.30","57.60","58.58","58.57","58.96","83.40","47.42","39,40,312","23,23,25,341.68","17,295"
