ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","7,070.00","7,070.00","6,911.50","7,025.00","6,950.00","6,940.00","6,968.42","7,135.50","3,891.45","41,347","28,81,23,270.50","11,234"
"12-Aug-2025","EQ","7,006.00","7,066.00","6,982.50","6,962.00","7,025.00","7,025.00","7,028.47","7,135.50","3,891.45","1,33,758","94,01,14,754.50","21,016"
"11-Aug-2025","EQ","7,006.50","7,114.00","6,930.00","7,051.00","6,950.00","6,962.00","7,034.96","7,135.50","3,891.45","1,66,019","1,16,79,36,656.00","32,920"
"08-Aug-2025","EQ","6,848.50","7,135.50","6,800.00","6,888.50","6,995.00","7,051.00","6,970.94","7,135.50","3,891.45","1,28,222","89,38,27,359.00","29,125"
"07-Aug-2025","EQ","6,960.00","7,098.00","6,617.00","6,960.00","6,870.00","6,888.50","6,997.22","7,098.00","3,891.45","1,29,669","90,73,22,241.00","33,426"
"06-Aug-2025","EQ","6,968.00","7,031.00","6,930.50","6,928.00","6,957.50","6,960.00","6,965.55","7,064.50","3,891.45","1,25,952","87,73,24,569.00","24,954"
"05-Aug-2025","EQ","6,799.00","7,064.50","6,790.00","6,784.00","6,954.50","6,928.00","6,935.51","7,064.50","3,891.45","2,28,112","1,58,20,73,378.00","38,430"
"04-Aug-2025","EQ","6,676.00","6,815.00","6,621.00","6,681.50","6,780.00","6,784.00","6,754.24","6,815.00","3,891.45","91,397","61,73,17,489.00","24,359"
"01-Aug-2025","EQ","6,620.00","6,778.00","6,600.00","6,659.00","6,639.50","6,681.50","6,680.21","6,778.00","3,891.45","88,504","59,12,25,663.00","17,997"
"31-Jul-2025","EQ","6,560.00","6,680.00","6,518.00","6,613.00","6,659.50","6,659.00","6,650.88","6,690.00","3,891.45","44,132","29,35,16,802.00","9,668"
"30-Jul-2025","EQ","6,521.00","6,679.00","6,516.00","6,502.00","6,615.00","6,613.00","6,596.57","6,690.00","3,891.45","74,335","49,03,55,729.50","16,253"
"29-Jul-2025","EQ","6,458.00","6,597.00","6,400.00","6,439.00","6,486.00","6,502.00","6,484.70","6,690.00","3,891.45","68,572","44,46,68,703.50","17,685"
"28-Jul-2025","EQ","6,508.00","6,618.00","6,411.50","6,479.00","6,460.00","6,439.00","6,500.50","6,690.00","3,891.45","57,329","37,26,66,880.00","19,189"
"25-Jul-2025","EQ","6,645.00","6,645.00","6,450.00","6,622.00","6,465.00","6,479.00","6,550.08","6,690.00","3,891.45","65,417","42,84,86,315.50","19,726"
"24-Jul-2025","EQ","6,614.00","6,690.00","6,547.00","6,614.50","6,602.00","6,622.00","6,629.34","6,690.00","3,891.45","90,102","59,73,16,377.00","17,358"
