ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","460.00","466.00","456.20","460.35","462.90","462.70","460.63","619.70","363.80","2,01,950","9,30,24,801.50","7,191"
"12-Aug-2025","EQ","465.00","465.00","455.55","461.05","460.00","460.35","459.37","619.70","363.80","1,13,219","5,20,09,762.60","8,780"
"11-Aug-2025","EQ","469.55","469.55","458.05","464.90","462.00","461.05","460.52","619.70","363.80","1,73,334","7,98,23,389.20","12,064"
"08-Aug-2025","EQ","474.70","476.00","462.05","472.40","465.00","464.90","466.92","635.05","363.80","1,49,745","6,99,19,491.00","12,768"
"07-Aug-2025","EQ","475.00","476.25","463.50","474.50","472.50","472.40","470.84","635.05","363.80","2,21,277","10,41,87,001.25","14,030"
"06-Aug-2025","EQ","466.65","476.90","459.20","466.75","475.00","474.50","466.81","635.05","363.80","1,99,531","9,31,42,500.70","20,375"
"05-Aug-2025","EQ","463.10","472.00","457.20","461.45","465.20","466.75","461.69","635.05","363.80","1,14,308","5,27,75,334.85","10,666"
"04-Aug-2025","EQ","460.10","465.50","453.55","460.10","460.00","461.45","461.64","635.05","363.80","1,67,789","7,74,57,914.65","14,121"
"01-Aug-2025","EQ","477.75","479.70","458.50","473.95","459.00","460.10","462.63","665.60","363.80","2,53,815","11,74,22,243.30","14,997"
"31-Jul-2025","EQ","463.80","488.00","452.25","463.65","485.00","473.95","464.69","665.60","363.80","3,22,613","14,99,15,666.15","12,867"
"30-Jul-2025","EQ","462.00","465.70","456.30","460.20","464.00","463.65","460.42","665.60","363.80","7,07,061","32,55,44,052.60","19,583"
"29-Jul-2025","EQ","457.00","464.70","455.95","458.20","461.50","460.20","458.88","665.60","363.80","2,55,990","11,74,69,143.80","7,802"
"28-Jul-2025","EQ","453.70","460.00","448.05","451.45","457.00","458.20","452.67","665.60","363.80","4,15,656","18,81,53,097.55","13,324"
"25-Jul-2025","EQ","460.70","465.95","451.00","461.70","452.00","451.45","457.26","700.00","363.80","2,85,399","13,05,00,179.85","13,713"
"24-Jul-2025","EQ","454.80","466.05","451.00","454.80","460.60","461.70","458.59","700.00","363.80","6,69,144","30,68,65,808.55","20,967"
"23-Jul-2025","EQ","475.00","479.95","451.00","491.90","457.05","454.80","463.74","700.00","363.80","11,49,616","53,31,18,447.85","26,466"
"22-Jul-2025","EQ","497.10","498.45","487.05","498.50","492.00","491.90","494.07","700.00","363.80","99,365","4,90,93,206.50","7,499"
"21-Jul-2025","EQ","494.00","499.90","486.30","490.10","497.00","498.50","493.82","700.00","363.80","98,336","4,85,60,617.55","7,541"
"18-Jul-2025","EQ","496.00","496.00","488.75","496.15","490.65","490.10","490.96","714.00","363.80","64,637","3,17,34,414.85","4,271"
"17-Jul-2025","EQ","497.30","499.65","492.40","495.60","496.00","496.15","496.89","714.00","363.80","1,00,207","4,97,91,718.45","5,752"
"16-Jul-2025","EQ","495.00","503.10","493.75","494.85","495.50","495.60","497.78","714.00","363.80","64,803","3,22,57,842.90","4,723"
"15-Jul-2025","EQ","489.60","498.60","487.75","487.10","494.00","494.85","495.08","714.00","363.80","92,789","4,59,37,717.75","3,617"
"14-Jul-2025","EQ","490.85","491.55","483.00","490.85","488.95","487.10","487.45","714.00","363.80","93,986","4,58,13,371.45","4,633"
"11-Jul-2025","EQ","494.40","500.00","485.75","494.40","492.00","490.85","492.08","714.00","363.80","78,981","3,88,64,844.90","5,092"
"10-Jul-2025","EQ","505.00","505.00","493.00","499.80","494.70","494.40","497.07","714.00","363.80","60,160","2,99,03,920.25","2,660"
"09-Jul-2025","EQ","493.95","500.00","492.00","493.00","499.00","499.80","498.07","714.00","363.80","64,154","3,19,53,293.80","2,633"
"08-Jul-2025","EQ","494.00","495.00","487.00","491.95","494.00","493.00","489.51","714.00","363.80","1,16,728","5,71,39,490.05","5,279"
"07-Jul-2025","EQ","490.20","495.75","488.15","493.95","488.80","491.95","491.31","714.00","363.80","64,646","3,17,61,529.00","5,149"
"04-Jul-2025","EQ","502.00","503.20","491.00","499.60","496.00","493.95","497.12","714.00","363.80","1,36,854","6,80,33,106.65","8,403"
"03-Jul-2025","EQ","501.60","505.10","496.05","500.40","499.25","499.60","499.80","714.00","363.80","1,56,337","7,81,36,674.95","9,106"
"02-Jul-2025","EQ","513.10","514.00","498.00","513.10","498.30","500.40","502.64","714.00","363.80","3,47,264","17,45,49,915.80","17,484"
"01-Jul-2025","EQ","512.40","515.00","503.30","512.40","515.00","513.10","509.70","714.00","363.80","1,25,142","6,37,85,438.90","11,391"
"30-Jun-2025","EQ","505.10","515.65","505.10","505.90","511.00","512.40","512.67","714.00","363.80","1,44,406","7,40,32,587.35","6,256"
"27-Jun-2025","EQ","502.80","510.90","499.35","499.65","510.00","505.90","504.62","735.00","363.80","1,51,125","7,62,60,021.50","9,910"
"26-Jun-2025","EQ","509.80","511.95","497.95","509.65","499.95","499.65","502.35","735.00","363.80","1,26,825","6,37,10,222.80","8,403"
"25-Jun-2025","EQ","513.15","518.80","506.95","513.15","509.80","509.65","513.72","735.00","363.80","1,66,748","8,56,61,869.50","7,617"
"24-Jun-2025","EQ","511.80","515.70","509.15","505.50","513.55","513.15","512.43","735.00","363.80","2,22,512","11,40,21,400.50","5,189"
"23-Jun-2025","EQ","493.45","507.50","491.10","486.75","505.00","505.50","500.31","735.00","363.80","3,10,983","15,55,87,649.65","14,432"
"20-Jun-2025","EQ","487.00","495.35","483.70","487.00","487.45","486.75","489.41","760.90","363.80","71,740","3,51,10,151.25","4,581"
"19-Jun-2025","EQ","494.65","496.70","480.70","494.65","484.10","487.00","487.97","760.90","363.80","1,18,313","5,77,32,899.50","7,856"
"18-Jun-2025","EQ","492.00","505.00","491.80","499.45","494.25","494.65","498.42","760.90","363.80","1,68,471","8,39,69,458.50","9,158"
"17-Jun-2025","EQ","495.00","508.00","493.30","496.25","499.90","499.45","501.68","760.90","363.80","1,69,296","8,49,32,692.15","9,545"
"16-Jun-2025","EQ","496.90","501.55","489.00","496.90","495.45","496.25","494.95","760.90","363.80","1,24,269","6,15,06,660.20","7,635"
"13-Jun-2025","EQ","500.00","502.90","493.00","506.75","495.90","496.90","497.78","760.90","363.80","1,51,928","7,56,26,536.55","9,215"
"12-Jun-2025","EQ","524.00","525.90","503.10","522.40","507.00","506.75","512.06","760.90","363.80","1,94,771","9,97,34,388.70","11,819"
"11-Jun-2025","EQ","521.95","528.50","515.80","520.65","524.10","522.40","522.28","760.90","363.80","3,53,987","18,48,78,885.50","13,708"
"10-Jun-2025","EQ","549.00","552.50","514.60","520.25","521.10","520.65","536.00","760.90","363.80","25,68,839","1,37,68,87,264.30","60,443"
"09-Jun-2025","EQ","493.00","529.80","493.00","487.85","519.90","520.25","511.38","760.90","363.80","9,65,012","49,34,88,971.15","36,357"
"06-Jun-2025","EQ","484.35","499.00","475.30","477.20","486.20","487.85","485.72","760.90","363.80","5,13,441","24,93,89,285.10","18,179"
"05-Jun-2025","EQ","479.80","485.70","475.30","477.90","477.45","477.20","480.86","760.90","363.80","79,405","3,81,83,041.55","6,319"
"04-Jun-2025","EQ","490.00","490.95","475.10","487.30","476.55","477.90","480.68","760.90","363.80","81,206","3,90,34,143.45","5,234"
"03-Jun-2025","EQ","494.80","497.15","482.95","492.90","488.05","487.30","488.93","760.90","363.80","85,916","4,20,07,124.90","5,840"
"02-Jun-2025","EQ","487.70","498.00","477.15","482.70","491.00","492.90","487.56","760.90","363.80","1,84,974","9,01,85,225.80","12,288"
"30-May-2025","EQ","483.00","486.55","481.35","486.35","484.45","482.70","483.45","760.90","363.80","47,362","2,28,97,071.85","2,813"
"29-May-2025","EQ","485.35","488.40","480.00","484.50","483.00","486.35","483.69","760.90","363.80","77,716","3,75,90,101.00","3,888"
"28-May-2025","EQ","489.15","490.50","483.00","489.15","483.10","484.50","485.56","760.90","363.80","54,890","2,66,52,405.25","3,349"
"27-May-2025","EQ","489.10","491.00","486.75","489.10","488.00","489.15","489.00","760.90","363.80","43,431","2,12,37,547.80","2,712"
"26-May-2025","EQ","492.00","502.00","487.80","490.80","487.80","489.10","492.19","760.90","363.80","1,35,961","6,69,18,781.65","9,292"
"23-May-2025","EQ","493.90","493.90","484.35","489.65","489.90","490.80","488.04","760.90","363.80","1,08,563","5,29,83,067.40","5,905"
"22-May-2025","EQ","493.85","495.45","487.20","491.95","491.00","489.65","491.33","760.90","363.80","93,188","4,57,85,888.30","7,281"
"21-May-2025","EQ","494.95","496.90","485.20","492.95","490.75","491.95","490.71","760.90","363.80","1,46,035","7,16,61,526.40","9,256"
"20-May-2025","EQ","490.05","503.50","490.05","489.00","495.00","492.95","496.33","760.90","363.80","2,87,497","14,26,92,596.45","14,764"
"19-May-2025","EQ","499.80","510.05","484.20","497.35","489.40","489.00","496.94","760.90","363.80","4,65,849","23,14,99,343.20","17,634"
"16-May-2025","EQ","502.75","509.20","492.90","504.20","500.00","497.35","499.27","760.90","363.80","2,08,276","10,39,85,995.85","11,901"
"15-May-2025","EQ","518.40","518.40","497.35","510.85","499.75","504.20","508.53","760.90","363.80","2,42,554","12,33,45,175.10","11,678"
"14-May-2025","EQ","520.00","523.95","508.30","518.35","510.00","510.85","517.53","760.90","363.80","2,42,187","12,53,39,588.75","8,847"
"13-May-2025","EQ","508.00","520.00","501.10","504.65","518.95","518.35","510.38","760.90","363.80","2,98,086","15,21,36,175.70","10,107"
"12-May-2025","EQ","505.00","508.00","495.00","478.75","506.00","504.65","501.89","760.90","363.80","2,00,005","10,03,81,379.40","8,147"
"09-May-2025","EQ","475.00","485.05","475.00","485.35","476.00","478.75","479.81","760.90","363.80","1,24,286","5,96,33,464.55","8,235"
"08-May-2025","EQ","498.00","498.00","480.60","492.40","480.65","485.35","490.09","760.90","363.80","1,13,342","5,55,48,067.95","7,199"
"07-May-2025","EQ","494.00","499.00","482.55","499.95","493.00","492.40","493.72","760.90","363.80","1,48,832","7,34,81,346.75","11,138"
"06-May-2025","EQ","504.00","514.35","493.15","507.75","501.00","499.95","501.23","760.90","363.80","3,03,430","15,20,88,651.75","19,533"
"05-May-2025","EQ","499.80","514.70","491.30","499.50","513.00","507.75","502.52","760.90","363.80","1,83,608","9,22,66,786.60","12,628"
"02-May-2025","EQ","498.00","507.50","493.85","500.50","499.10","499.50","501.64","760.90","363.80","1,58,488","7,95,04,695.40","17,063"
"30-Apr-2025","EQ","501.00","519.25","477.95","525.65","500.05","500.50","498.74","760.90","363.80","12,09,857","60,33,99,086.15","64,380"
"29-Apr-2025","EQ","521.00","530.45","513.05","516.65","522.00","525.65","521.97","760.90","363.80","2,91,725","15,22,71,263.85","15,927"
"28-Apr-2025","EQ","501.90","520.40","501.90","501.90","517.00","516.65","511.65","760.90","363.80","2,76,146","14,12,89,931.00","14,629"
"25-Apr-2025","EQ","515.10","518.40","494.55","515.00","498.80","501.90","502.92","760.90","363.80","3,12,039","15,69,30,394.10","21,774"
