ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","534.10","538.95","533.85","533.15","534.85","535.00","535.95","804.90","418.75","12,05,129","64,58,89,437.75","19,912"
"12-Aug-2025","EQ","534.60","539.40","531.10","535.10","533.00","533.15","534.98","804.90","418.75","15,82,468","84,65,88,058.60","27,900"
"11-Aug-2025","EQ","521.50","537.00","518.30","518.30","534.65","535.10","530.76","804.90","418.75","25,11,889","1,33,32,13,084.70","42,227"
"08-Aug-2025","EQ","533.20","535.05","516.50","532.90","518.45","518.30","525.53","804.90","418.75","16,88,157","88,71,75,598.15","26,910"
"07-Aug-2025","EQ","530.00","537.00","514.60","534.05","535.20","532.90","526.88","804.90","418.75","30,13,051","1,58,75,03,148.70","42,547"
"06-Aug-2025","EQ","538.50","541.40","521.70","537.70","532.80","534.05","531.06","804.90","418.75","45,21,179","2,40,10,10,264.15","52,179"
"05-Aug-2025","EQ","539.00","548.40","535.20","537.80","537.50","537.70","541.96","804.90","418.75","85,57,539","4,63,78,02,187.65","1,25,945"
"04-Aug-2025","EQ","515.00","539.90","512.30","511.65","538.80","537.80","532.65","804.90","418.75","90,51,726","4,82,14,05,268.55","1,06,866"
"01-Aug-2025","EQ","530.00","533.90","509.40","515.05","515.00","511.65","519.68","804.90","418.75","1,23,69,442","6,42,81,66,895.45","1,26,859"
"31-Jul-2025","EQ","520.05","523.80","512.10","526.50","517.75","515.05","519.06","804.90","418.75","19,46,308","1,01,02,53,955.30","36,063"
"30-Jul-2025","EQ","524.80","529.75","521.05","524.80","526.05","526.50","526.04","804.90","418.75","16,16,906","85,05,60,879.70","29,355"
"29-Jul-2025","EQ","515.20","526.35","515.20","520.10","525.35","524.80","522.56","804.90","418.75","15,32,398","80,07,64,645.40","24,092"
"28-Jul-2025","EQ","515.00","527.75","511.60","518.10","519.00","520.10","522.18","804.90","418.75","22,32,420","1,16,57,14,810.40","31,544"
"25-Jul-2025","EQ","531.45","532.85","512.00","532.55","513.00","518.10","522.20","804.90","418.75","37,15,596","1,94,02,80,565.20","45,969"
"24-Jul-2025","EQ","535.00","537.00","526.50","533.85","532.00","532.55","531.37","804.90","418.75","37,50,877","1,99,30,97,586.70","32,658"
"23-Jul-2025","EQ","532.95","535.80","531.00","531.55","534.75","533.85","533.19","804.90","418.75","14,29,888","76,24,08,086.95","22,594"
"22-Jul-2025","EQ","533.00","536.10","529.55","531.70","531.90","531.55","532.17","804.90","418.75","27,85,824","1,48,25,27,244.00","32,058"
"21-Jul-2025","EQ","530.40","535.50","526.05","530.40","532.30","531.70","531.71","804.90","418.75","25,45,659","1,35,35,46,948.25","35,322"
"18-Jul-2025","EQ","532.50","538.75","522.00","531.60","530.70","530.40","530.83","804.90","418.75","58,71,617","3,11,68,08,809.55","58,505"
"17-Jul-2025","EQ","528.00","534.30","521.55","531.75","532.50","531.60","528.30","804.90","418.75","41,75,593","2,20,59,51,559.20","42,493"
"16-Jul-2025","EQ","528.75","533.50","526.20","528.95","533.00","531.75","529.53","804.90","418.75","24,60,503","1,30,29,20,604.35","29,167"
"15-Jul-2025","EQ","532.00","533.50","526.40","530.50","528.80","528.95","529.26","804.90","418.75","24,22,923","1,28,23,54,924.20","30,307"
"14-Jul-2025","EQ","525.00","534.35","522.25","523.70","530.55","530.50","529.23","804.90","418.75","33,46,236","1,77,09,19,524.35","42,728"
"11-Jul-2025","EQ","531.00","535.50","522.20","530.55","523.10","523.70","527.83","804.90","418.75","40,54,505","2,14,00,80,371.25","56,596"
"10-Jul-2025","EQ","516.50","536.60","515.45","514.90","530.20","530.55","526.36","804.90","418.75","69,41,032","3,65,35,05,840.60","68,339"
"09-Jul-2025","EQ","515.05","525.50","513.90","513.55","515.00","514.90","518.93","804.90","418.75","35,16,374","1,82,47,55,388.45","43,290"
"08-Jul-2025","EQ","510.00","516.85","504.35","509.65","514.20","513.55","509.40","804.90","418.75","39,34,146","2,00,40,55,096.25","54,915"
"07-Jul-2025","EQ","513.65","524.20","508.00","512.00","509.35","509.65","515.47","804.90","418.75","34,11,737","1,75,86,63,188.35","48,399"
"04-Jul-2025","EQ","510.40","513.40","502.10","510.35","512.40","512.00","507.96","804.90","418.75","35,19,624","1,78,78,19,437.45","44,813"
"03-Jul-2025","EQ","519.80","520.30","507.95","518.05","510.20","510.35","511.58","804.90","418.75","32,73,830","1,67,48,15,421.75","43,711"
