ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","299.90","301.90","297.20","297.50","299.80","299.80","299.62","355.00","218.20","4,57,556","13,70,91,882.50","12,902"
"12-Aug-2025","EQ","297.00","302.95","295.10","296.90","298.25","297.50","297.56","355.00","218.20","8,14,121","24,22,47,874.60","21,409"
"11-Aug-2025","EQ","297.10","299.85","296.05","297.20","296.60","296.90","297.54","355.00","218.20","5,96,550","17,74,97,633.40","15,762"
"08-Aug-2025","EQ","302.70","302.70","296.50","302.60","297.25","297.20","298.43","355.00","218.20","5,78,010","17,24,94,472.55","13,490"
"07-Aug-2025","EQ","298.00","303.75","296.05","300.40","303.00","302.60","300.32","355.00","218.20","9,53,958","28,64,93,951.05","26,890"
"06-Aug-2025","EQ","304.95","305.90","298.55","304.95","300.00","300.40","301.60","355.00","218.20","9,86,980","29,76,72,088.45","29,478"
"05-Aug-2025","EQ","307.45","307.95","304.15","305.30","304.80","304.95","305.23","355.00","218.20","6,57,728","20,07,58,325.80","17,525"
"04-Aug-2025","EQ","304.30","308.90","303.35","304.05","304.85","305.30","305.78","355.00","218.20","8,66,286","26,48,96,730.70","26,615"
"01-Aug-2025","EQ","305.15","307.20","303.30","304.75","304.15","304.05","305.20","355.00","218.20","5,73,112","17,49,16,517.10","15,586"
"31-Jul-2025","EQ","301.55","309.80","301.30","306.05","305.50","304.75","305.91","355.00","218.20","9,48,230","29,00,75,417.30","17,818"
"30-Jul-2025","EQ","312.10","313.00","305.35","311.35","306.90","306.05","309.10","355.00","218.20","7,33,846","22,68,30,230.40","13,427"
"29-Jul-2025","EQ","305.05","312.00","303.15","305.65","311.95","311.35","307.90","355.00","218.20","8,07,518","24,86,33,050.75","14,970"
"28-Jul-2025","EQ","314.95","315.25","304.00","314.45","305.00","305.65","308.43","355.00","218.20","11,53,582","35,58,03,702.85","20,397"
"25-Jul-2025","EQ","320.40","320.40","313.05","320.65","314.15","314.45","315.71","355.00","218.20","11,82,562","37,33,47,620.60","15,772"
"24-Jul-2025","EQ","323.25","323.30","318.25","321.70","321.40","320.65","320.22","355.00","218.20","14,93,915","47,83,81,119.70","21,226"
"23-Jul-2025","EQ","321.00","328.50","320.60","317.20","322.00","321.70","324.26","355.00","218.20","85,12,821","2,76,04,09,472.70","88,882"
"22-Jul-2025","EQ","318.65","319.00","315.50","316.75","317.25","317.20","317.68","355.00","218.20","14,54,185","46,19,72,085.75","26,827"
"21-Jul-2025","EQ","308.00","317.70","306.20","307.95","317.15","316.75","314.77","355.00","218.20","24,38,750","76,76,52,000.25","30,832"
"18-Jul-2025","EQ","311.00","313.95","305.00","310.45","308.60","307.95","308.35","355.00","218.20","21,01,800","64,80,91,032.10","26,741"
"17-Jul-2025","EQ","312.40","314.20","309.70","311.30","310.80","310.45","312.16","355.00","218.20","11,90,356","37,15,80,505.75","16,423"
"16-Jul-2025","EQ","310.85","313.85","309.00","310.00","312.35","311.30","311.55","355.00","218.20","14,37,608","44,78,83,525.30","20,776"
"15-Jul-2025","EQ","317.00","321.30","308.90","316.80","310.15","310.00","313.11","355.00","218.20","21,63,484","67,73,97,823.25","29,248"
"14-Jul-2025","EQ","320.00","323.80","312.05","317.05","317.00","316.80","318.70","355.00","218.20","30,64,356","97,66,10,777.20","43,591"
"11-Jul-2025","EQ","313.90","323.35","312.30","312.40","316.70","317.05","317.54","356.95","218.20","48,47,270","1,53,92,00,225.45","54,736"
"10-Jul-2025","EQ","313.20","314.90","310.55","312.30","312.10","312.40","312.36","356.95","218.20","9,07,386","28,34,35,256.75","16,510"
"09-Jul-2025","EQ","311.95","314.50","308.70","311.65","312.40","312.30","312.53","356.95","218.20","14,07,062","43,97,52,498.35","22,326"
"08-Jul-2025","EQ","310.00","312.75","307.20","305.15","311.50","311.65","310.17","356.95","218.20","28,31,380","87,81,97,152.80","57,657"
"07-Jul-2025","EQ","305.95","307.05","301.00","305.70","304.60","305.15","303.95","356.95","218.20","12,68,531","38,55,76,260.40","22,993"
