ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","632.85","644.00","631.40","632.85","643.85","639.75","637.51","796.75","558.25","7,12,697","45,43,52,717.10","32,408"
"12-Aug-2025","EQ","630.45","638.55","627.05","630.45","630.95","632.85","631.71","796.75","558.25","23,70,696","1,49,75,90,308.60","28,288"
"11-Aug-2025","EQ","621.90","633.15","620.00","624.45","629.00","630.45","626.86","796.75","558.25","12,68,903","79,54,20,173.55","36,984"
"08-Aug-2025","EQ","635.70","638.45","620.95","635.70","622.00","624.45","628.77","796.75","558.25","18,20,049","1,14,43,97,444.95","40,548"
"07-Aug-2025","EQ","625.25","640.00","623.90","630.05","640.00","635.70","629.77","796.75","558.25","27,76,731","1,74,87,06,874.85","50,338"
"06-Aug-2025","EQ","643.90","643.90","625.35","641.50","629.95","630.05","631.90","796.75","558.25","10,35,230","65,41,64,642.40","35,208"
"05-Aug-2025","EQ","652.00","654.60","635.15","648.80","641.30","641.50","640.89","796.75","558.25","7,07,823","45,36,36,975.05","32,045"
"04-Aug-2025","EQ","645.00","656.50","641.95","641.95","649.00","648.80","650.01","796.75","558.25","11,96,098","77,74,70,436.25","34,120"
"01-Aug-2025","EQ","651.40","655.35","640.20","655.50","643.45","641.95","645.11","796.75","558.25","10,36,003","66,83,35,095.30","32,286"
"31-Jul-2025","EQ","652.25","660.00","645.00","656.00","650.50","655.50","656.84","796.75","558.25","6,28,708","41,29,61,437.55","19,292"
"30-Jul-2025","EQ","652.60","660.60","646.20","652.65","658.50","656.00","654.95","796.75","558.25","8,65,911","56,71,28,784.70","31,159"
"29-Jul-2025","EQ","645.95","658.00","640.25","645.95","654.30","652.65","649.26","796.75","558.25","8,68,584","56,39,34,540.40","39,323"
"28-Jul-2025","EQ","649.00","655.05","644.20","649.05","645.00","645.95","650.01","796.75","558.25","7,82,559","50,86,74,857.00","25,323"
