ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","701.00","714.00","696.00","696.90","699.00","698.20","704.09","885.00","535.20","1,70,560","12,00,89,817.65","9,480"
"12-Aug-2025","EQ","696.00","702.95","689.10","696.65","694.05","696.90","695.69","885.00","535.20","1,09,788","7,63,78,440.45","9,248"
"11-Aug-2025","EQ","697.00","704.95","682.00","700.80","695.90","696.65","692.23","885.00","535.20","1,74,255","12,06,24,696.95","12,608"
"08-Aug-2025","EQ","708.00","711.90","695.00","708.30","695.35","700.80","703.11","885.00","535.20","2,06,705","14,53,35,459.95","11,231"
"07-Aug-2025","EQ","715.00","715.00","695.25","717.00","709.00","708.30","704.80","885.00","535.20","2,53,289","17,85,17,156.25","14,757"
"06-Aug-2025","EQ","731.10","736.45","708.90","732.70","716.00","717.00","717.81","885.00","535.20","3,61,696","25,96,29,771.15","24,448"
"05-Aug-2025","EQ","747.50","752.00","725.65","747.50","730.00","732.70","733.63","885.00","535.20","3,66,956","26,92,10,825.90","15,355"
"04-Aug-2025","EQ","755.30","762.50","738.75","754.40","746.90","747.50","748.76","885.00","535.20","2,47,186","18,50,83,226.10","18,091"
"01-Aug-2025","EQ","784.10","799.00","743.15","782.70","755.30","754.40","766.44","885.00","535.20","7,42,052","56,87,38,868.70","35,363"
"31-Jul-2025","EQ","805.65","845.55","776.20","810.60","777.10","782.70","815.01","885.00","535.20","13,74,167","1,11,99,54,242.80","55,653"
"30-Jul-2025","EQ","804.00","815.90","796.45","803.70","815.90","810.60","805.67","885.00","535.20","2,29,618","18,49,96,728.05","9,902"
"29-Jul-2025","EQ","788.05","809.00","780.75","788.35","808.00","803.70","794.17","885.00","535.20","2,23,205","17,72,63,458.55","11,849"
"28-Jul-2025","EQ","782.00","802.50","779.35","779.65","785.30","788.35","791.10","885.00","535.20","2,81,178","22,24,40,360.35","12,309"
"25-Jul-2025","EQ","815.00","815.00","773.85","819.20","783.00","779.65","788.99","885.00","525.00","4,77,701","37,69,01,996.65","20,411"
"24-Jul-2025","EQ","800.00","829.00","796.35","801.85","816.40","819.20","820.26","885.00","525.00","2,82,326","23,15,79,703.10","16,133"
"23-Jul-2025","EQ","825.00","825.00","797.85","818.85","804.05","801.85","805.41","885.00","525.00","5,00,530","40,31,31,494.20","15,905"
"22-Jul-2025","EQ","832.05","833.65","815.65","825.65","818.00","818.85","822.55","885.00","525.00","1,78,657","14,69,54,406.15","9,511"
"21-Jul-2025","EQ","830.80","843.45","823.00","831.20","830.00","825.65","832.06","885.00","525.00","2,15,230","17,90,85,004.90","12,922"
"18-Jul-2025","EQ","835.40","843.30","825.15","834.55","829.80","831.20","834.06","885.00","525.00","2,75,618","22,98,81,800.45","11,720"
"17-Jul-2025","EQ","821.80","851.80","819.15","820.95","832.50","834.55","840.10","885.00","525.00","8,47,354","71,18,60,217.05","23,422"
"16-Jul-2025","EQ","820.00","828.65","812.65","823.35","822.85","820.95","821.01","885.00","525.00","2,69,085","22,09,22,168.50","13,479"
"15-Jul-2025","EQ","808.50","832.40","808.50","807.45","822.00","823.35","823.23","885.00","525.00","5,69,144","46,85,37,931.50","22,952"
"14-Jul-2025","EQ","803.80","823.50","792.55","807.55","806.10","807.45","810.16","885.00","525.00","3,53,634","28,65,01,112.90","17,507"
"11-Jul-2025","EQ","810.00","821.25","799.00","813.05","803.00","807.55","809.83","885.00","525.00","3,07,215","24,87,92,935.30","16,079"
"10-Jul-2025","EQ","809.90","819.80","806.55","801.65","813.10","813.05","814.24","885.00","525.00","3,81,051","31,02,65,241.10","24,047"
"09-Jul-2025","EQ","815.10","823.10","796.80","815.05","804.45","801.65","810.26","885.00","525.00","5,96,423","48,32,56,825.05","30,265"
"08-Jul-2025","EQ","798.00","818.25","788.10","798.70","814.00","815.05","807.68","885.00","525.00","8,04,560","64,98,30,152.75","34,872"
"07-Jul-2025","EQ","780.00","804.00","778.75","788.30","796.95","798.70","794.33","885.00","525.00","5,51,748","43,82,67,677.90","24,186"
"04-Jul-2025","EQ","774.00","791.00","773.25","779.60","786.00","788.30","784.09","885.00","516.85","4,97,781","39,03,06,948.70","22,531"
"03-Jul-2025","EQ","768.00","789.00","765.30","773.55","778.65","779.60","778.54","885.00","516.85","4,99,728","38,90,58,841.70","22,477"
"02-Jul-2025","EQ","765.65","783.00","753.00","765.80","773.00","773.55","771.11","885.00","516.85","7,74,384","59,71,31,650.75","32,761"
"01-Jul-2025","EQ","763.85","769.90","736.85","762.60","768.00","765.80","752.35","885.00","516.85","9,49,754","71,45,45,697.80","35,195"
"30-Jun-2025","EQ","759.35","771.05","752.75","749.85","763.85","762.60","762.29","885.00","516.85","4,63,355","35,32,10,910.00","20,446"
"27-Jun-2025","EQ","768.10","773.90","747.90","768.15","749.95","749.85","758.33","885.00","515.35","6,65,742","50,48,54,232.90","25,434"
"26-Jun-2025","EQ","740.00","776.80","740.00","739.95","767.95","768.15","763.82","885.00","515.35","19,35,863","1,47,86,57,602.60","63,734"
"25-Jun-2025","EQ","737.00","755.70","731.15","735.05","739.00","739.95","742.48","885.00","515.35","7,58,342","56,30,55,235.15","23,749"
"24-Jun-2025","EQ","727.15","738.00","715.20","724.10","736.00","735.05","729.96","885.00","515.35","8,90,935","65,03,47,706.80","30,636"
"23-Jun-2025","EQ","700.65","728.95","692.15","700.65","724.00","724.10","716.88","885.00","515.35","12,96,716","92,95,86,178.55","43,798"
"20-Jun-2025","EQ","705.00","719.00","693.15","704.30","701.00","700.65","704.60","885.00","502.80","13,89,862","97,92,97,716.25","41,211"
"19-Jun-2025","EQ","721.00","767.15","698.00","717.20","700.10","704.30","734.35","885.00","502.80","63,68,828","4,67,69,38,353.10","1,29,090"
"18-Jun-2025","EQ","727.00","733.35","712.00","724.55","715.75","717.20","723.19","885.00","502.80","9,81,312","70,96,78,373.70","29,433"
"17-Jun-2025","EQ","766.05","776.75","721.15","775.05","723.00","724.55","741.06","885.00","502.80","24,03,396","1,78,10,66,724.85","66,289"
"16-Jun-2025","EQ","780.00","790.00","754.05","793.55","770.10","775.05","772.25","885.00","502.80","31,77,600","2,45,39,00,055.85","76,893"
"13-Jun-2025","EQ","692.00","806.00","690.00","682.00","784.90","793.55","760.68","885.00","502.00","2,68,51,921","20,42,57,80,099.00","3,97,088"
"12-Jun-2025","EQ","680.00","703.50","677.10","680.20","680.00","682.00","688.48","885.00","502.00","3,51,763","24,21,82,038.65","14,623"
"11-Jun-2025","EQ","698.45","699.60","664.10","694.00","683.00","680.20","677.75","885.00","502.00","8,76,456","59,40,17,339.00","24,963"
"10-Jun-2025","EQ","707.00","712.00","690.00","707.00","695.00","694.00","699.56","885.00","502.00","1,85,451","12,97,34,894.95","8,822"
"09-Jun-2025","EQ","707.05","712.95","703.00","706.80","704.60","707.00","707.11","885.00","502.00","1,62,409","11,48,40,262.50","8,051"
"06-Jun-2025","EQ","713.85","720.10","700.30","712.85","704.55","706.80","707.23","885.00","462.30","2,48,362","17,56,48,911.55","13,275"
"05-Jun-2025","EQ","735.00","735.65","710.20","731.35","713.20","712.85","722.86","885.00","462.30","3,51,412","25,40,22,617.35","15,199"
"04-Jun-2025","EQ","716.00","736.00","707.00","713.95","730.00","731.35","724.34","885.00","462.30","3,37,020","24,41,17,344.75","14,205"
"03-Jun-2025","EQ","739.00","747.70","710.15","734.05","714.00","713.95","732.05","885.00","462.30","8,19,267","59,97,47,952.15","30,674"
"02-Jun-2025","EQ","702.95","737.40","701.00","702.40","733.50","734.05","727.84","885.00","462.30","15,17,314","1,10,43,59,934.25","33,002"
"30-May-2025","EQ","705.00","716.90","700.10","708.05","702.00","702.40","706.31","885.00","462.30","2,13,807","15,10,14,776.95","9,892"
"29-May-2025","EQ","708.60","711.25","693.00","704.90","708.00","708.05","702.04","885.00","462.30","5,53,476","38,85,64,285.15","13,849"
"28-May-2025","EQ","680.00","724.80","680.00","678.15","704.90","704.90","709.64","885.00","462.30","13,90,655","98,68,69,691.75","44,823"
"27-May-2025","EQ","683.55","686.85","673.20","683.35","677.90","678.15","677.74","885.00","462.30","92,684","6,28,15,250.85","6,088"
"26-May-2025","EQ","685.00","694.00","681.00","684.30","683.50","683.35","685.48","885.00","462.30","99,238","6,80,26,031.95","5,816"
"23-May-2025","EQ","680.65","686.50","676.05","680.65","684.55","684.30","681.87","885.00","462.30","1,16,716","7,95,85,648.90","7,447"
"22-May-2025","EQ","681.80","685.00","673.35","677.05","680.95","680.65","678.62","885.00","462.30","1,13,521","7,70,38,154.65","6,307"
"21-May-2025","EQ","681.40","685.95","670.20","675.50","674.20","677.05","678.08","885.00","462.30","1,54,948","10,50,66,940.80","9,309"
"20-May-2025","EQ","700.90","703.35","672.50","698.70","675.60","675.50","689.06","885.00","462.30","2,91,177","20,06,39,343.60","13,689"
"19-May-2025","EQ","693.90","708.00","690.00","691.55","700.00","698.70","699.37","885.00","462.30","2,25,874","15,79,69,092.35","12,663"
"16-May-2025","EQ","687.60","698.40","679.10","687.55","691.80","691.55","689.64","885.00","462.30","2,06,084","14,21,24,539.35","9,823"
"15-May-2025","EQ","691.95","702.85","684.35","689.35","686.00","687.55","690.95","885.00","462.30","1,64,311","11,35,30,001.95","9,309"
"14-May-2025","EQ","706.80","715.70","681.20","699.90","688.95","689.35","691.07","885.00","462.30","5,06,743","35,01,94,562.70","20,382"
"13-May-2025","EQ","720.00","748.00","690.80","717.60","705.00","699.90","723.54","885.00","462.30","19,52,376","1,41,26,28,023.80","80,595"
"12-May-2025","EQ","711.40","729.05","702.30","692.95","719.90","717.60","718.93","885.00","462.30","4,25,677","30,60,33,558.20","20,937"
"09-May-2025","EQ","659.80","704.35","659.80","683.05","688.00","692.95","687.92","885.00","462.30","2,71,712","18,69,15,117.70","18,977"
"08-May-2025","EQ","700.00","703.50","667.85","692.35","671.10","683.05","694.76","885.00","462.30","1,56,934","10,90,30,704.75","12,572"
"07-May-2025","EQ","680.00","698.00","670.80","687.35","691.00","692.35","689.45","885.00","462.30","2,23,899","15,43,67,751.80","20,267"
"06-May-2025","EQ","698.00","721.00","676.20","703.85","682.90","687.35","703.13","885.00","462.30","4,39,712","30,91,72,563.10","26,311"
"05-May-2025","EQ","699.95","706.75","679.50","688.70","699.60","703.85","697.48","885.00","462.30","2,82,774","19,72,27,880.10","18,272"
"02-May-2025","EQ","678.00","698.00","650.00","642.45","688.00","688.70","683.37","885.00","462.30","18,21,394","1,24,46,92,873.35","84,760"
"30-Apr-2025","EQ","657.00","658.00","634.90","654.25","645.00","642.45","646.11","885.00","462.30","3,45,985","22,35,43,670.80","18,470"
"29-Apr-2025","EQ","674.00","685.70","647.80","674.30","657.50","654.25","662.96","885.00","462.30","3,29,657","21,85,50,843.35","18,838"
"28-Apr-2025","EQ","692.65","693.50","670.55","695.65","672.00","674.30","680.23","885.00","462.30","2,35,192","15,99,85,154.25","17,267"
"25-Apr-2025","EQ","683.95","722.90","661.80","680.05","689.00","695.65","701.50","885.00","462.30","20,88,591","1,46,51,51,519.50","94,830"
"24-Apr-2025","EQ","690.00","691.95","676.00","688.50","679.25","680.05","680.92","885.00","462.30","1,50,629","10,25,66,432.65","13,242"
"23-Apr-2025","EQ","705.00","709.00","676.00","696.45","687.60","688.50","688.40","885.00","462.30","2,21,344","15,23,73,703.25","17,630"
