ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,105.00","1,110.60","1,070.00","1,103.30","1,070.00","1,077.20","1,083.37","1,309.90","802.00","1,66,083","17,99,28,809.90","14,611"
"11-Aug-2025","EQ","1,100.20","1,108.00","1,071.70","1,100.20","1,100.00","1,103.30","1,091.18","1,309.90","802.00","2,11,283","23,05,48,180.10","21,517"
"08-Aug-2025","EQ","1,095.00","1,113.40","1,086.30","1,103.30","1,098.50","1,100.20","1,101.77","1,309.90","802.00","1,43,951","15,86,00,615.50","12,551"
"07-Aug-2025","EQ","1,092.00","1,123.90","1,080.80","1,104.50","1,102.10","1,103.30","1,101.70","1,309.90","802.00","1,62,108","17,85,94,913.20","15,959"
"06-Aug-2025","EQ","1,119.00","1,134.00","1,088.50","1,119.10","1,100.00","1,104.50","1,103.44","1,309.90","802.00","2,23,552","24,66,75,620.70","21,275"
"05-Aug-2025","EQ","1,147.00","1,161.50","1,113.70","1,147.00","1,120.00","1,119.10","1,128.33","1,309.90","802.00","2,31,031","26,06,79,123.70","24,467"
"04-Aug-2025","EQ","1,152.20","1,160.70","1,122.60","1,158.40","1,147.00","1,147.00","1,141.07","1,309.90","802.00","3,11,376","35,53,02,157.70","24,601"
"01-Aug-2025","EQ","1,180.00","1,194.30","1,150.50","1,194.10","1,150.50","1,158.40","1,163.70","1,309.90","719.95","3,06,004","35,60,97,044.90","26,919"
"31-Jul-2025","EQ","1,220.00","1,233.10","1,181.20","1,236.30","1,194.30","1,194.10","1,205.32","1,309.90","719.95","3,70,860","44,70,04,998.40","37,734"
"30-Jul-2025","EQ","1,162.60","1,248.00","1,152.70","1,152.90","1,233.00","1,236.30","1,223.50","1,309.90","719.95","19,78,877","2,42,11,57,688.00","70,114"
"29-Jul-2025","EQ","1,176.00","1,225.00","1,093.00","1,174.20","1,153.60","1,152.90","1,158.04","1,309.90","719.95","9,93,855","1,15,09,27,238.60","72,405"
"28-Jul-2025","EQ","1,178.70","1,190.70","1,160.50","1,178.60","1,180.20","1,174.20","1,176.05","1,309.90","719.95","1,37,943","16,22,27,772.50","17,563"
"25-Jul-2025","EQ","1,171.00","1,185.60","1,156.10","1,175.00","1,175.90","1,178.60","1,172.70","1,309.90","707.70","1,99,653","23,41,33,696.80","17,895"
"24-Jul-2025","EQ","1,197.00","1,227.60","1,157.80","1,196.50","1,165.20","1,175.00","1,190.69","1,309.90","707.70","2,74,008","32,62,57,336.00","25,434"
"23-Jul-2025","EQ","1,213.00","1,213.00","1,180.00","1,210.30","1,196.50","1,196.50","1,196.77","1,309.90","707.70","1,91,477","22,91,54,442.60","20,524"
"22-Jul-2025","EQ","1,228.50","1,231.00","1,200.00","1,222.40","1,205.10","1,210.30","1,211.36","1,309.90","707.70","2,23,484","27,07,19,189.20","15,568"
"21-Jul-2025","EQ","1,240.00","1,242.00","1,213.30","1,232.00","1,222.00","1,222.40","1,228.04","1,309.90","707.70","3,44,925","42,35,82,352.50","34,192"
"18-Jul-2025","EQ","1,205.00","1,239.00","1,194.00","1,200.80","1,234.50","1,232.00","1,218.86","1,309.90","701.80","5,45,057","66,43,46,612.60","28,053"
"17-Jul-2025","EQ","1,204.40","1,204.40","1,177.50","1,194.50","1,202.00","1,200.80","1,198.16","1,309.90","701.80","4,54,668","54,47,64,173.40","33,619"
"16-Jul-2025","EQ","1,202.60","1,204.70","1,184.50","1,202.60","1,195.00","1,194.50","1,194.05","1,309.90","701.80","1,15,147","13,74,90,778.30","21,901"
"15-Jul-2025","EQ","1,205.80","1,206.50","1,194.00","1,194.00","1,199.90","1,202.60","1,202.52","1,309.90","701.80","2,19,949","26,44,93,112.10","24,151"
"14-Jul-2025","EQ","1,165.70","1,201.50","1,159.10","1,165.70","1,194.00","1,194.00","1,189.47","1,309.90","701.80","3,19,145","37,96,13,389.50","20,517"
"11-Jul-2025","EQ","1,173.30","1,183.50","1,156.10","1,171.80","1,156.50","1,165.70","1,173.26","1,309.90","701.80","1,44,076","16,90,38,334.90","12,940"
