ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,305.10","1,311.40","1,240.00","1,309.10","1,245.00","1,257.00","1,278.86","1,578.70","758.70","4,41,485","56,45,95,370.40","27,494"
"11-Aug-2025","EQ","1,307.20","1,314.80","1,262.50","1,308.50","1,304.10","1,309.10","1,289.10","1,578.70","758.70","5,60,887","72,30,37,960.50","36,607"
"08-Aug-2025","EQ","1,264.20","1,321.90","1,252.00","1,264.20","1,305.00","1,308.50","1,302.31","1,578.70","758.70","19,95,326","2,59,85,31,531.50","64,656"
"07-Aug-2025","EQ","1,180.30","1,274.00","1,180.30","1,190.10","1,263.00","1,264.20","1,243.74","1,578.70","758.70","21,42,058","2,66,41,57,943.90","71,596"
"06-Aug-2025","EQ","1,187.90","1,200.00","1,179.00","1,187.00","1,183.00","1,190.10","1,191.32","1,578.70","758.70","2,10,269","25,04,96,717.50","10,437"
"05-Aug-2025","EQ","1,189.80","1,191.70","1,174.20","1,189.80","1,185.00","1,187.00","1,186.33","1,578.70","758.70","3,05,602","36,25,45,939.70","10,222"
"04-Aug-2025","EQ","1,189.50","1,193.80","1,152.00","1,183.50","1,184.90","1,189.80","1,171.54","1,578.70","758.70","3,14,204","36,81,03,049.00","23,981"
"01-Aug-2025","EQ","1,180.00","1,217.90","1,178.00","1,177.00","1,179.00","1,183.50","1,192.59","1,578.70","758.70","5,49,053","65,47,94,310.00","35,300"
"31-Jul-2025","EQ","1,165.00","1,194.10","1,151.00","1,169.00","1,179.90","1,177.00","1,179.11","1,578.70","758.70","54,26,576","6,39,85,11,740.90","61,839"
"30-Jul-2025","EQ","1,162.90","1,194.70","1,162.90","1,162.70","1,169.00","1,169.00","1,178.76","1,578.70","758.70","2,87,122","33,84,47,629.50","23,405"
"29-Jul-2025","EQ","1,163.00","1,183.30","1,154.20","1,172.30","1,170.00","1,162.70","1,169.55","1,578.70","758.70","11,50,968","1,34,61,12,271.70","21,543"
"28-Jul-2025","EQ","1,171.00","1,199.00","1,152.00","1,170.50","1,175.00","1,172.30","1,176.38","1,578.70","758.70","5,07,058","59,64,90,769.10","43,818"
"25-Jul-2025","EQ","1,176.40","1,187.00","1,150.10","1,179.10","1,167.00","1,170.50","1,167.59","1,578.70","758.70","2,08,428","24,33,59,046.60","15,137"
"24-Jul-2025","EQ","1,232.00","1,252.40","1,171.00","1,214.50","1,171.20","1,179.10","1,206.52","1,578.70","758.70","9,32,521","1,12,51,02,226.20","35,288"
"23-Jul-2025","EQ","1,254.90","1,254.90","1,202.20","1,241.60","1,214.00","1,214.50","1,215.17","1,578.70","758.70","8,48,289","1,03,08,11,559.70","65,891"
"22-Jul-2025","EQ","1,262.50","1,268.50","1,225.20","1,253.10","1,240.00","1,241.60","1,246.22","1,578.70","758.70","13,80,482","1,72,03,82,276.50","38,555"
"21-Jul-2025","EQ","1,235.50","1,264.00","1,228.60","1,226.20","1,253.70","1,253.10","1,242.82","1,578.70","758.70","4,94,933","61,51,12,470.90","19,084"
"18-Jul-2025","EQ","1,234.00","1,234.80","1,198.60","1,228.90","1,229.90","1,226.20","1,219.43","1,578.70","758.70","2,35,941","28,77,13,732.20","21,879"
