ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","535.00","537.45","520.25","537.50","523.00","522.70","524.83","795.40","399.40","66,44,382","3,48,71,48,038.85","90,269"
"11-Aug-2025","EQ","528.10","544.55","520.00","528.10","538.00","537.50","530.85","795.40","399.40","99,53,585","5,28,38,42,207.90","1,26,370"
"08-Aug-2025","EQ","615.00","616.00","515.55","590.95","531.85","528.10","549.06","795.40","399.40","3,43,24,131","18,84,61,65,957.60","3,79,595"
"07-Aug-2025","EQ","583.00","600.10","569.70","590.20","598.10","590.95","586.96","795.40","399.40","60,60,138","3,55,70,29,789.60","53,620"
"06-Aug-2025","EQ","594.00","599.20","585.95","600.00","587.50","590.20","592.09","795.40","399.40","36,23,026","2,14,51,40,595.45","39,825"
"05-Aug-2025","EQ","593.00","603.15","590.10","596.45","597.00","600.00","597.01","795.40","399.40","36,09,951","2,15,51,71,407.15","42,486"
"04-Aug-2025","EQ","583.00","598.35","574.05","582.85","595.05","596.45","587.22","795.40","399.40","27,39,060","1,60,84,38,823.05","39,968"
"01-Aug-2025","EQ","594.00","594.45","580.80","594.70","583.00","582.85","587.59","795.40","399.40","25,14,506","1,47,74,93,817.10","53,925"
"31-Jul-2025","EQ","590.50","603.65","590.50","606.65","592.70","594.70","595.86","795.40","399.40","37,26,886","2,22,07,11,059.50","53,945"
"30-Jul-2025","EQ","604.40","610.00","601.55","604.40","605.85","606.65","605.28","795.40","399.40","16,39,300","99,22,29,874.80","29,018"
"29-Jul-2025","EQ","594.10","607.10","591.05","596.85","604.00","604.40","601.37","795.40","399.40","41,41,737","2,49,07,12,853.80","65,464"
"28-Jul-2025","EQ","590.90","603.00","587.35","594.00","599.00","596.85","596.33","795.40","399.40","33,01,048","1,96,85,03,387.15","41,737"
"25-Jul-2025","EQ","606.50","607.95","589.65","613.00","593.00","594.00","595.55","795.40","399.40","41,83,010","2,49,11,78,802.10","53,665"
"24-Jul-2025","EQ","612.00","617.70","602.25","611.80","607.65","613.00","610.19","795.40","399.40","46,25,453","2,82,23,85,661.60","65,246"
"23-Jul-2025","EQ","596.10","617.65","588.25","593.05","614.50","611.80","605.01","795.40","399.40","64,92,596","3,92,81,02,113.25","66,690"
"22-Jul-2025","EQ","591.05","595.00","586.00","591.20","593.00","593.05","590.38","795.40","399.40","26,44,299","1,56,11,47,371.90","41,483"
"21-Jul-2025","EQ","591.00","596.55","583.50","590.15","591.00","591.20","591.82","795.40","399.40","22,78,611","1,34,85,33,593.00","39,621"
"18-Jul-2025","EQ","601.50","603.85","587.70","600.50","589.90","590.15","593.56","795.40","399.40","33,16,072","1,96,82,81,466.40","57,078"
"17-Jul-2025","EQ","592.00","609.50","589.70","590.20","599.55","600.50","602.38","795.40","399.40","65,96,360","3,97,34,86,632.95","1,05,853"
"16-Jul-2025","EQ","590.00","595.75","586.10","588.25","589.00","590.20","591.30","795.40","399.40","25,90,757","1,53,19,06,541.75","37,762"
"15-Jul-2025","EQ","588.30","594.70","585.35","585.75","588.00","588.25","589.12","795.40","399.40","27,68,515","1,63,09,93,249.20","45,750"
"14-Jul-2025","EQ","586.20","588.40","580.20","582.15","585.55","585.75","585.27","795.40","399.40","19,29,247","1,12,91,25,809.05","28,133"
"11-Jul-2025","EQ","587.00","587.50","576.30","587.80","582.10","582.15","581.05","795.40","399.40","25,12,940","1,46,01,54,185.25","37,464"
"10-Jul-2025","EQ","579.00","590.00","577.90","578.80","585.20","587.80","584.84","795.40","399.40","36,81,106","2,15,28,64,506.20","42,479"
"09-Jul-2025","EQ","574.00","592.50","571.45","573.75","578.20","578.80","580.71","795.40","399.40","61,20,782","3,55,43,97,393.15","81,937"
"08-Jul-2025","EQ","586.10","586.10","562.95","584.05","573.75","573.75","573.25","795.40","399.40","53,88,844","3,08,91,29,504.45","76,561"
"07-Jul-2025","EQ","587.40","592.95","570.75","585.65","582.70","584.05","584.48","795.40","399.40","45,33,164","2,64,95,53,896.55","61,590"
"04-Jul-2025","EQ","583.05","587.65","578.40","582.85","587.00","585.65","584.34","795.40","399.40","24,63,946","1,43,97,84,667.55","33,004"
"03-Jul-2025","EQ","585.60","587.30","574.00","585.60","581.05","582.85","579.88","795.40","399.40","30,13,808","1,74,76,34,274.35","50,312"
"02-Jul-2025","EQ","570.35","593.60","566.80","570.35","585.00","585.60","582.95","795.40","399.40","1,03,25,501","6,01,92,42,991.80","1,24,948"
"01-Jul-2025","EQ","557.50","575.05","553.10","555.85","572.65","570.35","563.73","795.40","399.40","52,61,401","2,96,59,87,531.85","64,271"
"30-Jun-2025","EQ","546.00","559.05","542.25","544.75","555.25","555.85","551.96","795.40","399.40","55,31,047","3,05,29,26,297.20","73,141"
"27-Jun-2025","EQ","554.30","556.00","541.00","553.35","549.55","544.75","545.92","795.40","399.40","99,50,793","5,43,23,30,130.60","91,383"
"26-Jun-2025","EQ","542.90","557.45","534.20","540.35","551.00","553.35","546.54","795.40","399.40","61,05,005","3,33,66,09,431.45","72,188"
"25-Jun-2025","EQ","522.30","542.80","521.40","520.80","539.80","540.35","537.23","795.40","399.40","59,79,018","3,21,20,95,807.65","76,946"
"24-Jun-2025","EQ","517.45","527.45","517.45","515.65","521.50","520.80","522.34","795.40","399.40","31,58,001","1,64,95,46,869.80","45,731"
"23-Jun-2025","EQ","512.10","519.70","502.35","518.35","515.00","515.65","513.00","795.40","399.40","37,45,939","1,92,16,58,201.05","57,683"
"20-Jun-2025","EQ","510.55","522.50","506.60","511.05","516.60","518.35","515.22","795.40","398.85","25,72,731","1,32,55,13,690.10","37,485"
"19-Jun-2025","EQ","519.90","525.80","508.00","519.90","508.50","511.05","515.66","795.40","398.85","16,51,973","85,18,57,800.40","33,247"
"18-Jun-2025","EQ","512.20","523.10","509.70","514.55","519.00","519.90","517.23","795.40","398.85","25,10,894","1,29,87,10,297.70","32,158"
"17-Jun-2025","EQ","523.95","525.95","512.00","521.35","513.00","514.55","519.44","795.40","398.85","15,33,562","79,65,93,717.60","28,561"
"16-Jun-2025","EQ","518.00","523.50","514.10","518.95","522.30","521.35","519.67","795.40","398.85","16,77,132","87,15,55,597.15","28,290"
"13-Jun-2025","EQ","514.75","521.00","507.75","518.55","521.00","518.95","514.77","795.40","398.00","22,41,852","1,15,40,47,786.85","42,674"
"12-Jun-2025","EQ","537.95","537.95","517.10","535.20","519.95","518.55","526.71","795.40","398.00","27,60,817","1,45,41,44,365.65","54,019"
"11-Jun-2025","EQ","547.75","549.70","534.00","547.10","535.65","535.20","540.48","795.40","398.00","34,23,319","1,85,02,37,678.40","51,018"
"10-Jun-2025","EQ","554.25","555.00","541.55","551.65","547.75","547.10","546.45","795.40","398.00","29,36,338","1,60,45,53,385.35","56,512"
"09-Jun-2025","EQ","563.90","566.05","550.00","563.10","551.95","551.65","552.83","795.40","398.00","45,80,685","2,53,23,58,130.40","56,023"
"06-Jun-2025","EQ","554.05","567.20","550.20","554.10","563.50","563.10","560.30","795.40","336.05","40,13,554","2,24,87,97,907.10","62,004"
"05-Jun-2025","EQ","558.00","560.70","550.50","556.70","552.85","554.10","554.77","795.40","336.05","22,02,021","1,22,16,23,041.50","31,923"
"04-Jun-2025","EQ","557.75","565.50","554.00","556.65","556.45","556.70","558.22","795.40","336.05","16,07,744","89,74,79,209.90","26,774"
"03-Jun-2025","EQ","556.65","560.35","554.15","556.65","556.85","556.65","557.35","795.40","336.05","20,55,341","1,14,55,41,188.20","35,424"
"02-Jun-2025","EQ","560.95","561.15","551.00","560.40","553.90","556.65","555.11","795.40","336.05","21,48,392","1,19,26,01,376.20","35,867"
"30-May-2025","EQ","565.40","567.90","558.60","565.40","560.00","560.40","562.04","795.40","336.05","26,52,645","1,49,08,84,791.35","46,417"
"29-May-2025","EQ","571.15","573.30","562.00","570.60","565.35","565.40","567.16","795.40","336.05","22,82,974","1,29,48,12,749.80","37,771"
"28-May-2025","EQ","565.00","573.45","562.35","562.75","570.25","570.60","568.97","795.40","336.05","36,94,813","2,10,22,36,170.85","43,798"
"27-May-2025","EQ","568.30","575.90","560.00","568.35","563.00","562.75","567.16","795.40","336.05","32,54,302","1,84,56,96,095.75","49,446"
"26-May-2025","EQ","553.50","574.50","553.15","553.60","567.25","568.35","567.39","795.40","336.05","39,63,204","2,24,87,02,078.60","56,279"
"23-May-2025","EQ","554.00","557.95","548.30","554.10","553.50","553.60","552.77","795.40","336.05","15,06,623","83,28,12,541.65","29,097"
"22-May-2025","EQ","550.00","555.70","545.15","552.05","554.25","554.10","551.02","795.40","336.05","18,19,021","1,00,23,14,321.70","29,285"
"21-May-2025","EQ","549.55","557.95","547.00","546.15","552.95","552.05","552.53","795.40","336.05","22,42,053","1,23,88,11,079.85","35,062"
"20-May-2025","EQ","561.60","564.30","542.70","559.35","548.00","546.15","549.84","795.40","336.05","26,99,286","1,48,41,81,480.00","41,579"
"19-May-2025","EQ","560.40","565.00","553.05","560.40","560.00","559.35","559.73","795.40","336.05","27,97,104","1,56,56,31,666.30","46,562"
"16-May-2025","EQ","554.70","565.00","551.00","551.90","559.20","560.40","559.08","795.40","336.05","37,64,160","2,10,44,72,487.85","53,561"
"15-May-2025","EQ","552.10","556.65","548.60","551.45","551.25","551.90","552.68","795.40","336.05","26,79,355","1,48,08,20,601.60","43,053"
"14-May-2025","EQ","555.50","564.50","548.50","554.50","550.95","551.45","555.97","795.40","336.05","52,29,385","2,90,73,94,529.45","68,528"
"13-May-2025","EQ","538.20","557.70","536.60","538.15","553.60","554.50","547.76","795.40","336.05","66,79,954","3,65,90,06,534.10","93,864"
"12-May-2025","EQ","535.00","545.00","530.05","519.15","536.05","538.15","537.70","795.40","336.05","49,52,776","2,66,30,96,368.60","65,967"
"09-May-2025","EQ","501.10","527.50","501.10","512.40","517.85","519.15","519.70","795.40","336.05","83,18,725","4,32,32,58,269.80","1,06,759"
"08-May-2025","EQ","523.05","528.50","507.00","523.10","508.95","512.40","519.41","795.40","336.05","48,16,872","2,50,19,22,299.10","68,930"
"07-May-2025","EQ","496.50","526.20","493.65","502.25","520.15","523.10","511.74","795.40","336.05","65,51,428","3,35,26,24,429.05","91,371"
"06-May-2025","EQ","528.85","528.85","500.60","530.80","505.00","502.25","511.52","795.40","336.05","42,52,429","2,17,51,97,124.35","70,614"
"05-May-2025","EQ","512.90","534.80","508.10","508.45","528.90","530.80","523.79","795.40","336.05","50,57,306","2,64,89,64,292.85","70,772"
"02-May-2025","EQ","514.10","518.90","506.05","516.55","507.35","508.45","511.49","795.40","336.05","29,19,874","1,49,34,83,397.50","48,710"
"30-Apr-2025","EQ","519.85","522.85","511.40","518.20","514.10","516.55","517.90","795.40","336.05","32,30,049","1,67,28,46,594.55","47,003"
"29-Apr-2025","EQ","520.95","523.00","514.50","518.20","518.50","518.20","518.18","795.40","336.05","32,63,583","1,69,11,17,284.10","46,363"
"28-Apr-2025","EQ","501.20","525.60","501.00","501.25","517.30","518.20","518.63","795.40","336.05","77,18,095","4,00,28,43,486.15","1,00,125"
"25-Apr-2025","EQ","523.00","526.05","495.20","519.80","500.10","501.25","506.37","795.40","336.05","51,86,211","2,62,61,55,253.05","83,496"
"24-Apr-2025","EQ","536.00","536.00","517.45","538.00","518.95","519.80","526.64","795.40","336.05","49,69,546","2,61,71,52,935.85","74,788"
"23-Apr-2025","EQ","528.60","545.40","518.95","525.00","534.00","538.00","530.74","795.40","336.05","68,14,548","3,61,67,80,466.95","74,092"
"22-Apr-2025","EQ","532.00","539.15","521.60","529.15","524.05","525.00","531.20","795.40","336.05","47,07,881","2,50,08,22,057.25","60,065"
"21-Apr-2025","EQ","527.75","535.50","522.00","524.65","529.45","529.15","529.60","795.40","336.05","46,68,209","2,47,22,97,475.40","59,616"
"17-Apr-2025","EQ","525.25","533.30","516.20","525.35","522.95","524.65","524.43","795.40","336.05","56,28,907","2,95,19,83,995.10","72,835"
"16-Apr-2025","EQ","514.15","529.00","512.80","514.15","523.75","525.35","523.98","795.40","336.05","62,97,239","3,29,96,13,619.55","78,150"
"15-Apr-2025","EQ","518.05","523.95","511.45","510.75","513.30","514.15","517.50","795.40","336.05","55,95,619","2,89,57,51,296.80","73,997"
"11-Apr-2025","EQ","501.70","517.20","495.05","494.05","508.20","510.75","507.53","795.40","336.05","92,58,081","4,69,87,88,235.65","1,11,950"
"09-Apr-2025","EQ","493.00","498.70","482.25","492.30","497.00","494.05","489.48","795.40","336.05","47,38,177","2,31,92,59,398.35","64,516"
"08-Apr-2025","EQ","500.00","505.00","483.60","486.30","491.40","492.30","492.14","795.40","336.05","77,93,425","3,83,54,58,348.10","91,686"
"07-Apr-2025","EQ","443.05","492.00","443.05","487.15","491.05","486.30","473.61","795.40","336.05","1,00,31,988","4,75,12,77,258.75","1,25,985"
"04-Apr-2025","EQ","506.10","508.00","481.15","509.10","489.60","487.15","490.75","795.40","336.05","86,66,363","4,25,30,36,427.60","1,06,665"
"03-Apr-2025","EQ","502.50","516.90","497.90","511.10","507.90","509.10","508.53","795.40","336.05","1,60,10,829","8,14,19,46,375.50","1,74,261"
"02-Apr-2025","EQ","460.20","518.40","459.45","458.05","512.80","511.10","497.01","795.40","336.05","3,85,37,731","19,15,36,33,610.00","3,07,599"
"01-Apr-2025","EQ","467.50","469.50","452.60","467.25","459.00","458.05","460.17","795.40","336.05","48,13,861","2,21,52,12,175.00","66,733"
"28-Mar-2025","EQ","471.15","481.60","462.90","469.05","465.15","467.25","473.50","795.40","336.05","53,18,930","2,51,85,01,730.65","65,561"
"27-Mar-2025","EQ","473.00","475.00","464.30","474.30","471.00","469.05","469.69","795.40","336.05","50,40,093","2,36,73,03,863.45","65,496"
"26-Mar-2025","EQ","471.10","481.50","468.60","469.20","473.00","474.30","475.08","795.40","336.05","66,31,615","3,15,05,68,665.20","73,762"
"25-Mar-2025","EQ","492.35","495.00","466.45","489.85","469.00","469.20","477.11","795.40","336.05","86,67,538","4,13,53,86,402.45","1,07,652"
"24-Mar-2025","EQ","474.05","500.70","466.55","471.20","489.00","489.85","488.01","795.40","336.05","1,29,29,450","6,30,96,57,118.00","1,31,889"
"21-Mar-2025","EQ","467.85","484.00","464.55","467.25","469.30","471.20","474.50","795.40","336.05","97,07,389","4,60,61,12,540.45","95,876"
"20-Mar-2025","EQ","460.00","475.00","442.50","453.55","463.80","467.25","457.83","795.40","336.05","1,17,53,814","5,38,12,45,227.10","92,842"
"19-Mar-2025","EQ","434.45","465.00","434.00","434.45","456.80","453.55","446.44","795.40","336.05","87,32,320","3,89,84,37,376.00","70,482"
"18-Mar-2025","EQ","429.95","437.50","428.15","428.00","434.50","434.45","433.99","795.40","336.05","67,45,975","2,92,76,91,884.05","59,983"
"17-Mar-2025","EQ","430.00","437.75","425.00","430.90","426.75","428.00","431.72","795.40","336.05","62,86,845","2,71,41,35,007.05","67,939"
"13-Mar-2025","EQ","429.35","436.45","418.00","427.25","429.00","430.90","426.59","795.40","336.05","98,09,250","4,18,45,27,990.75","93,104"
"12-Mar-2025","EQ","424.15","431.40","417.65","421.50","426.00","427.25","424.54","795.40","336.05","1,30,69,316","5,54,84,18,225.15","1,25,949"
"11-Mar-2025","EQ","404.50","430.15","399.40","407.50","421.90","421.50","413.88","795.40","336.05","3,20,37,217","13,25,96,80,787.00","2,40,974"
"10-Mar-2025","EQ","438.00","439.10","406.00","431.70","407.95","407.50","416.36","795.40","336.05","1,71,35,126","7,13,43,61,271.45","2,40,590"
"07-Mar-2025","EQ","452.00","453.40","429.00","450.40","430.00","431.70","439.07","795.40","336.05","1,17,62,843","5,16,46,91,255.15","2,19,352"
"06-Mar-2025","EQ","468.25","475.50","447.10","467.45","448.90","450.40","458.93","795.40","336.05","76,22,018","3,49,79,92,451.20","1,18,695"
"05-Mar-2025","EQ","457.80","469.45","455.10","459.60","467.45","467.45","464.15","795.40","336.05","58,83,560","2,73,08,47,701.25","80,742"
"04-Mar-2025","EQ","437.90","465.35","426.00","440.45","456.00","459.60","445.69","795.40","336.05","1,22,07,939","5,44,09,27,617.50","1,33,209"
"03-Mar-2025","EQ","464.05","467.35","436.85","462.25","441.40","440.45","447.45","795.40","336.05","79,93,592","3,57,67,59,942.60","1,05,466"
"28-Feb-2025","EQ","452.55","472.30","452.55","469.20","468.55","462.25","461.57","795.40","336.05","96,78,048","4,46,70,83,359.80","1,05,181"
"27-Feb-2025","EQ","479.00","483.95","458.55","478.05","467.00","469.20","470.20","795.40","336.05","79,99,524","3,76,14,00,766.40","98,819"
"25-Feb-2025","EQ","482.45","487.90","473.15","479.10","476.50","478.05","480.71","795.40","336.05","66,24,720","3,18,45,92,476.75","69,477"
"24-Feb-2025","EQ","482.95","485.20","474.60","485.25","478.45","479.10","479.87","795.40","336.05","61,51,724","2,95,20,18,178.45","68,394"
"21-Feb-2025","EQ","493.00","502.40","482.00","493.85","483.20","485.25","491.96","795.40","336.05","69,75,603","3,43,17,18,305.10","89,498"
"20-Feb-2025","EQ","483.15","496.50","480.15","483.15","493.55","493.85","490.70","795.40","336.05","86,15,680","4,22,77,54,975.20","1,07,597"
"19-Feb-2025","EQ","484.00","493.75","474.80","484.30","483.40","483.15","485.98","795.40","336.05","1,63,18,703","7,93,05,95,878.60","2,04,673"
"18-Feb-2025","EQ","503.05","506.25","479.50","507.05","483.75","484.30","488.78","795.40","336.05","1,33,75,181","6,53,75,71,806.65","1,91,884"
