ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","5,852.00","5,915.50","5,790.50","5,851.00","5,808.50","5,808.50","5,848.72","7,822.00","3,825.15","2,19,706","1,28,49,99,911.50","32,033"
"11-Aug-2025","EQ","5,821.50","5,894.50","5,751.50","5,815.50","5,850.00","5,851.00","5,829.21","7,822.00","3,825.15","3,23,163","1,88,37,83,497.50","50,882"
"08-Aug-2025","EQ","6,090.00","6,110.00","5,792.50","6,089.00","5,800.50","5,815.50","5,916.17","7,822.00","3,825.15","5,35,725","3,16,94,38,964.50","64,379"
"07-Aug-2025","EQ","6,015.00","6,120.50","5,959.50","6,031.50","6,095.00","6,089.00","6,050.57","7,822.00","3,825.15","3,55,653","2,15,19,02,578.50","42,558"
"06-Aug-2025","EQ","6,325.00","6,325.00","6,003.50","6,325.50","6,026.00","6,031.50","6,075.77","7,822.00","3,825.15","6,77,596","4,11,69,17,574.50","95,330"
"05-Aug-2025","EQ","6,370.50","6,515.00","6,300.00","6,297.00","6,340.00","6,325.50","6,411.55","7,822.00","3,825.15","9,25,011","5,93,07,50,909.50","98,868"
"04-Aug-2025","EQ","6,375.00","6,466.50","6,233.50","6,371.50","6,304.00","6,297.00","6,318.83","7,822.00","3,825.15","7,02,441","4,43,86,04,248.00","69,562"
"01-Aug-2025","EQ","6,202.50","6,488.00","6,172.00","6,172.00","6,363.00","6,371.50","6,369.89","7,822.00","3,825.15","20,57,574","13,10,65,25,354.50","1,72,893"
"31-Jul-2025","EQ","5,590.00","6,284.00","5,477.00","5,638.00","6,202.00","6,172.00","6,076.18","7,822.00","3,825.15","38,89,665","23,63,42,93,675.00","3,16,593"
"30-Jul-2025","EQ","5,584.50","5,795.00","5,530.00","5,542.00","5,640.00","5,638.00","5,670.73","7,822.00","3,825.15","7,04,342","3,99,41,34,108.00","67,597"
"29-Jul-2025","EQ","5,487.00","5,567.00","5,405.00","5,517.00","5,560.50","5,542.00","5,483.68","7,822.00","3,825.15","3,24,509","1,77,95,02,193.50","43,957"
"28-Jul-2025","EQ","5,694.00","5,745.00","5,483.50","5,693.50","5,504.00","5,517.00","5,592.22","7,822.00","3,825.15","3,20,463","1,79,21,01,152.50","38,908"
"25-Jul-2025","EQ","5,664.00","5,775.00","5,656.00","5,660.50","5,675.00","5,693.50","5,719.91","7,822.00","3,726.00","2,33,276","1,33,43,17,031.50","33,182"
"24-Jul-2025","EQ","5,733.00","5,814.50","5,645.00","5,747.50","5,678.00","5,660.50","5,724.48","7,822.00","3,726.00","2,37,090","1,35,72,16,851.50","34,613"
"23-Jul-2025","EQ","5,802.00","5,819.50","5,723.50","5,783.00","5,759.00","5,747.50","5,763.61","7,822.00","3,726.00","2,12,076","1,22,23,22,835.00","26,496"
"22-Jul-2025","EQ","5,900.50","5,923.50","5,771.00","5,897.00","5,786.00","5,783.00","5,814.22","7,822.00","3,726.00","1,76,822","1,02,80,81,288.00","23,361"
"21-Jul-2025","EQ","5,853.00","5,911.00","5,751.00","5,853.00","5,897.00","5,897.00","5,838.41","7,822.00","3,726.00","2,03,408","1,18,75,78,649.50","30,139"
"18-Jul-2025","EQ","5,970.00","5,984.50","5,842.00","5,953.50","5,851.00","5,853.00","5,903.31","7,822.00","3,726.00","1,76,277","1,04,06,18,623.00","24,138"
"17-Jul-2025","EQ","5,999.00","6,010.00","5,931.00","5,977.50","5,955.00","5,953.50","5,967.47","7,822.00","3,726.00","1,28,335","76,58,35,152.00","16,882"
"16-Jul-2025","EQ","6,025.00","6,090.00","5,923.00","5,975.00","5,980.00","5,977.50","6,001.23","7,822.00","3,726.00","3,75,194","2,25,16,26,618.00","40,698"
"15-Jul-2025","EQ","6,050.00","6,089.00","5,960.00","6,023.00","5,966.50","5,975.00","6,009.36","7,822.00","3,726.00","1,99,416","1,19,83,63,172.50","26,302"
"14-Jul-2025","EQ","5,971.50","6,063.50","5,951.50","5,998.00","6,020.00","6,023.00","6,007.15","7,822.00","3,726.00","2,31,069","1,38,80,65,770.50","28,281"
"11-Jul-2025","EQ","6,169.50","6,193.00","5,977.00","6,164.50","5,986.50","5,998.00","6,048.71","7,822.00","3,726.00","2,77,516","1,67,86,14,993.00","36,773"
"10-Jul-2025","EQ","6,150.00","6,274.00","6,132.00","6,123.00","6,161.00","6,164.50","6,204.02","7,822.00","3,726.00","4,73,860","2,93,98,37,064.00","46,491"
"09-Jul-2025","EQ","6,070.00","6,238.00","6,070.00","6,007.00","6,129.00","6,123.00","6,162.05","7,822.00","3,726.00","7,01,423","4,32,22,02,745.00","75,772"
"08-Jul-2025","EQ","6,174.00","6,205.50","5,990.00","6,175.00","6,007.00","6,007.00","6,057.58","7,822.00","3,726.00","3,09,392","1,87,41,66,057.50","52,791"
"07-Jul-2025","EQ","6,145.00","6,239.00","6,119.50","6,156.50","6,162.50","6,175.00","6,190.38","7,822.00","3,726.00","2,06,661","1,27,93,10,332.50","23,259"
"04-Jul-2025","EQ","6,175.00","6,260.00","6,125.50","6,175.50","6,155.00","6,156.50","6,179.35","7,822.00","3,726.00","2,19,176","1,35,43,65,220.50","23,166"
"03-Jul-2025","EQ","6,300.00","6,398.00","6,150.00","6,286.50","6,155.00","6,175.50","6,258.65","7,822.00","3,726.00","4,83,680","3,02,71,83,988.00","51,744"
