ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","803.00","809.45","793.00","800.15","795.00","797.15","799.46","1,313.25","627.45","2,26,241","18,08,69,848.05","16,400"
"11-Aug-2025","EQ","809.00","811.00","795.00","806.05","798.00","800.15","800.98","1,313.25","627.45","3,36,754","26,97,32,254.75","21,251"
"08-Aug-2025","EQ","817.00","832.50","800.40","817.80","803.10","806.05","814.81","1,313.25","627.45","3,55,887","28,99,80,164.60","24,515"
"07-Aug-2025","EQ","820.00","825.55","797.30","827.45","817.80","817.80","810.60","1,313.25","627.45","5,05,546","40,97,94,448.50","33,801"
"06-Aug-2025","EQ","843.90","848.80","820.50","841.95","827.90","827.45","831.09","1,313.25","627.45","2,32,172","19,29,56,611.55","18,741"
"05-Aug-2025","EQ","833.70","851.70","830.00","833.25","842.80","841.95","841.01","1,313.25","627.45","3,44,247","28,95,14,547.30","22,370"
"04-Aug-2025","EQ","820.00","837.00","814.00","823.90","836.95","833.25","826.39","1,313.25","627.45","3,44,137","28,43,89,999.15","23,117"
"01-Aug-2025","EQ","861.20","862.30","815.20","861.50","822.80","823.90","839.60","1,313.25","627.45","5,33,801","44,81,81,085.40","29,132"
"31-Jul-2025","EQ","865.00","885.90","858.20","872.95","860.00","861.50","872.03","1,313.25","627.45","5,25,859","45,85,66,783.70","28,314"
"30-Jul-2025","EQ","861.95","881.40","850.50","860.25","874.90","872.95","867.06","1,313.25","627.45","8,95,296","77,62,76,819.45","41,917"
"29-Jul-2025","EQ","878.00","880.00","853.30","863.75","861.90","860.25","865.07","1,313.25","627.45","9,98,763","86,40,02,532.65","40,639"
"28-Jul-2025","EQ","853.00","873.95","851.90","861.30","862.00","863.75","862.56","1,313.25","627.45","3,31,265","28,57,36,954.05","18,668"
"25-Jul-2025","EQ","878.00","878.00","857.55","877.30","859.00","861.30","863.61","1,313.25","627.45","3,47,611","30,02,00,231.20","19,949"
"24-Jul-2025","EQ","861.10","887.50","859.00","857.80","879.00","877.30","877.67","1,313.25","627.45","6,35,854","55,80,71,450.35","29,760"
"23-Jul-2025","EQ","871.80","874.95","852.00","868.15","861.05","857.80","857.96","1,313.25","627.45","4,92,505","42,25,50,296.20","24,021"
"22-Jul-2025","EQ","879.70","888.00","866.00","876.10","867.90","868.15","874.11","1,313.25","627.45","3,64,518","31,86,27,903.15","23,932"
"21-Jul-2025","EQ","879.00","882.55","873.05","875.05","874.00","876.10","877.19","1,313.25","627.45","1,92,726","16,90,57,106.65","12,900"
"18-Jul-2025","EQ","881.90","885.70","866.00","879.35","873.00","875.05","872.90","1,313.25","627.45","3,35,617","29,29,61,533.10","18,930"
"17-Jul-2025","EQ","889.50","892.20","876.75","882.35","878.90","879.35","882.47","1,313.25","627.45","3,48,672","30,76,93,595.55","18,572"
"16-Jul-2025","EQ","861.50","887.15","861.50","878.95","882.80","882.35","878.76","1,313.25","627.45","5,12,531","45,03,91,718.45","21,291"
"15-Jul-2025","EQ","877.80","887.70","866.00","871.55","879.00","878.95","876.92","1,313.25","627.45","3,63,524","31,87,80,089.55","18,561"
"14-Jul-2025","EQ","870.65","881.00","864.00","864.65","872.50","871.55","871.61","1,313.25","627.45","4,28,058","37,31,01,175.20","31,338"
"11-Jul-2025","EQ","893.00","894.95","862.15","892.35","866.00","864.65","873.03","1,313.25","627.45","5,00,095","43,65,96,897.90","35,232"
"10-Jul-2025","EQ","904.60","913.80","890.05","897.40","893.50","892.35","899.66","1,313.25","627.45","4,04,104","36,35,56,689.15","22,076"
"09-Jul-2025","EQ","882.80","904.65","882.55","878.65","898.00","897.40","896.73","1,313.25","627.45","5,23,184","46,91,55,282.70","24,132"
"08-Jul-2025","EQ","887.80","899.55","876.25","887.90","877.90","878.65","883.42","1,313.25","627.45","3,60,197","31,82,05,474.50","17,592"
"07-Jul-2025","EQ","895.00","900.85","883.15","899.00","888.00","887.90","889.69","1,313.25","627.45","2,26,116","20,11,72,222.70","14,244"
"04-Jul-2025","EQ","902.50","906.25","892.35","900.30","898.05","899.00","897.95","1,313.25","627.45","2,84,065","25,50,75,201.45","13,920"
"03-Jul-2025","EQ","906.00","912.65","893.25","903.55","901.00","900.30","901.18","1,313.25","627.45","3,25,938","29,37,28,743.35","19,961"
"02-Jul-2025","EQ","913.80","917.05","898.15","909.80","903.00","903.55","905.24","1,313.25","627.45","2,87,188","25,99,75,259.30","18,325"
"01-Jul-2025","EQ","918.45","921.00","904.00","918.45","912.00","909.80","911.33","1,313.25","627.45","3,76,335","34,29,64,694.15","17,061"
"30-Jun-2025","EQ","916.00","925.80","911.00","906.05","920.00","918.45","917.40","1,313.25","627.45","5,25,412","48,20,13,552.70","17,188"
"27-Jun-2025","EQ","937.80","940.00","902.85","934.05","908.35","906.05","918.75","1,313.25","627.45","8,90,201","81,78,68,594.35","35,521"
"26-Jun-2025","EQ","934.00","947.00","922.40","927.70","933.00","934.05","935.84","1,313.25","627.45","14,44,530","1,35,18,42,147.15","49,378"
"25-Jun-2025","EQ","910.00","938.00","906.90","888.70","927.60","927.70","927.92","1,313.25","627.45","46,78,890","4,34,16,56,488.45","1,05,926"
"24-Jun-2025","EQ","899.40","904.00","885.55","884.00","890.00","888.70","894.35","1,313.25","627.45","4,88,591","43,69,70,080.10","27,498"
"23-Jun-2025","EQ","878.90","892.70","876.25","897.40","884.30","884.00","885.23","1,313.25","627.45","3,81,768","33,79,52,406.05","20,555"
"20-Jun-2025","EQ","888.60","899.70","880.40","888.60","893.00","897.40","891.25","1,313.25","627.45","3,71,359","33,09,72,475.00","14,230"
