ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","3,809.00","3,824.50","3,712.20","3,810.40","3,767.20","3,764.70","3,753.32","4,779.90","2,424.00","1,75,427","65,84,33,399.90","21,875"
"11-Aug-2025","EQ","3,839.00","3,871.00","3,781.00","3,840.90","3,809.00","3,810.40","3,815.25","4,779.90","2,424.00","1,94,520","74,21,41,482.80","27,157"
"08-Aug-2025","EQ","3,842.40","3,871.50","3,820.10","3,842.40","3,825.40","3,840.90","3,845.85","4,779.90","2,424.00","2,13,342","82,04,81,820.90","24,838"
"07-Aug-2025","EQ","3,779.00","3,859.90","3,764.90","3,810.00","3,850.50","3,842.40","3,822.56","4,779.90","2,424.00","1,88,489","72,05,10,670.40","23,623"
"06-Aug-2025","EQ","3,812.00","3,819.10","3,726.50","3,816.70","3,800.00","3,810.00","3,781.55","4,779.90","2,424.00","1,59,190","60,19,85,490.00","20,968"
"05-Aug-2025","EQ","3,900.00","3,905.00","3,810.00","3,883.30","3,815.80","3,816.70","3,850.78","4,779.90","2,424.00","2,99,828","1,15,45,71,000.50","32,862"
"04-Aug-2025","EQ","3,820.00","3,900.00","3,765.30","3,816.30","3,885.10","3,883.30","3,818.53","4,779.90","2,424.00","2,85,393","1,08,97,82,864.80","29,040"
"01-Aug-2025","EQ","3,858.00","3,889.90","3,802.00","3,844.20","3,820.00","3,816.30","3,839.63","4,779.90","2,424.00","1,61,240","61,91,01,852.50","18,719"
"31-Jul-2025","EQ","3,860.00","3,880.20","3,783.00","3,901.40","3,840.00","3,844.20","3,835.49","4,779.90","2,424.00","3,51,630","1,34,86,72,188.80","37,339"
"30-Jul-2025","EQ","3,935.00","3,938.00","3,847.20","3,922.00","3,905.00","3,901.40","3,887.41","4,779.90","2,424.00","1,56,034","60,65,68,140.30","18,887"
