ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","910.65","914.40","888.35","912.25","893.55","896.20","896.55","1,404.85","544.40","2,40,104","21,52,66,076.40","18,214"
"11-Aug-2025","EQ","905.00","915.80","898.00","904.85","908.00","912.25","908.62","1,404.85","544.40","4,32,839","39,32,86,775.00","11,742"
"08-Aug-2025","EQ","909.45","919.05","896.80","910.80","905.00","904.85","905.26","1,404.85","544.40","2,93,446","26,56,43,698.35","15,567"
"07-Aug-2025","EQ","914.00","917.00","883.95","919.50","912.00","910.80","899.92","1,404.85","544.40","4,95,767","44,61,51,759.35","25,059"
"06-Aug-2025","EQ","875.00","943.45","869.75","865.10","921.00","919.50","918.18","1,404.85","544.40","46,18,879","4,24,09,51,751.40","1,59,031"
"05-Aug-2025","EQ","880.00","890.70","859.20","883.85","862.05","865.10","870.87","1,404.85","544.40","1,02,529","8,92,89,616.35","8,200"
"04-Aug-2025","EQ","872.30","888.90","863.00","872.30","882.00","883.85","874.89","1,404.85","544.40","1,61,701","14,14,70,481.05","9,952"
"01-Aug-2025","EQ","903.00","907.20","865.10","904.20","869.70","872.30","886.55","1,404.85","544.40","99,821","8,84,96,031.80","8,708"
"31-Jul-2025","EQ","902.00","914.00","895.30","918.15","902.00","904.20","907.16","1,404.85","544.40","91,555","8,30,55,471.55","6,399"
"30-Jul-2025","EQ","924.60","931.90","913.80","920.80","918.00","918.15","921.10","1,404.85","544.40","64,077","5,90,21,218.60","6,594"
"29-Jul-2025","EQ","895.05","924.00","893.55","902.65","921.00","920.80","910.91","1,404.85","544.40","1,32,864","12,10,26,792.00","8,790"
"28-Jul-2025","EQ","915.00","916.60","892.70","915.50","900.10","902.65","902.90","1,404.85","544.40","1,71,898","15,52,06,547.75","14,175"
"25-Jul-2025","EQ","942.20","942.95","910.00","940.35","912.95","915.50","921.11","1,404.85","544.40","2,60,311","23,97,74,632.00","14,065"
"24-Jul-2025","EQ","916.00","945.00","911.35","916.00","940.60","940.35","931.19","1,404.85","544.40","3,39,469","31,61,11,231.95","15,788"
"23-Jul-2025","EQ","904.05","926.50","901.00","908.60","915.90","916.00","915.25","1,404.85","544.40","2,89,919","26,53,48,895.70","20,704"
"22-Jul-2025","EQ","927.50","927.50","904.00","919.65","909.20","908.60","912.31","1,404.85","544.40","1,80,850","16,49,91,171.10","9,325"
"21-Jul-2025","EQ","920.05","934.10","913.00","917.85","919.95","919.65","922.87","1,404.85","544.40","4,28,680","39,56,13,860.30","21,017"
"18-Jul-2025","EQ","935.05","937.90","913.25","938.10","919.50","917.85","923.95","1,404.85","544.40","2,62,223","24,22,79,974.85","16,760"
"17-Jul-2025","EQ","951.00","955.60","930.50","945.25","932.00","938.10","944.35","1,404.85","544.40","3,56,384","33,65,52,579.95","16,865"
"16-Jul-2025","EQ","918.80","957.50","915.70","915.00","945.00","945.25","941.86","1,404.85","544.40","9,70,094","91,36,96,251.15","44,230"
"15-Jul-2025","EQ","924.80","931.20","910.00","921.35","914.00","915.00","918.42","1,404.85","544.40","4,87,213","44,74,64,901.55","26,372"
"14-Jul-2025","EQ","913.90","932.35","904.80","914.85","922.40","921.35","919.38","1,404.85","544.40","5,84,728","53,75,85,936.95","35,434"
"11-Jul-2025","EQ","906.70","966.90","896.05","918.10","910.00","914.85","937.73","1,404.85","544.40","57,25,415","5,36,88,95,844.50","1,98,951"
"10-Jul-2025","EQ","833.65","939.90","833.65","831.85","912.00","918.10","899.99","1,404.85","544.40","40,36,219","3,63,25,76,284.75","1,02,744"
"09-Jul-2025","EQ","834.90","845.55","829.60","833.95","834.00","831.85","835.33","1,404.85","544.40","1,09,062","9,11,03,270.05","6,804"
