ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,303.00","1,325.00","1,285.00","1,312.30","1,320.00","1,310.20","1,301.96","1,817.00","953.00","41,763","5,43,73,894.30","7,695"
"12-Aug-2025","EQ","1,272.30","1,319.90","1,266.60","1,271.60","1,308.00","1,312.30","1,294.82","1,817.00","953.00","57,256","7,41,36,103.90","8,512"
"11-Aug-2025","EQ","1,291.10","1,300.90","1,260.00","1,289.20","1,274.90","1,271.60","1,272.42","1,817.00","953.00","47,702","6,06,96,816.20","7,836"
"08-Aug-2025","EQ","1,324.70","1,328.80","1,282.00","1,323.30","1,291.90","1,289.20","1,300.48","1,817.00","953.00","44,756","5,82,04,167.50","8,079"
"07-Aug-2025","EQ","1,355.00","1,356.90","1,318.80","1,366.50","1,320.90","1,323.30","1,331.20","1,817.00","953.00","67,630","9,00,28,766.50","10,748"
"06-Aug-2025","EQ","1,353.00","1,386.20","1,313.10","1,354.70","1,366.00","1,366.50","1,349.17","1,817.00","953.00","1,02,793","13,86,85,536.10","12,371"
"05-Aug-2025","EQ","1,356.00","1,384.40","1,343.20","1,356.30","1,348.00","1,354.70","1,364.36","1,817.00","953.00","97,080","13,24,51,860.10","12,139"
"04-Aug-2025","EQ","1,332.00","1,362.20","1,318.60","1,312.40","1,358.00","1,356.30","1,345.55","1,817.00","953.00","1,20,693","16,23,98,756.40","11,685"
"01-Aug-2025","EQ","1,324.00","1,327.40","1,292.50","1,319.10","1,315.00","1,312.40","1,310.03","1,817.00","953.00","81,973","10,73,87,016.60","7,329"
"31-Jul-2025","EQ","1,249.90","1,328.90","1,222.00","1,260.90","1,322.00","1,319.10","1,304.92","1,817.00","953.00","2,07,513","27,07,87,261.10","20,080"
"30-Jul-2025","EQ","1,267.70","1,273.60","1,222.50","1,257.60","1,254.40","1,260.90","1,248.81","1,817.00","953.00","92,074","11,49,82,746.70","12,749"
"29-Jul-2025","EQ","1,245.00","1,282.30","1,225.20","1,231.60","1,264.40","1,257.60","1,255.37","1,817.00","953.00","94,659","11,88,31,797.00","12,117"
"28-Jul-2025","EQ","1,293.00","1,293.00","1,224.50","1,298.20","1,244.00","1,231.60","1,252.35","1,817.00","953.00","2,47,740","31,02,56,096.10","23,594"
"25-Jul-2025","EQ","1,304.50","1,310.00","1,288.00","1,304.50","1,294.40","1,298.20","1,299.87","1,817.00","953.00","1,82,568","23,73,15,137.20","12,957"
"24-Jul-2025","EQ","1,329.90","1,332.10","1,287.00","1,316.60","1,305.10","1,304.50","1,304.01","1,817.00","953.00","1,91,734","25,00,22,790.00","18,040"
"23-Jul-2025","EQ","1,314.10","1,322.80","1,278.10","1,317.70","1,315.60","1,316.60","1,305.76","1,817.00","953.00","3,11,243","40,64,09,907.40","27,177"
"22-Jul-2025","EQ","1,491.90","1,508.20","1,261.20","1,483.50","1,280.00","1,317.70","1,346.15","1,817.00","953.00","10,13,433","1,36,42,37,745.80","66,936"
"21-Jul-2025","EQ","1,471.30","1,511.00","1,448.90","1,471.30","1,488.00","1,483.50","1,474.22","1,817.00","953.00","1,25,823","18,54,90,728.30","15,098"
"18-Jul-2025","EQ","1,484.00","1,504.90","1,460.10","1,482.10","1,477.00","1,471.30","1,478.61","1,817.00","953.00","91,397","13,51,40,604.10","9,319"
"17-Jul-2025","EQ","1,509.90","1,511.10","1,470.10","1,511.20","1,481.00","1,482.10","1,485.75","1,817.00","953.00","1,94,797","28,94,18,840.50","17,650"
"16-Jul-2025","EQ","1,405.90","1,550.00","1,394.90","1,403.10","1,498.00","1,511.20","1,490.04","1,817.00","953.00","5,96,002","88,80,67,465.70","42,605"
"15-Jul-2025","EQ","1,375.00","1,413.80","1,351.50","1,378.60","1,399.90","1,403.10","1,385.00","1,817.00","953.00","1,51,295","20,95,42,860.00","18,757"
"14-Jul-2025","EQ","1,402.00","1,425.00","1,373.00","1,401.60","1,374.90","1,378.60","1,391.94","1,817.00","953.00","1,14,310","15,91,12,132.60","12,408"
"11-Jul-2025","EQ","1,433.50","1,446.00","1,375.00","1,433.30","1,394.00","1,401.60","1,399.05","1,817.00","953.00","90,043","12,59,74,726.90","13,139"
"10-Jul-2025","EQ","1,442.90","1,448.60","1,422.10","1,418.80","1,430.50","1,433.30","1,431.66","1,817.00","953.00","48,408","6,93,03,844.40","6,832"
"09-Jul-2025","EQ","1,412.00","1,438.90","1,408.20","1,411.90","1,429.00","1,418.80","1,425.44","1,817.00","953.00","94,159","13,42,17,618.40","13,688"
"08-Jul-2025","EQ","1,413.00","1,434.00","1,391.00","1,411.80","1,412.00","1,411.90","1,412.11","1,817.00","953.00","97,868","13,82,00,173.50","11,387"
"07-Jul-2025","EQ","1,441.90","1,456.80","1,402.50","1,442.70","1,410.00","1,411.80","1,426.15","1,817.00","953.00","74,570","10,63,47,840.50","9,368"
"04-Jul-2025","EQ","1,460.80","1,483.00","1,431.00","1,454.40","1,435.20","1,442.70","1,458.54","1,817.00","953.00","1,00,349","14,63,62,908.20","11,295"
"03-Jul-2025","EQ","1,462.00","1,471.00","1,442.40","1,457.10","1,450.90","1,454.40","1,458.00","1,817.00","953.00","71,502","10,42,49,575.60","9,353"
"02-Jul-2025","EQ","1,463.40","1,489.90","1,446.30","1,457.80","1,460.90","1,457.10","1,462.04","1,817.00","953.00","1,98,133","28,96,78,226.30","19,495"
"01-Jul-2025","EQ","1,428.00","1,479.20","1,418.10","1,417.20","1,462.00","1,457.80","1,458.14","1,817.00","953.00","2,48,519","36,23,75,446.30","23,122"
"30-Jun-2025","EQ","1,440.40","1,462.00","1,405.00","1,428.00","1,415.00","1,417.20","1,433.01","1,817.00","953.00","1,11,682","16,00,41,952.00","11,170"
"27-Jun-2025","EQ","1,437.70","1,453.60","1,398.20","1,431.10","1,423.00","1,428.00","1,425.23","1,817.00","953.00","1,56,697","22,33,28,607.80","15,151"
"26-Jun-2025","EQ","1,435.00","1,467.90","1,423.30","1,430.80","1,429.00","1,431.10","1,441.98","1,817.00","953.00","1,40,918","20,32,00,353.50","15,756"
"25-Jun-2025","EQ","1,385.00","1,459.90","1,369.60","1,389.30","1,430.90","1,430.80","1,407.80","1,817.00","953.00","2,08,098","29,29,59,534.10","18,198"
"24-Jun-2025","EQ","1,422.00","1,428.90","1,368.00","1,399.20","1,385.00","1,389.30","1,390.95","1,817.00","953.00","1,13,368","15,76,89,366.80","15,198"
"23-Jun-2025","EQ","1,328.00","1,413.60","1,326.00","1,345.10","1,406.00","1,399.20","1,391.14","1,817.00","953.00","2,08,777","29,04,37,809.10","21,009"
"20-Jun-2025","EQ","1,285.00","1,351.00","1,280.60","1,292.80","1,347.00","1,345.10","1,330.10","1,817.00","953.00","1,48,302","19,72,57,047.60","15,340"
"19-Jun-2025","EQ","1,331.60","1,338.70","1,281.70","1,332.70","1,291.20","1,292.80","1,303.61","1,817.00","953.00","80,781","10,53,06,600.90","9,158"
"18-Jun-2025","EQ","1,307.70","1,344.00","1,306.10","1,320.90","1,344.00","1,332.70","1,325.55","1,817.00","953.00","85,102","11,28,07,066.70","10,836"
"17-Jun-2025","EQ","1,355.80","1,366.00","1,313.10","1,349.00","1,336.20","1,320.90","1,339.46","1,817.00","953.00","1,00,806","13,50,26,108.50","15,263"
"16-Jun-2025","EQ","1,331.00","1,383.80","1,331.00","1,321.60","1,346.90","1,349.00","1,359.57","1,817.00","953.00","2,61,197","35,51,16,129.40","34,355"
"13-Jun-2025","EQ","1,295.00","1,335.80","1,287.10","1,324.90","1,320.00","1,321.60","1,319.66","1,817.00","953.00","83,029","10,95,70,183.70","11,142"
"12-Jun-2025","EQ","1,355.00","1,375.00","1,318.40","1,345.00","1,320.00","1,324.90","1,339.72","1,817.00","953.00","76,923","10,30,55,072.60","8,896"
"11-Jun-2025","EQ","1,375.00","1,375.00","1,335.00","1,372.50","1,349.00","1,345.00","1,355.32","1,817.00","953.00","71,621","9,70,69,689.40","7,915"
"10-Jun-2025","EQ","1,369.70","1,378.60","1,352.30","1,358.20","1,363.10","1,372.50","1,366.02","1,817.00","953.00","85,052","11,61,82,549.20","10,708"
"09-Jun-2025","EQ","1,395.00","1,448.00","1,352.70","1,377.30","1,364.00","1,358.20","1,377.36","1,817.00","953.00","1,24,256","17,11,44,936.60","12,848"
"06-Jun-2025","EQ","1,345.40","1,413.50","1,338.00","1,338.70","1,391.00","1,377.30","1,387.92","1,817.00","953.00","3,36,473","46,69,99,253.00","35,549"
"05-Jun-2025","EQ","1,331.90","1,364.00","1,331.10","1,330.10","1,341.00","1,338.70","1,347.44","1,817.00","953.00","1,63,343","22,00,95,137.60","15,053"
"04-Jun-2025","EQ","1,315.00","1,360.00","1,297.10","1,305.20","1,329.00","1,330.10","1,337.83","1,817.00","953.00","2,45,730","32,87,44,567.70","21,018"
"03-Jun-2025","EQ","1,324.00","1,345.50","1,297.40","1,311.50","1,303.40","1,305.20","1,327.94","1,817.00","953.00","3,03,163","40,25,82,377.70","31,826"
"02-Jun-2025","EQ","1,254.50","1,318.00","1,241.30","1,253.80","1,314.50","1,311.50","1,299.84","1,817.00","953.00","2,99,280","38,90,17,534.00","22,437"
"30-May-2025","EQ","1,275.00","1,276.80","1,248.50","1,262.80","1,250.00","1,253.80","1,257.26","1,817.00","953.00","1,03,895","13,06,22,999.60","10,209"
"29-May-2025","EQ","1,286.00","1,293.00","1,260.00","1,278.70","1,263.00","1,262.80","1,273.20","1,817.00","953.00","95,511","12,16,04,352.20","9,297"
"28-May-2025","EQ","1,268.00","1,284.50","1,254.10","1,267.80","1,280.80","1,278.70","1,273.28","1,817.00","953.00","1,21,332","15,44,89,756.50","10,572"
"27-May-2025","EQ","1,264.90","1,277.80","1,250.50","1,259.70","1,268.00","1,267.80","1,266.26","1,817.00","953.00","98,303","12,44,76,890.40","8,194"
"26-May-2025","EQ","1,280.00","1,292.00","1,254.00","1,253.00","1,256.00","1,259.70","1,271.22","1,817.00","953.00","1,64,222","20,87,61,513.10","11,740"
"23-May-2025","EQ","1,230.60","1,275.10","1,208.30","1,220.70","1,275.00","1,253.00","1,239.84","1,817.00","953.00","2,18,543","27,09,57,523.80","16,713"
"22-May-2025","EQ","1,215.00","1,224.80","1,205.00","1,219.10","1,221.00","1,220.70","1,212.05","1,817.00","953.00","80,239","9,72,53,541.80","10,242"
"21-May-2025","EQ","1,206.80","1,234.00","1,192.60","1,206.40","1,220.20","1,219.10","1,218.12","1,817.00","953.00","89,433","10,89,39,785.30","13,294"
"20-May-2025","EQ","1,222.60","1,233.30","1,200.40","1,222.20","1,209.00","1,206.40","1,214.19","1,817.00","953.00","1,28,088","15,55,23,103.10","14,043"
"19-May-2025","EQ","1,224.90","1,255.00","1,210.00","1,212.10","1,223.10","1,222.20","1,233.79","1,817.00","953.00","1,73,992","21,46,70,139.80","18,362"
"16-May-2025","EQ","1,229.20","1,246.00","1,204.00","1,223.40","1,208.90","1,212.10","1,221.17","1,817.00","953.00","1,98,969","24,29,75,724.00","22,335"
