ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","799.60","800.75","785.50","795.40","790.00","790.55","791.61","958.00","582.25","38,721","3,06,51,979.25","3,875"
"11-Aug-2025","EQ","792.30","807.00","766.80","817.40","801.00","795.40","788.72","958.00","582.25","1,38,916","10,95,66,212.00","14,188"
"08-Aug-2025","EQ","835.00","849.00","811.85","831.10","816.00","817.40","821.68","965.00","582.25","55,930","4,59,56,345.35","5,041"
"07-Aug-2025","EQ","823.30","835.30","818.80","830.90","831.00","831.10","828.83","965.00","582.25","46,686","3,86,94,695.40","8,515"
"06-Aug-2025","EQ","837.50","849.60","828.05","845.15","832.00","830.90","832.76","965.00","582.25","24,952","2,07,79,024.60","3,162"
"05-Aug-2025","EQ","821.20","855.00","821.20","828.70","843.90","845.15","836.94","965.00","582.25","53,202","4,45,26,988.20","6,695"
"04-Aug-2025","EQ","844.95","844.95","821.00","842.60","831.75","828.70","828.33","965.00","582.25","49,618","4,11,00,012.35","7,244"
"01-Aug-2025","EQ","835.00","852.00","835.00","838.60","842.00","842.60","844.36","1,025.00","582.25","44,286","3,73,93,157.15","6,952"
"31-Jul-2025","EQ","847.70","853.00","831.00","855.50","846.00","838.60","842.74","1,025.00","582.25","30,966","2,60,96,382.15","4,123"
"30-Jul-2025","EQ","859.00","862.00","852.25","855.45","856.70","855.50","856.73","1,025.00","582.25","25,972","2,22,51,068.95","3,670"
"29-Jul-2025","EQ","859.95","864.15","845.70","859.85","855.00","855.45","856.75","1,025.00","582.25","63,009","5,39,82,807.10","8,913"
"28-Jul-2025","EQ","851.05","891.95","851.05","850.25","858.50","859.85","868.86","1,025.00","582.25","2,24,389","19,49,62,911.65","19,574"
"25-Jul-2025","EQ","880.85","884.70","842.00","880.85","848.45","850.25","852.69","5,125.50","582.25","96,167","8,20,00,597.55","8,358"
