ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","170.00","172.00","170.00","172.20","170.68","170.51","170.66","243.20","162.20","13,03,857","22,25,12,623.36","27,784"
"12-Aug-2025","EQ","172.50","172.65","171.70","172.19","172.25","172.20","172.23","243.20","162.20","6,85,602","11,80,82,936.37","16,653"
"11-Aug-2025","EQ","173.10","173.40","171.50","172.17","172.40","172.19","172.27","243.20","162.20","10,61,624","18,28,86,073.44","23,152"
"08-Aug-2025","EQ","175.00","175.00","171.50","173.65","172.75","172.17","172.76","243.20","162.20","16,17,508","27,94,35,841.79","26,491"
"07-Aug-2025","EQ","174.80","175.90","171.70","174.94","174.30","173.65","173.73","243.20","162.20","9,49,761","16,49,99,468.88","28,745"
"06-Aug-2025","EQ","179.40","179.75","174.60","178.68","175.15","174.94","175.61","243.20","162.20","15,55,826","27,32,17,655.15","41,814"
"05-Aug-2025","EQ","181.04","181.05","178.06","180.35","178.99","178.68","179.44","243.20","162.20","8,61,243","15,45,41,406.51","21,443"
"04-Aug-2025","EQ","178.50","180.80","177.50","178.39","180.00","180.35","179.71","243.20","162.20","8,32,567","14,96,17,688.95","19,370"
"01-Aug-2025","EQ","180.66","180.80","178.00","180.66","178.40","178.39","179.17","245.00","162.20","6,63,238","11,88,31,346.19","22,476"
"31-Jul-2025","EQ","181.10","181.59","179.70","182.11","180.80","180.66","180.69","245.00","162.20","8,91,240","16,10,34,285.59","22,907"
"30-Jul-2025","EQ","183.68","184.63","181.80","183.66","182.40","182.11","182.62","245.00","162.20","7,05,921","12,89,15,940.51","22,834"
"29-Jul-2025","EQ","185.49","185.76","181.62","184.80","184.30","183.66","182.66","245.00","162.20","22,10,515","40,37,81,128.55","26,568"
"28-Jul-2025","EQ","187.50","188.30","184.50","187.92","184.77","184.80","186.01","245.00","162.20","13,62,312","25,33,99,693.11","24,486"
"25-Jul-2025","EQ","188.80","188.80","187.02","188.71","187.89","187.92","187.76","245.00","162.20","5,23,457","9,82,82,009.86","22,579"
"24-Jul-2025","EQ","190.00","190.20","187.84","189.41","188.40","188.71","188.69","245.00","162.20","6,16,567","11,63,37,908.50","23,857"
"23-Jul-2025","EQ","190.85","191.40","188.39","190.52","189.56","189.41","189.44","245.00","162.20","7,88,668","14,94,08,773.34","24,060"
"22-Jul-2025","EQ","191.98","191.98","190.16","191.21","190.55","190.52","190.78","245.00","162.20","4,76,863","9,09,76,628.98","14,357"
