ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,256.00","3,310.80","3,233.20","3,256.00","3,295.00","3,295.40","3,278.10","3,653.95","2,293.55","98,394","32,25,45,855.00","28,225"
"12-Aug-2025","EQ","3,219.00","3,265.40","3,218.20","3,219.00","3,254.00","3,256.00","3,242.55","3,653.95","2,293.55","62,659","20,31,74,980.40","14,953"
"11-Aug-2025","EQ","3,190.00","3,229.10","3,174.70","3,190.30","3,214.80","3,219.00","3,213.77","3,653.95","2,293.55","51,648","16,59,84,835.60","11,963"
"08-Aug-2025","EQ","3,219.00","3,223.80","3,170.00","3,213.10","3,186.80","3,190.30","3,201.88","3,653.95","2,293.55","60,273","19,29,86,751.10","15,329"
"07-Aug-2025","EQ","3,192.90","3,227.40","3,146.50","3,208.90","3,199.90","3,213.10","3,207.29","3,653.95","2,293.55","80,081","25,68,43,013.10","18,812"
"06-Aug-2025","EQ","3,181.00","3,221.00","3,167.60","3,194.40","3,205.10","3,208.90","3,200.39","3,653.95","2,293.55","1,27,428","40,78,19,492.00","25,144"
"05-Aug-2025","EQ","3,101.00","3,214.00","3,101.00","3,100.00","3,181.30","3,194.40","3,183.53","3,653.95","2,293.55","1,74,428","55,52,96,107.10","30,245"
"04-Aug-2025","EQ","3,206.10","3,206.10","3,085.20","3,177.20","3,100.50","3,100.00","3,126.62","3,653.95","2,293.55","91,619","28,64,58,087.40","17,895"
"01-Aug-2025","EQ","3,190.00","3,215.90","3,108.00","3,150.90","3,175.00","3,177.20","3,171.03","3,653.95","2,293.55","2,04,246","64,76,70,653.90","35,350"
"31-Jul-2025","EQ","3,031.00","3,175.00","3,031.00","3,099.10","3,150.00","3,150.90","3,115.05","3,653.95","2,293.55","2,71,004","84,41,91,700.50","36,977"
"30-Jul-2025","EQ","3,050.00","3,120.00","3,015.10","3,026.20","3,101.00","3,099.10","3,100.94","3,653.95","2,293.55","1,12,076","34,75,41,100.20","22,669"
"29-Jul-2025","EQ","3,049.70","3,052.40","3,009.90","3,032.40","3,035.00","3,026.20","3,025.28","3,653.95","2,293.55","65,363","19,77,41,552.10","22,828"
"28-Jul-2025","EQ","3,077.00","3,122.40","3,000.80","3,077.10","3,020.00","3,032.40","3,048.38","3,653.95","2,293.55","71,561","21,81,45,390.70","19,134"
"25-Jul-2025","EQ","3,092.90","3,137.90","3,050.10","3,092.70","3,077.70","3,077.10","3,090.86","3,653.95","2,293.55","85,471","26,41,79,174.50","17,450"
