ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","836.60","866.00","833.05","830.95","866.00","863.15","851.58","922.50","417.70","28,17,582","2,39,93,93,512.40","71,788"
"12-Aug-2025","EQ","834.00","840.60","810.05","831.50","830.00","830.95","825.88","922.50","417.70","18,63,616","1,53,91,14,733.35","47,735"
"11-Aug-2025","EQ","818.00","834.00","816.85","821.85","834.00","831.50","827.98","922.50","417.70","13,35,688","1,10,59,19,826.30","31,596"
"08-Aug-2025","EQ","839.00","840.25","817.55","838.25","819.05","821.85","829.21","922.50","417.70","10,73,904","89,04,87,293.20","28,997"
"07-Aug-2025","EQ","828.00","842.85","824.35","836.20","838.60","838.25","834.85","922.50","417.70","16,78,103","1,40,09,70,581.80","39,167"
"06-Aug-2025","EQ","850.20","854.10","829.30","857.50","835.25","836.20","838.69","922.50","417.70","20,85,404","1,74,90,07,522.25","54,816"
"05-Aug-2025","EQ","861.15","872.00","852.30","861.20","857.00","857.50","860.78","922.50","417.70","11,68,162","1,00,55,27,216.30","38,785"
"04-Aug-2025","EQ","849.35","864.90","840.05","849.35","861.80","861.20","854.45","922.50","417.70","14,42,403","1,23,24,59,725.15","41,770"
"01-Aug-2025","EQ","874.30","874.95","846.00","874.35","850.75","849.35","858.08","922.50","417.70","22,33,515","1,91,65,42,573.20","67,560"
"31-Jul-2025","EQ","869.00","881.45","866.25","881.45","875.20","874.35","874.12","922.50","417.70","30,33,606","2,65,17,24,576.70","74,937"
"30-Jul-2025","EQ","909.90","922.50","876.55","909.85","882.30","881.45","896.19","922.50","417.70","55,53,033","4,97,65,87,411.10","93,425"
"29-Jul-2025","EQ","889.00","913.70","875.65","889.25","910.25","909.85","896.88","913.70","417.70","49,89,767","4,47,52,16,606.85","84,782"
"28-Jul-2025","EQ","833.00","901.50","828.05","837.75","886.50","889.25","884.37","901.50","417.70","1,76,17,498","15,58,04,73,221.60","2,61,904"
"25-Jul-2025","EQ","839.10","846.00","825.05","836.50","839.90","837.75","836.59","846.00","414.00","52,68,018","4,40,71,85,235.30","91,486"
"24-Jul-2025","EQ","823.95","842.00","817.15","822.50","835.50","836.50","831.12","842.00","414.00","23,58,313","1,96,00,38,708.65","48,273"
"23-Jul-2025","EQ","825.00","825.90","817.05","823.35","823.40","822.50","821.31","834.35","414.00","11,56,632","94,99,52,800.95","44,479"
"22-Jul-2025","EQ","831.90","832.00","815.00","829.45","824.50","823.35","822.31","834.35","414.00","9,47,754","77,93,48,999.55","29,154"
"21-Jul-2025","EQ","827.20","833.90","824.15","827.00","830.00","829.45","829.46","834.35","414.00","12,16,659","1,00,91,69,646.20","34,616"
"18-Jul-2025","EQ","825.10","829.00","814.50","821.50","826.50","827.00","822.10","834.35","414.00","9,89,477","81,34,47,385.10","27,959"
"17-Jul-2025","EQ","825.90","830.00","815.20","822.55","822.50","821.50","820.99","834.35","414.00","15,18,302","1,24,65,06,771.10","48,977"
"16-Jul-2025","EQ","821.00","832.65","819.25","827.05","822.90","822.55","823.93","834.35","414.00","9,68,965","79,83,61,539.30","29,777"
"15-Jul-2025","EQ","825.75","834.35","820.45","823.85","828.95","827.05","827.11","834.35","414.00","20,80,040","1,72,04,22,277.60","42,675"
"14-Jul-2025","EQ","788.20","827.50","788.20","790.20","826.00","823.85","814.56","827.50","414.00","50,83,453","4,14,07,96,694.30","82,290"
"11-Jul-2025","EQ","790.20","797.60","787.40","793.50","789.00","790.20","792.73","800.00","414.00","14,76,275","1,17,02,91,091.25","43,071"
"10-Jul-2025","EQ","798.80","800.00","783.15","794.40","792.35","793.50","792.14","800.00","414.00","20,30,879","1,60,87,36,128.10","40,026"
"09-Jul-2025","EQ","776.85","797.80","775.15","778.30","791.00","794.40","792.66","797.80","414.00","36,72,922","2,91,13,94,650.00","65,170"
"08-Jul-2025","EQ","775.00","779.70","761.20","776.25","777.50","778.30","772.03","779.70","414.00","15,58,057","1,20,28,63,108.80","38,308"
"07-Jul-2025","EQ","777.70","779.45","763.55","776.00","776.00","776.25","771.96","779.45","414.00","11,74,377","90,65,67,893.15","30,476"
