ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","146.40","148.60","144.04","144.99","148.11","147.37","146.11","162.40","112.29","22,47,829","32,84,39,888.32","23,526"
"12-Aug-2025","EQ","142.80","147.40","142.80","142.11","145.29","144.99","145.71","162.40","112.29","47,97,221","69,89,99,185.44","43,133"
"11-Aug-2025","EQ","145.00","149.43","141.05","143.31","142.00","142.11","144.67","162.40","112.29","59,18,250","85,62,01,104.83","52,053"
"08-Aug-2025","EQ","145.40","145.45","141.12","144.09","142.99","143.31","143.50","162.40","112.29","18,67,186","26,79,49,804.90","25,348"
"07-Aug-2025","EQ","144.45","144.70","142.70","144.45","144.55","144.09","143.72","162.40","112.29","20,49,881","29,46,12,907.51","42,087"
"06-Aug-2025","EQ","143.95","147.18","143.40","143.64","144.25","144.45","144.89","162.40","112.29","20,57,361","29,80,96,712.75","22,630"
"05-Aug-2025","EQ","146.50","148.80","143.16","145.97","143.90","143.64","145.08","162.40","112.29","15,85,499","23,00,27,420.50","19,669"
"04-Aug-2025","EQ","147.05","147.50","144.50","146.89","146.49","145.97","145.70","162.40","112.29","20,16,529","29,38,16,788.58","24,992"
"01-Aug-2025","EQ","150.00","151.63","146.10","149.79","146.84","146.89","148.79","162.40","112.29","18,78,179","27,94,52,417.30","23,206"
"31-Jul-2025","EQ","148.00","151.97","147.20","149.45","150.30","149.79","149.73","162.40","112.29","16,84,861","25,22,81,499.88","14,952"
"30-Jul-2025","EQ","150.39","152.43","148.82","150.39","149.95","149.45","150.39","162.40","112.29","9,90,605","14,89,76,066.21","17,984"
"29-Jul-2025","EQ","152.00","152.05","148.50","152.25","150.68","150.39","149.95","162.40","112.29","14,56,226","21,83,61,338.46","23,006"
"28-Jul-2025","EQ","153.00","154.86","151.30","153.43","151.80","152.25","153.05","162.40","112.29","13,32,486","20,39,38,698.39","26,790"
"25-Jul-2025","EQ","155.85","156.95","152.00","156.09","152.80","153.43","154.67","162.40","112.29","34,33,908","53,11,38,168.77","54,664"
"24-Jul-2025","EQ","157.00","158.00","155.30","156.82","156.00","156.09","156.40","162.40","112.29","13,10,250","20,49,19,785.50","18,804"
"23-Jul-2025","EQ","158.60","158.70","155.79","157.33","157.25","156.82","157.08","162.40","112.29","27,67,256","43,46,82,097.56","36,642"
"22-Jul-2025","EQ","157.20","158.90","154.70","156.24","157.80","157.33","156.69","162.40","112.29","37,13,864","58,19,24,016.10","60,317"
"21-Jul-2025","EQ","155.00","158.65","153.21","154.58","156.25","156.24","156.20","162.40","112.29","42,89,605","67,00,27,010.44","41,384"
"18-Jul-2025","EQ","155.00","156.80","151.15","155.00","154.60","154.58","153.50","162.40","112.29","34,59,494","53,10,32,522.51","49,937"
"17-Jul-2025","EQ","154.30","156.95","154.01","153.82","155.10","155.00","155.64","162.40","112.29","36,17,140","56,29,56,152.91","50,057"
"16-Jul-2025","EQ","154.00","155.60","152.45","153.83","154.00","153.82","154.02","162.40","112.29","23,14,150","35,64,15,031.78","26,646"
"15-Jul-2025","EQ","152.25","155.80","152.01","152.12","153.76","153.83","153.60","162.40","112.29","31,64,503","48,60,55,304.00","41,297"
"14-Jul-2025","EQ","152.30","154.80","150.54","153.38","152.06","152.12","152.30","162.40","112.29","25,26,060","38,47,30,768.23","27,493"
"11-Jul-2025","EQ","156.32","158.30","152.10","158.11","152.80","153.38","155.17","162.40","112.29","77,63,499","1,20,46,36,471.69","76,153"
"10-Jul-2025","EQ","146.01","161.00","146.01","146.01","158.10","158.11","154.03","162.40","112.29","2,15,69,113","3,32,23,32,045.92","1,31,325"
"09-Jul-2025","EQ","146.06","148.00","144.80","146.79","145.60","146.01","146.47","162.40","112.29","61,22,793","89,67,85,633.72","60,759"
"08-Jul-2025","EQ","138.25","147.99","138.25","138.43","146.22","146.79","144.48","162.40","112.29","1,52,38,932","2,20,17,78,730.05","1,21,707"
"07-Jul-2025","EQ","139.39","140.39","137.87","138.52","138.58","138.43","138.94","162.40","112.29","10,12,412","14,06,66,506.65","16,058"
"04-Jul-2025","EQ","138.50","139.20","137.50","137.95","138.70","138.52","138.35","162.40","112.29","7,92,120","10,95,92,978.74","14,626"
"03-Jul-2025","EQ","138.00","139.37","137.70","138.42","138.00","137.95","138.28","162.40","112.29","11,07,883","15,31,93,566.19","20,610"
"02-Jul-2025","EQ","139.40","140.58","137.31","139.50","138.60","138.42","138.77","162.40","112.29","12,64,427","17,54,65,988.23","19,095"
"01-Jul-2025","EQ","140.68","141.25","138.83","140.11","139.69","139.50","139.72","162.40","112.29","9,32,575","13,03,02,637.47","17,834"
"30-Jun-2025","EQ","138.90","141.10","138.80","138.62","140.77","140.11","140.20","162.40","112.29","23,73,871","33,28,26,306.27","68,109"
"27-Jun-2025","EQ","139.19","139.95","138.01","138.18","138.80","138.62","138.96","162.40","112.29","19,55,733","27,17,68,883.12","34,279"
"26-Jun-2025","EQ","139.89","140.39","137.17","138.77","138.20","138.18","138.51","162.40","112.29","20,84,397","28,87,11,734.89","23,242"
"25-Jun-2025","EQ","137.20","139.55","136.01","136.93","138.81","138.77","137.82","162.40","112.29","25,23,121","34,77,27,698.89","24,294"
"24-Jun-2025","EQ","140.00","140.00","134.64","134.80","136.50","136.93","136.41","162.40","112.29","22,60,623","30,83,82,339.31","24,991"
"23-Jun-2025","EQ","132.60","135.48","132.60","133.77","134.80","134.80","134.50","162.40","112.29","9,47,083","12,73,80,755.89","14,414"
"20-Jun-2025","EQ","133.70","136.11","132.57","133.43","134.01","133.77","133.87","162.40","112.29","46,47,139","62,21,32,321.18","46,856"
"19-Jun-2025","EQ","135.50","136.99","133.07","136.17","133.49","133.43","134.80","162.40","112.29","12,75,526","17,19,36,465.52","18,881"
"18-Jun-2025","EQ","138.00","139.70","135.87","138.17","136.30","136.17","137.03","162.40","112.29","11,79,055","16,15,69,472.84","22,669"
"17-Jun-2025","EQ","138.50","140.20","137.76","137.76","138.00","138.17","139.28","162.40","112.29","14,96,822","20,84,78,241.07","19,419"
"16-Jun-2025","EQ","138.48","139.49","135.91","138.57","138.11","137.76","137.37","162.40","112.29","14,11,116","19,38,50,056.54","23,606"
"13-Jun-2025","EQ","135.00","139.08","134.10","137.81","138.50","138.57","137.47","162.40","112.29","13,43,915","18,47,46,544.10","16,562"
"12-Jun-2025","EQ","140.95","141.28","137.11","140.35","137.82","137.81","139.20","162.40","112.29","11,72,193","16,31,64,019.34","21,147"
"11-Jun-2025","EQ","141.60","141.96","139.25","141.48","140.12","140.35","140.87","162.40","112.29","13,32,847","18,77,51,711.59","31,161"
"10-Jun-2025","EQ","141.70","142.75","140.40","141.12","141.61","141.48","141.58","162.40","112.29","18,36,568","26,00,19,429.87","26,362"
"09-Jun-2025","EQ","141.90","142.65","141.00","140.92","141.13","141.12","141.77","162.40","112.29","18,57,059","26,32,67,756.12","24,717"
"06-Jun-2025","EQ","142.01","142.28","140.49","141.32","141.10","140.92","141.26","162.40","112.29","21,48,507","30,35,08,041.33","27,493"
"05-Jun-2025","EQ","139.95","142.50","139.60","139.45","141.35","141.32","141.48","162.40","112.29","32,83,409","46,45,39,840.29","42,798"
"04-Jun-2025","EQ","139.49","140.80","138.88","138.88","139.49","139.45","139.78","162.40","112.29","29,68,390","41,49,29,336.87","35,167"
"03-Jun-2025","EQ","139.45","140.40","138.25","138.82","139.19","138.88","139.58","162.40","112.29","24,35,252","33,99,05,843.11","36,691"
"02-Jun-2025","EQ","140.90","140.90","137.91","139.33","138.50","138.82","139.33","162.40","112.29","30,87,130","43,01,38,080.58","27,807"
"30-May-2025","EQ","144.18","145.80","139.00","143.01","139.60","139.33","142.04","162.40","112.29","1,10,46,658","1,56,90,94,476.94","60,503"
"29-May-2025","EQ","142.35","144.00","141.98","141.14","142.82","143.01","142.73","162.40","112.29","26,37,945","37,65,07,142.34","23,989"
"28-May-2025","EQ","140.50","143.30","138.34","139.85","141.60","141.14","141.12","162.40","112.29","31,94,121","45,07,55,473.79","26,165"
"27-May-2025","EQ","139.00","140.50","137.10","140.12","140.00","139.85","139.07","162.40","112.29","17,64,332","24,53,68,668.42","19,188"
"26-May-2025","EQ","139.64","141.40","138.51","138.59","139.95","140.12","140.29","162.40","112.29","17,80,762","24,98,25,899.39","18,642"
"23-May-2025","EQ","139.00","139.98","137.04","135.46","138.59","138.59","138.72","162.40","112.29","18,42,794","25,56,30,152.24","24,000"
"22-May-2025","EQ","137.00","137.88","135.00","136.68","135.99","135.46","135.89","162.40","112.29","12,40,350","16,85,53,613.83","11,346"
"21-May-2025","EQ","135.92","138.01","135.17","135.78","136.79","136.68","136.53","162.40","112.29","12,63,304","17,24,79,331.17","19,316"
"20-May-2025","EQ","140.10","140.44","135.42","139.37","136.39","135.78","137.59","162.40","112.29","13,80,020","18,98,71,041.11","16,462"
"19-May-2025","EQ","141.03","141.50","138.40","140.33","139.70","139.37","139.98","162.40","112.29","11,08,965","15,52,31,996.96","15,012"
"16-May-2025","EQ","139.79","141.60","139.02","138.78","140.33","140.33","140.47","162.40","112.29","14,26,283","20,03,47,034.31","19,874"
"15-May-2025","EQ","140.10","141.30","137.94","139.38","138.88","138.78","139.07","162.40","112.29","11,46,860","15,94,91,724.48","14,500"
"14-May-2025","EQ","138.60","140.90","138.56","138.84","139.70","139.38","139.62","162.40","112.29","13,29,902","18,56,84,024.33","14,533"
"13-May-2025","EQ","138.15","140.14","136.80","138.03","138.97","138.84","138.67","162.40","112.29","14,94,410","20,72,25,850.92","23,375"
"12-May-2025","EQ","138.00","138.50","136.00","129.75","138.15","138.03","137.41","162.40","112.29","23,71,971","32,59,34,496.30","26,232"
"09-May-2025","EQ","129.99","131.76","128.09","133.66","130.30","129.75","129.49","162.40","112.29","25,16,808","32,59,00,432.40","29,817"
"08-May-2025","EQ","136.69","137.70","133.26","135.68","133.50","133.66","135.82","162.40","112.29","21,04,574","28,58,52,040.69","19,569"
"07-May-2025","EQ","130.00","137.00","129.70","133.71","135.57","135.68","134.43","162.40","112.29","24,25,459","32,60,60,071.95","28,646"
"06-May-2025","EQ","140.49","141.80","133.00","140.04","133.66","133.71","136.53","162.40","112.29","26,03,341","35,54,26,290.95","32,061"
"05-May-2025","EQ","137.78","141.00","136.73","137.75","140.15","140.04","139.49","162.40","112.29","25,00,828","34,88,34,519.69","32,667"
"02-May-2025","EQ","135.50","138.64","134.51","136.92","137.37","137.75","137.30","162.40","112.29","14,80,697","20,32,92,445.98","22,656"
"30-Apr-2025","EQ","137.74","139.99","135.01","139.09","135.50","136.92","137.42","162.40","112.29","21,47,111","29,50,52,970.97","25,260"
"29-Apr-2025","EQ","141.55","143.50","138.20","139.98","139.00","139.09","139.99","162.40","112.29","17,65,612","24,71,63,511.37","20,568"
"28-Apr-2025","EQ","137.50","142.02","137.11","139.47","140.40","139.98","139.76","162.40","112.29","31,26,603","43,69,76,776.76","43,309"
"25-Apr-2025","EQ","145.99","146.63","136.61","145.62","140.00","139.47","139.81","162.40","112.29","48,84,179","68,28,72,759.92","59,110"
"24-Apr-2025","EQ","145.26","147.35","144.51","146.75","145.60","145.62","145.65","162.40","112.29","22,97,966","33,46,96,672.07","21,550"
"23-Apr-2025","EQ","147.87","147.99","143.25","147.27","146.25","146.75","145.85","162.40","112.29","31,87,467","46,48,77,463.64","28,214"
"22-Apr-2025","EQ","147.60","148.09","145.05","147.31","147.00","147.27","146.81","162.40","112.29","25,28,498","37,12,09,275.78","28,835"
"21-Apr-2025","EQ","142.74","147.75","142.74","142.34","147.60","147.31","146.12","162.40","112.29","41,27,829","60,31,73,141.31","35,364"
"17-Apr-2025","EQ","142.64","143.50","140.30","141.72","142.35","142.34","142.20","162.40","112.29","21,70,527","30,86,47,082.35","27,804"
"16-Apr-2025","EQ","143.49","144.15","139.60","142.26","141.58","141.72","142.10","162.40","112.29","25,19,876","35,80,85,801.52","33,141"
"15-Apr-2025","EQ","142.00","144.18","139.85","139.75","142.50","142.26","142.49","162.40","112.29","35,01,825","49,89,70,216.30","35,757"
"11-Apr-2025","EQ","139.40","141.78","137.16","136.80","139.80","139.75","139.93","162.40","112.29","27,50,869","38,49,25,145.42","29,065"
"09-Apr-2025","EQ","137.56","138.79","135.32","138.64","136.40","136.80","136.92","162.40","112.29","15,54,016","21,27,71,043.32","26,519"
"08-Apr-2025","EQ","136.00","140.40","134.79","133.79","138.60","138.64","137.97","162.40","112.29","32,80,346","45,25,89,343.20","39,055"
"07-Apr-2025","EQ","121.01","134.84","121.01","136.83","134.00","133.79","130.53","162.40","112.29","42,07,099","54,91,56,250.55","48,142"
"04-Apr-2025","EQ","143.67","143.67","135.90","143.69","137.65","136.83","138.12","162.40","112.29","38,09,688","52,62,03,271.49","54,996"
"03-Apr-2025","EQ","138.35","144.35","138.35","140.71","143.68","143.69","142.90","162.40","112.29","44,81,487","64,04,01,880.35","34,049"
"02-Apr-2025","EQ","136.00","141.70","134.40","137.06","140.39","140.71","138.93","162.40","112.29","63,76,996","88,59,26,057.12","57,145"
"01-Apr-2025","EQ","128.20","138.43","127.81","128.41","136.20","137.06","134.99","162.40","112.29","58,87,022","79,46,82,811.45","52,555"
"28-Mar-2025","EQ","131.75","132.01","127.70","130.58","128.70","128.41","129.04","162.40","112.29","53,22,537","68,68,17,942.62","61,351"
"27-Mar-2025","EQ","131.99","133.15","127.10","131.86","130.99","130.58","131.44","162.40","112.29","61,51,119","80,85,14,312.37","52,224"
"26-Mar-2025","EQ","136.34","136.60","130.10","136.46","132.39","131.86","133.97","162.40","112.29","34,75,248","46,55,87,108.79","58,143"
"25-Mar-2025","EQ","139.89","140.00","136.00","138.87","136.32","136.46","137.73","162.40","112.29","33,11,341","45,60,68,812.69","44,737"
"24-Mar-2025","EQ","140.50","143.90","137.41","139.14","138.75","138.87","140.24","162.40","112.29","51,21,099","71,81,60,281.67","54,968"
"21-Mar-2025","EQ","137.50","139.90","135.44","137.25","139.50","139.14","138.63","162.40","112.29","38,55,039","53,44,25,344.74","86,228"
"20-Mar-2025","EQ","137.00","138.00","134.55","136.00","137.10","137.25","136.74","162.40","112.29","39,40,405","53,88,08,818.72","1,05,401"
"19-Mar-2025","EQ","135.50","137.67","134.11","134.59","136.00","136.00","136.05","162.40","112.29","36,38,662","49,50,35,731.36","52,232"
"18-Mar-2025","EQ","129.88","135.05","128.80","128.52","134.30","134.59","132.67","162.40","112.29","58,88,857","78,12,77,617.99","93,516"
"17-Mar-2025","EQ","129.06","129.20","126.60","127.55","128.50","128.52","128.25","162.40","112.29","31,28,499","40,12,19,854.64","53,089"
"13-Mar-2025","EQ","128.00","130.34","126.95","127.47","127.08","127.55","128.59","162.40","112.29","22,10,398","28,42,28,457.64","57,070"
