ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","6,215.00","6,291.50","6,199.50","6,214.00","6,241.00","6,226.00","6,232.44","8,780.00","5,242.40","10,292","6,41,44,284.00","2,794"
"12-Aug-2025","EQ","6,180.00","6,342.00","6,180.00","6,219.50","6,210.00","6,214.00","6,261.60","8,780.00","5,242.40","12,485","7,81,76,069.50","3,816"
"11-Aug-2025","EQ","6,303.00","6,321.00","6,105.00","6,375.50","6,215.00","6,219.50","6,176.16","8,780.00","5,242.40","44,773","27,65,25,311.00","13,854"
"08-Aug-2025","EQ","6,499.50","6,499.50","6,350.00","6,533.00","6,355.50","6,375.50","6,410.86","8,780.00","5,242.40","20,534","13,16,40,587.50","6,853"
"07-Aug-2025","EQ","6,459.50","6,575.00","6,355.00","6,464.00","6,544.00","6,533.00","6,452.60","8,780.00","5,242.40","15,955","10,29,51,179.50","3,687"
"06-Aug-2025","EQ","6,590.00","6,637.00","6,411.00","6,539.00","6,457.00","6,464.00","6,476.59","8,780.00","5,242.40","12,817","8,30,10,511.50","4,298"
"05-Aug-2025","EQ","6,645.00","6,645.00","6,524.50","6,597.50","6,549.50","6,539.00","6,569.47","8,780.00","5,242.40","14,174","9,31,15,664.00","4,313"
"04-Aug-2025","EQ","6,645.00","6,645.00","6,534.50","6,575.00","6,591.00","6,597.50","6,581.12","8,780.00","5,242.40","9,671","6,36,46,047.00","3,127"
"01-Aug-2025","EQ","6,617.00","6,618.00","6,530.00","6,573.50","6,600.50","6,575.00","6,576.52","8,780.00","5,242.40","13,710","9,01,64,024.50","2,895"
"31-Jul-2025","EQ","6,511.00","6,645.00","6,511.00","6,617.50","6,565.00","6,573.50","6,585.02","8,780.00","5,242.40","13,275","8,74,16,100.50","3,001"
"30-Jul-2025","EQ","6,615.00","6,649.50","6,575.00","6,565.00","6,610.00","6,617.50","6,615.90","8,780.00","5,242.40","8,405","5,56,06,623.50","2,295"
"29-Jul-2025","EQ","6,501.00","6,590.00","6,434.50","6,501.00","6,570.00","6,565.00","6,535.85","8,780.00","5,242.40","13,658","8,92,66,595.50","3,188"
"28-Jul-2025","EQ","6,411.00","6,619.50","6,402.50","6,464.00","6,481.00","6,501.00","6,518.02","8,780.00","5,242.40","21,976","14,32,39,963.00","6,378"
"25-Jul-2025","EQ","6,655.00","6,655.00","6,445.00","6,605.50","6,455.00","6,464.00","6,500.25","8,780.00","5,242.40","20,554","13,36,06,220.50","5,388"
"24-Jul-2025","EQ","6,645.00","6,824.50","6,595.00","6,582.00","6,620.00","6,605.50","6,680.64","8,780.00","5,242.40","26,666","17,81,45,918.00","7,724"
"23-Jul-2025","EQ","6,610.00","6,639.50","6,542.50","6,608.00","6,593.00","6,582.00","6,582.17","8,780.00","5,242.40","16,383","10,78,35,751.50","4,968"
"22-Jul-2025","EQ","6,650.00","6,709.00","6,590.00","6,689.00","6,609.00","6,608.00","6,635.54","8,780.00","5,242.40","13,930","9,24,33,036.50","4,231"
"21-Jul-2025","EQ","6,690.00","6,723.00","6,650.00","6,703.50","6,675.00","6,689.00","6,684.53","8,780.00","5,242.40","11,750","7,85,43,271.50","3,700"
"18-Jul-2025","EQ","6,731.00","6,765.00","6,653.00","6,723.00","6,701.00","6,703.50","6,695.43","8,890.00","5,242.40","11,378","7,61,80,612.00","2,934"
"17-Jul-2025","EQ","6,769.00","6,797.50","6,710.00","6,750.50","6,718.00","6,723.00","6,749.10","8,890.00","5,242.40","8,420","5,68,27,423.50","2,531"
"16-Jul-2025","EQ","6,867.50","6,884.50","6,740.00","6,841.50","6,753.00","6,750.50","6,791.48","8,890.00","5,242.40","12,566","8,53,41,687.00","3,609"
"15-Jul-2025","EQ","6,840.50","6,883.50","6,805.00","6,840.50","6,849.00","6,841.50","6,833.38","8,890.00","5,242.40","10,880","7,43,47,144.50","3,071"
"14-Jul-2025","EQ","6,805.00","6,874.00","6,750.00","6,794.50","6,810.00","6,840.50","6,824.13","8,890.00","5,242.40","26,193","17,87,44,358.00","6,776"
"11-Jul-2025","EQ","6,751.00","6,839.50","6,751.00","6,770.50","6,792.00","6,794.50","6,800.84","9,333.00","5,242.40","17,325","11,78,24,564.50","4,894"
"10-Jul-2025","EQ","6,812.00","6,820.50","6,720.00","6,792.50","6,778.50","6,770.50","6,770.40","9,333.00","5,242.40","20,736","14,03,90,936.50","6,110"
"09-Jul-2025","EQ","6,892.50","6,902.00","6,775.00","6,893.50","6,784.50","6,792.50","6,818.25","9,333.00","5,242.40","23,782","16,21,51,680.50","5,850"
"08-Jul-2025","EQ","6,675.50","6,920.00","6,669.00","6,679.50","6,876.00","6,893.50","6,813.15","9,333.00","5,242.40","1,40,403","95,65,86,798.50","27,231"
