ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","68.36","72.00","68.20","67.96","71.55","71.03","70.70","89.90","48.10","82,19,260","58,10,84,074.55","33,790"
"12-Aug-2025","EQ","66.90","68.60","66.46","66.67","68.05","67.96","67.95","89.90","48.10","43,05,921","29,25,80,642.54","22,699"
"11-Aug-2025","EQ","66.30","67.53","65.49","66.92","66.65","66.67","66.64","89.90","48.10","34,73,474","23,14,89,556.00","21,000"
"08-Aug-2025","EQ","69.10","69.24","66.60","68.94","66.70","66.92","67.82","89.90","48.10","20,48,172","13,89,08,647.11","16,785"
"07-Aug-2025","EQ","68.20","69.40","66.26","68.29","69.10","68.94","67.76","89.90","48.10","40,65,461","27,54,91,455.63","24,816"
"06-Aug-2025","EQ","70.10","71.39","67.32","69.94","68.20","68.29","68.81","89.90","48.10","34,03,926","23,42,23,408.18","24,551"
"05-Aug-2025","EQ","71.44","72.59","69.53","70.90","70.00","69.94","70.86","89.90","48.10","30,63,949","21,71,21,344.99","17,187"
"04-Aug-2025","EQ","69.50","71.65","69.30","69.01","71.25","70.90","70.63","89.90","48.10","34,72,982","24,53,09,627.81","17,218"
"01-Aug-2025","EQ","71.83","72.64","68.31","71.88","68.80","69.01","70.43","93.40","48.10","29,28,540","20,62,60,473.22","13,442"
"31-Jul-2025","EQ","69.40","72.75","68.42","70.51","71.86","71.88","71.27","93.40","48.10","48,12,890","34,30,21,309.92","20,173"
"30-Jul-2025","EQ","73.25","73.91","69.63","73.20","70.52","70.51","71.07","93.40","48.10","60,50,157","42,99,94,181.81","20,414"
"29-Jul-2025","EQ","70.95","73.69","69.16","71.04","73.25","73.20","71.96","93.40","48.10","44,46,209","31,99,70,931.76","18,764"
"28-Jul-2025","EQ","72.60","73.84","70.71","73.00","70.89","71.04","71.94","93.40","48.10","37,79,371","27,18,92,539.90","19,951"
"25-Jul-2025","EQ","75.14","76.45","72.72","75.03","72.98","73.00","74.36","93.40","48.10","41,87,562","31,13,88,027.28","18,072"
"24-Jul-2025","EQ","78.70","79.50","74.80","78.37","75.10","75.03","76.66","93.40","48.10","58,14,850","44,57,54,263.88","18,044"
"23-Jul-2025","EQ","78.09","79.30","77.13","77.82","78.45","78.37","78.41","93.40","48.10","39,04,468","30,61,31,971.56","14,907"
"22-Jul-2025","EQ","79.44","79.55","77.51","78.91","77.75","77.82","78.54","93.40","48.10","33,64,203","26,42,13,275.01","15,365"
"21-Jul-2025","EQ","76.16","79.90","74.51","75.56","78.88","78.91","78.14","93.40","48.10","92,31,572","72,13,80,372.45","35,208"
"18-Jul-2025","EQ","74.92","77.70","74.83","74.53","75.70","75.56","76.12","93.40","48.10","58,07,896","44,20,74,018.74","22,860"
"17-Jul-2025","EQ","77.87","78.12","74.12","77.57","74.59","74.53","75.73","93.40","48.10","55,17,623","41,78,64,240.80","22,185"
"16-Jul-2025","EQ","78.39","79.09","77.17","78.38","77.20","77.57","77.86","93.40","48.10","36,84,297","28,68,55,623.69","13,832"
"15-Jul-2025","EQ","79.94","79.98","77.92","79.38","78.50","78.38","78.78","93.40","48.10","39,43,818","31,06,96,640.20","14,762"
