ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","78.19","78.40","74.51","78.46","75.50","75.92","76.59","96.40","37.28","44,90,241","34,38,86,282.06","27,609"
"11-Aug-2025","EQ","83.80","86.00","77.60","83.68","77.96","78.46","81.61","96.40","37.28","64,85,228","52,92,73,809.44","39,772"
"08-Aug-2025","EQ","85.15","85.69","82.10","84.94","84.00","83.68","84.52","96.40","37.28","26,56,012","22,44,96,512.02","20,770"
"07-Aug-2025","EQ","83.70","85.40","81.25","83.64","85.10","84.94","83.36","96.40","37.28","25,31,103","21,09,94,425.11","15,765"
"06-Aug-2025","EQ","85.70","86.40","83.21","85.21","83.55","83.64","84.30","96.40","37.28","13,68,527","11,53,69,637.56","11,066"
"05-Aug-2025","EQ","84.00","86.90","83.72","83.72","85.69","85.21","85.86","96.40","37.28","50,75,144","43,57,71,339.02","21,643"
"04-Aug-2025","EQ","80.01","85.50","80.01","80.78","83.70","83.72","83.41","96.40","37.28","33,96,832","28,33,34,146.89","19,872"
"01-Aug-2025","EQ","86.48","86.68","80.00","86.65","80.42","80.78","83.57","96.40","37.28","33,47,843","27,97,74,606.81","19,378"
"31-Jul-2025","EQ","79.85","88.40","79.37","81.28","86.40","86.65","85.89","96.40","37.28","1,26,82,673","1,08,93,13,161.62","37,457"
"30-Jul-2025","EQ","82.50","83.64","80.95","82.12","81.09","81.28","82.22","96.40","37.28","19,09,979","15,70,47,173.53","10,391"
"29-Jul-2025","EQ","81.54","82.50","79.59","81.05","82.15","82.12","81.50","96.40","37.28","18,03,317","14,69,75,787.79","10,809"
"28-Jul-2025","EQ","79.64","81.99","78.43","79.39","81.13","81.05","79.97","96.40","37.28","20,77,591","16,61,52,449.08","11,140"
"25-Jul-2025","EQ","81.00","81.44","79.00","81.52","79.71","79.39","79.95","96.40","37.28","17,66,713","14,12,52,061.08","12,264"
"24-Jul-2025","EQ","82.07","82.40","80.70","82.07","81.30","81.52","81.63","96.40","37.28","10,10,723","8,25,09,114.86","6,440"
"23-Jul-2025","EQ","82.10","82.50","81.35","81.74","82.10","82.07","81.88","96.40","37.28","13,42,625","10,99,40,386.25","7,861"
"22-Jul-2025","EQ","82.76","83.00","80.51","82.27","82.00","81.74","81.73","96.40","37.28","23,10,207","18,88,02,171.21","14,573"
"21-Jul-2025","EQ","81.35","83.37","79.96","80.70","82.40","82.27","81.84","96.40","37.28","65,08,325","53,26,37,497.20","26,281"
"18-Jul-2025","EQ","80.10","81.44","78.34","80.30","80.85","80.70","80.34","96.40","37.28","49,93,808","40,11,99,436.83","26,812"
"17-Jul-2025","EQ","84.97","86.06","79.78","84.83","80.87","80.30","81.93","96.40","37.28","41,29,296","33,83,24,368.88","25,177"
"16-Jul-2025","EQ","87.00","87.20","82.62","86.71","84.74","84.83","84.44","96.40","37.28","57,57,595","48,61,98,316.67","28,842"
"15-Jul-2025","EQ","88.80","91.85","86.36","88.94","86.40","86.71","88.39","96.40","37.28","37,61,609","33,24,70,510.67","17,303"
"14-Jul-2025","EQ","90.66","91.43","87.55","90.66","88.56","88.94","89.41","96.40","37.28","31,66,725","28,31,26,518.57","21,303"
"11-Jul-2025","EQ","91.50","93.78","89.95","92.86","90.60","90.66","91.41","96.40","37.28","30,94,889","28,29,17,434.06","21,138"
"10-Jul-2025","EQ","89.00","94.34","89.00","88.96","91.85","92.86","92.73","96.40","37.28","78,22,662","72,53,58,315.02","42,206"
"09-Jul-2025","EQ","88.05","91.49","88.04","88.09","89.17","88.96","89.71","96.40","37.28","49,59,493","44,49,16,891.82","23,631"
"08-Jul-2025","EQ","89.50","90.25","86.11","89.61","87.73","88.09","88.12","96.40","37.28","26,66,644","23,49,79,943.89","21,777"
"07-Jul-2025","EQ","91.41","93.60","89.02","90.94","89.48","89.61","90.75","96.40","37.28","36,19,680","32,85,03,333.41","23,535"
"04-Jul-2025","EQ","92.37","96.40","89.38","92.40","91.13","90.94","93.72","96.40","37.28","1,09,18,098","1,02,32,37,521.37","40,258"
"03-Jul-2025","EQ","83.99","93.20","83.51","83.50","92.60","92.40","90.24","93.20","37.28","1,20,57,629","1,08,80,53,884.37","39,373"
"02-Jul-2025","EQ","89.20","89.25","81.91","88.67","84.04","83.50","84.79","92.64","37.28","37,57,598","31,86,18,825.52","17,088"
"01-Jul-2025","EQ","89.01","90.50","88.06","89.28","88.90","88.67","89.54","92.64","37.28","29,02,297","25,98,85,657.17","16,043"
"30-Jun-2025","EQ","89.95","90.40","87.71","88.94","89.07","89.28","89.13","92.64","37.28","34,25,619","30,53,27,772.82","17,491"
"27-Jun-2025","EQ","81.11","92.64","81.11","80.50","89.30","88.94","87.75","92.64","37.28","1,86,32,333","1,63,49,15,882.94","84,211"
"26-Jun-2025","EQ","78.34","81.00","78.30","78.28","80.75","80.50","79.92","81.00","37.28","37,57,456","30,03,13,090.26","55,805"
"25-Jun-2025","EQ","78.25","78.91","75.50","77.38","78.36","78.28","77.95","79.50","37.28","17,87,367","13,93,24,832.93","50,195"
"24-Jun-2025","EQ","73.75","79.50","73.40","72.33","77.70","77.38","77.11","79.50","37.28","86,76,924","66,90,76,097.03","38,718"
"23-Jun-2025","EQ","69.54","73.50","69.28","70.31","72.82","72.33","71.84","76.50","37.28","21,67,910","15,57,46,651.90","8,566"
"20-Jun-2025","EQ","70.71","72.19","69.51","71.09","70.20","70.31","70.73","76.50","37.28","10,85,356","7,67,69,629.66","5,146"
"19-Jun-2025","EQ","70.99","73.20","68.40","70.72","70.00","71.09","70.57","76.50","37.28","31,96,396","22,55,83,483.14","11,080"
"18-Jun-2025","EQ","71.98","71.98","69.71","71.76","70.50","70.72","70.96","76.50","37.28","12,87,192","9,13,34,050.28","4,882"
"17-Jun-2025","EQ","73.00","73.20","71.60","72.77","71.71","71.76","72.19","76.50","37.28","17,07,544","12,32,72,297.64","5,999"
"16-Jun-2025","EQ","73.95","74.20","70.45","73.97","72.95","72.77","72.58","76.50","37.28","31,56,814","22,91,19,997.72","11,042"
"13-Jun-2025","EQ","71.00","76.50","70.26","72.86","73.93","73.97","74.37","76.50","37.28","46,64,741","34,69,36,544.52","17,245"
"12-Jun-2025","EQ","73.95","75.70","71.61","73.43","73.00","72.86","73.34","75.70","37.28","72,29,482","53,02,17,887.04","29,081"
"11-Jun-2025","EQ","72.70","74.00","70.20","70.72","73.43","73.43","72.05","74.00","37.28","42,93,551","30,93,44,635.31","20,557"
"10-Jun-2025","EQ","70.90","71.79","68.50","70.29","70.85","70.72","70.05","73.59","37.28","31,82,775","22,29,40,037.73","19,533"
"09-Jun-2025","EQ","70.50","73.59","69.55","70.33","70.30","70.29","71.55","73.59","37.28","71,60,106","51,23,09,848.40","32,052"
"06-Jun-2025","EQ","65.49","71.50","65.34","65.10","69.50","70.33","69.46","71.50","37.28","72,92,230","50,65,33,459.16","34,644"
"05-Jun-2025","EQ","66.75","67.50","64.62","66.39","65.49","65.10","66.28","68.15","37.28","76,23,629","50,52,90,670.41","20,083"
"04-Jun-2025","EQ","62.55","68.15","62.55","62.05","67.10","66.39","66.18","68.15","37.28","1,04,41,571","69,09,84,503.28","60,818"
"03-Jun-2025","EQ","60.97","63.26","60.50","60.63","62.20","62.05","62.23","64.00","37.28","22,80,930","14,19,35,872.03","14,345"
"02-Jun-2025","EQ","62.34","62.55","60.20","62.34","60.74","60.63","60.85","64.00","37.28","10,56,604","6,42,92,094.73","7,590"
"30-May-2025","EQ","62.20","64.00","61.03","61.82","62.70","62.34","62.83","64.00","37.28","29,51,579","18,54,43,049.06","22,058"
"29-May-2025","EQ","55.69","63.00","55.69","55.44","62.00","61.82","60.97","63.00","37.28","1,01,96,516","62,17,07,330.08","58,417"
"28-May-2025","EQ","55.00","56.80","54.90","55.04","55.80","55.44","55.97","63.00","37.28","13,30,133","7,44,48,103.00","8,855"
"27-May-2025","EQ","57.14","57.55","54.51","57.14","55.38","55.04","56.12","63.00","37.28","13,12,381","7,36,47,687.14","9,340"
"26-May-2025","EQ","51.41","58.90","51.41","51.46","57.30","57.14","56.52","63.00","37.28","94,29,488","53,29,14,441.28","37,800"
"23-May-2025","EQ","50.10","52.29","49.96","50.17","51.35","51.46","51.45","63.00","37.28","13,04,432","6,71,08,498.82","9,017"
"22-May-2025","EQ","50.60","51.28","49.80","51.13","50.30","50.17","50.63","63.00","37.28","10,56,576","5,34,94,893.74","5,080"
"21-May-2025","EQ","50.55","51.55","49.45","50.39","50.99","51.13","50.69","63.00","37.28","12,06,374","6,11,52,976.88","7,485"
"20-May-2025","EQ","52.69","53.14","49.66","52.31","50.22","50.39","51.64","63.00","37.28","10,15,916","5,24,64,079.14","7,521"
"19-May-2025","EQ","52.10","53.19","51.51","52.00","52.72","52.31","52.41","63.00","37.28","9,64,861","5,05,71,653.09","7,066"
"16-May-2025","EQ","53.00","53.34","51.50","52.92","52.19","52.00","52.17","63.00","37.28","6,87,505","3,58,66,833.54","5,922"
"15-May-2025","EQ","53.22","54.60","52.65","53.22","53.00","52.92","53.55","63.00","37.28","8,56,332","4,58,54,129.71","5,081"
"14-May-2025","EQ","51.31","54.56","51.31","51.61","53.31","53.22","53.39","63.00","37.28","19,10,925","10,20,27,206.82","10,045"
"13-May-2025","EQ","51.89","52.38","51.05","51.59","51.38","51.61","51.53","63.00","37.28","4,93,482","2,54,29,657.21","3,846"
"12-May-2025","EQ","50.29","52.25","50.00","47.43","51.92","51.59","50.93","63.00","37.28","15,28,367","7,78,42,239.56","7,262"
