ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","198.80","202.60","198.33","197.78","201.20","201.34","201.30","214.80","129.20","37,81,634","76,12,57,381.34","36,892"
"12-Aug-2025","EQ","198.00","200.18","195.40","197.95","197.90","197.78","198.08","214.80","129.20","32,83,444","65,03,95,937.93","24,920"
"11-Aug-2025","EQ","195.30","198.75","194.40","195.75","197.75","197.95","196.72","214.80","129.20","27,28,485","53,67,50,979.99","27,956"
"08-Aug-2025","EQ","201.00","201.58","195.00","200.28","195.30","195.75","197.80","214.80","129.20","20,94,580","41,43,08,277.96","22,846"
"07-Aug-2025","EQ","201.35","202.00","195.91","201.67","201.16","200.28","199.30","214.80","129.20","53,60,975","1,06,84,47,868.94","45,388"
"06-Aug-2025","EQ","204.27","205.40","200.31","204.27","201.91","201.67","202.48","214.80","129.20","32,21,530","65,22,88,988.68","28,735"
"05-Aug-2025","EQ","204.00","205.49","201.70","204.02","204.50","204.27","203.73","214.80","129.20","36,51,783","74,39,83,901.16","26,913"
"04-Aug-2025","EQ","200.00","204.48","199.23","201.14","203.85","204.02","201.52","214.80","129.20","67,30,889","1,35,64,16,170.12","47,078"
"01-Aug-2025","EQ","202.80","203.95","200.33","202.59","200.40","201.14","202.06","214.80","129.20","45,49,986","91,93,85,518.34","50,547"
"31-Jul-2025","EQ","201.49","204.79","200.31","203.40","202.00","202.59","203.34","214.80","129.20","35,24,054","71,65,98,318.50","42,824"
"30-Jul-2025","EQ","206.00","207.13","202.15","206.02","203.20","203.40","203.72","214.80","129.20","69,21,827","1,41,00,83,259.06","31,602"
"29-Jul-2025","EQ","202.90","206.48","201.83","201.99","205.90","206.02","204.67","214.80","129.20","72,18,561","1,47,74,40,471.46","47,405"
"28-Jul-2025","EQ","203.00","208.50","201.42","204.91","201.72","201.99","204.95","214.80","129.20","43,62,416","89,40,73,291.66","36,223"
"25-Jul-2025","EQ","207.80","207.80","201.00","210.10","205.15","204.91","203.90","214.80","129.20","1,76,93,694","3,60,77,86,065.60","92,943"
"24-Jul-2025","EQ","214.38","214.45","209.20","213.51","209.90","210.10","211.02","214.80","129.20","90,10,760","1,90,14,57,640.49","44,714"
"23-Jul-2025","EQ","209.91","214.80","208.44","209.21","213.50","213.51","212.74","214.80","129.20","1,63,26,707","3,47,33,93,489.16","99,795"
"22-Jul-2025","EQ","212.00","212.10","205.25","210.58","208.72","209.21","207.73","212.85","129.20","1,04,87,847","2,17,86,88,233.65","89,073"
"21-Jul-2025","EQ","201.90","212.85","201.31","203.15","211.39","210.58","209.45","212.85","129.20","2,84,03,671","5,94,92,31,093.36","1,24,754"
"18-Jul-2025","EQ","201.01","206.79","199.78","199.78","203.50","203.15","203.37","211.20","129.20","2,03,57,652","4,14,00,89,873.90","84,672"
"17-Jul-2025","EQ","203.26","204.16","198.75","203.35","199.50","199.78","200.78","211.20","129.20","56,56,944","1,13,57,85,564.40","36,073"
"16-Jul-2025","EQ","205.20","205.42","201.88","205.45","202.65","203.35","203.48","211.20","129.20","48,71,054","99,11,43,316.58","31,053"
"15-Jul-2025","EQ","205.90","207.40","203.30","205.57","205.21","205.45","204.91","211.20","129.20","56,28,351","1,15,33,21,291.55","32,486"
"14-Jul-2025","EQ","205.00","208.49","203.18","204.59","205.45","205.57","205.79","211.20","129.20","59,39,863","1,22,23,89,620.57","33,605"
"11-Jul-2025","EQ","206.50","208.24","203.98","206.77","204.30","204.59","205.10","211.20","129.20","40,60,618","83,28,20,674.95","24,979"
