ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,220.00","4,235.00","4,125.00","4,188.80","4,135.00","4,138.60","4,172.80","6,000.00","3,966.00","41,522","17,32,62,816.40","9,597"
"12-Aug-2025","EQ","4,176.60","4,219.00","4,144.60","4,145.10","4,192.00","4,188.80","4,193.09","6,000.00","3,966.00","30,204","12,66,48,141.20","7,323"
"11-Aug-2025","EQ","4,190.00","4,198.40","4,130.00","4,180.60","4,135.00","4,145.10","4,150.27","6,000.00","3,966.00","46,447","19,27,67,441.10","9,181"
"08-Aug-2025","EQ","4,230.00","4,236.70","4,161.90","4,206.60","4,170.00","4,180.60","4,209.45","6,000.00","3,966.00","32,043","13,48,83,364.90","6,748"
"07-Aug-2025","EQ","4,236.80","4,260.00","4,190.00","4,258.00","4,208.00","4,206.60","4,217.52","6,000.00","3,966.00","73,506","31,00,13,002.20","9,134"
"06-Aug-2025","EQ","4,238.50","4,267.90","4,225.30","4,238.50","4,259.50","4,258.00","4,250.90","6,000.00","3,966.00","45,981","19,54,60,430.70","8,198"
"05-Aug-2025","EQ","4,290.00","4,294.90","4,224.00","4,266.10","4,232.00","4,238.50","4,241.93","6,000.00","3,966.00","34,602","14,67,79,386.00","7,914"
"04-Aug-2025","EQ","4,240.00","4,289.90","4,225.80","4,274.60","4,262.00","4,266.10","4,263.43","6,000.00","3,966.00","40,308","17,18,50,378.50","9,417"
"01-Aug-2025","EQ","4,304.20","4,311.70","4,256.00","4,308.20","4,277.00","4,274.60","4,290.36","6,000.00","3,966.00","24,653","10,57,70,337.00","6,566"
"31-Jul-2025","EQ","4,268.00","4,328.00","4,252.10","4,309.60","4,304.20","4,308.20","4,296.43","6,000.00","3,966.00","35,739","15,35,50,001.80","13,603"
"30-Jul-2025","EQ","4,323.30","4,337.40","4,250.70","4,287.20","4,305.10","4,309.60","4,287.77","6,000.00","3,966.00","49,562","21,25,10,658.70","13,575"
"29-Jul-2025","EQ","4,240.10","4,309.00","4,171.80","4,242.10","4,282.00","4,287.20","4,239.99","6,000.00","3,966.00","58,900","24,97,35,360.40","17,215"
"28-Jul-2025","EQ","4,230.60","4,263.30","4,196.00","4,220.80","4,203.00","4,242.10","4,237.01","6,000.00","3,966.00","67,289","28,51,04,408.60","12,475"
"25-Jul-2025","EQ","4,300.90","4,304.00","4,198.10","4,300.20","4,217.70","4,220.80","4,253.22","6,000.00","3,966.00","49,326","20,97,94,257.30","9,298"
"24-Jul-2025","EQ","4,312.00","4,324.60","4,290.00","4,312.80","4,301.00","4,300.20","4,305.19","6,000.00","3,966.00","39,142","16,85,13,572.00","7,038"
"23-Jul-2025","EQ","4,329.90","4,337.90","4,284.90","4,321.80","4,304.00","4,312.80","4,307.02","6,000.00","3,966.00","63,881","27,51,36,738.90","10,919"
"22-Jul-2025","EQ","4,375.00","4,395.60","4,313.20","4,368.20","4,320.00","4,321.80","4,336.56","6,000.00","3,966.00","44,116","19,13,11,546.60","7,019"
"21-Jul-2025","EQ","4,401.00","4,430.00","4,311.90","4,401.90","4,358.00","4,368.20","4,354.88","6,000.00","3,966.00","75,598","32,92,19,888.40","18,025"
"18-Jul-2025","EQ","4,430.00","4,448.90","4,364.40","4,411.60","4,379.30","4,401.90","4,410.37","6,000.00","3,966.00","79,686","35,14,44,663.50","14,132"
"17-Jul-2025","EQ","4,350.00","4,500.00","4,345.60","4,346.80","4,415.00","4,411.60","4,430.97","6,000.00","3,966.00","4,25,801","1,88,67,10,439.60","51,173"
