ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","184.50","185.68","182.00","184.49","182.09","182.35","183.58","325.50","160.20","1,37,292","2,52,04,429.94","5,627"
"11-Aug-2025","EQ","185.54","185.54","182.38","185.00","184.30","184.49","183.85","325.50","160.20","1,83,649","3,37,63,326.73","5,655"
"08-Aug-2025","EQ","186.69","187.70","184.28","184.88","185.25","185.00","185.90","325.50","160.20","2,43,719","4,53,07,525.45","6,160"
"07-Aug-2025","EQ","184.00","185.55","180.20","184.75","185.39","184.88","182.47","325.50","160.20","5,00,931","9,14,03,428.70","12,660"
"06-Aug-2025","EQ","191.00","192.76","184.00","190.82","184.40","184.75","186.85","325.50","160.20","4,67,439","8,73,39,814.09","11,286"
"05-Aug-2025","EQ","191.95","193.82","190.03","191.65","191.03","190.82","191.45","325.50","160.20","2,89,486","5,54,21,938.08","6,935"
"04-Aug-2025","EQ","195.45","195.45","190.73","195.69","191.99","191.65","192.58","325.50","160.20","4,28,267","8,24,75,433.87","10,179"
"01-Aug-2025","EQ","204.40","208.59","195.00","204.12","195.45","195.69","202.20","325.50","160.20","6,12,706","12,38,88,804.33","13,152"
"31-Jul-2025","EQ","196.44","205.94","193.03","198.81","204.40","204.12","202.81","325.50","160.20","11,11,915","22,55,11,506.90","25,220"
"30-Jul-2025","EQ","196.61","202.39","196.15","196.04","198.10","198.81","199.77","325.50","160.20","8,12,760","16,23,64,319.84","14,193"
"29-Jul-2025","EQ","194.05","200.00","188.99","204.76","196.60","196.04","193.14","325.50","160.20","21,50,244","41,53,07,130.43","33,773"
"28-Jul-2025","EQ","205.70","212.51","203.05","205.72","203.99","204.76","208.24","325.50","160.20","15,35,853","31,98,31,162.78","29,157"
"25-Jul-2025","EQ","205.00","208.88","201.99","204.55","205.60","205.72","205.70","325.50","160.20","11,96,081","24,60,32,765.28","19,689"
"24-Jul-2025","EQ","204.00","209.50","202.18","203.00","205.11","204.55","206.23","325.50","160.20","22,56,418","46,53,34,525.00","31,576"
"23-Jul-2025","EQ","196.55","204.00","193.11","194.62","204.00","203.00","200.78","325.50","160.20","12,58,419","25,26,65,346.47","16,836"
"22-Jul-2025","EQ","197.59","199.21","193.68","196.06","195.80","194.62","195.71","325.50","160.20","3,16,424","6,19,26,899.05","7,802"
"21-Jul-2025","EQ","197.25","198.29","194.00","197.27","196.00","196.06","196.15","325.50","160.20","4,73,944","9,29,62,661.78","9,260"
"18-Jul-2025","EQ","200.00","200.88","196.00","199.38","197.57","197.27","197.84","325.50","160.20","2,70,078","5,34,33,208.81","6,789"
"17-Jul-2025","EQ","203.00","203.50","198.70","202.71","199.00","199.38","201.03","325.50","160.20","4,40,724","8,86,00,135.21","10,166"
