ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","256.95","260.90","255.30","256.95","259.15","258.85","259.05","343.00","237.95","10,34,201","26,79,09,825.80","14,434"
"12-Aug-2025","EQ","255.80","257.80","253.80","254.95","257.00","256.95","256.57","343.00","237.95","7,32,466","18,79,28,070.05","15,491"
"11-Aug-2025","EQ","253.00","255.65","251.05","252.50","255.00","254.95","253.13","343.00","237.95","10,58,423","26,79,17,628.20","18,112"
"08-Aug-2025","EQ","254.70","258.00","251.05","253.60","252.65","252.50","254.63","343.00","237.95","10,93,909","27,85,38,173.05","21,512"
"07-Aug-2025","EQ","252.05","254.95","251.00","253.35","254.55","253.60","252.70","343.00","237.95","10,38,646","26,24,61,075.60","12,823"
"06-Aug-2025","EQ","255.10","256.90","251.85","256.45","253.00","253.35","254.08","343.00","237.95","10,20,862","25,93,77,689.25","20,455"
"05-Aug-2025","EQ","258.60","260.40","255.60","258.45","257.15","256.45","257.00","343.00","237.95","7,51,344","19,30,93,646.50","17,691"
"04-Aug-2025","EQ","258.00","259.80","253.60","258.50","258.15","258.45","256.60","343.00","237.95","16,57,037","42,51,91,725.95","25,108"
"01-Aug-2025","EQ","256.85","261.00","255.80","257.50","258.90","258.50","259.29","343.00","237.95","20,04,133","51,96,43,005.70","23,870"
"31-Jul-2025","EQ","256.20","259.20","250.30","257.65","256.70","257.50","256.75","343.00","237.95","65,84,182","1,69,05,09,188.05","56,270"
"30-Jul-2025","EQ","255.00","258.20","254.00","251.95","257.00","257.65","256.63","343.00","237.95","61,87,624","1,58,79,34,177.45","48,071"
"29-Jul-2025","EQ","250.85","252.45","246.35","249.05","251.50","251.95","249.70","343.00","237.95","36,08,582","90,10,73,879.25","30,388"
"28-Jul-2025","EQ","253.40","254.20","247.70","253.40","249.50","249.05","249.82","343.00","237.95","48,56,805","1,21,33,38,507.50","36,280"
"25-Jul-2025","EQ","257.00","258.95","252.20","259.15","252.95","253.40","254.95","343.00","237.95","34,92,228","89,03,34,655.10","33,480"
"24-Jul-2025","EQ","260.00","260.50","255.00","259.20","259.00","259.15","257.23","343.00","237.95","38,09,883","98,00,12,739.45","26,014"
"23-Jul-2025","EQ","266.95","266.95","257.05","265.55","259.00","259.20","259.10","343.00","237.95","67,52,834","1,74,96,81,635.70","49,005"
"22-Jul-2025","EQ","264.00","267.45","259.40","262.85","266.40","265.55","264.96","343.00","237.95","62,45,670","1,65,48,52,775.50","51,498"
"21-Jul-2025","EQ","260.40","263.20","257.55","259.85","263.15","262.85","260.79","343.00","237.95","10,64,487","27,76,03,154.75","12,839"
"18-Jul-2025","EQ","263.00","263.00","258.45","261.65","259.75","259.85","260.10","343.00","237.95","21,11,078","54,90,96,897.90","23,310"
