ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","55.50","56.07","54.95","55.68","55.05","55.06","55.37","63.85","42.00","31,43,796","17,40,81,156.66","15,929"
"12-Aug-2025","EQ","55.46","55.98","55.01","55.48","55.60","55.68","55.57","63.85","42.00","44,76,773","24,87,59,306.20","20,968"
"11-Aug-2025","EQ","55.79","56.25","55.21","55.66","55.49","55.48","55.67","63.85","42.00","51,01,864","28,40,19,519.09","25,890"
"08-Aug-2025","EQ","53.99","55.92","53.70","53.57","55.29","55.66","55.38","64.16","42.00","1,61,78,429","89,60,33,061.62","48,707"
"07-Aug-2025","EQ","53.74","53.96","52.25","53.96","53.75","53.57","53.15","64.16","42.00","67,29,018","35,76,26,596.68","24,721"
"06-Aug-2025","EQ","55.12","55.34","53.71","55.12","54.01","53.96","54.44","64.16","42.00","73,42,758","39,97,29,622.55","21,065"
"05-Aug-2025","EQ","55.25","55.65","55.00","55.23","55.10","55.12","55.24","64.16","42.00","40,01,138","22,10,05,713.70","19,119"
"04-Aug-2025","EQ","54.27","55.35","54.10","54.27","55.15","55.23","54.72","64.16","42.00","64,67,047","35,39,08,217.97","23,971"
"01-Aug-2025","EQ","56.08","56.28","54.01","56.08","54.30","54.27","55.22","70.77","42.00","66,96,783","36,97,63,427.20","28,641"
"31-Jul-2025","EQ","56.00","56.40","55.22","56.53","56.09","56.08","56.05","70.77","42.00","49,37,477","27,67,25,232.56","21,128"
"30-Jul-2025","EQ","56.71","57.25","56.26","56.76","56.40","56.53","56.71","70.77","42.00","48,27,130","27,37,23,993.16","19,376"
"29-Jul-2025","EQ","56.65","57.00","56.26","56.83","56.78","56.76","56.80","70.77","42.00","48,19,308","27,37,26,524.36","17,118"
"28-Jul-2025","EQ","56.94","57.39","56.23","56.72","56.75","56.83","57.02","70.77","42.00","1,02,44,909","58,41,25,333.73","39,096"
"25-Jul-2025","EQ","57.19","57.37","56.60","57.25","56.63","56.72","56.97","70.77","42.00","99,00,749","56,40,27,441.41","29,613"
"24-Jul-2025","EQ","56.60","57.49","56.60","56.50","57.25","57.25","57.15","70.77","42.00","1,11,04,622","63,46,77,698.61","29,852"
"23-Jul-2025","EQ","56.52","56.76","56.07","56.38","56.60","56.50","56.32","70.77","42.00","44,28,965","24,94,28,491.45","14,821"
"22-Jul-2025","EQ","56.86","57.15","56.20","56.62","56.33","56.38","56.64","70.77","42.00","60,14,293","34,06,54,049.78","19,936"
"21-Jul-2025","EQ","56.89","57.24","56.35","56.62","56.73","56.62","56.77","70.77","42.00","76,87,276","43,64,10,623.12","24,441"
"18-Jul-2025","EQ","57.35","57.43","56.40","57.28","56.75","56.62","56.80","70.80","42.00","79,73,733","45,29,22,410.35","23,751"
"17-Jul-2025","EQ","57.64","57.74","56.92","57.32","57.23","57.28","57.36","70.80","42.00","86,67,867","49,71,60,884.14","27,956"
"16-Jul-2025","EQ","57.90","58.00","57.07","57.17","57.34","57.32","57.52","70.80","42.00","2,22,41,028","1,27,93,77,452.98","48,390"
"15-Jul-2025","EQ","56.37","57.64","56.22","56.08","57.27","57.17","57.04","70.80","42.00","2,73,78,332","1,56,16,80,143.53","53,947"
"14-Jul-2025","EQ","55.97","56.68","55.61","55.95","56.19","56.08","56.05","70.80","42.00","98,69,575","55,31,46,161.13","28,271"
"11-Jul-2025","EQ","56.60","56.77","55.73","56.62","55.95","55.95","56.07","70.80","42.00","1,03,68,392","58,13,72,949.98","33,660"
"10-Jul-2025","EQ","57.25","57.36","56.51","57.12","56.58","56.62","56.81","70.80","42.00","56,96,264","32,36,11,019.01","19,078"
"09-Jul-2025","EQ","56.51","57.48","56.36","56.81","57.13","57.12","56.89","70.80","42.00","99,02,037","56,32,90,645.75","25,991"
"08-Jul-2025","EQ","57.38","57.57","56.40","57.39","56.74","56.81","56.85","70.80","42.00","79,72,654","45,32,39,132.40","25,780"
"07-Jul-2025","EQ","57.74","57.85","57.14","57.49","57.26","57.39","57.45","70.80","42.00","93,08,350","53,47,45,989.43","28,662"
"04-Jul-2025","EQ","57.44","57.75","56.82","57.19","57.41","57.49","57.31","70.80","42.00","1,47,06,449","84,28,43,412.53","36,449"
"03-Jul-2025","EQ","57.29","57.47","56.44","57.08","57.21","57.19","57.07","70.80","42.00","1,15,08,085","65,67,52,699.65","34,777"
"02-Jul-2025","EQ","58.60","58.78","56.90","58.33","57.00","57.08","57.47","70.80","42.00","2,14,69,665","1,23,37,55,628.93","51,055"
"01-Jul-2025","EQ","57.24","58.79","56.50","57.11","58.34","58.33","57.84","70.80","42.00","4,82,51,029","2,79,08,71,402.08","1,00,433"
