ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","256.60","259.00","250.75","256.55","254.00","254.05","255.80","284.90","138.35","42,30,260","1,08,21,20,160.60","44,400"
"11-Aug-2025","EQ","256.00","265.30","253.55","258.50","255.50","256.55","259.73","284.90","138.35","1,31,12,855","3,40,57,90,918.50","90,602"
"08-Aug-2025","EQ","260.90","265.45","256.70","260.90","257.35","258.50","261.44","284.90","138.35","45,97,425","1,20,19,64,861.80","39,240"
"07-Aug-2025","EQ","255.60","263.15","253.70","256.10","261.90","260.90","257.76","284.90","138.35","20,66,794","53,27,35,656.00","18,704"
"06-Aug-2025","EQ","258.80","260.15","254.70","258.90","256.00","256.10","257.18","284.90","138.35","14,23,890","36,61,92,010.15","19,112"
"05-Aug-2025","EQ","262.85","265.40","256.00","264.10","258.30","258.90","258.87","284.90","138.35","35,79,502","92,66,12,670.50","33,457"
"04-Aug-2025","EQ","246.00","265.00","245.80","247.90","263.45","264.10","259.54","284.90","138.35","80,70,831","2,09,47,01,862.20","51,370"
"01-Aug-2025","EQ","253.30","254.90","246.70","253.05","247.40","247.90","249.97","284.90","138.35","29,87,037","74,66,61,621.15","28,802"
"31-Jul-2025","EQ","256.55","256.55","250.85","256.55","253.30","253.05","253.53","284.90","138.35","27,43,883","69,56,48,322.45","24,036"
"30-Jul-2025","EQ","260.00","260.80","252.65","258.85","256.10","256.55","255.59","284.90","138.35","32,94,181","84,19,52,933.75","30,387"
"29-Jul-2025","EQ","258.25","261.45","256.85","259.10","258.50","258.85","258.77","284.90","138.35","20,68,632","53,52,89,940.85","26,459"
"28-Jul-2025","EQ","264.10","266.60","257.60","265.65","258.50","259.10","262.74","284.90","138.35","23,90,450","62,80,73,402.45","25,014"
"25-Jul-2025","EQ","271.05","271.45","263.75","272.45","265.60","265.65","267.39","284.90","138.35","41,50,119","1,10,97,01,411.30","32,327"
"24-Jul-2025","EQ","274.75","276.75","271.35","273.30","271.60","272.45","273.90","284.90","138.35","19,41,870","53,18,71,109.95","22,341"
"23-Jul-2025","EQ","270.00","274.40","269.80","272.05","273.25","273.30","272.58","284.90","138.35","27,14,501","73,99,06,399.20","17,180"
"22-Jul-2025","EQ","271.05","273.45","269.50","270.30","272.00","272.05","271.56","284.90","138.35","27,21,624","73,90,83,424.95","18,496"
"21-Jul-2025","EQ","271.10","271.90","267.20","271.30","271.10","270.30","269.53","284.90","138.35","37,98,040","1,02,36,71,755.50","28,470"
"18-Jul-2025","EQ","270.70","275.90","269.65","270.70","271.05","271.30","272.56","284.90","138.35","45,62,769","1,24,36,47,712.20","30,821"
"17-Jul-2025","EQ","270.35","272.35","267.40","270.35","270.20","270.70","270.42","284.90","138.35","44,71,653","1,20,92,23,934.50","29,855"
"16-Jul-2025","EQ","269.30","272.40","267.35","269.35","270.50","270.35","270.51","284.90","138.35","39,31,738","1,06,35,60,056.65","24,850"
"15-Jul-2025","EQ","265.00","269.70","263.65","263.10","269.10","269.35","267.62","284.90","138.35","27,90,431","74,67,81,586.60","28,581"
"14-Jul-2025","EQ","262.90","265.25","259.50","262.90","263.00","263.10","262.80","284.90","138.35","29,40,471","77,27,57,765.65","34,556"
"11-Jul-2025","EQ","265.50","266.35","261.00","265.50","262.90","262.90","262.65","284.90","138.35","15,00,281","39,40,50,599.10","17,588"
"10-Jul-2025","EQ","263.70","266.60","262.80","261.50","265.00","265.50","264.88","284.90","138.35","31,12,139","82,43,28,217.65","31,404"
"09-Jul-2025","EQ","269.45","270.00","259.60","269.45","262.80","261.50","263.53","284.90","138.35","39,60,434","1,04,37,10,858.85","55,862"
"08-Jul-2025","EQ","271.75","272.35","267.35","271.05","270.50","269.45","269.40","284.90","138.35","20,31,280","54,72,20,688.10","58,061"
"07-Jul-2025","EQ","275.55","277.25","270.00","276.65","271.50","271.05","273.16","284.90","138.35","57,15,415","1,56,12,30,110.85","31,858"
"04-Jul-2025","EQ","273.85","281.35","273.60","274.85","275.25","276.65","278.00","284.90","138.35","55,66,314","1,54,74,18,879.20","30,256"
"03-Jul-2025","EQ","272.40","275.90","270.55","271.45","274.40","274.85","273.92","284.90","138.35","50,96,541","1,39,60,34,751.20","24,235"
"02-Jul-2025","EQ","278.25","279.00","269.10","278.10","270.70","271.45","273.60","284.90","138.35","45,60,992","1,24,78,97,044.25","30,567"
"01-Jul-2025","EQ","277.40","279.00","273.65","275.37","277.45","278.10","276.19","284.90","138.35","32,92,115","90,92,51,550.95","41,259"
"30-Jun-2025","EQ","276.89","280.38","274.64","276.89","275.62","275.37","276.76","284.90","138.35","37,09,411","1,02,66,27,537.28","38,730"
"27-Jun-2025","EQ","273.10","279.40","269.30","274.10","275.00","276.89","274.91","284.90","138.35","1,18,35,334","3,25,36,63,309.10","69,680"
"26-Jun-2025","EQ","273.90","274.90","269.85","272.90","273.93","274.10","271.92","284.90","138.35","60,11,183","1,63,45,67,283.44","48,176"
"25-Jun-2025","EQ","271.35","274.34","269.80","269.44","273.19","272.90","271.66","284.90","138.35","61,54,563","1,67,19,56,138.14","29,774"
"24-Jun-2025","EQ","272.70","273.70","268.04","270.35","269.50","269.44","270.13","284.90","138.35","35,71,446","96,47,47,591.32","23,278"
"23-Jun-2025","EQ","270.50","273.26","267.72","271.45","271.24","270.35","270.56","284.90","138.35","52,04,779","1,40,81,95,006.33","38,056"
"20-Jun-2025","EQ","264.00","272.72","263.14","263.60","272.26","271.45","269.15","284.90","138.35","89,51,851","2,40,93,46,228.21","46,785"
"19-Jun-2025","EQ","264.75","267.75","260.86","264.75","263.90","263.60","264.13","284.90","138.35","70,96,282","1,87,43,55,286.80","38,237"
"18-Jun-2025","EQ","265.00","270.80","263.01","269.92","264.89","264.75","265.79","284.90","138.35","94,84,830","2,52,09,95,732.22","64,448"
"17-Jun-2025","EQ","277.41","278.78","268.91","278.81","269.65","269.92","271.01","284.90","138.35","86,59,975","2,34,69,80,230.35","50,088"
"16-Jun-2025","EQ","279.00","284.90","273.60","279.54","277.85","278.81","279.87","284.90","138.35","1,30,38,938","3,64,92,21,928.95","86,676"
"13-Jun-2025","EQ","265.00","280.80","263.00","270.81","279.80","279.54","275.17","280.80","138.35","1,29,87,065","3,57,36,54,741.03","84,914"
"12-Jun-2025","EQ","268.50","275.20","267.00","268.32","270.05","270.81","271.76","275.20","138.35","1,13,78,071","3,09,21,42,892.27","68,242"
"11-Jun-2025","EQ","265.00","270.40","260.95","265.35","268.31","268.32","266.64","274.00","138.35","91,33,371","2,43,53,03,825.92","69,971"
"10-Jun-2025","EQ","264.70","274.00","260.80","264.78","265.51","265.35","269.53","274.00","138.35","2,81,34,699","7,58,30,50,408.46","1,41,907"
"09-Jun-2025","EQ","250.98","266.76","250.08","247.56","265.42","264.78","258.35","266.76","138.35","2,87,68,253","7,43,23,29,305.16","1,23,577"
"06-Jun-2025","EQ","234.84","248.95","233.97","234.58","247.80","247.56","243.90","248.95","138.35","2,77,29,027","6,76,29,94,853.53","1,31,543"
"05-Jun-2025","EQ","232.47","236.38","232.41","232.37","234.35","234.58","234.48","247.60","138.35","52,53,339","1,23,18,09,406.89","31,959"
"04-Jun-2025","EQ","237.26","238.40","231.10","237.17","232.15","232.37","233.80","247.60","138.35","56,43,997","1,31,95,73,836.44","36,588"
"03-Jun-2025","EQ","237.42","240.50","236.10","237.35","236.65","237.17","238.34","247.60","138.35","37,71,001","89,87,92,671.40","19,164"
