ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,442.70","2,483.80","2,436.90","2,430.70","2,482.00","2,466.00","2,462.22","3,054.80","2,096.40","3,76,040","92,58,91,980.40","28,964"
"12-Aug-2025","EQ","2,435.60","2,464.90","2,410.00","2,437.50","2,437.00","2,430.70","2,438.68","3,054.80","2,096.40","7,08,892","1,72,87,59,740.40","27,784"
"11-Aug-2025","EQ","2,460.00","2,478.00","2,424.60","2,467.10","2,430.00","2,437.50","2,443.48","3,054.80","2,096.40","3,57,967","87,46,84,748.20","32,085"
"08-Aug-2025","EQ","2,538.70","2,540.00","2,455.10","2,537.80","2,463.00","2,467.10","2,496.90","3,054.80","1,901.05","7,00,538","1,74,91,76,773.80","21,076"
"07-Aug-2025","EQ","2,556.20","2,575.60","2,504.80","2,556.20","2,530.00","2,537.80","2,531.55","3,054.80","1,901.05","6,93,843","1,75,65,00,291.30","30,217"
"06-Aug-2025","EQ","2,600.00","2,618.90","2,548.50","2,618.90","2,553.00","2,556.20","2,574.81","3,054.80","1,901.05","4,20,756","1,08,33,68,775.90","35,935"
"05-Aug-2025","EQ","2,637.00","2,661.50","2,581.60","2,628.90","2,615.00","2,618.90","2,610.67","3,054.80","1,901.05","4,77,927","1,24,77,11,379.10","26,828"
"04-Aug-2025","EQ","2,566.30","2,635.00","2,555.00","2,566.30","2,631.60","2,628.90","2,603.23","3,054.80","1,901.05","5,40,833","1,40,79,14,070.70","26,109"
"01-Aug-2025","EQ","2,569.70","2,652.70","2,558.90","2,567.20","2,575.00","2,566.30","2,588.10","3,054.80","1,901.05","5,37,195","1,39,03,16,190.90","46,616"
"31-Jul-2025","EQ","2,550.00","2,585.60","2,525.80","2,575.50","2,559.70","2,567.20","2,567.67","3,054.80","1,901.05","4,54,883","1,16,79,88,124.20","46,236"
"30-Jul-2025","EQ","2,553.00","2,609.50","2,545.50","2,554.70","2,565.40","2,575.50","2,578.87","3,054.80","1,901.05","7,63,354","1,96,85,94,371.50","42,717"
"29-Jul-2025","EQ","2,526.50","2,600.00","2,517.00","2,541.60","2,555.00","2,554.70","2,543.74","3,054.80","1,901.05","4,96,881","1,26,39,37,557.50","45,869"
"28-Jul-2025","EQ","2,598.90","2,599.00","2,535.10","2,603.40","2,537.70","2,541.60","2,553.85","3,054.80","1,901.05","4,03,664","1,03,08,96,521.50","37,291"
"25-Jul-2025","EQ","2,585.10","2,628.50","2,563.10","2,589.50","2,575.00","2,603.40","2,603.37","3,054.80","1,901.05","3,74,859","97,58,97,752.90","47,275"
"24-Jul-2025","EQ","2,619.80","2,656.30","2,549.00","2,599.00","2,598.00","2,589.50","2,583.42","3,054.80","1,901.05","6,91,855","1,78,73,50,454.80","51,739"
"23-Jul-2025","EQ","2,674.80","2,689.40","2,580.00","2,670.50","2,625.00","2,599.00","2,634.37","3,054.80","1,901.05","6,77,105","1,78,37,42,134.20","70,517"
"22-Jul-2025","EQ","2,650.00","2,690.00","2,645.00","2,646.00","2,665.00","2,670.50","2,671.04","3,054.80","1,901.05","3,76,112","1,00,46,10,580.20","43,779"
"21-Jul-2025","EQ","2,694.90","2,694.90","2,617.00","2,652.30","2,649.90","2,646.00","2,641.77","3,054.80","1,901.05","4,03,368","1,06,56,05,336.20","40,415"
"18-Jul-2025","EQ","2,640.00","2,668.90","2,627.00","2,639.30","2,658.00","2,652.30","2,646.66","3,054.80","1,901.05","4,21,325","1,11,51,02,590.10","29,755"
"17-Jul-2025","EQ","2,638.50","2,670.00","2,626.70","2,625.50","2,633.00","2,639.30","2,651.53","3,054.80","1,901.05","5,37,571","1,42,53,84,179.90","45,428"
"16-Jul-2025","EQ","2,653.90","2,654.20","2,598.00","2,651.00","2,624.20","2,625.50","2,618.63","3,054.80","1,901.05","7,29,811","1,91,11,06,455.50","85,714"
"15-Jul-2025","EQ","2,700.00","2,716.50","2,631.10","2,696.50","2,646.00","2,651.00","2,659.54","3,054.80","1,901.05","5,97,283","1,58,84,98,078.20","63,917"
"14-Jul-2025","EQ","2,519.60","2,706.00","2,519.60","2,578.30","2,700.00","2,696.50","2,656.99","3,054.80","1,901.05","21,32,999","5,66,73,61,832.20","1,25,645"
"11-Jul-2025","EQ","2,545.00","2,678.00","2,545.00","2,544.00","2,584.10","2,578.30","2,622.49","3,054.80","1,901.05","27,80,534","7,29,19,30,154.40","1,90,740"
"10-Jul-2025","EQ","2,520.00","2,548.40","2,496.00","2,526.60","2,545.80","2,544.00","2,525.05","3,054.80","1,901.05","7,70,756","1,94,61,99,741.50","54,074"
"09-Jul-2025","EQ","2,419.50","2,543.60","2,417.60","2,431.70","2,522.50","2,526.60","2,517.49","3,054.80","1,901.05","14,49,204","3,64,83,54,631.90","1,15,673"
"08-Jul-2025","EQ","2,420.00","2,443.10","2,408.10","2,410.40","2,431.00","2,431.70","2,424.04","3,054.80","1,901.05","2,34,894","56,93,92,567.20","19,773"
"07-Jul-2025","EQ","2,442.50","2,465.60","2,407.90","2,439.50","2,419.10","2,410.40","2,428.28","3,054.80","1,901.05","4,26,934","1,03,67,14,693.80","36,610"
"04-Jul-2025","EQ","2,361.70","2,462.50","2,361.70","2,361.70","2,439.00","2,439.50","2,437.82","3,054.80","1,901.05","10,61,825","2,58,85,39,092.30","75,961"
"03-Jul-2025","EQ","2,384.80","2,388.60","2,354.90","2,384.70","2,357.00","2,361.70","2,362.83","3,054.80","1,901.05","15,03,035","3,55,14,09,700.10","22,234"
"02-Jul-2025","EQ","2,302.00","2,417.00","2,288.10","2,287.00","2,385.00","2,384.70","2,378.79","3,054.80","1,901.05","16,42,680","3,90,75,91,222.20","1,08,979"
"01-Jul-2025","EQ","2,335.00","2,348.00","2,258.00","2,319.80","2,281.00","2,287.00","2,288.39","3,054.80","1,901.05","16,15,351","3,69,65,58,852.30","59,755"
"30-Jun-2025","EQ","2,345.00","2,349.00","2,310.10","2,333.40","2,325.20","2,319.80","2,318.73","3,054.80","1,901.05","2,42,516","56,23,30,215.80","28,763"
"27-Jun-2025","EQ","2,323.40","2,360.90","2,309.30","2,303.50","2,334.00","2,333.40","2,338.96","3,054.80","1,901.05","2,35,922","55,18,12,807.60","27,319"
"26-Jun-2025","EQ","2,320.00","2,330.00","2,293.20","2,308.80","2,305.00","2,303.50","2,301.09","3,054.80","1,901.05","3,84,946","88,57,94,008.40","25,689"
"25-Jun-2025","EQ","2,313.90","2,339.90","2,296.60","2,307.50","2,309.00","2,308.80","2,318.11","3,054.80","1,901.05","2,31,975","53,77,42,711.70","17,387"
"24-Jun-2025","EQ","2,314.70","2,314.70","2,293.30","2,300.60","2,311.00","2,307.50","2,305.15","3,054.80","1,901.05","3,83,818","88,47,57,908.00","34,093"
"23-Jun-2025","EQ","2,288.80","2,305.00","2,279.40","2,288.80","2,300.00","2,300.60","2,295.48","3,054.80","1,901.05","2,18,729","50,20,87,831.70","25,633"
"20-Jun-2025","EQ","2,312.50","2,328.90","2,284.00","2,325.20","2,288.00","2,288.80","2,297.78","3,054.80","1,901.05","12,23,889","2,81,22,29,014.80","45,502"
"19-Jun-2025","EQ","2,350.00","2,358.20","2,300.00","2,358.30","2,325.30","2,325.20","2,322.41","3,054.80","1,901.05","1,80,419","41,90,06,763.50","27,440"
"18-Jun-2025","EQ","2,340.10","2,374.00","2,337.10","2,353.20","2,350.20","2,358.30","2,346.85","3,054.80","1,901.05","4,15,934","97,61,33,028.70","19,079"
"17-Jun-2025","EQ","2,370.00","2,375.00","2,340.10","2,370.00","2,352.00","2,353.20","2,350.88","3,054.80","1,901.05","2,09,312","49,20,66,683.10","21,711"
"16-Jun-2025","EQ","2,380.00","2,383.70","2,336.40","2,381.30","2,367.90","2,370.00","2,365.76","3,054.80","1,901.05","2,51,064","59,39,57,086.70","14,417"
"13-Jun-2025","EQ","2,360.10","2,386.70","2,344.10","2,390.00","2,380.00","2,381.30","2,368.21","3,054.80","1,901.05","1,92,187","45,51,38,845.50","20,142"
"12-Jun-2025","EQ","2,379.00","2,437.00","2,379.00","2,378.80","2,386.00","2,390.00","2,406.25","3,054.80","1,901.05","4,49,429","1,08,14,38,697.20","38,899"
"11-Jun-2025","EQ","2,390.00","2,440.00","2,372.20","2,376.40","2,379.00","2,378.80","2,402.42","3,054.80","1,901.05","5,36,276","1,28,83,60,033.70","41,677"
"10-Jun-2025","EQ","2,369.70","2,385.00","2,355.50","2,356.70","2,380.00","2,376.40","2,367.00","3,054.80","1,901.05","5,11,331","1,21,03,21,153.20","33,114"
"09-Jun-2025","EQ","2,367.90","2,378.90","2,352.40","2,352.40","2,352.40","2,356.70","2,365.11","3,054.80","1,901.05","3,24,305","76,70,16,231.90","32,397"
"06-Jun-2025","EQ","2,370.00","2,379.90","2,345.90","2,359.20","2,355.00","2,352.40","2,357.47","3,054.80","1,901.05","3,53,199","83,26,55,165.30","24,858"
"05-Jun-2025","EQ","2,352.90","2,377.70","2,347.00","2,345.90","2,364.00","2,359.20","2,359.80","3,054.80","1,901.05","1,90,412","44,93,34,203.20","15,271"
"04-Jun-2025","EQ","2,356.00","2,384.00","2,335.00","2,352.40","2,352.00","2,345.90","2,349.60","3,054.80","1,901.05","3,70,892","87,14,47,237.00","33,080"
"03-Jun-2025","EQ","2,460.00","2,460.00","2,340.00","2,414.30","2,356.00","2,352.40","2,376.07","3,054.80","1,901.05","5,26,559","1,25,11,38,827.10","51,856"
"02-Jun-2025","EQ","2,466.00","2,471.90","2,405.00","2,467.70","2,411.30","2,414.30","2,438.41","3,054.80","1,901.05","3,86,766","94,30,93,474.70","43,486"
"30-May-2025","EQ","2,484.00","2,548.00","2,451.10","2,461.80","2,465.10","2,467.70","2,493.91","3,054.80","1,901.05","8,21,542","2,04,88,52,383.70","60,227"
"29-May-2025","EQ","2,490.00","2,490.00","2,441.10","2,483.80","2,460.00","2,461.80","2,455.47","3,054.80","1,901.05","2,08,431","51,17,96,062.30","48,586"
"28-May-2025","EQ","2,454.80","2,499.80","2,442.20","2,454.80","2,474.10","2,483.80","2,477.89","3,054.80","1,901.05","2,01,645","49,96,54,953.10","32,066"
"27-May-2025","EQ","2,430.00","2,462.00","2,420.50","2,430.30","2,455.00","2,454.80","2,450.98","3,054.80","1,901.05","1,94,408","47,64,89,254.10","21,562"
"26-May-2025","EQ","2,445.00","2,458.00","2,420.20","2,432.40","2,425.00","2,430.30","2,436.08","3,054.80","1,901.05","1,59,715","38,90,78,883.50","19,413"
"23-May-2025","EQ","2,455.00","2,464.00","2,411.50","2,439.20","2,425.00","2,432.40","2,431.77","3,054.80","1,901.05","2,24,680","54,63,70,804.40","22,690"
"22-May-2025","EQ","2,450.00","2,484.80","2,430.00","2,531.40","2,435.50","2,439.20","2,443.21","3,054.80","1,901.05","9,43,967","2,30,63,07,303.30","69,279"
"21-May-2025","EQ","2,532.10","2,570.90","2,516.10","2,549.20","2,530.00","2,531.40","2,535.46","3,054.80","1,901.05","1,62,763","41,26,79,597.80","15,853"
"20-May-2025","EQ","2,574.00","2,587.00","2,525.40","2,564.20","2,534.00","2,549.20","2,554.98","3,054.80","1,901.05","3,72,767","95,24,13,934.30","29,642"
"19-May-2025","EQ","2,580.00","2,610.00","2,546.60","2,572.70","2,560.80","2,564.20","2,567.66","3,054.80","1,901.05","3,52,051","90,39,49,008.10","17,088"
"16-May-2025","EQ","2,561.90","2,580.00","2,532.00","2,559.90","2,572.00","2,572.70","2,553.76","3,054.80","1,901.05","1,82,619","46,63,64,537.50","13,696"
"15-May-2025","EQ","2,553.80","2,573.10","2,516.00","2,554.60","2,553.00","2,559.90","2,540.88","3,054.80","1,901.05","1,41,156","35,86,60,609.40","23,542"
"14-May-2025","EQ","2,545.00","2,569.90","2,480.90","2,547.30","2,549.00","2,554.60","2,523.14","3,054.80","1,901.05","3,07,285","77,53,22,394.40","24,932"
"13-May-2025","EQ","2,500.00","2,564.70","2,500.00","2,500.00","2,545.00","2,547.30","2,545.04","3,054.80","1,901.05","4,01,730","1,02,24,18,472.00","32,213"
"12-May-2025","EQ","2,459.90","2,528.40","2,444.00","2,408.20","2,498.00","2,500.00","2,494.22","3,054.80","1,901.05","4,45,726","1,11,17,37,708.00","25,087"
"09-May-2025","EQ","2,390.60","2,433.30","2,370.50","2,439.50","2,404.00","2,408.20","2,405.64","3,054.80","1,901.05","5,67,789","1,36,58,97,205.40","30,089"
"08-May-2025","EQ","2,432.40","2,478.70","2,385.00","2,432.40","2,414.00","2,439.50","2,449.06","3,054.80","1,901.05","2,72,988","66,85,63,331.00","45,166"
"07-May-2025","EQ","2,335.00","2,442.50","2,330.00","2,368.70","2,417.00","2,432.40","2,401.76","3,054.80","1,901.05","3,15,259","75,71,76,578.00","42,746"
"06-May-2025","EQ","2,415.40","2,427.90","2,350.00","2,415.40","2,357.00","2,368.70","2,384.26","3,054.80","1,901.05","1,89,736","45,23,79,630.30","31,450"
"05-May-2025","EQ","2,392.70","2,419.20","2,376.10","2,385.80","2,415.00","2,415.40","2,401.13","3,054.80","1,901.05","1,20,712","28,98,44,890.50","17,857"
"02-May-2025","EQ","2,467.00","2,468.00","2,358.70","2,465.30","2,382.10","2,385.80","2,394.05","3,054.80","1,901.05","3,80,164","91,01,29,837.20","44,641"
