ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","750.00","750.00","734.90","747.05","736.00","738.80","740.84","1,512.00","706.30","83,156","6,16,05,441.25","10,036"
"11-Aug-2025","EQ","741.00","750.05","734.00","741.00","748.55","747.05","737.68","1,512.00","706.30","4,55,471","33,59,92,473.15","6,122"
"08-Aug-2025","EQ","735.90","748.30","728.50","732.05","741.55","741.00","740.29","1,512.00","706.30","61,225","4,53,24,331.40","7,555"
"07-Aug-2025","EQ","734.25","735.00","724.00","734.25","732.00","732.05","729.41","1,512.00","706.30","84,750","6,18,17,907.80","16,807"
"06-Aug-2025","EQ","749.00","750.25","730.10","749.70","734.25","734.25","734.98","1,512.00","706.30","1,98,371","14,57,99,622.10","25,909"
"05-Aug-2025","EQ","761.10","762.45","742.60","756.65","749.35","749.70","749.19","1,512.00","706.30","73,966","5,54,14,832.40","10,009"
"04-Aug-2025","EQ","745.95","763.30","733.60","742.45","757.90","756.65","752.17","1,512.00","706.30","98,128","7,38,09,163.00","10,262"
"01-Aug-2025","EQ","753.20","753.20","734.10","749.40","740.35","742.45","742.16","1,512.00","706.30","1,29,263","9,59,33,544.60","13,376"
"31-Jul-2025","EQ","780.40","782.95","745.15","789.15","753.70","749.40","759.39","1,512.00","706.30","6,79,372","51,59,07,735.30","32,272"
"30-Jul-2025","EQ","754.50","804.00","749.00","754.50","790.00","789.15","782.53","1,512.00","706.30","8,18,254","64,03,09,022.55","40,928"
"29-Jul-2025","EQ","760.00","769.00","751.85","761.00","760.00","754.50","758.66","1,512.00","706.30","1,18,333","8,97,74,967.65","11,250"
"28-Jul-2025","EQ","785.00","785.95","756.15","787.90","759.10","761.00","770.09","1,512.00","706.30","1,26,113","9,71,18,118.70","10,885"
"25-Jul-2025","EQ","788.00","794.65","780.85","794.30","788.10","787.90","789.08","1,512.00","706.30","67,797","5,34,97,241.80","6,647"
"24-Jul-2025","EQ","789.20","798.00","784.35","785.05","793.70","794.30","793.56","1,512.00","706.30","78,476","6,22,75,678.95","8,819"
"23-Jul-2025","EQ","798.70","798.90","774.20","794.95","785.00","785.05","782.63","1,512.00","706.30","2,73,266","21,38,65,735.80","15,181"
"22-Jul-2025","EQ","793.75","798.50","786.10","793.45","797.00","794.95","793.20","1,512.00","706.30","75,137","5,95,98,706.60","8,456"
"21-Jul-2025","EQ","795.00","797.20","785.00","799.25","793.75","793.45","791.66","1,512.00","706.30","80,456","6,36,93,909.40","7,937"
"18-Jul-2025","EQ","810.70","815.70","793.90","810.10","796.15","799.25","801.97","1,512.00","706.30","96,047","7,70,26,468.50","10,817"
"17-Jul-2025","EQ","793.80","824.35","793.10","791.60","809.05","810.10","810.71","1,512.00","706.30","3,02,999","24,56,44,938.80","21,064"
"16-Jul-2025","EQ","795.50","803.45","789.05","798.40","793.80","791.60","791.13","1,512.00","706.30","2,91,335","23,04,84,358.90","15,844"
"15-Jul-2025","EQ","787.00","807.40","787.00","790.35","798.00","798.40","796.86","1,512.00","706.30","1,71,248","13,64,61,435.20","17,629"
"14-Jul-2025","EQ","795.05","798.95","785.00","796.10","790.90","790.35","792.17","1,512.00","706.30","1,41,622","11,21,88,581.10","10,851"
"11-Jul-2025","EQ","802.25","806.90","795.00","806.20","796.05","796.10","798.85","1,512.00","706.30","83,932","6,70,49,293.15","10,015"
"10-Jul-2025","EQ","807.50","810.60","798.60","803.70","805.00","806.20","803.91","1,512.00","706.30","86,133","6,92,43,390.85","8,262"
"09-Jul-2025","EQ","812.90","812.90","801.80","808.85","803.05","803.70","804.33","1,512.00","706.30","72,082","5,79,77,813.45","8,851"
"08-Jul-2025","EQ","814.30","818.20","798.50","814.30","807.00","808.85","808.33","1,512.00","706.30","1,20,910","9,77,34,733.15","12,374"
"07-Jul-2025","EQ","828.55","829.15","812.05","827.50","814.00","814.30","818.26","1,512.00","706.30","3,29,347","26,94,91,053.65","13,777"
"07-Jul-2025","EQ","828.55","829.15","812.05","827.50","814.00","814.30","818.26","1,512.00","706.30","3,29,347","26,94,91,053.65","13,777"
"04-Jul-2025","EQ","797.05","848.00","797.00","801.10","827.70","827.50","833.17","1,512.00","706.30","12,68,363","1,05,67,63,271.05","60,789"
"03-Jul-2025","EQ","800.50","809.50","794.00","803.95","801.00","801.10","800.10","1,512.00","706.30","1,76,548","14,12,56,105.10","9,038"
"02-Jul-2025","EQ","822.00","822.90","791.05","814.40","801.00","803.95","798.16","1,512.00","706.30","5,30,395","42,33,39,985.70","15,347"
"01-Jul-2025","EQ","815.05","825.00","810.00","811.25","818.55","814.40","817.28","1,512.00","706.30","1,92,555","15,73,70,659.05","13,584"
"30-Jun-2025","EQ","808.25","818.35","804.05","804.05","812.80","811.25","808.67","1,512.00","706.30","2,87,335","23,23,58,738.70","12,334"
"27-Jun-2025","EQ","808.00","813.35","799.05","801.55","806.50","804.05","804.49","1,512.00","706.30","5,07,172","40,80,14,629.55","16,386"
"26-Jun-2025","EQ","800.00","818.15","799.00","799.85","802.00","801.55","802.88","1,512.00","706.30","1,40,008","11,24,09,902.10","12,576"
"25-Jun-2025","EQ","800.00","808.00","793.80","795.60","800.40","799.85","800.13","1,512.00","706.30","1,66,575","13,32,80,910.85","11,385"
"24-Jun-2025","EQ","802.95","817.65","790.20","799.85","799.00","795.60","801.32","1,512.00","706.30","2,29,531","18,39,28,070.30","19,990"
"23-Jun-2025","EQ","792.10","803.00","788.00","800.70","800.05","799.85","797.10","1,512.00","706.30","94,428","7,52,68,282.15","7,364"
"20-Jun-2025","EQ","792.00","803.25","792.00","799.30","801.00","800.70","799.24","1,512.00","706.30","1,05,257","8,41,25,700.00","7,783"
"19-Jun-2025","EQ","815.00","825.95","791.85","810.60","797.00","799.30","807.29","1,512.00","706.30","4,38,617","35,40,90,969.50","24,998"
"18-Jun-2025","EQ","779.65","819.00","776.05","779.65","812.45","810.60","800.41","1,512.00","706.30","16,28,898","1,30,37,85,115.55","65,640"
"17-Jun-2025","EQ","785.15","788.45","775.50","785.15","783.00","779.65","781.69","1,512.00","706.30","1,09,075","8,52,62,630.70","7,802"
"16-Jun-2025","EQ","780.00","792.00","771.40","786.40","785.00","785.15","781.22","1,512.00","706.30","3,24,498","25,35,05,310.90","12,971"
