ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,532.00","2,575.00","2,505.00","2,526.90","2,506.10","2,515.70","2,544.30","3,375.00","1,887.00","66,415","16,89,79,429.90","11,832"
"11-Aug-2025","EQ","2,485.50","2,540.80","2,466.10","2,485.50","2,532.00","2,526.90","2,513.35","3,375.00","1,887.00","54,043","13,58,28,767.80","9,435"
"08-Aug-2025","EQ","2,521.00","2,539.50","2,470.00","2,523.90","2,475.00","2,485.50","2,514.82","3,375.00","1,887.00","34,006","8,55,19,029.70","8,297"
"07-Aug-2025","EQ","2,470.00","2,533.10","2,470.00","2,514.90","2,521.00","2,523.90","2,509.24","3,375.00","1,887.00","61,971","15,54,99,987.60","10,430"
"06-Aug-2025","EQ","2,518.00","2,533.00","2,504.80","2,524.80","2,514.00","2,514.90","2,516.23","3,375.00","1,887.00","31,498","7,92,56,303.70","7,268"
"05-Aug-2025","EQ","2,540.00","2,550.60","2,498.00","2,521.20","2,506.50","2,524.80","2,524.41","3,375.00","1,887.00","53,718","13,56,06,119.60","10,388"
"04-Aug-2025","EQ","2,455.00","2,540.00","2,412.50","2,447.10","2,524.90","2,521.20","2,497.27","3,375.00","1,887.00","1,14,174","28,51,23,665.30","17,911"
"01-Aug-2025","EQ","2,430.00","2,471.90","2,416.00","2,416.70","2,455.00","2,447.10","2,449.10","3,375.00","1,887.00","82,757","20,26,80,325.20","13,180"
"31-Jul-2025","EQ","2,430.00","2,453.70","2,406.60","2,467.10","2,429.00","2,416.70","2,427.62","3,375.00","1,887.00","53,167","12,90,69,535.20","8,657"
"30-Jul-2025","EQ","2,446.20","2,496.30","2,446.20","2,453.20","2,460.00","2,467.10","2,474.61","3,375.00","1,887.00","58,500","14,47,64,928.20","8,812"
"29-Jul-2025","EQ","2,465.80","2,490.00","2,414.00","2,488.20","2,451.80","2,453.20","2,444.28","3,375.00","1,887.00","1,02,794","25,12,57,426.50","18,401"
"28-Jul-2025","EQ","2,472.40","2,512.00","2,414.00","2,479.80","2,456.00","2,488.20","2,451.81","3,375.00","1,887.00","1,21,240","29,72,57,524.70","20,471"
"25-Jul-2025","EQ","2,476.30","2,557.20","2,457.10","2,476.30","2,470.00","2,479.80","2,515.26","3,375.00","1,887.00","3,21,602","80,89,12,934.40","46,314"
"24-Jul-2025","EQ","2,551.30","2,551.50","2,462.20","2,549.30","2,481.20","2,476.30","2,488.48","3,375.00","1,887.00","1,65,825","41,26,52,919.30","19,337"
"23-Jul-2025","EQ","2,650.20","2,650.20","2,536.60","2,657.60","2,550.00","2,549.30","2,575.55","3,375.00","1,887.00","2,33,810","60,21,88,181.90","23,292"
"22-Jul-2025","EQ","2,670.50","2,733.90","2,641.00","2,669.80","2,648.00","2,657.60","2,694.50","3,375.00","1,887.00","4,61,080","1,24,23,82,029.20","36,462"
"21-Jul-2025","EQ","2,547.70","2,818.00","2,544.00","2,493.50","2,670.10","2,669.80","2,708.09","3,375.00","1,887.00","51,71,036","14,00,36,42,182.30","2,82,728"
"18-Jul-2025","EQ","2,539.90","2,554.00","2,458.20","2,539.40","2,499.80","2,493.50","2,498.88","3,375.00","1,887.00","51,049","12,75,65,072.00","11,489"
"17-Jul-2025","EQ","2,561.00","2,583.90","2,531.60","2,557.70","2,532.00","2,539.40","2,557.74","3,375.00","1,887.00","29,056","7,43,17,711.60","8,085"
"16-Jul-2025","EQ","2,524.00","2,600.00","2,510.10","2,524.00","2,558.00","2,557.70","2,574.96","3,375.00","1,887.00","92,456","23,80,70,593.30","16,512"
"15-Jul-2025","EQ","2,503.60","2,539.00","2,481.70","2,503.80","2,527.70","2,524.00","2,515.43","3,375.00","1,887.00","96,272","24,21,65,856.80","13,093"
"14-Jul-2025","EQ","2,496.10","2,530.00","2,475.00","2,520.80","2,497.80","2,503.80","2,501.16","3,375.00","1,887.00","41,531","10,38,75,558.30","9,205"
"11-Jul-2025","EQ","2,530.00","2,558.00","2,469.60","2,535.90","2,496.90","2,520.80","2,506.46","3,375.00","1,887.00","63,263","15,85,66,310.30","10,950"
"10-Jul-2025","EQ","2,580.50","2,600.00","2,532.00","2,579.40","2,540.00","2,535.90","2,568.17","3,375.00","1,887.00","52,646","13,52,03,630.70","9,531"
"09-Jul-2025","EQ","2,565.00","2,598.80","2,552.10","2,568.50","2,582.00","2,579.40","2,578.17","3,375.00","1,887.00","61,483","15,85,13,546.60","12,949"
"08-Jul-2025","EQ","2,570.00","2,615.00","2,532.50","2,571.20","2,574.00","2,568.50","2,567.15","3,375.00","1,887.00","1,27,386","32,70,19,339.20","23,083"
"07-Jul-2025","EQ","2,548.50","2,595.00","2,514.20","2,548.60","2,567.00","2,571.20","2,564.51","3,375.00","1,887.00","1,68,509","43,21,42,255.00","26,411"
"04-Jul-2025","EQ","2,422.00","2,560.00","2,403.30","2,422.70","2,545.00","2,548.60","2,520.08","3,375.00","1,887.00","3,12,974","78,87,20,011.10","35,203"
"03-Jul-2025","EQ","2,453.00","2,453.00","2,410.00","2,448.60","2,414.00","2,422.70","2,425.12","3,375.00","1,887.00","37,091","8,99,50,016.70","7,973"
"02-Jul-2025","EQ","2,429.00","2,461.20","2,415.30","2,425.10","2,448.00","2,448.60","2,440.22","3,375.00","1,887.00","64,404","15,71,59,887.80","14,045"
"01-Jul-2025","EQ","2,441.00","2,455.00","2,401.30","2,440.70","2,430.00","2,425.10","2,423.41","3,375.00","1,887.00","47,769","11,57,63,917.00","11,757"
"30-Jun-2025","EQ","2,440.90","2,451.50","2,423.20","2,421.70","2,438.50","2,440.70","2,437.22","3,375.00","1,887.00","50,691","12,35,45,331.30","8,090"
"27-Jun-2025","EQ","2,465.00","2,478.10","2,388.20","2,454.30","2,432.00","2,421.70","2,434.83","3,375.00","1,887.00","88,917","21,64,98,137.40","14,433"
"26-Jun-2025","EQ","2,519.50","2,528.70","2,445.50","2,506.90","2,452.00","2,454.30","2,474.70","3,375.00","1,887.00","62,635","15,50,02,629.40","10,822"
"25-Jun-2025","EQ","2,499.90","2,541.50","2,473.20","2,484.50","2,505.20","2,506.90","2,518.86","3,375.00","1,887.00","77,757","19,58,59,219.50","13,141"
"24-Jun-2025","EQ","2,455.00","2,491.00","2,437.00","2,444.40","2,485.10","2,484.50","2,470.18","3,375.00","1,887.00","74,997","18,52,56,289.90","12,401"
"23-Jun-2025","EQ","2,404.90","2,454.60","2,386.60","2,421.00","2,440.00","2,444.40","2,429.84","3,375.00","1,887.00","51,143","12,42,69,340.60","8,887"
"20-Jun-2025","EQ","2,409.00","2,472.00","2,390.70","2,390.00","2,419.00","2,421.00","2,427.98","3,375.00","1,887.00","1,50,727","36,59,62,873.70","31,353"
"19-Jun-2025","EQ","2,453.20","2,466.90","2,381.00","2,451.00","2,382.40","2,390.00","2,420.25","3,375.00","1,887.00","52,263","12,64,89,724.00","7,794"
"18-Jun-2025","EQ","2,469.00","2,494.90","2,433.50","2,480.80","2,451.00","2,451.00","2,455.66","3,375.00","1,887.00","65,222","16,01,63,106.00","12,946"
"17-Jun-2025","EQ","2,524.00","2,569.80","2,465.00","2,499.20","2,467.00","2,480.80","2,523.95","3,375.00","1,887.00","1,48,731","37,53,89,460.70","24,304"
"16-Jun-2025","EQ","2,454.60","2,510.00","2,392.10","2,454.60","2,510.00","2,499.20","2,465.21","3,375.00","1,887.00","95,964","23,65,71,828.40","14,123"
"13-Jun-2025","EQ","2,350.00","2,467.00","2,344.60","2,405.20","2,466.60","2,454.60","2,434.20","3,375.00","1,887.00","1,25,629","30,58,06,450.30","17,173"
"12-Jun-2025","EQ","2,510.00","2,545.90","2,375.00","2,466.90","2,397.00","2,405.20","2,458.25","3,375.00","1,887.00","1,86,960","45,95,94,639.60","24,106"
"11-Jun-2025","EQ","2,417.70","2,484.00","2,394.30","2,397.50","2,465.20","2,466.90","2,441.87","3,375.00","1,887.00","1,80,005","43,95,48,660.60","20,185"
"10-Jun-2025","EQ","2,376.70","2,442.60","2,370.70","2,363.10","2,401.00","2,397.50","2,411.71","3,375.00","1,887.00","1,42,882","34,45,90,371.50","19,437"
"09-Jun-2025","EQ","2,401.90","2,430.00","2,355.10","2,386.90","2,368.40","2,363.10","2,400.11","3,375.00","1,887.00","1,05,401","25,29,73,799.50","16,484"
"06-Jun-2025","EQ","2,353.00","2,416.00","2,340.30","2,345.40","2,389.90","2,386.90","2,380.92","3,375.00","1,887.00","1,47,394","35,09,33,986.50","22,162"
"05-Jun-2025","EQ","2,307.90","2,355.00","2,301.00","2,305.50","2,343.80","2,345.40","2,333.85","3,375.00","1,887.00","77,807","18,15,90,190.90","13,024"
"04-Jun-2025","EQ","2,320.00","2,340.40","2,282.10","2,316.30","2,286.00","2,305.50","2,322.74","3,375.00","1,887.00","50,784","11,79,58,268.80","8,729"
"03-Jun-2025","EQ","2,298.50","2,344.00","2,285.10","2,288.90","2,318.20","2,316.30","2,316.68","3,375.00","1,887.00","1,45,577","33,72,55,616.10","11,066"
"02-Jun-2025","EQ","2,339.00","2,341.80","2,281.30","2,327.80","2,284.00","2,288.90","2,300.44","3,375.00","1,887.00","62,294","14,33,03,730.20","11,336"
"30-May-2025","EQ","2,315.00","2,332.50","2,296.40","2,308.30","2,325.00","2,327.80","2,318.18","3,375.00","1,887.00","67,685","15,69,05,829.90","11,182"
"29-May-2025","EQ","2,275.00","2,379.00","2,275.00","2,248.10","2,310.00","2,308.30","2,335.63","3,375.00","1,887.00","2,99,471","69,94,52,989.60","36,543"
"28-May-2025","EQ","2,300.80","2,314.00","2,224.80","2,300.80","2,275.80","2,248.10","2,265.86","3,375.00","1,887.00","1,48,999","33,76,10,552.80","26,751"
"27-May-2025","EQ","2,330.50","2,348.70","2,293.40","2,321.00","2,298.00","2,300.80","2,313.08","3,375.00","1,887.00","49,525","11,45,55,116.80","10,486"
"26-May-2025","EQ","2,333.00","2,356.40","2,312.50","2,332.90","2,321.80","2,321.00","2,335.12","3,375.00","1,887.00","53,084","12,39,57,705.40","11,815"
"23-May-2025","EQ","2,320.00","2,382.00","2,308.50","2,319.10","2,333.00","2,332.90","2,347.75","3,375.00","1,887.00","56,399","13,24,10,888.60","13,272"
"22-May-2025","EQ","2,300.10","2,327.10","2,300.00","2,315.70","2,318.00","2,319.10","2,313.82","3,375.00","1,887.00","44,048","10,19,18,963.20","10,343"
"21-May-2025","EQ","2,325.00","2,359.00","2,294.50","2,329.80","2,314.40","2,315.70","2,329.95","3,375.00","1,887.00","80,476","18,75,05,225.70","16,829"
"20-May-2025","EQ","2,322.80","2,397.30","2,320.00","2,321.20","2,327.00","2,329.80","2,359.18","3,375.00","1,887.00","2,18,555","51,56,09,826.50","33,842"
"19-May-2025","EQ","2,345.00","2,354.80","2,310.20","2,343.10","2,315.00","2,321.20","2,332.81","3,375.00","1,887.00","74,662","17,41,72,417.50","16,103"
"16-May-2025","EQ","2,350.00","2,359.00","2,332.60","2,330.90","2,335.00","2,343.10","2,347.56","3,375.00","1,887.00","68,375","16,05,14,554.60","16,940"
"15-May-2025","EQ","2,335.90","2,351.00","2,319.60","2,319.60","2,331.70","2,330.90","2,336.22","3,375.00","1,887.00","90,912","21,23,90,512.60","16,033"
"14-May-2025","EQ","2,273.90","2,353.90","2,264.50","2,255.60","2,317.90","2,319.60","2,322.07","3,375.00","1,887.00","2,35,288","54,63,54,160.30","29,740"
"13-May-2025","EQ","2,260.00","2,291.00","2,239.60","2,261.70","2,260.00","2,255.60","2,267.29","3,375.00","1,887.00","87,910","19,93,17,250.60","15,066"
"12-May-2025","EQ","2,175.00","2,283.30","2,175.00","2,134.80","2,256.50","2,261.70","2,244.36","3,375.00","1,887.00","1,94,169","43,57,84,299.10","25,802"
"09-May-2025","EQ","2,110.00","2,148.40","2,088.00","2,138.60","2,129.90","2,134.80","2,123.33","3,375.00","1,887.00","1,03,861","22,05,31,235.60","22,260"
"08-May-2025","EQ","2,100.00","2,223.00","2,091.00","2,094.40","2,133.00","2,138.60","2,178.89","3,375.00","1,887.00","4,17,182","90,89,93,620.00","58,019"
"07-May-2025","EQ","2,025.00","2,110.00","2,025.00","2,049.40","2,100.00","2,094.40","2,070.09","3,375.00","1,887.00","1,48,366","30,71,31,622.80","26,049"
"06-May-2025","EQ","2,096.50","2,127.20","2,030.00","2,085.20","2,038.90","2,049.40","2,078.76","3,375.00","1,887.00","1,31,924","27,42,38,851.80","26,934"
"05-May-2025","EQ","2,077.70","2,099.00","2,066.80","2,077.70","2,087.40","2,085.20","2,084.79","3,375.00","1,887.00","95,740","19,95,97,583.00","13,252"
