ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","461.60","476.40","456.35","461.60","458.95","461.45","467.63","698.75","341.10","1,16,465","5,44,62,785.35","6,041"
"12-Aug-2025","EQ","457.00","470.40","452.85","455.95","457.90","461.60","462.38","698.75","341.10","1,05,648","4,88,49,128.60","5,431"
"11-Aug-2025","EQ","464.00","464.00","444.90","450.20","450.10","455.95","452.20","698.75","341.10","80,286","3,63,05,120.45","5,084"
"08-Aug-2025","EQ","448.95","457.00","442.50","449.25","448.20","450.20","451.94","698.75","341.10","1,04,439","4,72,00,252.35","6,944"
"07-Aug-2025","EQ","447.90","459.85","437.05","448.00","449.00","449.25","444.82","698.75","341.10","73,167","3,25,46,032.05","5,402"
"06-Aug-2025","EQ","458.00","462.05","441.00","459.55","446.75","448.00","450.26","698.75","341.10","1,35,864","6,11,73,858.85","9,431"
"05-Aug-2025","EQ","468.00","471.95","455.00","462.35","460.00","459.55","462.53","698.75","341.10","62,238","2,87,87,212.15","4,700"
"04-Aug-2025","EQ","468.80","475.20","460.00","468.80","463.00","462.35","465.10","698.75","341.10","1,16,070","5,39,83,786.95","9,522"
"01-Aug-2025","EQ","483.45","484.95","466.75","484.30","469.30","468.80","475.07","698.75","341.10","1,01,217","4,80,84,833.15","6,954"
"31-Jul-2025","EQ","486.00","491.95","481.60","486.15","483.70","484.30","486.61","698.75","341.10","79,011","3,84,47,401.65","5,770"
"30-Jul-2025","EQ","498.10","502.20","485.00","500.35","487.00","486.15","490.77","698.75","341.10","71,442","3,50,61,755.30","3,902"
"29-Jul-2025","EQ","490.00","504.00","483.00","491.65","498.10","500.35","490.17","698.75","341.10","2,00,785","9,84,18,877.85","16,095"
"28-Jul-2025","EQ","512.00","517.55","489.10","511.15","490.60","491.65","500.31","698.75","341.10","1,09,662","5,48,64,507.30","8,119"
"25-Jul-2025","EQ","523.85","525.05","510.00","523.85","511.00","511.15","515.54","698.75","341.10","2,34,982","12,11,42,813.10","15,456"
"24-Jul-2025","EQ","546.75","548.90","522.15","543.35","523.20","523.85","531.93","698.75","341.10","1,39,072","7,39,76,799.85","7,690"
"23-Jul-2025","EQ","551.80","551.80","536.05","552.20","543.20","543.35","541.65","698.75","341.10","85,981","4,65,71,550.65","4,984"
