ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,270.00","1,301.70","1,251.40","1,260.60","1,267.60","1,267.10","1,276.85","1,314.30","836.60","32,68,236","4,17,30,62,586.20","1,05,843"
"12-Aug-2025","EQ","1,268.00","1,276.40","1,256.00","1,263.30","1,262.50","1,260.60","1,265.02","1,314.30","836.60","7,40,292","93,64,84,773.50","45,691"
"11-Aug-2025","EQ","1,245.30","1,270.60","1,243.30","1,245.30","1,261.00","1,263.30","1,261.25","1,314.30","836.60","8,07,096","1,01,79,52,126.80","44,008"
"08-Aug-2025","EQ","1,265.00","1,271.40","1,242.30","1,265.90","1,245.60","1,245.30","1,251.50","1,314.30","836.60","5,48,971","68,70,37,196.00","27,197"
"07-Aug-2025","EQ","1,260.00","1,272.10","1,240.60","1,271.10","1,263.00","1,265.90","1,253.74","1,314.30","836.60","23,65,386","2,96,55,83,168.60","52,237"
"06-Aug-2025","EQ","1,289.90","1,289.90","1,256.10","1,273.90","1,271.00","1,271.10","1,267.68","1,314.30","836.60","10,95,951","1,38,93,20,389.50","51,766"
"05-Aug-2025","EQ","1,245.60","1,280.00","1,237.50","1,250.40","1,268.50","1,273.90","1,265.11","1,314.30","836.60","16,07,681","2,03,38,92,169.10","55,017"
"04-Aug-2025","EQ","1,253.60","1,256.00","1,235.30","1,246.00","1,252.00","1,250.40","1,247.64","1,314.30","836.60","7,18,743","89,67,33,817.10","32,752"
"01-Aug-2025","EQ","1,245.00","1,258.20","1,239.00","1,246.00","1,240.00","1,246.00","1,248.36","1,314.30","836.60","9,32,679","1,16,43,20,009.70","39,854"
"31-Jul-2025","EQ","1,240.00","1,270.80","1,235.60","1,264.60","1,250.00","1,246.00","1,250.91","1,314.30","836.60","22,65,597","2,83,40,55,412.50","77,553"
