ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,573.10","1,600.00","1,573.10","1,588.40","1,585.00","1,588.00","1,590.66","1,666.90","950.00","2,90,674","46,23,63,855.40","25,395"
"12-Aug-2025","EQ","1,550.00","1,595.60","1,535.00","1,556.40","1,585.00","1,588.40","1,578.53","1,666.90","950.00","5,45,170","86,05,68,552.40","36,457"
"11-Aug-2025","EQ","1,552.00","1,559.80","1,525.00","1,551.50","1,554.00","1,556.40","1,545.18","1,666.90","950.00","5,71,573","88,31,83,653.40","47,536"
"08-Aug-2025","EQ","1,544.30","1,575.00","1,530.30","1,504.90","1,545.00","1,551.50","1,546.93","1,666.90","950.00","14,40,860","2,22,89,10,326.70","64,682"
"07-Aug-2025","EQ","1,491.30","1,510.00","1,479.80","1,489.70","1,510.00","1,504.90","1,494.81","1,666.90","950.00","2,72,182","40,68,59,469.10","23,287"
"06-Aug-2025","EQ","1,476.90","1,495.00","1,458.40","1,475.40","1,493.00","1,489.70","1,477.77","1,666.90","950.00","4,65,281","68,75,79,462.20","32,164"
"05-Aug-2025","EQ","1,483.10","1,489.00","1,465.60","1,481.60","1,483.80","1,475.40","1,476.60","1,666.90","950.00","2,83,471","41,85,74,309.10","18,981"
"04-Aug-2025","EQ","1,453.10","1,489.00","1,451.10","1,472.50","1,487.70","1,481.60","1,476.53","1,666.90","950.00","8,41,528","1,24,25,37,824.20","46,480"
"01-Aug-2025","EQ","1,497.30","1,501.40","1,467.60","1,501.40","1,470.50","1,472.50","1,481.85","1,666.90","950.00","4,71,006","69,79,59,421.30","33,298"
"31-Jul-2025","EQ","1,500.00","1,509.70","1,486.50","1,508.20","1,497.00","1,501.40","1,501.65","1,666.90","950.00","3,25,620","48,89,67,269.20","25,251"
"30-Jul-2025","EQ","1,509.90","1,513.40","1,481.00","1,504.90","1,504.60","1,508.20","1,495.79","1,666.90","950.00","6,67,653","99,86,67,772.30","37,626"
"29-Jul-2025","EQ","1,524.00","1,528.60","1,499.30","1,527.50","1,502.50","1,504.90","1,508.64","1,666.90","950.00","9,65,548","1,45,66,63,322.70","45,883"
"28-Jul-2025","EQ","1,529.00","1,555.00","1,522.00","1,526.70","1,524.00","1,527.50","1,537.74","1,666.90","950.00","3,15,645","48,53,79,632.20","30,097"
"25-Jul-2025","EQ","1,525.80","1,534.40","1,515.50","1,525.80","1,531.60","1,526.70","1,524.47","1,666.90","950.00","3,83,171","58,41,32,254.80","18,375"
"24-Jul-2025","EQ","1,531.50","1,545.50","1,520.40","1,549.70","1,532.60","1,525.80","1,529.07","1,666.90","950.00","4,75,006","72,63,17,164.60","40,245"
"23-Jul-2025","EQ","1,569.90","1,574.70","1,544.10","1,562.40","1,551.00","1,549.70","1,552.21","1,666.90","950.00","4,44,719","69,02,95,565.50","33,526"
"22-Jul-2025","EQ","1,539.90","1,582.90","1,535.00","1,541.70","1,560.10","1,562.40","1,560.87","1,666.90","950.00","9,82,580","1,53,36,76,643.90","40,430"
"21-Jul-2025","EQ","1,532.00","1,555.00","1,529.10","1,539.10","1,544.60","1,541.70","1,544.74","1,666.90","950.00","4,83,925","74,75,37,227.30","35,832"
"18-Jul-2025","EQ","1,529.90","1,550.10","1,528.90","1,537.60","1,540.00","1,539.10","1,540.08","1,666.90","950.00","6,37,166","98,12,86,330.30","43,291"
"17-Jul-2025","EQ","1,572.80","1,573.30","1,509.00","1,569.30","1,538.00","1,537.60","1,526.12","1,666.90","950.00","21,57,923","3,29,32,38,776.90","1,35,480"
"16-Jul-2025","EQ","1,579.50","1,585.30","1,564.30","1,582.80","1,572.90","1,569.30","1,573.75","1,666.90","950.00","5,17,618","81,46,01,817.80","41,084"
"15-Jul-2025","EQ","1,580.70","1,586.00","1,560.60","1,578.50","1,578.00","1,582.80","1,572.96","1,666.90","950.00","7,50,051","1,17,97,97,481.30","35,078"
"14-Jul-2025","EQ","1,560.00","1,592.50","1,558.80","1,567.20","1,578.10","1,578.50","1,580.14","1,666.90","950.00","10,49,890","1,65,89,72,141.20","29,008"
"11-Jul-2025","EQ","1,572.70","1,594.40","1,557.60","1,582.80","1,565.50","1,567.20","1,570.38","1,666.90","950.00","9,37,494","1,47,22,19,196.10","55,993"
"10-Jul-2025","EQ","1,563.70","1,593.30","1,559.20","1,563.70","1,578.90","1,582.80","1,578.75","1,666.90","950.00","9,22,722","1,45,67,50,097.60","40,511"
"09-Jul-2025","EQ","1,565.00","1,572.90","1,553.70","1,572.00","1,561.00","1,563.70","1,563.74","1,666.90","950.00","7,91,509","1,23,77,17,875.20","46,533"
"08-Jul-2025","EQ","1,569.00","1,583.30","1,562.00","1,568.50","1,565.00","1,572.00","1,572.53","1,666.90","950.00","7,72,077","1,21,41,15,731.90","51,268"
"07-Jul-2025","EQ","1,585.00","1,597.90","1,564.80","1,589.90","1,570.00","1,568.50","1,577.17","1,666.90","950.00","3,49,489","55,12,03,204.00","25,464"
"04-Jul-2025","EQ","1,610.00","1,624.20","1,574.30","1,618.90","1,585.20","1,589.90","1,591.19","1,666.90","950.00","12,18,649","1,93,91,04,962.40","57,741"
"03-Jul-2025","EQ","1,640.00","1,648.10","1,611.50","1,644.00","1,611.50","1,618.90","1,624.02","1,666.90","950.00","3,73,808","60,70,72,802.80","42,899"
"02-Jul-2025","EQ","1,645.10","1,656.70","1,638.20","1,653.90","1,648.20","1,644.00","1,646.09","1,666.90","950.00","5,49,765","90,49,62,013.60","28,215"
"01-Jul-2025","EQ","1,637.80","1,666.90","1,637.80","1,647.10","1,659.00","1,653.90","1,655.83","1,666.90","950.00","7,69,028","1,27,33,80,824.90","54,211"
"30-Jun-2025","EQ","1,649.00","1,659.70","1,616.30","1,641.10","1,647.50","1,647.10","1,636.23","1,659.70","950.00","7,93,747","1,29,87,56,349.80","60,102"
"27-Jun-2025","EQ","1,636.70","1,658.00","1,608.70","1,634.30","1,634.00","1,641.10","1,640.41","1,658.00","950.00","64,20,988","10,53,30,77,452.00","1,40,657"
"26-Jun-2025","EQ","1,626.10","1,636.00","1,618.90","1,627.80","1,630.10","1,634.30","1,628.38","1,636.00","950.00","5,49,494","89,47,87,644.30","38,477"
"25-Jun-2025","EQ","1,618.40","1,629.90","1,606.10","1,618.40","1,623.80","1,627.80","1,618.92","1,629.90","950.00","9,28,252","1,50,27,67,985.30","47,247"
"24-Jun-2025","EQ","1,610.00","1,622.60","1,581.20","1,599.90","1,620.50","1,618.40","1,607.88","1,622.60","950.00","5,06,897","81,50,30,288.20","36,658"
"23-Jun-2025","EQ","1,589.00","1,619.20","1,581.70","1,595.30","1,600.10","1,599.90","1,603.64","1,619.20","950.00","9,13,548","1,46,50,04,508.90","40,753"
"20-Jun-2025","EQ","1,576.30","1,609.00","1,574.70","1,576.30","1,598.10","1,595.30","1,592.37","1,609.00","950.00","20,08,915","3,19,89,40,198.60","58,766"
"19-Jun-2025","EQ","1,584.80","1,601.10","1,567.50","1,586.60","1,575.50","1,576.30","1,581.53","1,606.10","950.00","5,23,308","82,76,24,978.70","35,576"
