ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,358.10","1,369.00","1,340.70","1,356.80","1,343.10","1,343.30","1,349.81","1,988.00","1,075.25","1,66,706","22,50,20,944.50","16,939"
"12-Aug-2025","EQ","1,342.10","1,359.00","1,332.50","1,337.40","1,357.00","1,356.80","1,354.22","1,988.00","1,075.25","2,31,745","31,38,32,650.00","18,329"
"11-Aug-2025","EQ","1,323.90","1,348.40","1,314.00","1,320.20","1,335.50","1,337.40","1,339.60","1,988.00","1,075.25","3,81,107","51,05,30,932.20","31,348"
"08-Aug-2025","EQ","1,294.00","1,328.00","1,290.80","1,291.20","1,314.00","1,320.20","1,316.27","1,988.00","1,075.25","5,34,601","70,36,79,623.10","31,323"
"07-Aug-2025","EQ","1,285.00","1,303.50","1,278.00","1,292.70","1,288.00","1,291.20","1,288.49","1,988.00","1,075.25","2,50,791","32,31,42,137.60","34,831"
"06-Aug-2025","EQ","1,296.10","1,314.00","1,283.00","1,299.70","1,293.50","1,292.70","1,294.75","1,988.00","1,075.25","1,91,288","24,76,71,008.60","18,064"
"05-Aug-2025","EQ","1,350.00","1,350.10","1,284.00","1,334.10","1,297.00","1,299.70","1,300.01","1,988.00","1,075.25","6,59,950","85,79,42,175.60","41,025"
"04-Aug-2025","EQ","1,339.90","1,346.40","1,313.10","1,337.40","1,342.00","1,334.10","1,326.44","1,988.00","1,075.25","2,08,290","27,62,85,103.20","20,430"
"01-Aug-2025","EQ","1,364.50","1,372.90","1,335.00","1,358.10","1,340.00","1,337.40","1,349.27","1,988.00","1,075.25","1,81,739","24,52,15,670.30","16,516"
"31-Jul-2025","EQ","1,391.10","1,405.90","1,351.10","1,412.40","1,354.40","1,358.10","1,374.75","1,988.00","1,075.25","6,24,843","85,90,01,373.70","32,558"
"30-Jul-2025","EQ","1,394.50","1,427.90","1,382.00","1,389.10","1,422.00","1,412.40","1,408.96","1,988.00","1,075.25","4,22,122","59,47,51,448.40","26,714"
