ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","480.00","498.60","474.10","471.35","490.95","490.85","489.50","652.00","445.05","7,21,522","35,31,85,735.05","30,248"
"12-Aug-2025","EQ","462.00","478.30","462.00","459.65","471.00","471.35","471.51","652.00","445.05","7,23,853","34,13,02,758.05","39,514"
"11-Aug-2025","EQ","458.80","462.00","445.05","458.80","462.00","459.65","452.30","652.00","445.05","3,98,266","18,01,36,795.40","20,368"
"08-Aug-2025","EQ","459.00","464.25","455.00","461.65","457.05","458.80","458.79","652.00","453.65","87,013","3,99,20,944.95","5,577"
"07-Aug-2025","EQ","470.10","476.05","457.50","474.90","461.80","461.65","464.40","652.00","453.65","2,93,214","13,61,69,034.35","15,837"
"06-Aug-2025","EQ","487.00","492.85","466.45","483.40","475.05","474.90","473.99","652.00","453.65","3,77,050","17,87,18,314.65","22,404"
"05-Aug-2025","EQ","490.00","495.05","481.05","496.35","482.90","483.40","485.93","652.00","453.65","2,49,758","12,13,65,415.90","14,936"
"04-Aug-2025","EQ","493.95","499.00","484.85","490.20","495.15","496.35","492.21","652.00","453.65","1,23,877","6,09,73,058.30","7,907"
"01-Aug-2025","EQ","499.00","503.10","482.50","499.30","489.00","490.20","490.71","652.00","453.65","2,33,879","11,47,67,252.15","11,339"
"31-Jul-2025","EQ","500.90","508.60","496.85","505.90","497.00","499.30","501.29","652.00","453.65","1,73,019","8,67,32,629.15","10,842"
"30-Jul-2025","EQ","514.95","517.95","502.95","512.50","506.70","505.90","507.63","652.00","453.65","1,58,315","8,03,64,819.05","6,486"
"29-Jul-2025","EQ","505.00","516.00","504.10","510.10","512.20","512.50","509.15","652.00","453.65","94,091","4,79,06,029.80","5,769"
"28-Jul-2025","EQ","510.90","515.55","506.30","510.95","508.15","510.10","513.53","652.00","453.65","2,14,142","10,99,69,093.60","11,163"
"25-Jul-2025","EQ","514.00","514.30","503.25","514.25","511.15","510.95","508.51","652.00","453.65","2,53,211","12,87,60,204.00","13,284"
"24-Jul-2025","EQ","517.00","520.75","513.30","516.20","514.00","514.25","516.50","652.00","453.65","84,863","4,38,31,868.15","3,730"
"23-Jul-2025","EQ","518.00","522.00","512.30","518.30","515.50","516.20","517.41","652.00","453.65","2,49,644","12,91,69,284.10","9,651"
"22-Jul-2025","EQ","519.15","524.90","515.05","519.15","516.90","518.30","519.60","652.00","453.65","77,017","4,00,17,854.90","3,687"
"21-Jul-2025","EQ","529.65","531.00","518.05","529.65","518.95","519.15","522.26","652.00","453.65","1,36,475","7,12,74,891.15","5,721"
"18-Jul-2025","EQ","537.00","540.25","526.30","536.50","529.00","529.65","532.50","652.00","453.65","2,53,068","13,47,58,202.45","9,840"
"17-Jul-2025","EQ","525.00","542.30","524.95","522.85","535.00","536.50","535.55","652.00","453.65","6,45,136","34,55,00,556.70","25,022"
"16-Jul-2025","EQ","519.25","524.50","515.00","519.35","523.50","522.85","521.38","652.00","453.65","2,31,497","12,06,97,241.05","10,371"
"15-Jul-2025","EQ","519.00","522.50","515.20","516.40","520.00","519.35","519.02","652.00","453.65","1,43,582","7,45,21,534.00","7,499"
"14-Jul-2025","EQ","504.10","522.50","501.00","503.35","516.00","516.40","517.38","652.00","453.65","5,24,535","27,13,82,501.70","17,354"
"11-Jul-2025","EQ","513.50","517.70","502.00","517.20","504.80","503.35","505.32","652.00","453.65","5,85,593","29,59,09,628.10","22,779"
"10-Jul-2025","EQ","518.00","522.00","515.00","517.05","517.25","517.20","518.54","652.00","453.65","1,38,033","7,15,75,178.75","8,657"
"09-Jul-2025","EQ","519.00","525.70","514.15","519.20","516.80","517.05","519.87","652.00","453.65","1,75,993","9,14,93,856.80","8,466"
"08-Jul-2025","EQ","522.00","529.65","514.95","524.40","519.00","519.20","521.45","652.00","453.65","5,75,742","30,02,23,520.45","22,440"
"07-Jul-2025","EQ","517.00","528.60","511.10","520.65","522.70","524.40","519.80","652.00","453.65","8,05,756","41,88,31,753.60","22,786"
"04-Jul-2025","EQ","519.90","524.80","512.50","518.90","520.00","520.65","519.84","652.00","453.65","3,05,482","15,88,02,350.55","13,615"
"03-Jul-2025","EQ","524.00","524.95","516.05","519.95","516.05","518.90","520.06","652.00","453.65","1,32,917","6,91,25,098.55","8,149"
"02-Jul-2025","EQ","528.25","529.80","517.50","521.50","519.75","519.95","523.14","652.00","453.65","6,90,836","36,14,01,436.20","19,452"
"01-Jul-2025","EQ","523.45","524.50","511.40","521.50","522.00","521.50","519.44","652.00","453.65","7,89,635","41,01,69,265.90","25,823"
"30-Jun-2025","EQ","515.05","528.95","515.05","513.10","521.55","521.50","523.25","652.00","453.65","2,89,827","15,16,51,110.40","15,490"
"27-Jun-2025","EQ","516.00","520.05","510.20","511.95","512.70","513.10","515.39","652.00","453.65","1,41,350","7,28,50,930.55","9,468"
"26-Jun-2025","EQ","515.60","516.55","505.25","511.65","513.40","511.95","510.40","652.00","453.65","1,28,314","6,54,91,444.25","8,165"
"25-Jun-2025","EQ","510.80","516.10","507.80","510.55","512.35","511.65","513.14","652.00","453.65","3,17,973","16,31,65,625.65","8,933"
"24-Jun-2025","EQ","508.80","517.00","506.05","504.85","509.90","510.55","511.76","652.00","453.65","1,42,696","7,30,26,627.25","8,545"
"23-Jun-2025","EQ","504.00","507.70","498.00","505.10","505.25","504.85","503.17","652.00","453.65","1,33,914","6,73,82,052.40","8,489"
"20-Jun-2025","EQ","513.00","516.05","501.40","510.75","504.90","505.10","507.63","652.00","453.65","3,69,824","18,77,33,606.45","20,065"
"19-Jun-2025","EQ","535.85","535.85","500.05","538.40","513.00","510.75","510.59","652.00","453.65","8,83,643","45,11,82,148.85","35,413"
"18-Jun-2025","EQ","525.20","553.00","525.20","527.40","536.00","538.40","541.54","652.00","453.65","5,55,712","30,09,38,035.55","19,289"
"17-Jun-2025","EQ","535.20","539.95","525.05","535.20","530.00","527.40","530.94","652.00","453.65","64,571","3,42,83,521.95","4,816"
"16-Jun-2025","EQ","543.55","549.00","529.60","547.10","533.10","535.20","535.01","652.00","453.65","1,43,672","7,68,66,053.45","11,117"
"13-Jun-2025","EQ","541.00","549.90","539.35","553.90","543.80","547.10","544.20","652.00","438.50","1,15,500","6,28,54,862.10","7,184"
"12-Jun-2025","EQ","576.85","576.85","551.00","573.10","555.00","553.90","561.09","652.00","438.50","1,61,123","9,04,05,085.95","11,884"
"11-Jun-2025","EQ","574.45","584.90","568.00","574.35","571.95","573.10","576.02","652.00","438.50","3,56,085","20,51,11,457.30","16,029"
"10-Jun-2025","EQ","574.95","583.65","565.00","568.00","572.10","574.35","575.54","652.00","438.50","5,51,658","31,74,99,836.40","25,414"
"09-Jun-2025","EQ","565.00","574.65","558.60","560.05","570.00","568.00","566.30","652.00","438.50","3,96,585","22,45,87,749.55","18,079"
"06-Jun-2025","EQ","541.00","567.00","541.00","536.75","559.00","560.05","556.14","652.00","400.00","9,86,078","54,84,00,848.20","31,037"
"05-Jun-2025","EQ","515.25","539.80","515.25","516.95","537.50","536.75","534.54","652.00","400.00","4,71,552","25,20,64,185.20","18,156"
"04-Jun-2025","EQ","515.90","519.70","511.10","513.20","516.35","516.95","515.44","652.00","400.00","76,062","3,92,05,187.95","4,491"
"03-Jun-2025","EQ","516.70","521.95","510.00","514.05","513.00","513.20","514.28","652.00","400.00","1,08,113","5,56,00,612.70","6,796"
"02-Jun-2025","EQ","523.10","525.85","512.00","522.75","514.00","514.05","516.02","652.00","400.00","1,08,722","5,61,02,599.15","6,743"
"30-May-2025","EQ","533.30","535.85","521.10","533.30","523.00","522.75","526.03","652.00","400.00","1,11,010","5,83,94,747.90","6,264"
"29-May-2025","EQ","540.00","546.65","524.00","540.10","535.00","533.30","528.49","652.00","400.00","4,98,849","26,36,34,413.10","23,438"
"28-May-2025","EQ","553.00","554.95","535.20","550.55","538.00","540.10","541.56","652.00","400.00","6,34,205","34,34,63,196.00","16,544"
"27-May-2025","EQ","525.85","556.85","524.10","523.35","549.80","550.55","545.24","652.00","400.00","20,90,347","1,13,97,46,697.90","55,771"
"26-May-2025","EQ","517.90","526.00","511.30","514.10","525.00","523.35","520.52","652.00","400.00","1,38,969","7,23,35,960.15","5,970"
"23-May-2025","EQ","511.80","516.75","508.70","511.80","514.30","514.10","513.20","652.00","400.00","75,803","3,89,02,001.25","5,195"
"22-May-2025","EQ","504.95","513.70","495.25","505.20","509.90","511.80","508.57","652.00","400.00","99,616","5,06,61,499.15","6,253"
"21-May-2025","EQ","501.40","508.85","498.55","501.35","502.00","505.20","503.17","652.00","400.00","73,043","3,67,52,889.15","3,914"
"20-May-2025","EQ","517.95","517.95","498.50","517.20","502.50","501.35","506.01","652.00","400.00","1,07,081","5,41,83,635.60","7,513"
"19-May-2025","EQ","503.00","524.00","501.00","502.70","516.40","517.20","518.11","652.00","400.00","3,31,907","17,19,63,118.40","13,929"
"16-May-2025","EQ","507.40","510.70","501.55","507.40","503.00","502.70","505.17","652.00","397.50","76,047","3,84,16,650.40","4,775"
"15-May-2025","EQ","505.00","512.40","495.60","501.05","506.00","507.40","505.11","652.00","397.50","1,28,653","6,49,84,095.40","7,177"
"14-May-2025","EQ","490.00","505.15","487.60","486.35","503.70","501.05","498.14","652.00","397.50","1,12,345","5,59,63,673.15","6,072"
"13-May-2025","EQ","485.00","492.05","482.65","482.45","488.00","486.35","487.43","652.00","397.50","1,21,749","5,93,44,233.45","9,215"
"12-May-2025","EQ","474.00","491.40","474.00","468.20","485.00","482.45","484.97","652.00","397.50","2,33,985","11,34,74,837.20","10,091"
"09-May-2025","EQ","462.10","472.70","459.90","477.30","465.05","468.20","465.31","652.00","397.50","2,13,330","9,92,65,331.40","16,666"
"08-May-2025","EQ","485.30","496.00","474.10","482.80","477.25","477.30","486.00","652.00","397.50","1,20,450","5,85,38,811.85","10,361"
"07-May-2025","EQ","471.00","484.00","467.55","477.50","483.40","482.80","476.34","652.00","397.50","1,05,839","5,04,15,682.40","9,023"
"06-May-2025","EQ","495.40","502.30","475.40","495.20","476.05","477.50","486.26","652.00","397.50","2,95,303","14,35,92,731.25","29,817"
"05-May-2025","EQ","490.05","497.55","489.30","491.80","495.40","495.20","494.58","652.00","397.50","79,177","3,91,59,147.75","8,440"
"02-May-2025","EQ","486.45","493.95","480.60","486.45","490.30","491.80","488.26","652.00","397.50","1,49,491","7,29,89,833.70","22,411"
"30-Apr-2025","EQ","501.00","506.55","481.00","504.00","487.35","486.45","493.70","652.00","397.50","95,180","4,69,90,649.45","8,222"
"29-Apr-2025","EQ","509.75","517.00","502.45","509.75","504.50","504.00","510.20","652.00","397.50","1,53,251","7,81,87,998.30","13,798"
"28-Apr-2025","EQ","498.00","512.70","495.00","505.25","508.30","509.75","505.12","652.00","397.50","3,73,711","18,87,67,273.65","11,285"
"25-Apr-2025","EQ","516.15","520.45","495.55","516.10","501.30","505.25","506.96","652.00","397.50","1,97,680","10,02,15,219.30","19,190"
"24-Apr-2025","EQ","522.85","529.00","514.55","520.10","519.70","516.10","521.26","652.00","397.50","85,025","4,43,20,061.35","6,888"
"23-Apr-2025","EQ","519.80","524.50","514.00","517.00","520.75","520.10","517.81","652.00","397.50","1,08,376","5,61,18,668.00","6,576"
"22-Apr-2025","EQ","523.95","523.95","515.10","522.15","517.00","517.00","518.24","652.00","397.50","81,225","4,20,94,059.85","6,162"
"21-Apr-2025","EQ","510.00","525.00","507.95","510.35","518.20","522.15","517.99","652.00","397.50","1,73,196","8,97,13,587.15","11,585"
"17-Apr-2025","EQ","507.40","514.40","504.25","507.10","512.00","510.35","509.00","652.00","388.80","1,77,698","9,04,48,301.10","9,191"
"16-Apr-2025","EQ","512.50","512.50","503.60","508.30","507.40","507.10","507.01","652.00","388.80","1,30,571","6,62,00,376.65","7,556"
"15-Apr-2025","EQ","496.95","517.70","496.95","494.50","511.05","508.30","509.84","652.00","388.80","1,32,946","6,77,81,619.65","12,641"
"11-Apr-2025","EQ","490.00","498.00","485.50","475.40","495.80","494.50","492.63","652.00","388.80","1,06,931","5,26,77,800.65","6,354"
"09-Apr-2025","EQ","486.65","486.80","470.50","483.30","475.00","475.40","475.50","652.00","388.80","98,482","4,68,28,139.25","11,048"
"08-Apr-2025","EQ","485.45","497.10","481.00","481.20","483.40","483.30","486.60","652.00","388.80","1,17,090","5,69,75,913.25","8,501"
"07-Apr-2025","EQ","497.55","498.05","477.80","519.35","481.00","481.20","483.86","652.00","388.80","2,16,544","10,47,77,012.20","16,244"
"04-Apr-2025","EQ","529.00","533.75","508.25","533.75","518.90","519.35","518.13","652.00","388.80","1,52,278","7,89,00,461.20","10,350"
"03-Apr-2025","EQ","528.05","540.40","524.75","537.65","533.00","533.75","535.06","652.00","388.80","1,09,104","5,83,76,764.50","8,787"
"02-Apr-2025","EQ","541.90","543.85","534.40","544.15","535.40","537.65","538.86","652.00","388.80","1,08,568","5,85,03,159.65","7,980"
"01-Apr-2025","EQ","548.00","548.00","533.30","539.30","542.00","544.15","540.75","652.00","388.80","1,20,538","6,51,80,651.65","6,947"
"28-Mar-2025","EQ","541.00","547.00","534.70","538.20","539.00","539.30","540.62","652.00","388.80","3,66,643","19,82,15,840.10","14,754"
"27-Mar-2025","EQ","530.00","544.40","522.55","535.90","540.00","538.20","531.51","652.00","388.80","5,14,924","27,36,89,105.90","23,808"
"26-Mar-2025","EQ","541.20","552.75","531.05","540.10","537.00","535.90","543.71","652.00","388.80","4,36,617","23,73,93,859.65","16,695"
"25-Mar-2025","EQ","544.50","544.60","524.00","541.15","533.70","540.10","536.65","652.00","388.80","3,51,576","18,86,74,372.80","32,458"
"24-Mar-2025","EQ","539.80","554.50","532.10","533.90","544.00","541.15","540.15","652.00","388.80","5,68,671","30,71,67,762.65","23,334"
"21-Mar-2025","EQ","534.15","544.00","527.60","530.40","536.00","533.90","534.75","652.00","365.85","5,85,099","31,28,81,127.00","21,737"
"20-Mar-2025","EQ","529.10","536.00","519.80","529.95","535.00","530.40","526.64","652.00","365.85","3,41,277","17,97,30,880.35","22,987"
"19-Mar-2025","EQ","529.95","539.90","519.80","527.95","530.55","529.95","528.65","652.00","365.85","5,91,786","31,28,48,023.05","32,519"
"18-Mar-2025","EQ","518.70","532.95","515.50","515.05","528.70","527.95","526.69","652.00","365.85","1,41,834","7,47,02,646.85","6,563"
"17-Mar-2025","EQ","515.10","529.00","512.60","510.45","517.00","515.05","521.65","652.00","365.85","2,23,122","11,63,91,547.85","11,481"
"13-Mar-2025","EQ","514.05","517.05","502.60","515.20","510.00","510.45","509.31","652.00","365.85","2,50,013","12,73,34,042.45","13,868"
"12-Mar-2025","EQ","518.70","519.55","507.10","515.05","515.05","515.20","512.74","652.00","365.85","1,03,515","5,30,76,508.50","6,794"
"11-Mar-2025","EQ","507.30","519.00","502.50","515.00","515.00","515.05","511.01","652.00","365.85","1,65,930","8,47,92,073.30","10,524"
"10-Mar-2025","EQ","515.05","537.90","508.60","519.95","515.00","515.00","524.35","652.00","365.85","2,86,011","14,99,69,353.50","18,025"
"07-Mar-2025","EQ","518.75","528.70","510.80","519.30","518.10","519.95","520.88","652.00","365.85","2,60,498","13,56,88,551.55","16,043"
"06-Mar-2025","EQ","522.25","525.90","514.75","517.05","516.20","519.30","520.38","652.00","365.85","1,58,272","8,23,61,016.50","10,361"
