ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","325.05","333.00","325.05","325.05","330.45","331.35","330.10","440.20","274.05","3,24,280","10,70,43,809.40","11,605"
"12-Aug-2025","EQ","325.15","325.75","320.55","325.20","325.00","325.05","323.49","440.20","274.05","5,07,479","16,41,62,965.15","18,409"
"11-Aug-2025","EQ","321.00","326.40","318.10","322.50","325.15","325.20","321.99","440.20","274.05","4,79,960","15,45,43,695.40","14,243"
"08-Aug-2025","EQ","322.70","329.30","321.00","322.15","321.65","322.50","325.20","462.85","274.05","3,45,940","11,24,97,969.65","13,297"
"07-Aug-2025","EQ","325.00","325.00","316.80","327.90","322.70","322.15","320.87","462.85","274.05","7,83,062","25,12,61,825.15","31,989"
"06-Aug-2025","EQ","337.85","338.40","326.25","337.90","327.40","327.90","329.91","462.85","274.05","6,39,004","21,08,13,757.05","20,332"
"05-Aug-2025","EQ","348.15","348.75","336.60","346.70","337.90","337.90","341.12","462.85","274.05","3,66,112","12,48,88,708.35","12,974"
"04-Aug-2025","EQ","337.00","348.60","336.85","336.05","346.70","346.70","343.72","462.85","274.05","7,23,544","24,86,93,633.50","19,105"
"01-Aug-2025","EQ","342.40","342.40","332.50","342.75","336.20","336.05","335.87","519.00","274.05","7,38,214","24,79,41,590.15","20,846"
"31-Jul-2025","EQ","337.00","349.80","336.75","346.80","342.40","342.75","343.48","519.00","274.05","8,02,591","27,56,71,522.30","23,930"
"30-Jul-2025","EQ","370.90","376.35","342.40","369.50","345.00","346.80","354.13","519.00","274.05","20,17,568","71,44,84,289.90","53,561"
"29-Jul-2025","EQ","368.60","371.55","365.25","370.95","370.00","369.50","368.67","519.00","274.05","2,95,917","10,90,95,885.70","9,710"
"28-Jul-2025","EQ","372.50","376.15","367.95","375.65","369.90","370.95","372.83","519.00","274.05","4,88,305","18,20,56,929.80","11,980"
"25-Jul-2025","EQ","388.50","389.30","374.80","388.70","375.00","375.65","380.95","519.00","274.05","5,96,654","22,72,92,396.45","17,224"
"24-Jul-2025","EQ","395.85","397.50","387.25","393.55","389.30","388.70","392.07","519.00","274.05","5,99,439","23,50,21,545.00","19,470"
"23-Jul-2025","EQ","392.80","396.85","388.85","388.90","393.50","393.55","393.24","519.00","274.05","9,62,262","37,84,01,950.60","27,861"
"22-Jul-2025","EQ","381.95","396.15","380.10","381.80","388.20","388.90","390.19","519.00","274.05","15,01,578","58,58,98,608.20","33,232"
"21-Jul-2025","EQ","383.70","386.40","380.20","382.20","381.00","381.80","382.46","519.00","274.05","4,19,837","16,05,72,230.85","19,310"
"18-Jul-2025","EQ","372.45","387.50","367.50","371.65","382.00","382.20","380.79","554.50","274.05","11,97,498","45,59,99,279.05","30,620"
"17-Jul-2025","EQ","375.70","376.95","370.35","375.15","372.00","371.65","372.99","554.50","274.05","2,16,722","8,08,35,425.20","9,168"
"16-Jul-2025","EQ","374.55","376.00","372.65","374.55","374.55","375.15","374.79","554.50","274.05","2,36,609","8,86,79,425.00","6,961"
"15-Jul-2025","EQ","367.75","375.00","367.75","365.90","373.80","374.55","373.22","554.50","274.05","3,92,774","14,65,90,914.85","11,475"
"14-Jul-2025","EQ","370.00","370.00","365.00","370.05","366.30","365.90","366.70","554.50","274.05","3,39,061","12,43,33,674.00","10,698"
"11-Jul-2025","EQ","370.60","375.90","368.65","373.05","371.00","370.05","371.60","588.00","274.05","3,30,596","12,28,50,802.75","12,168"
"10-Jul-2025","EQ","371.00","377.50","369.40","370.20","374.00","373.05","372.99","588.00","274.05","4,22,656","15,76,47,489.95","15,468"
"09-Jul-2025","EQ","372.80","378.25","369.00","372.50","371.00","370.20","372.17","588.00","274.05","5,55,684","20,68,07,049.20","15,029"
