ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","38.28","38.48","37.80","38.28","37.86","37.86","38.02","73.06","36.66","26,62,088","10,12,03,005.94","17,634"
"11-Aug-2025","EQ","39.17","39.27","38.15","39.09","38.40","38.28","38.55","73.06","36.66","27,62,424","10,64,87,167.46","15,739"
"08-Aug-2025","EQ","38.46","39.42","37.91","38.28","39.08","39.09","38.67","73.44","36.66","30,38,655","11,75,00,602.04","18,617"
"07-Aug-2025","EQ","38.50","38.74","37.81","38.73","38.30","38.28","38.32","73.44","36.66","42,76,994","16,38,89,351.37","27,879"
"06-Aug-2025","EQ","39.35","39.99","38.11","39.35","38.54","38.73","39.33","73.44","36.66","57,35,903","22,56,00,618.60","32,472"
"05-Aug-2025","EQ","38.47","39.77","38.10","38.24","39.38","39.35","39.24","73.44","36.66","83,99,126","32,95,84,868.58","35,037"
"04-Aug-2025","EQ","37.87","38.37","37.36","37.52","38.34","38.24","37.98","73.44","36.66","47,42,827","18,01,20,810.87","33,805"
"01-Aug-2025","EQ","37.39","38.60","37.06","37.10","37.48","37.52","37.75","77.00","36.66","76,43,620","28,85,48,389.05","35,638"
"31-Jul-2025","EQ","37.10","37.70","36.66","37.77","37.30","37.10","37.31","77.00","36.66","46,25,910","17,25,86,898.99","35,994"
"30-Jul-2025","EQ","39.19","39.26","37.50","38.98","37.70","37.77","38.31","77.00","37.50","69,95,863","26,80,25,421.59","46,149"
"29-Jul-2025","EQ","39.90","40.41","38.69","40.01","38.75","38.98","39.15","77.00","38.69","1,09,84,590","43,00,99,172.02","39,584"
"28-Jul-2025","EQ","40.30","40.97","39.32","40.49","40.00","40.01","40.00","77.00","39.32","45,09,405","18,03,55,508.15","32,465"
"25-Jul-2025","EQ","41.42","41.56","40.35","41.40","40.85","40.49","40.68","77.00","40.35","50,46,157","20,52,66,057.70","29,212"
"24-Jul-2025","EQ","41.80","42.60","41.35","41.57","41.40","41.40","41.72","77.00","41.35","54,91,203","22,91,14,495.42","30,015"
"23-Jul-2025","EQ","42.84","43.08","41.45","42.84","41.60","41.57","42.07","77.00","41.45","73,54,994","30,94,54,484.35","1,27,260"
"22-Jul-2025","EQ","43.81","43.83","42.79","43.81","42.88","42.84","43.01","77.00","42.79","44,28,048","19,04,34,577.04","22,746"
"21-Jul-2025","EQ","43.52","44.05","43.00","43.52","43.90","43.81","43.47","77.00","43.00","33,06,172","14,37,10,186.59","20,776"
"18-Jul-2025","EQ","43.70","44.78","43.10","64.47","43.71","43.52","43.86","77.00","43.10","1,63,42,618","71,67,34,478.54","86,766"
"17-Jul-2025","EQ","65.00","65.24","63.99","64.50","64.09","64.47","64.63","77.00","46.08","32,11,730","20,75,81,552.77","26,810"
"16-Jul-2025","EQ","65.17","65.69","64.35","64.73","64.54","64.50","64.70","77.00","46.08","43,56,444","28,18,82,525.15","22,992"
"15-Jul-2025","EQ","63.62","65.50","63.62","63.38","64.70","64.73","64.64","77.00","46.08","1,01,47,143","65,58,78,150.44","54,003"
"14-Jul-2025","EQ","63.85","64.42","63.20","63.41","63.50","63.38","63.62","77.00","46.08","49,86,951","31,72,81,659.14","55,348"
"11-Jul-2025","EQ","64.80","65.24","62.90","64.48","63.55","63.41","63.86","77.00","46.08","60,23,620","38,46,48,242.66","40,489"
"10-Jul-2025","EQ","65.11","65.96","64.24","64.80","64.90","64.48","65.30","77.00","46.08","95,12,136","62,11,74,976.70","58,581"
"09-Jul-2025","EQ","64.89","65.87","64.64","64.60","64.75","64.80","64.95","77.00","46.08","90,90,737","59,04,19,716.78","63,440"
"08-Jul-2025","EQ","62.50","65.49","62.37","62.06","64.50","64.60","64.29","77.00","46.08","2,50,89,681","1,61,30,10,988.72","77,148"
"07-Jul-2025","EQ","60.32","62.50","59.83","60.32","62.29","62.06","60.82","77.00","46.08","1,19,09,071","72,43,08,978.95","46,105"
"04-Jul-2025","EQ","60.69","61.00","60.08","60.38","60.37","60.32","60.31","77.00","46.08","49,40,360","29,79,74,890.71","16,926"
"03-Jul-2025","EQ","59.69","61.75","59.50","59.45","60.49","60.38","60.92","77.00","46.08","82,95,137","50,53,36,726.79","41,983"
"02-Jul-2025","EQ","59.50","59.63","59.02","59.57","59.45","59.45","59.39","77.00","46.08","22,81,584","13,54,94,871.53","19,797"
"01-Jul-2025","EQ","59.73","59.98","59.18","59.72","59.80","59.57","59.51","77.00","46.08","22,85,116","13,59,91,706.01","16,553"
"30-Jun-2025","EQ","60.56","60.56","59.50","60.09","59.71","59.72","59.78","77.00","46.08","20,45,087","12,22,57,234.68","16,837"
