ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,592.40","2,596.90","2,510.00","2,589.80","2,517.00","2,533.20","2,545.02","2,718.00","1,756.05","2,61,504","66,55,33,639.40","37,116"
"11-Aug-2025","EQ","2,605.20","2,626.40","2,560.00","2,617.80","2,573.50","2,589.80","2,588.05","2,718.00","1,756.05","4,39,383","1,13,71,46,918.00","44,116"
"08-Aug-2025","EQ","2,641.00","2,664.70","2,595.00","2,634.60","2,600.10","2,617.80","2,636.38","2,718.00","1,670.00","2,23,811","59,00,50,280.90","25,375"
"07-Aug-2025","EQ","2,625.00","2,655.00","2,595.40","2,624.70","2,636.10","2,634.60","2,616.82","2,718.00","1,670.00","1,96,791","51,49,66,910.00","21,492"
"06-Aug-2025","EQ","2,635.10","2,655.80","2,613.10","2,641.50","2,616.00","2,624.70","2,631.51","2,718.00","1,670.00","3,40,219","89,52,91,031.80","33,627"
"05-Aug-2025","EQ","2,670.00","2,677.00","2,616.00","2,665.80","2,634.80","2,641.50","2,638.75","2,718.00","1,670.00","2,93,862","77,54,27,950.10","26,787"
"04-Aug-2025","EQ","2,592.00","2,670.20","2,548.00","2,592.70","2,667.80","2,665.80","2,642.30","2,718.00","1,670.00","10,53,175","2,78,28,04,851.50","34,890"
"01-Aug-2025","EQ","2,612.30","2,630.90","2,582.40","2,612.30","2,582.50","2,592.70","2,602.72","2,718.00","1,670.00","2,10,510","54,78,98,450.00","25,450"
"31-Jul-2025","EQ","2,600.80","2,639.90","2,595.00","2,633.20","2,618.30","2,612.30","2,616.01","2,718.00","1,670.00","6,22,451","1,62,83,37,698.30","37,881"
"30-Jul-2025","EQ","2,629.00","2,637.00","2,587.00","2,617.10","2,627.00","2,633.20","2,611.19","2,718.00","1,670.00","6,86,131","1,79,16,15,029.70","47,826"
"29-Jul-2025","EQ","2,647.00","2,649.90","2,582.40","2,648.00","2,618.80","2,617.10","2,615.40","2,718.00","1,670.00","3,20,111","83,72,17,840.50","34,332"
"28-Jul-2025","EQ","2,660.00","2,687.70","2,618.40","2,660.60","2,647.00","2,648.00","2,652.95","2,718.00","1,670.00","2,63,831","69,99,30,061.30","25,309"
"25-Jul-2025","EQ","2,680.00","2,695.50","2,640.00","2,662.20","2,657.00","2,660.60","2,664.32","2,718.00","1,664.60","2,48,220","66,13,37,486.20","28,995"
