ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","809.10","818.15","794.00","805.95","800.90","799.10","804.93","876.70","498.05","9,29,859","74,84,75,324.80","39,114"
"11-Aug-2025","EQ","800.00","810.95","796.00","800.60","806.00","805.95","806.08","876.70","498.05","2,85,138","22,98,43,376.00","21,316"
"08-Aug-2025","EQ","809.85","815.80","788.85","809.95","798.00","800.60","807.13","876.70","498.05","4,89,996","39,54,91,935.85","21,436"
"07-Aug-2025","EQ","804.80","820.00","800.15","812.90","809.75","809.95","810.21","876.70","498.05","9,88,575","80,09,56,360.25","31,640"
"06-Aug-2025","EQ","816.10","820.00","807.10","816.05","810.15","812.90","814.65","876.70","498.05","4,42,402","36,04,00,639.45","24,346"
"05-Aug-2025","EQ","817.55","824.15","809.75","813.05","816.60","816.05","818.59","876.70","498.05","5,13,978","42,07,37,238.75","24,418"
"04-Aug-2025","EQ","799.45","818.60","795.95","803.80","813.00","813.05","808.53","876.70","498.05","4,32,433","34,96,35,327.30","18,396"
"01-Aug-2025","EQ","814.00","822.65","799.05","812.35","800.55","803.80","807.87","876.70","498.05","4,31,835","34,88,64,669.25","28,404"
"31-Jul-2025","EQ","812.00","827.90","806.15","823.55","811.00","812.35","817.63","876.70","498.05","3,82,231","31,25,22,009.60","19,983"
"30-Jul-2025","EQ","810.50","828.20","806.30","807.50","823.00","823.55","820.77","876.70","498.05","6,07,594","49,86,92,815.05","27,971"
"29-Jul-2025","EQ","799.75","812.00","785.10","793.35","810.25","807.50","800.22","876.70","498.05","8,40,299","67,24,24,908.15","32,256"
"28-Jul-2025","EQ","800.00","827.00","790.00","809.70","790.50","793.35","806.55","876.70","498.05","10,97,278","88,50,11,091.80","53,565"
"25-Jul-2025","EQ","822.20","831.00","802.15","828.70","813.50","809.70","812.94","876.70","498.05","6,85,414","55,72,02,584.05","40,798"
"24-Jul-2025","EQ","846.25","849.25","823.30","845.95","824.85","828.70","833.42","876.70","498.05","5,09,511","42,46,34,425.25","25,362"
"23-Jul-2025","EQ","857.15","860.70","842.55","857.15","848.00","845.95","848.15","876.70","498.05","3,31,813","28,14,28,576.60","18,990"
"22-Jul-2025","EQ","867.00","871.70","850.50","863.20","857.40","857.15","857.21","876.70","498.05","8,54,116","73,21,53,341.60","25,734"
"21-Jul-2025","EQ","841.95","873.35","835.75","841.45","865.00","863.20","860.54","876.70","498.05","10,91,804","93,95,41,979.00","50,622"
"18-Jul-2025","EQ","853.05","859.75","837.05","850.45","841.95","841.45","846.81","876.70","498.05","5,83,822","49,43,87,760.25","25,445"
"17-Jul-2025","EQ","875.00","876.70","845.00","869.40","850.80","850.45","860.08","876.70","498.05","9,89,253","85,08,35,175.70","49,788"
"16-Jul-2025","EQ","851.00","875.15","847.60","845.60","872.00","869.40","858.29","875.15","498.05","14,40,037","1,23,59,73,057.80","59,484"
"15-Jul-2025","EQ","813.10","850.85","811.70","809.70","844.20","845.60","830.76","850.85","498.05","17,55,070","1,45,80,38,640.55","58,717"
"14-Jul-2025","EQ","800.00","819.00","799.15","804.85","808.30","809.70","808.43","828.50","498.05","9,44,341","76,34,34,090.20","44,107"
"11-Jul-2025","EQ","820.00","828.50","797.00","815.10","802.15","804.85","809.93","828.50","498.05","10,09,673","81,77,68,323.55","44,128"
"10-Jul-2025","EQ","807.70","820.00","803.50","801.00","815.45","815.10","813.04","821.95","498.05","22,33,566","1,81,59,76,772.05","65,746"
"09-Jul-2025","EQ","790.70","810.80","782.75","788.10","800.00","801.00","799.40","821.95","498.05","6,20,818","49,62,81,203.15","26,708"
