ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,325.00","1,331.30","1,312.50","1,321.20","1,326.00","1,325.90","1,320.45","9,128.90","1,287.10","15,33,006","2,02,42,63,132.20","57,993"
"12-Aug-2025","EQ","1,332.00","1,352.50","1,311.20","1,320.60","1,321.40","1,321.20","1,325.58","9,128.90","1,287.10","20,51,386","2,71,92,67,482.30","1,00,652"
"11-Aug-2025","EQ","1,307.90","1,341.90","1,287.10","1,332.00","1,320.00","1,320.60","1,321.17","9,128.90","1,287.10","42,45,522","5,60,90,39,725.40","2,15,624"
"08-Aug-2025","EQ","1,361.00","1,369.50","1,322.30","1,361.70","1,340.00","1,332.00","1,343.23","9,128.90","1,311.20","16,36,607","2,19,83,35,496.70","83,552"
"07-Aug-2025","EQ","1,315.00","1,371.00","1,311.20","1,322.40","1,370.00","1,361.70","1,345.53","9,128.90","1,311.20","11,24,107","1,51,25,22,298.70","60,372"
"06-Aug-2025","EQ","1,341.70","1,345.00","1,311.50","1,341.70","1,321.00","1,322.40","1,321.72","9,128.90","1,311.50","17,04,636","2,25,30,43,359.30","71,953"
"05-Aug-2025","EQ","1,372.00","1,372.50","1,333.00","1,370.90","1,341.00","1,341.70","1,348.37","9,128.90","1,319.00","35,93,587","4,84,54,92,966.60","79,592"
"04-Aug-2025","EQ","1,369.00","1,377.40","1,359.00","1,367.90","1,371.00","1,370.90","1,367.19","9,128.90","1,319.00","28,90,882","3,95,23,86,681.50","69,070"
"01-Aug-2025","EQ","1,395.00","1,399.90","1,364.20","1,392.30","1,366.90","1,367.90","1,380.75","9,128.90","1,319.00","4,32,220","59,67,88,141.20","28,811"
"31-Jul-2025","EQ","1,380.00","1,400.00","1,370.00","1,395.60","1,392.10","1,392.30","1,388.76","9,128.90","1,319.00","10,82,367","1,50,31,46,466.70","58,385"
"30-Jul-2025","EQ","1,390.00","1,406.10","1,364.70","1,409.40","1,390.00","1,395.60","1,384.93","9,128.90","1,319.00","20,75,877","2,87,49,41,593.10","90,690"
"29-Jul-2025","EQ","1,419.10","1,419.10","1,375.10","1,409.50","1,412.30","1,409.40","1,396.71","9,128.90","1,319.00","12,03,324","1,68,07,00,387.00","61,397"
