ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,938.00","5,019.00","4,906.00","4,895.50","4,912.00","4,918.50","4,949.29","5,444.00","3,160.40","65,358","32,34,75,436.50","18,200"
"12-Aug-2025","EQ","4,848.00","4,914.00","4,808.50","4,824.50","4,893.50","4,895.50","4,879.02","5,444.00","3,160.40","65,184","31,80,33,885.50","15,660"
"11-Aug-2025","EQ","4,800.00","4,874.00","4,780.50","4,813.50","4,815.00","4,824.50","4,825.20","5,444.00","3,160.40","45,471","21,94,06,494.00","13,676"
"08-Aug-2025","EQ","4,925.00","4,953.50","4,775.00","4,951.50","4,800.00","4,813.50","4,865.93","5,444.00","3,160.40","78,915","38,39,94,810.50","14,665"
"07-Aug-2025","EQ","5,005.00","5,050.00","4,910.00","5,055.50","4,911.00","4,951.50","4,972.57","5,444.00","3,160.40","55,070","27,38,39,185.00","14,218"
"06-Aug-2025","EQ","5,175.00","5,182.50","5,030.50","5,176.50","5,063.00","5,055.50","5,084.25","5,444.00","3,160.40","83,144","42,27,25,295.50","15,065"
"05-Aug-2025","EQ","5,125.00","5,189.00","5,080.50","5,100.50","5,172.00","5,176.50","5,151.07","5,444.00","3,160.40","1,24,379","64,06,85,503.00","18,784"
"04-Aug-2025","EQ","5,011.50","5,133.00","4,975.00","5,011.50","5,097.00","5,100.50","5,080.43","5,444.00","3,160.40","64,754","32,89,78,186.00","14,132"
"01-Aug-2025","EQ","5,052.00","5,139.50","4,940.00","5,047.80","5,006.50","5,011.50","5,022.32","5,444.00","3,160.40","1,44,099","72,37,11,522.50","25,961"
"31-Jul-2025","EQ","5,042.00","5,444.00","5,011.20","5,189.60","5,052.00","5,047.80","5,288.79","5,444.00","3,160.40","11,01,250","5,82,42,79,209.10","1,31,534"
"30-Jul-2025","EQ","5,150.00","5,245.00","5,065.00","5,148.80","5,198.00","5,189.60","5,166.42","5,245.00","3,160.40","1,07,294","55,43,26,196.40","18,018"
"29-Jul-2025","EQ","5,133.50","5,164.50","5,070.00","5,102.50","5,130.00","5,148.80","5,128.34","5,180.00","3,160.40","66,154","33,92,60,257.10","11,017"
"28-Jul-2025","EQ","5,019.30","5,147.00","4,977.00","5,003.40","5,069.80","5,102.50","5,106.95","5,180.00","3,160.40","1,62,442","82,95,83,244.70","19,939"
"25-Jul-2025","EQ","5,077.00","5,142.50","4,981.60","5,077.60","5,017.00","5,003.40","5,065.98","5,180.00","3,160.40","1,09,229","55,33,52,151.80","22,629"
