ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","109.00","109.32","106.53","109.12","106.91","106.82","107.78","209.75","70.80","52,94,133","57,05,76,222.31","31,739"
"11-Aug-2025","EQ","105.69","109.95","104.61","105.81","109.25","109.12","107.84","209.75","70.80","1,26,82,149","1,36,76,39,049.33","60,317"
"08-Aug-2025","EQ","110.01","110.17","105.00","109.64","105.25","105.81","107.48","209.75","70.80","83,50,031","89,74,91,266.22","41,292"
"07-Aug-2025","EQ","109.40","110.61","107.10","110.10","109.50","109.64","109.28","209.75","70.80","93,20,080","1,01,84,81,697.68","43,455"
"06-Aug-2025","EQ","110.30","110.90","108.50","110.50","109.96","110.10","109.85","209.75","70.80","41,94,497","46,07,73,159.32","29,865"
"05-Aug-2025","EQ","111.16","111.95","109.75","110.83","110.19","110.50","110.85","209.75","70.80","44,55,556","49,38,83,022.10","22,948"
"04-Aug-2025","EQ","107.70","111.18","107.00","107.26","111.18","110.83","109.43","209.75","70.80","56,66,170","62,00,47,943.08","26,135"
"01-Aug-2025","EQ","108.20","109.10","107.00","108.18","107.24","107.26","108.13","209.75","70.80","46,30,269","50,06,72,282.37","30,430"
"31-Jul-2025","EQ","106.95","109.55","106.61","108.82","108.10","108.18","108.17","209.75","70.80","52,80,798","57,12,12,640.20","35,523"
"30-Jul-2025","EQ","109.59","110.53","108.45","109.57","108.75","108.82","109.19","209.75","70.80","31,23,498","34,10,53,067.20","22,735"
"29-Jul-2025","EQ","108.00","110.05","107.15","108.51","109.85","109.57","108.69","209.75","70.80","55,23,420","60,03,16,862.09","28,868"
"28-Jul-2025","EQ","108.70","111.63","108.26","109.25","108.55","108.51","109.74","209.75","70.80","60,97,251","66,91,38,325.28","35,720"
"25-Jul-2025","EQ","113.00","113.60","109.00","113.68","109.16","109.25","110.65","209.75","70.80","92,53,584","1,02,38,65,741.95","49,486"
"24-Jul-2025","EQ","114.50","115.37","113.01","114.39","113.67","113.68","113.80","209.75","70.80","43,80,156","49,84,47,611.95","29,150"
"23-Jul-2025","EQ","114.58","115.39","113.85","114.58","114.59","114.39","114.43","209.75","70.80","73,22,559","83,79,25,545.45","33,465"
"22-Jul-2025","EQ","115.88","116.46","113.90","115.31","114.45","114.58","114.94","209.75","70.80","81,53,849","93,72,16,390.01","35,832"
"21-Jul-2025","EQ","113.05","116.08","112.10","113.05","115.43","115.31","114.76","209.75","70.80","72,33,416","83,00,77,970.52","43,382"
"18-Jul-2025","EQ","114.49","115.40","112.75","114.46","112.80","113.05","113.89","209.75","70.80","48,68,726","55,44,74,888.01","32,700"
"17-Jul-2025","EQ","115.50","116.75","114.25","114.99","114.49","114.46","115.14","209.75","70.80","1,01,20,462","1,16,52,39,516.18","46,964"
"16-Jul-2025","EQ","115.00","115.56","114.01","114.90","114.86","114.99","114.78","209.75","70.80","50,24,407","57,67,21,483.18","29,099"
"15-Jul-2025","EQ","113.60","116.70","113.18","113.03","115.00","114.90","115.03","209.75","70.80","1,32,08,032","1,51,93,67,119.86","50,116"
"14-Jul-2025","EQ","112.90","113.90","112.15","112.90","113.00","113.03","113.19","209.75","70.80","43,29,150","49,00,09,890.73","26,059"
"11-Jul-2025","EQ","113.97","114.18","112.10","113.97","112.80","112.90","113.12","209.75","70.80","61,09,041","69,10,35,167.46","39,850"
"10-Jul-2025","EQ","115.00","115.99","113.65","114.54","113.92","113.97","114.42","209.75","70.80","68,69,685","78,60,21,881.12","28,917"
"09-Jul-2025","EQ","115.93","116.64","114.20","115.74","114.75","114.54","115.41","209.75","70.80","74,01,878","85,42,50,848.65","39,833"
"08-Jul-2025","EQ","115.94","117.23","115.10","115.93","115.90","115.74","115.99","209.75","70.80","46,56,720","54,01,30,104.38","28,187"
"07-Jul-2025","EQ","117.30","117.59","115.74","117.87","115.94","115.93","116.40","209.75","70.80","46,13,507","53,70,02,322.98","37,123"
"04-Jul-2025","EQ","117.90","119.13","117.30","117.51","117.90","117.87","118.12","209.75","70.80","55,58,954","65,66,31,286.09","28,620"
"03-Jul-2025","EQ","120.70","121.20","117.30","120.08","117.53","117.51","118.57","209.75","70.80","1,01,53,081","1,20,38,29,940.89","46,226"
"02-Jul-2025","EQ","124.00","124.30","118.28","123.21","119.90","120.08","120.27","209.75","70.80","2,33,53,762","2,80,87,51,794.39","81,236"
"01-Jul-2025","EQ","122.99","123.96","121.33","122.72","123.06","123.21","122.71","209.75","70.80","65,71,667","80,63,95,009.55","40,033"
"30-Jun-2025","EQ","122.98","124.85","122.30","123.20","122.57","122.72","123.32","209.75","70.80","56,52,591","69,70,79,450.36","33,814"
"27-Jun-2025","EQ","124.52","125.49","122.50","123.91","123.00","123.20","123.67","209.75","70.80","91,40,549","1,13,04,22,981.23","42,798"
"26-Jun-2025","EQ","125.30","125.55","122.62","124.90","123.65","123.91","123.97","209.75","70.80","90,09,025","1,11,68,44,227.77","48,453"
"25-Jun-2025","EQ","121.94","125.36","121.72","121.05","125.00","124.90","124.33","209.75","70.80","1,89,90,187","2,36,09,87,367.94","1,05,709"
"24-Jun-2025","EQ","120.65","123.88","120.55","119.91","121.23","121.05","122.13","209.75","70.80","1,63,36,347","1,99,51,25,278.86","64,354"
"23-Jun-2025","EQ","115.09","121.30","115.00","117.08","119.61","119.91","119.08","209.75","70.80","1,99,49,193","2,37,54,63,830.37","76,300"
"20-Jun-2025","EQ","113.80","117.97","113.66","114.29","117.07","117.08","116.53","209.75","70.80","1,54,00,158","1,79,45,74,640.03","53,803"
"19-Jun-2025","EQ","118.70","119.30","113.33","118.92","113.87","114.29","115.96","209.75","70.80","1,05,91,499","1,22,81,74,630.57","51,152"
"18-Jun-2025","EQ","120.05","120.94","118.55","120.14","118.70","118.92","119.54","209.75","70.80","66,61,197","79,62,94,695.02","35,970"
"17-Jun-2025","EQ","122.80","122.90","119.57","122.25","119.95","120.14","121.43","209.75","70.80","76,51,088","92,90,63,386.82","41,122"
"16-Jun-2025","EQ","120.20","122.56","117.29","120.64","122.28","122.25","120.05","209.75","70.80","1,20,36,641","1,44,49,62,502.04","52,369"
"13-Jun-2025","EQ","118.00","121.68","117.31","120.69","120.90","120.64","119.95","209.75","70.80","1,27,85,259","1,53,36,29,491.65","59,641"
"12-Jun-2025","EQ","124.24","124.85","120.40","124.31","120.75","120.69","122.18","209.75","70.80","1,02,46,798","1,25,19,78,709.07","54,895"
"11-Jun-2025","EQ","125.44","126.20","123.40","124.78","124.44","124.31","124.94","209.75","70.80","1,23,68,749","1,54,53,11,688.48","48,472"
"10-Jun-2025","EQ","129.42","129.42","124.36","128.70","124.88","124.78","125.57","209.75","70.80","2,00,24,820","2,51,44,30,137.27","79,727"
"09-Jun-2025","EQ","128.25","130.70","126.51","127.72","128.55","128.70","128.44","209.75","70.80","1,75,02,001","2,24,79,89,113.41","64,830"
"06-Jun-2025","EQ","127.04","129.60","125.85","127.04","127.57","127.72","127.61","209.75","70.80","1,49,06,234","1,90,21,15,216.57","59,267"
"05-Jun-2025","EQ","125.04","129.29","125.04","124.88","126.90","127.04","127.48","209.75","70.80","1,97,64,652","2,51,95,25,069.66","91,158"
"04-Jun-2025","EQ","123.00","125.98","122.11","123.42","125.03","124.88","124.44","209.75","70.80","1,53,58,451","1,91,11,95,312.39","81,226"
"03-Jun-2025","EQ","125.27","125.80","122.50","124.80","123.54","123.42","123.90","209.75","70.80","1,28,48,733","1,59,20,17,018.69","63,269"
"02-Jun-2025","EQ","123.25","127.49","123.00","123.36","124.50","124.80","125.53","209.75","70.80","2,81,36,388","3,53,18,40,342.46","1,18,271"
"30-May-2025","EQ","117.80","126.70","113.94","116.20","123.35","123.36","121.20","209.75","70.80","7,91,71,451","9,59,55,19,568.51","2,29,924"
"29-May-2025","EQ","116.17","117.50","115.60","115.60","116.21","116.20","116.38","209.75","70.80","1,03,71,746","1,20,70,95,515.52","36,617"
"28-May-2025","EQ","114.97","117.76","114.85","114.97","115.64","115.60","116.42","209.75","70.80","1,35,31,812","1,57,53,33,874.68","52,710"
"27-May-2025","EQ","114.50","116.18","113.70","114.27","114.75","114.97","114.99","209.75","70.80","1,14,50,424","1,31,66,76,662.03","44,255"
"26-May-2025","EQ","112.50","114.83","112.50","112.49","114.15","114.27","113.90","209.75","70.80","1,00,37,221","1,14,32,30,198.02","47,265"
"23-May-2025","EQ","113.67","113.95","110.95","113.11","112.30","112.49","112.51","209.75","70.80","85,09,263","95,73,36,128.91","33,049"
"22-May-2025","EQ","113.60","115.31","111.25","113.21","113.00","113.11","113.25","209.75","70.80","1,40,55,956","1,59,19,06,221.74","53,467"
"21-May-2025","EQ","111.00","113.90","109.96","110.89","112.91","113.21","112.49","209.75","70.80","1,44,77,552","1,62,86,47,111.24","53,146"
"20-May-2025","EQ","116.00","116.37","110.51","115.93","111.30","110.89","112.68","209.75","70.80","1,51,25,669","1,70,44,16,981.09","59,211"
"19-May-2025","EQ","112.40","116.44","112.20","111.08","116.10","115.93","115.15","209.75","70.80","3,34,81,411","3,85,52,87,586.69","99,794"
"16-May-2025","EQ","107.16","113.20","106.55","106.72","110.84","111.08","110.72","209.75","70.80","2,74,15,877","3,03,55,66,187.60","93,035"
"15-May-2025","EQ","107.00","108.65","106.20","106.75","106.45","106.72","107.38","209.75","70.80","1,82,49,645","1,95,95,59,837.52","66,633"
"14-May-2025","EQ","102.08","107.75","101.80","101.69","106.78","106.75","105.42","209.75","70.80","3,25,68,683","3,43,32,70,454.83","1,12,431"
"13-May-2025","EQ","99.30","102.10","98.32","99.81","102.00","101.69","100.57","209.75","70.80","2,09,39,670","2,10,59,97,397.64","63,235"
"12-May-2025","EQ","95.99","100.24","95.12","92.22","99.60","99.81","98.17","209.75","70.80","1,78,09,802","1,74,84,41,386.89","56,647"
"09-May-2025","EQ","90.07","92.80","90.07","93.93","92.70","92.22","91.75","209.75","70.80","94,87,742","87,05,10,022.61","39,909"
"08-May-2025","EQ","95.75","96.68","93.14","95.90","94.00","93.93","94.49","209.75","70.80","1,16,54,657","1,10,12,68,324.24","41,879"
"07-May-2025","EQ","91.00","96.10","90.80","92.58","95.70","95.90","94.61","209.75","70.80","1,64,23,887","1,55,38,27,182.08","52,566"
"06-May-2025","EQ","96.29","96.59","91.50","96.29","93.00","92.58","93.41","209.75","70.80","1,51,77,974","1,41,77,95,735.74","52,522"
"05-May-2025","EQ","94.39","96.98","93.45","93.96","96.40","96.29","95.08","209.75","70.80","93,83,107","89,21,81,609.04","45,968"
"02-May-2025","EQ","95.19","96.92","93.50","95.19","93.92","93.96","95.18","209.75","70.80","84,59,373","80,52,05,120.32","38,306"
"30-Apr-2025","EQ","97.40","98.23","94.51","97.31","94.78","95.19","96.44","209.75","70.80","83,09,482","80,13,40,723.98","33,872"
"29-Apr-2025","EQ","99.20","100.20","97.00","98.64","97.45","97.31","98.45","209.75","70.80","89,96,893","88,57,50,430.69","36,607"
"28-Apr-2025","EQ","94.20","99.27","94.20","95.49","99.04","98.64","97.25","209.75","70.80","1,43,83,334","1,39,87,22,718.86","45,642"
"25-Apr-2025","EQ","99.87","100.10","94.85","99.87","95.20","95.49","96.68","209.75","70.80","1,53,32,890","1,48,23,70,464.98","60,184"
"24-Apr-2025","EQ","100.75","101.03","99.25","100.81","100.32","99.87","100.14","209.75","70.80","96,80,306","96,93,72,832.52","38,896"
"23-Apr-2025","EQ","100.75","101.62","97.65","100.20","100.69","100.81","99.93","209.75","70.80","1,46,14,747","1,46,04,54,904.75","50,883"
"22-Apr-2025","EQ","100.10","102.50","99.11","99.98","100.15","100.20","101.31","209.75","70.80","1,69,00,830","1,71,22,68,308.09","53,126"
"21-Apr-2025","EQ","98.70","100.54","96.70","98.40","99.90","99.98","99.30","209.75","70.80","1,80,52,626","1,79,26,64,334.96","70,911"
"17-Apr-2025","EQ","96.20","99.90","96.00","95.80","97.73","98.40","98.83","209.75","70.80","4,81,87,798","4,76,22,20,718.59","1,41,282"
"16-Apr-2025","EQ","90.01","96.50","89.77","89.77","96.09","95.80","94.44","209.75","70.80","5,62,98,845","5,31,67,52,593.32","1,61,915"
"15-Apr-2025","EQ","89.80","90.56","89.30","89.10","89.70","89.77","89.86","209.75","70.80","1,07,15,153","96,28,32,603.35","41,156"
"11-Apr-2025","EQ","89.00","90.20","86.09","87.01","88.57","89.10","88.28","209.75","70.80","2,71,33,267","2,39,53,46,536.64","83,635"
"09-Apr-2025","EQ","82.64","87.45","81.41","83.07","87.10","87.01","85.58","209.75","70.80","3,04,65,976","2,60,73,62,651.58","82,622"
"08-Apr-2025","EQ","84.50","84.50","79.72","79.46","83.01","83.07","82.23","209.75","70.80","1,73,72,693","1,42,85,51,374.35","54,301"
"07-Apr-2025","EQ","75.91","80.10","75.00","82.73","80.10","79.46","78.08","209.75","70.80","1,15,18,239","89,93,05,293.06","64,919"
"04-Apr-2025","EQ","84.34","85.68","81.70","84.41","83.05","82.73","83.65","209.75","70.80","1,29,38,267","1,08,22,91,782.71","48,994"
"03-Apr-2025","EQ","81.40","84.78","81.40","82.89","84.35","84.41","83.66","209.75","70.80","92,82,920","77,66,10,999.49","33,378"
"02-Apr-2025","EQ","81.61","83.20","79.90","81.61","82.80","82.89","82.00","209.75","70.80","75,93,537","62,26,62,066.58","29,741"
"01-Apr-2025","EQ","80.87","82.46","80.51","81.89","81.57","81.61","81.63","209.75","70.80","56,45,573","46,08,42,845.43","28,045"
