ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,444.30","1,449.00","1,400.00","1,447.60","1,400.00","1,403.40","1,411.76","2,420.00","1,392.75","35,727","5,04,37,957.30","5,106"
"12-Aug-2025","EQ","1,424.80","1,455.00","1,402.60","1,424.80","1,430.00","1,447.60","1,436.38","2,420.00","1,392.75","28,361","4,07,37,296.80","3,587"
"11-Aug-2025","EQ","1,417.20","1,435.30","1,399.70","1,418.40","1,435.30","1,424.80","1,416.72","2,420.00","1,392.75","15,284","2,16,53,196.30","3,284"
"08-Aug-2025","EQ","1,420.00","1,433.10","1,413.70","1,415.80","1,420.00","1,418.40","1,423.07","2,420.00","1,392.75","15,037","2,13,98,744.60","3,527"
"07-Aug-2025","EQ","1,436.00","1,436.00","1,399.00","1,448.80","1,419.00","1,415.80","1,415.52","2,420.00","1,392.75","53,218","7,53,31,340.90","6,967"
"06-Aug-2025","EQ","1,458.30","1,462.00","1,423.70","1,446.50","1,436.60","1,448.80","1,438.27","2,420.00","1,392.75","19,456","2,79,83,037.60","4,545"
"05-Aug-2025","EQ","1,446.10","1,470.60","1,432.20","1,446.10","1,448.50","1,446.50","1,455.63","2,420.00","1,392.75","1,10,891","16,14,15,902.30","15,303"
"04-Aug-2025","EQ","1,539.80","1,539.80","1,430.50","1,539.80","1,453.10","1,446.10","1,461.41","2,420.00","1,392.75","79,519","11,62,09,906.30","11,966"
"01-Aug-2025","EQ","1,545.70","1,575.00","1,531.10","1,541.60","1,535.00","1,539.80","1,550.18","2,420.00","1,392.75","12,056","1,86,88,953.50","2,254"
"31-Jul-2025","EQ","1,538.10","1,578.00","1,513.30","1,545.80","1,538.00","1,541.60","1,550.86","2,420.00","1,392.75","18,440","2,85,97,796.70","4,774"
