ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,374.90","1,410.00","1,335.80","1,372.60","1,347.80","1,346.40","1,367.67","1,428.80","842.60","1,08,698","14,86,62,613.20","11,369"
"12-Aug-2025","EQ","1,377.90","1,382.00","1,350.00","1,374.90","1,373.90","1,372.60","1,367.49","1,428.80","842.60","66,303","9,06,68,728.00","6,667"
"11-Aug-2025","EQ","1,365.90","1,385.50","1,338.90","1,365.90","1,363.00","1,374.90","1,364.96","1,428.80","842.60","63,057","8,60,70,039.90","8,032"
"08-Aug-2025","EQ","1,376.20","1,387.70","1,352.10","1,376.20","1,352.10","1,365.90","1,372.35","1,428.80","833.85","63,764","8,75,06,698.20","8,427"
"07-Aug-2025","EQ","1,366.40","1,396.90","1,352.60","1,373.60","1,360.00","1,376.20","1,376.69","1,428.80","833.85","1,14,546","15,76,94,780.40","14,131"
"06-Aug-2025","EQ","1,359.50","1,388.90","1,342.20","1,356.90","1,372.00","1,373.60","1,366.52","1,428.80","833.85","1,12,137","15,32,37,904.90","13,143"
"05-Aug-2025","EQ","1,360.00","1,370.00","1,337.70","1,353.70","1,359.50","1,356.90","1,351.56","1,428.80","833.85","64,399","8,70,38,863.40","6,663"
"04-Aug-2025","EQ","1,343.70","1,364.80","1,327.00","1,343.70","1,352.00","1,353.70","1,347.05","1,428.80","833.85","1,02,074","13,74,99,248.60","11,474"
"01-Aug-2025","EQ","1,370.10","1,428.80","1,335.20","1,378.60","1,342.00","1,343.70","1,383.27","1,428.80","833.85","2,59,770","35,93,31,839.70","26,221"
"31-Jul-2025","EQ","1,280.00","1,399.90","1,261.00","1,301.70","1,382.00","1,378.60","1,353.98","1,399.90","833.85","6,05,305","81,95,72,797.00","45,881"
"30-Jul-2025","EQ","1,230.10","1,339.00","1,224.20","1,245.60","1,300.00","1,301.70","1,287.76","1,339.00","833.85","10,18,547","1,31,16,45,779.20","69,847"
"29-Jul-2025","EQ","1,230.00","1,250.00","1,211.50","1,235.00","1,243.50","1,245.60","1,230.86","1,326.00","833.85","61,713","7,59,59,857.30","9,861"
"28-Jul-2025","EQ","1,239.70","1,268.70","1,227.90","1,237.00","1,230.10","1,235.00","1,242.12","1,326.00","833.85","84,088","10,44,47,725.20","7,468"
"25-Jul-2025","EQ","1,268.50","1,281.50","1,229.90","1,281.30","1,240.10","1,237.00","1,253.30","1,326.00","833.85","86,984","10,90,17,214.60","10,887"
"24-Jul-2025","EQ","1,305.00","1,305.00","1,266.00","1,276.80","1,281.90","1,281.30","1,282.31","1,326.00","833.85","85,431","10,95,49,270.30","8,214"
"23-Jul-2025","EQ","1,272.00","1,288.50","1,241.20","1,272.00","1,283.20","1,276.80","1,264.54","1,326.00","833.85","1,03,371","13,07,17,155.00","11,128"
"22-Jul-2025","EQ","1,281.00","1,299.80","1,264.50","1,272.70","1,274.00","1,272.00","1,280.62","1,326.00","833.85","71,802","9,19,50,908.40","7,037"
"21-Jul-2025","EQ","1,281.50","1,289.60","1,260.00","1,281.20","1,275.00","1,272.70","1,272.45","1,326.00","833.85","70,373","8,95,46,296.00","10,118"
"18-Jul-2025","EQ","1,282.50","1,293.90","1,251.70","1,281.60","1,283.00","1,281.20","1,275.22","1,326.00","833.85","95,170","12,13,62,790.60","11,972"
"17-Jul-2025","EQ","1,288.90","1,326.00","1,261.20","1,282.60","1,287.00","1,281.60","1,290.65","1,326.00","833.85","1,45,322","18,75,59,499.10","13,814"
"16-Jul-2025","EQ","1,293.00","1,298.40","1,273.00","1,292.20","1,284.70","1,282.60","1,283.57","1,305.00","833.85","95,696","12,28,32,268.90","11,585"
"15-Jul-2025","EQ","1,210.00","1,305.00","1,195.10","1,200.30","1,291.10","1,292.20","1,275.16","1,305.00","833.85","7,99,683","1,01,97,27,687.60","60,439"
"14-Jul-2025","EQ","1,205.40","1,211.90","1,180.30","1,199.30","1,200.00","1,200.30","1,199.07","1,218.20","833.85","59,794","7,16,97,297.90","9,448"
"11-Jul-2025","EQ","1,194.70","1,217.30","1,186.30","1,194.70","1,192.00","1,199.30","1,203.24","1,218.20","833.85","1,27,244","15,31,05,498.70","12,889"
"10-Jul-2025","EQ","1,162.20","1,208.00","1,144.90","1,159.20","1,206.00","1,194.70","1,171.27","1,218.20","833.85","1,46,230","17,12,74,317.90","10,803"
"09-Jul-2025","EQ","1,192.00","1,192.00","1,154.40","1,190.40","1,158.00","1,159.20","1,163.80","1,218.20","833.85","94,748","11,02,68,125.60","11,491"
"08-Jul-2025","EQ","1,187.50","1,195.90","1,166.00","1,183.10","1,193.90","1,190.40","1,183.72","1,218.20","833.85","60,224","7,12,88,555.30","5,691"
"07-Jul-2025","EQ","1,204.30","1,204.30","1,177.90","1,198.30","1,187.90","1,183.10","1,189.44","1,218.20","833.85","53,197","6,32,74,576.70","6,304"
"04-Jul-2025","EQ","1,199.70","1,203.70","1,182.90","1,198.00","1,199.90","1,198.30","1,192.79","1,218.20","833.85","61,063","7,28,35,573.20","5,733"
"03-Jul-2025","EQ","1,182.00","1,202.00","1,176.30","1,181.40","1,197.20","1,198.00","1,191.77","1,218.20","833.85","75,378","8,98,33,171.80","5,988"
"02-Jul-2025","EQ","1,201.10","1,202.20","1,158.10","1,198.30","1,183.20","1,181.40","1,177.71","1,218.20","833.85","1,87,026","22,02,62,217.80","18,581"
"01-Jul-2025","EQ","1,176.30","1,218.20","1,166.10","1,164.65","1,199.90","1,198.30","1,197.82","1,218.20","833.85","2,66,297","31,89,76,371.30","19,712"
"30-Jun-2025","EQ","1,120.00","1,179.00","1,115.05","1,118.05","1,162.60","1,164.65","1,147.65","1,179.00","833.85","2,74,259","31,47,54,553.90","24,440"
"27-Jun-2025","EQ","1,127.70","1,127.70","1,105.00","1,119.80","1,120.00","1,118.05","1,117.22","1,135.30","833.85","1,31,826","14,72,78,570.70","10,256"
"26-Jun-2025","EQ","1,095.00","1,135.30","1,091.50","1,091.20","1,124.00","1,119.80","1,117.69","1,135.30","833.85","3,58,706","40,09,23,305.70","27,656"
"25-Jun-2025","EQ","1,025.00","1,105.65","1,019.90","1,022.30","1,093.50","1,091.20","1,074.57","1,105.65","833.85","3,62,434","38,94,61,039.30","29,532"
"24-Jun-2025","EQ","1,020.10","1,029.80","1,015.40","1,018.35","1,022.00","1,022.30","1,022.44","1,081.90","833.85","34,658","3,54,35,636.90","4,171"
"23-Jun-2025","EQ","1,026.75","1,037.00","1,011.60","1,026.75","1,017.30","1,018.35","1,021.12","1,081.90","833.85","47,391","4,83,91,825.65","5,927"
"20-Jun-2025","EQ","1,000.00","1,036.00","995.00","1,006.50","1,026.00","1,026.75","1,020.73","1,081.90","833.85","64,783","6,61,26,127.75","8,221"
"19-Jun-2025","EQ","1,028.00","1,028.00","1,001.00","1,020.10","1,003.00","1,006.50","1,013.52","1,081.90","833.85","36,764","3,72,61,197.35","4,992"
"18-Jun-2025","EQ","1,022.15","1,045.70","1,012.55","1,022.15","1,016.80","1,020.10","1,027.77","1,081.90","833.85","87,267","8,96,90,387.10","7,751"
"17-Jun-2025","EQ","1,018.50","1,033.90","1,009.25","1,009.65","1,017.50","1,022.15","1,022.37","1,081.90","833.85","80,521","8,23,22,553.50","7,292"
"16-Jun-2025","EQ","1,011.50","1,016.95","981.40","1,000.20","1,009.50","1,009.65","1,001.14","1,081.90","833.85","71,260","7,13,41,275.35","7,063"
"13-Jun-2025","EQ","982.00","1,018.10","975.00","1,001.30","1,001.95","1,000.20","990.86","1,081.90","833.85","1,27,103","12,59,41,316.50","9,425"
"12-Jun-2025","EQ","1,018.00","1,029.10","994.10","1,026.95","999.00","1,001.30","1,010.67","1,081.90","833.85","80,975","8,18,39,330.40","7,321"
